question,correct_answers,question_type
Calculate the wavelength (in nm) of photons whose energy is 438.02 kJ/mol,273.11;2.7311e2;2.7311E2;273.1;2.731e2;2.731E2;273.110;2.73110e2;2.73110E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 272.25 kJ/mol,6.8228e14;6.8228e14;6.8228E14;6.823e14;6.823e14;6.823E14;6.82277e14;6.82277e14;6.82277E14,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 382.72 kJ/mol,312.57;3.1257e2;3.1257E2;312.6;3.126e2;3.126E2;312.570;3.12570e2;3.12570E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 166.89 kJ/mol,4.1824e14;4.1824e14;4.1824E14;4.182e14;4.182e14;4.182E14;4.18237e14;4.18237e14;4.18237E14,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 8.30e14 Hz,361;3.61e2;3.61E2;361.;360;3.6e2;3.6E2;361.0;3.610e2;3.610E2,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 417 nm,7.19e14;7.19e14;7.19E14;7.2e14;7.2e14;7.2E14;7.189e14;7.189e14;7.189E14,short_answer_question
What is the frequency (in Hz) of photons whose energy is 201.8 kJ/mol,5.057e14;5.057e14;5.057E14;5.06e14;5.06e14;5.06E14;5.0572e14;5.0572e14;5.0572E14,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 3.080e14 Hz,973.4;9.734e2;9.734E2;973;9.73e2;9.73E2;973.;973.40;9.7340e2;9.7340E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 397.47 kJ/mol,9.9609e14;9.9609e14;9.9609E14;9.961e14;9.961e14;9.961E14;9.96088e14;9.96088e14;9.96088E14,short_answer_question
What is the energy (in kJ/mol) of photons with a wavelength of 340 nm,350;3.5e2;3.5E2;400;4e2;4E2;352;3.52e2;3.52E2;352.,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 289 kJ/mol,414;4.14e2;4.14E2;414.;410;4.1e2;4.1E2;414.0;4.140e2;4.140E2,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 5.0e2 nm,6.0e14;6.0e14;6.0E14;6e14;6e14;6E14;6.00e14;6.00e14;6.00E14,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 451.93 nm,6.6336e14;6.6336e14;6.6336E14;6.634e14;6.634e14;6.634E14;6.63360e14;6.63360e14;6.63360E14,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 750 nm,4.0e14;4.0e14;4.0E14;4e14;4e14;4E14;4.00e14;4.00e14;4.00E14,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 7.0e14 Hz,430;4.3e2;4.3E2;400;4e2;4E2;430.;4.30e2;4.30E2;430..,short_answer_question
What is the frequency (in Hz) of photons whose energy is 263 kJ/mol,6.59e14;6.59e14;6.59E14;6.6e14;6.6e14;6.6E14;6.589e14;6.589e14;6.589E14,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 6.89e14 Hz,435;4.35e2;4.35E2;435.;440;4.4e2;4.4E2;435.0;4.350e2;4.350E2,short_answer_question
What is the energy (in kJ/mol) of photons with a wavelength of 522 nm,229;2.29e2;2.29E2;229.;230;2.3e2;2.3E2;229.2;2.292e2;2.292E2,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 729 nm,4.11e14;4.11e14;4.11E14;4.1e14;4.1e14;4.1E14;4.112e14;4.112e14;4.112E14,short_answer_question
What is the frequency (in Hz) of photons whose energy is 230 kJ/mol,5.8e14;5.8e14;5.8E14;6e14;6e14;6E14;5.77e14;5.77e14;5.77E14,short_answer_question
What is the energy (in kJ/mol) of photos with a frequency of 1.0003e15 Hz,399.15;3.9915e2;3.9915E2;399.2;3.992e2;3.992E2;399.154;3.99154e2;3.99154E2,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 5.275e14 Hz,568.3;5.683e2;5.683E2;568;5.68e2;5.68E2;568.;568.30;5.6830e2;5.6830E2,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 214.36 kJ/mol,558.06;5.5806e2;5.5806E2;558.1;5.581e2;5.581E2;558.060;5.58060e2;5.58060E2,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 387.23 nm,7.7420e14;7.7420e14;7.7420E14;7.742e14;7.742e14;7.742E14;7.74197e14;7.74197e14;7.74197E14,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 522 nm,5.74e14;5.74e14;5.74E14;5.7e14;5.7e14;5.7E14;5.743e14;5.743e14;5.743E14,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 455 kJ/mol,263;2.63e2;2.63E2;263.;260;2.6e2;2.6E2;263.0;2.630e2;2.630E2,short_answer_question
What is the energy (in kJ/mol) of photons with a wavelength of 473.21 nm,252.80;2.5280e2;2.5280E2;252.8;2.528e2;2.528E2;252.798;2.52798e2;2.52798E2,short_answer_question
What is the energy (in kJ/mol) of photons with a wavelength of 854 nm,140.;1.40e2;1.40E2;140..;140;1.4e2;1.4E2;140.1;1.401e2;1.401E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 315.73 kJ/mol,7.9124e14;7.9124e14;7.9124E14;7.912e14;7.912e14;7.912E14;7.91239e14;7.91239e14;7.91239E14,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 578 nm,5.19e14;5.19e14;5.19E14;5.2e14;5.2e14;5.2E14;5.187e14;5.187e14;5.187E14,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 1.1e15 Hz,270;2.7e2;2.7E2;300;3e2;3E2;270.;2.70e2;2.70E2;270..,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 2.0e2 kJ/mol,6.0e2;6.0e2;6.0E2;600;6e2;6E2;600.;6.00e2;6.00E2;600..,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 8.19e14 Hz,366;3.66e2;3.66E2;366.;370;3.7e2;3.7E2;366.0;3.660e2;3.660E2,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 9.4739e14 Hz,316.44;3.1644e2;3.1644E2;316.4;3.164e2;3.164E2;316.440;3.16440e2;3.16440E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 300.42 kJ/mol,7.5287e14;7.5287e14;7.5287E14;7.529e14;7.529e14;7.529E14;7.52869e14;7.52869e14;7.52869E14,short_answer_question
What is the energy (in kJ/mol) of photos with a frequency of 1.1e15 Hz,440;4.4e2;4.4E2;400;4e2;4E2;443;4.43e2;4.43E2;443.,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 123 kJ/mol,973;9.73e2;9.73E2;973.;970;9.7e2;9.7E2;973.0;9.730e2;9.730E2,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 582.38 nm,5.1477e14;5.1477e14;5.1477E14;5.148e14;5.148e14;5.148E14;5.14771e14;5.14771e14;5.14771E14,short_answer_question
Calculate the wavelength (in nm) of photons whose energy is 170 kJ/mol,7.0e2;7.0e2;7.0E2;700;7e2;7E2;700.;7.00e2;7.00E2;700..,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 1.1e15 Hz,270;2.7e2;2.7E2;300;3e2;3E2;270.;2.70e2;2.70E2;270..,short_answer_question
What is the energy (in kJ/mol) of photons with a wavelength of 520 nm,230;2.3e2;2.3E2;200;2e2;2E2;230.;2.30e2;2.30E2;230..,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 338.8 nm,8.849e14;8.849e14;8.849E14;8.85e14;8.85e14;8.85E14;8.8487e14;8.8487e14;8.8487E14,short_answer_question
What is the frequency (in Hz) of a photon with a wavelength of 410 nm,7.3e14;7.3e14;7.3E14;7e14;7e14;7E14;7.31e14;7.31e14;7.31E14,short_answer_question
What is the energy (in kJ/mol) of photos with a frequency of 5.609e14 Hz,223.8;2.238e2;2.238E2;224;2.24e2;2.24E2;224.;223.81;2.2381e2;2.2381E2,short_answer_question
What is the energy (in kJ/mol) of photos with a frequency of 8.0021e14 Hz,319.31;3.1931e2;3.1931E2;319.3;3.193e2;3.193E2;319.311;3.19311e2;3.19311E2,short_answer_question
Calculate the wavelength (in nm) of a photon whose frequency is 3.5080e14 Hz,854.60;8.5460e2;8.5460E2;854.6;8.546e2;8.546E2;854.600;8.54600e2;8.54600E2,short_answer_question
What is the frequency (in Hz) of photons whose energy is 187.97 kJ/mol,4.7107e14;4.7107e14;4.7107E14;4.711e14;4.711e14;4.711E14;4.71068e14;4.71068e14;4.71068E14,short_answer_question
What is the frequency (in Hz) of photons whose energy is 338.9 kJ/mol,8.493e14;8.493e14;8.493E14;8.49e14;8.49e14;8.49E14;8.4927e14;8.4927e14;8.4927E14,short_answer_question
