Assignment,ID
HW5,5938419
Exam 1 Revisions,5851475
Exam 2 — Paper Exam in Tracy Hall Testing Center,6061477
HW10,5938474
HW6,5938426
HW9,5938433
Exam 3 Revisions,5938373
Lab: SLC Box Model,5938381
HW4,5938420
HW 1,5851406
"Lab Revisions: Intro to Python, Pandas, & ChatGPT ",5987506
Exam 2,5938370
HW8,5938429
Lab: TUV Calculator and Matplotlib,6045393
Exam 3,5938372
Exam 2 Revisions,5938371
Exam 4 Revisions,5938375
Exam 1,5851407
Lab: Field Sampling I,5938380
Lab: Scale Height of Atmosphere,5938378
HW 2,5907275
"Lab: Intro to Python, Pandas, & ChatGPT ",5938376
HW 3,5907249
HW7,5938427
Lab: Data Logging & Analysis,5938379
Exam 4,5938374
Lab: Field Sampling II,5938391
