name,CAS,cid,date_retrieved
water,,962,2023-11-06
KHP,,23676735,2023-11-06
NaOH,,14798,2023-11-06
phenolphthalein,,4764,2023-11-06
silver nitrate,,24470,2023-11-06
hydrochloric acid,,313,2023-11-06
nitric acid,,944,2023-11-06
Dichlorofluorescein,,64944,2023-11-06
Dextrin,,62698,2023-11-06
sodium chloride,,5234,2023-11-06
potassium permanganate,,516875,2023-11-06
ammonium periodate,,9920739,2023-11-06
ammonium persulfate,,62648,2023-11-06
phosphoric acid,,1004,2023-11-06
benzene,,241,2023-11-06
toluene,,1140,2023-11-06
methanol,,887,2023-11-06
cobalt nitrate,,25000,2023-11-06
chromium nitrate,,24598,2023-11-06
m-cresol,,342,2023-11-06
sulfuric acid,,1118,2023-11-06
acetone,,180,2023-11-06
ethyl acetate,,8857,2023-11-06
potassium periodate,,516896,2023-11-09
nitric acid,,944,2023-12-06
sulfuric acid,,1118,2023-12-06
urea,,1176,2023-12-06
n-propanol,,1031,2023-12-06
isopropanol,,3776,2023-12-06
n-butanol,,263,2023-12-06
2-butanol,,6568,2023-12-06
n-propyl nitrate,,12307,2023-12-06
isopropyl nitrate,,15575,2023-12-06
n-butyl nitrate,,13567,2023-12-06
isobutyl nitrate,,10974,2023-12-06
