question,correct_answers,question_type
A solution of hydrochloric acid has a concentration of 0.15 mol/L. What volume of solution (in mL) containes 0.0037 mol of hydrochloric acid?,25;2,numerical_tolerance
A solution of sodium sulfate has a concentration of 0.026 mol/L. What volume of solution (in mL) containes 0.0021 mol of sodium sulfate?,82.4;0.2,numerical_tolerance
A solution of ammonium nitrate has a concentration of 0.010 mol/L. What volume of solution (in mL) containes 5.6e-4 mol of ammonium nitrate?,55.8;0.2,numerical_tolerance
A solution of KBr has a concentration of 0.424 mol/L. How many moles of KBr are present in 30.7 mL of this solution?,0.0130;0.0002,numerical_tolerance
What is the concentration (in mol/L) of a solution prepared by dissolving 8.0e-4 mol of sulfuric acid in 50. mL of water?,0.016;0.002,numerical_tolerance
A solution of acetic acid has a concentration of 0.128 mol/L. How many moles of acetic acid are present in 83.4 mL of this solution?,0.0107;0.0002,numerical_tolerance
A solution of sodium hydroxide has a concentration of 0.070 mol/L. What volume of solution (in mL) containes 0.0030 mol of sodium hydroxide?,43.5;0.2,numerical_tolerance
What is the concentration (in mol/L) of a solution prepared by dissolving 0.0078 mol of KBr in 35.4 mL of water?,0.22;0.02,numerical_tolerance
A solution of ammonia has a concentration of 0.284 mol/L. What volume of solution (in mL) containes 0.014 mol of ammonia?,49;2,numerical_tolerance
A solution of sodium bicarbonate has a concentration of 0.660 mol/L. What volume of solution (in mL) containes 0.038 mol of sodium bicarbonate?,58;2,numerical_tolerance
A solution of sodium bicarbonate has a concentration of 0.384 mol/L. How many moles of sodium bicarbonate are present in 31.1 mL of this solution?,0.0119;0.0002,numerical_tolerance
What is the concentration (in mol/L) of a solution prepared by dissolving 3.6e-4 mol of ethanol in 15.5 mL of water?,0.023;0.002,numerical_tolerance
What is the concentration (in mol/L) of a solution prepared by dissolving 7.89e-4 mol of acetic acid in 16.9 mL of water?,0.0467;0.0002,numerical_tolerance
A solution of potassium nitrate has a concentration of 0.158 mol/L. How many moles of potassium nitrate are present in 50. mL of this solution?,0.0079;0.0002,numerical_tolerance
A solution of NaCl has a concentration of 0.965 mol/L. What volume of solution (in mL) containes 0.024 mol of NaCl?,25;2,numerical_tolerance
A solution of hydrochloric acid has a concentration of 0.16 mol/L. What volume of solution (in mL) containes 0.0023 mol of hydrochloric acid?,14.2;0.2,numerical_tolerance
A solution of potassium nitrate has a concentration of 0.122 mol/L. What volume of solution (in mL) containes 0.00547 mol of potassium nitrate?,44.8;0.2,numerical_tolerance
What is the concentration (in mol/L) of a solution prepared by dissolving 0.00849 mol of NaCl in 29.9 mL of water?,0.284;0.002,numerical_tolerance
