question,correct_answers,question_type
What is the mass (in g) of 49.0 mL of a solution whose density is 1.23 g/mL?,60.3;0.2,numerical_tolerance
Calculate the density of a solution (in g/cm<sup>3</sup>) if 37.6 cm<sup>3</sup> of solution has a mass of 37.8 g.,1.004;0.002,numerical_tolerance
Find the volume of solution in a beaker (in mL) given the following information. The solution weight 52 g and has a density of 0.963 g/mL.,54;2,numerical_tolerance
A solution has a density of 1.21 g/cm<sup>3</sup>. How much does 66.3 cm<sup>3</sup> of solution weight (in g)?,80.2;0.2,numerical_tolerance
Calculate the density of a solution (in g/cm<sup>3</sup>) if 85.5 cm<sup>3</sup> of solution has a mass of 74.6 g.,0.872;0.002,numerical_tolerance
What is the mass (in g) of 49.7 mL of a solution whose density is 0.948 g/mL?,47.1;0.2,numerical_tolerance
Find the volume of solution in a beaker (in mL) given the following information. The solution weight 14 g and has a density of 1.258 g/mL.,11;2,numerical_tolerance
What is the mass (in g) of 55.5 mL of a solution whose density is 0.8272 g/mL?,45.9;0.2,numerical_tolerance
What is the mass (in g) of 80.9 mL of a solution whose density is 0.995 g/mL?,80.5;0.2,numerical_tolerance
What is the mass (in g) of 31.9 mL of a solution whose density is 1.07 g/mL?,34.1;0.2,numerical_tolerance
What is the mass (in g) of 46.4 mL of a solution whose density is 1.24 g/mL?,57.5;0.2,numerical_tolerance
What is the mass (in g) of 37.5 mL of a solution whose density is 1.142 g/mL?,42.8;0.2,numerical_tolerance
What is the mass (in g) of 5.5 mL of a solution whose density is 1.254 g/mL?,6.9;0.2,numerical_tolerance
A solution has a density of 0.9402 g/mL. Calculate the volume of solution (in mL) needed to give a mass of 16.5 g.,17.5;0.2,numerical_tolerance
Calculate the density of a solution (in g/mL) if 42 g of solution has a volume of 33 mL,1.27;0.02,numerical_tolerance
A solution has a density of 1.20 g/cm<sup>3</sup>. How much does 1.86 cm<sup>3</sup> of solution weight (in g)?,2.23;0.02,numerical_tolerance
Calculate the density of a solution (in g/mL) if 1.0e2 g of solution has a volume of 92 mL,1.126;0.002,numerical_tolerance
What is the mass (in g) of 4.11 mL of a solution whose density is 1.25 g/mL?,5.14;0.02,numerical_tolerance
What is the mass (in g) of 46.5 mL of a solution whose density is 1.293 g/mL?,60.1;0.2,numerical_tolerance
What is the mass (in g) of 42.4 mL of a solution whose density is 1.05 g/mL?,44.5;0.2,numerical_tolerance
A solution has a density of 1.149 g/cm<sup>3</sup>. How much does 82 cm<sup>3</sup> of solution weight (in g)?,94;2,numerical_tolerance
Calculate the density of a solution (in g/mL) if 47.1 g of solution has a volume of 37.7 mL,1.25;0.02,numerical_tolerance
A solution has a density of 1.34 g/cm<sup>3</sup>. How much does 85 cm<sup>3</sup> of solution weight (in g)?,110;20,numerical_tolerance
Find the volume of solution in a beaker (in mL) given the following information. The solution weight 20.5 g and has a density of 0.9494 g/mL.,21.6;0.2,numerical_tolerance
What is the mass (in g) of 46 mL of a solution whose density is 1.318 g/mL?,61;2,numerical_tolerance
A solution has a density of 1.072 g/cm<sup>3</sup>. How much does 56 cm<sup>3</sup> of solution weight (in g)?,60.;2,numerical_tolerance
Calculate the density of a solution (in g/mL) if 41.3 g of solution has a volume of 42.4 mL,0.9748;0.0002,numerical_tolerance
