question,correct_answers,question_type
A sample containes 143 moles of a compound. How many atoms are present in the sample?,8.62e25;200000000000000000000000,numerical_tolerance
How many moles are in 4.33x10<sup>22</sup> atoms of Sulfur?,0.0719;0.0002,numerical_tolerance
A sample containes 14 moles of a compound. How many atoms are present in the sample?,8.4e24;200000000000000000000000,numerical_tolerance
A sample containes 0.4633 moles of a compound. How many atoms are present in the sample?,2.790e23;200000000000000000000,numerical_tolerance
A sample of Europium has 4.063x10<sup>21</sup> atoms. How many moles of Europium are in the sample?,0.006747;2e-06,numerical_tolerance
A sample of Argon has 3.26x10<sup>22</sup> atoms. How many moles of Argon are in the sample?,0.0541;0.0002,numerical_tolerance
A sample containes 0.1376 moles of a compound. How many atoms are present in the sample?,8.284e22;20000000000000000000,numerical_tolerance
How many atoms are in 3.628 moles of Phosphorus?,2.185e24;2000000000000000000000,numerical_tolerance
A sample containes 112 moles of a compound. How many atoms are present in the sample?,6.74e25;200000000000000000000000,numerical_tolerance
A sample containes 0.01923 moles of a compound. How many atoms are present in the sample?,1.158e22;20000000000000000000,numerical_tolerance
A sample containes 1.1 moles of a compound. How many atoms are present in the sample?,6.5e23;20000000000000000000000,numerical_tolerance
How many atoms are in 32 moles of Manganese?,1.9e25;2000000000000000000000000,numerical_tolerance
A sample of Carbon has 4.8x10<sup>20</sup> atoms. How many moles of Carbon are in the sample?,8.0e-4;2e-05,numerical_tolerance
How many atoms are in 0.096 moles of Promethium?,5.8e22;2000000000000000000000,numerical_tolerance
How many moles are in 2.487x10<sup>22</sup> atoms of Silicon?,0.04130;2e-05,numerical_tolerance
A sample of Sodium has 1.4x10<sup>21</sup> atoms. How many moles of Sodium are in the sample?,0.0023;0.0002,numerical_tolerance
A sample of Helium has 5.654x10<sup>20</sup> atoms. How many moles of Helium are in the sample?,9.389e-4;2e-07,numerical_tolerance
How many moles are in 7.85x10<sup>25</sup> atoms of Copper?,130.;2,numerical_tolerance
A sample of Aluminum has 2.1x10<sup>25</sup> atoms. How many moles of Aluminum are in the sample?,35;2,numerical_tolerance
How many atoms are in 0.2660 moles of Iron?,1.602e23;200000000000000000000,numerical_tolerance
How many moles are in 1.714x10<sup>21</sup> atoms of Titanium?,0.002846;2e-06,numerical_tolerance
How many moles are in 6.462x10<sup>24</sup> atoms of Lithium?,10.73;0.02,numerical_tolerance
How many moles are in 1.09x10<sup>20</sup> atoms of Iron?,1.81e-4;2e-06,numerical_tolerance
A sample of Aluminum has 1.9x10<sup>23</sup> atoms. How many moles of Aluminum are in the sample?,0.32;0.02,numerical_tolerance
A sample containes 117.9 moles of a compound. How many atoms are present in the sample?,7.103e25;20000000000000000000000,numerical_tolerance
How many moles are in 2.40x10<sup>21</sup> atoms of Sulfur?,0.00399;2e-05,numerical_tolerance
How many moles are in 1.7x10<sup>22</sup> atoms of Vanadium?,0.028;0.002,numerical_tolerance
How many atoms are in 34.4 moles of Sulfur?,2.07e25;200000000000000000000000,numerical_tolerance
A sample containes 0.0023 moles of a compound. How many atoms are present in the sample?,1.4e21;200000000000000000000,numerical_tolerance
A sample containes 0.108 moles of a compound. How many atoms are present in the sample?,6.53e22;200000000000000000000,numerical_tolerance
A sample of Lithium has 1.0x10<sup>20</sup> atoms. How many moles of Lithium are in the sample?,1.7e-4;2e-05,numerical_tolerance
A sample containes 0.07765 moles of a compound. How many atoms are present in the sample?,4.676e22;20000000000000000000,numerical_tolerance
How many atoms are in 13.12 moles of Lithium?,7.904e24;2000000000000000000000,numerical_tolerance
A sample of Beryllium has 1.0x10<sup>24</sup> atoms. How many moles of Beryllium are in the sample?,1.7;0.2,numerical_tolerance
How many atoms are in 1.49 moles of Manganese?,8.96e23;2000000000000000000000,numerical_tolerance
How many atoms are in 5.511 moles of Neon?,3.319e24;2000000000000000000000,numerical_tolerance
How many atoms are in 1.8x10<sup>-4</sup> moles of Silicon?,1.1e20;20000000000000000000,numerical_tolerance
A sample containes 0.686 moles of a compound. How many atoms are present in the sample?,4.13e23;2000000000000000000000,numerical_tolerance
How many atoms are in 5.33x10<sup>-4</sup> moles of Manganese?,3.21e20;2000000000000000000,numerical_tolerance
How many moles are in 4.295x10<sup>23</sup> atoms of Silicon?,0.7132;0.0002,numerical_tolerance
A sample of Boron has 1.01x10<sup>22</sup> atoms. How many moles of Boron are in the sample?,0.0168;0.0002,numerical_tolerance
How many atoms are in 0.71 moles of Sodium?,4.3e23;20000000000000000000000,numerical_tolerance
How many atoms are in 1.690x10<sup>-4</sup> moles of Potassium?,1.018e20;200000000000000000,numerical_tolerance
How many moles are in 7.645x10<sup>25</sup> atoms of Boron?,126.9;0.2,numerical_tolerance
A sample of Iron has 1.5x10<sup>25</sup> atoms. How many moles of Iron are in the sample?,25;2,numerical_tolerance
How many moles are in 5.5x10<sup>20</sup> atoms of Gallium?,9.1e-4;2e-05,numerical_tolerance
A sample containes 160 moles of a compound. How many atoms are present in the sample?,9.9e25;2000000000000000000000000,numerical_tolerance
How many moles are in 1.38x10<sup>21</sup> atoms of Potassium?,0.00229;2e-05,numerical_tolerance
A sample containes 7.87 moles of a compound. How many atoms are present in the sample?,4.74e24;20000000000000000000000,numerical_tolerance
A sample of Titanium has 3.041x10<sup>21</sup> atoms. How many moles of Titanium are in the sample?,0.005050;2e-06,numerical_tolerance
How many atoms are in 107 moles of Boron?,6.44e25;200000000000000000000000,numerical_tolerance
How many moles are in 2.6x10<sup>25</sup> atoms of Magnesium?,43;2,numerical_tolerance
A sample containes 0.0058 moles of a compound. How many atoms are present in the sample?,3.5e21;200000000000000000000,numerical_tolerance
How many moles are in 4.16x10<sup>21</sup> atoms of Beryllium?,0.00691;2e-05,numerical_tolerance
A sample containes 3.67x10<sup>-4</sup> moles of a compound. How many atoms are present in the sample?,2.21e20;2000000000000000000,numerical_tolerance
How many atoms are in 1.1 moles of Cobalt?,6.7e23;20000000000000000000000,numerical_tolerance
A sample of Selenium has 9.92x10<sup>23</sup> atoms. How many moles of Selenium are in the sample?,1.65;0.02,numerical_tolerance
How many moles are in 2.5x10<sup>24</sup> atoms of Titanium?,4.2;0.2,numerical_tolerance
A sample containes 0.3766 moles of a compound. How many atoms are present in the sample?,2.268e23;200000000000000000000,numerical_tolerance
How many moles are in 2.466x10<sup>25</sup> atoms of Helium?,40.95;0.02,numerical_tolerance
A sample of Potassium has 1.7x10<sup>22</sup> atoms. How many moles of Potassium are in the sample?,0.028;0.002,numerical_tolerance
How many atoms are in 0.0017 moles of Sodium?,1.0e21;200000000000000000000,numerical_tolerance
How many atoms are in 16.62 moles of Aluminum?,1.001e25;20000000000000000000000,numerical_tolerance
A sample of Copper has 2.209x10<sup>23</sup> atoms. How many moles of Copper are in the sample?,0.3668;0.0002,numerical_tolerance
A sample of Calcium has 1.964x10<sup>21</sup> atoms. How many moles of Calcium are in the sample?,0.003261;2e-06,numerical_tolerance
A sample of Scandium has 5.683x10<sup>23</sup> atoms. How many moles of Scandium are in the sample?,0.9437;0.0002,numerical_tolerance
A sample of Manganese has 5.428x10<sup>22</sup> atoms. How many moles of Manganese are in the sample?,0.09013;2e-05,numerical_tolerance
How many moles are in 5.73x10<sup>25</sup> atoms of Vanadium?,95.1;0.2,numerical_tolerance
How many moles are in 2.3x10<sup>23</sup> atoms of Vanadium?,0.38;0.02,numerical_tolerance
A sample containes 1.775x10<sup>-4</sup> moles of a compound. How many atoms are present in the sample?,1.069e20;200000000000000000,numerical_tolerance
How many atoms are in 1.54 moles of Manganese?,9.26e23;2000000000000000000000,numerical_tolerance
A sample of Nickel has 6.80x10<sup>25</sup> atoms. How many moles of Nickel are in the sample?,113;2,numerical_tolerance
A sample containes 0.0073 moles of a compound. How many atoms are present in the sample?,4.4e21;200000000000000000000,numerical_tolerance
A sample of Berkelium has 2.5x10<sup>23</sup> atoms. How many moles of Berkelium are in the sample?,0.42;0.02,numerical_tolerance
A sample of Zinc has 1.02x10<sup>25</sup> atoms. How many moles of Zinc are in the sample?,16.9;0.2,numerical_tolerance
A sample containes 45.3 moles of a compound. How many atoms are present in the sample?,2.73e25;200000000000000000000000,numerical_tolerance
A sample containes 0.001755 moles of a compound. How many atoms are present in the sample?,1.057e21;2000000000000000000,numerical_tolerance
A sample containes 0.0018 moles of a compound. How many atoms are present in the sample?,1.1e21;200000000000000000000,numerical_tolerance
A sample containes 0.04312 moles of a compound. How many atoms are present in the sample?,2.597e22;20000000000000000000,numerical_tolerance
A sample of Carbon has 2.9x10<sup>21</sup> atoms. How many moles of Carbon are in the sample?,0.0048;0.0002,numerical_tolerance
How many moles are in 9.422x10<sup>21</sup> atoms of Magnesium?,0.01565;2e-05,numerical_tolerance
How many atoms are in 55 moles of Helium?,3.3e25;2000000000000000000000000,numerical_tolerance
A sample of Copernicium has 6.1x10<sup>24</sup> atoms. How many moles of Copernicium are in the sample?,10.;2,numerical_tolerance
A sample of Helium has 1.0x10<sup>20</sup> atoms. How many moles of Helium are in the sample?,1.7e-4;2e-05,numerical_tolerance
How many moles are in 4.4x10<sup>20</sup> atoms of Zinc?,7.3e-4;2e-05,numerical_tolerance
A sample containes 1.164 moles of a compound. How many atoms are present in the sample?,7.009e23;200000000000000000000,numerical_tolerance
How many atoms are in 0.440 moles of Sulfur?,2.65e23;2000000000000000000000,numerical_tolerance
A sample of Boron has 3.90x10<sup>21</sup> atoms. How many moles of Boron are in the sample?,0.00648;2e-05,numerical_tolerance
A sample of Zinc has 5.9x10<sup>24</sup> atoms. How many moles of Zinc are in the sample?,9.8;0.2,numerical_tolerance
How many moles are in 2.92x10<sup>21</sup> atoms of Vanadium?,0.00485;2e-05,numerical_tolerance
A sample of Silicon has 2.2x10<sup>20</sup> atoms. How many moles of Silicon are in the sample?,3.7e-4;2e-05,numerical_tolerance
A sample of Boron has 2.371x10<sup>20</sup> atoms. How many moles of Boron are in the sample?,3.937e-4;2e-07,numerical_tolerance
A sample of Copper has 1.875x10<sup>24</sup> atoms. How many moles of Copper are in the sample?,3.114;0.002,numerical_tolerance
A sample of Sulfur has 2.610x10<sup>25</sup> atoms. How many moles of Sulfur are in the sample?,43.34;0.02,numerical_tolerance
How many atoms are in 2.150 moles of Calcium?,1.295e24;2000000000000000000000,numerical_tolerance
A sample containes 1.020 moles of a compound. How many atoms are present in the sample?,6.144e23;200000000000000000000,numerical_tolerance
A sample of Sulfur has 1.420x10<sup>20</sup> atoms. How many moles of Sulfur are in the sample?,2.358e-4;2e-07,numerical_tolerance
How many atoms are in 0.7419 moles of Copper?,4.468e23;200000000000000000000,numerical_tolerance
How many atoms are in 12.46 moles of Calcium?,7.504e24;2000000000000000000000,numerical_tolerance
How many moles are in 3.781x10<sup>24</sup> atoms of Cadmium?,6.278;0.002,numerical_tolerance
A sample containes 0.0237 moles of a compound. How many atoms are present in the sample?,1.43e22;200000000000000000000,numerical_tolerance
How many moles are in 7.9x10<sup>20</sup> atoms of Potassium?,0.0013;0.0002,numerical_tolerance
How many moles are in 4.5x10<sup>22</sup> atoms of Manganese?,0.075;0.002,numerical_tolerance
A sample containes 7.042 moles of a compound. How many atoms are present in the sample?,4.241e24;2000000000000000000000,numerical_tolerance
A sample of Copper has 1.4x10<sup>25</sup> atoms. How many moles of Copper are in the sample?,23;2,numerical_tolerance
How many moles are in 8.39x10<sup>23</sup> atoms of Titanium?,1.39;0.02,numerical_tolerance
How many atoms are in 1.979x10<sup>-4</sup> moles of Scandium?,1.192e20;200000000000000000,numerical_tolerance
How many atoms are in 0.0017 moles of Manganese?,1.0e21;200000000000000000000,numerical_tolerance
A sample containes 0.00663 moles of a compound. How many atoms are present in the sample?,3.99e21;20000000000000000000,numerical_tolerance
How many moles are in 3.808x10<sup>20</sup> atoms of Boron?,6.323e-4;2e-07,numerical_tolerance
How many atoms are in 4.72 moles of Argon?,2.84e24;20000000000000000000000,numerical_tolerance
A sample of Zinc has 6.1x10<sup>24</sup> atoms. How many moles of Zinc are in the sample?,10.;2,numerical_tolerance
A sample containes 0.053 moles of a compound. How many atoms are present in the sample?,3.2e22;2000000000000000000000,numerical_tolerance
How many moles are in 6.679x10<sup>21</sup> atoms of Potassium?,0.01109;2e-05,numerical_tolerance
A sample containes 0.022 moles of a compound. How many atoms are present in the sample?,1.3e22;2000000000000000000000,numerical_tolerance
A sample of Neon has 6.019x10<sup>22</sup> atoms. How many moles of Neon are in the sample?,0.09995;2e-05,numerical_tolerance
How many atoms are in 1.8 moles of Nickel?,1.1e24;200000000000000000000000,numerical_tolerance
How many moles are in 3.2x10<sup>25</sup> atoms of Calcium?,53;2,numerical_tolerance
How many atoms are in 74.1 moles of Phosphorus?,4.46e25;200000000000000000000000,numerical_tolerance
How many atoms are in 3.592x10<sup>-4</sup> moles of Titanium?,2.163e20;200000000000000000,numerical_tolerance
How many atoms are in 0.05159 moles of Cobalt?,3.107e22;20000000000000000000,numerical_tolerance
How many moles are in 4.51x10<sup>25</sup> atoms of Silicon?,74.9;0.2,numerical_tolerance
How many moles are in 3.15x10<sup>20</sup> atoms of Manganese?,5.23e-4;2e-06,numerical_tolerance
A sample containes 0.00103 moles of a compound. How many atoms are present in the sample?,6.21e20;2000000000000000000,numerical_tolerance
How many atoms are in 0.035 moles of Nickel?,2.1e22;2000000000000000000000,numerical_tolerance
How many moles are in 2.11x10<sup>21</sup> atoms of Calcium?,0.00350;2e-05,numerical_tolerance
How many moles are in 6.7x10<sup>25</sup> atoms of Vanadium?,110;20,numerical_tolerance
A sample of Boron has 2.14x10<sup>22</sup> atoms. How many moles of Boron are in the sample?,0.0355;0.0002,numerical_tolerance
A sample containes 3.7x10<sup>-4</sup> moles of a compound. How many atoms are present in the sample?,2.2e20;20000000000000000000,numerical_tolerance
A sample of Cobalt has 7.0x10<sup>23</sup> atoms. How many moles of Cobalt are in the sample?,1.2;0.2,numerical_tolerance
How many atoms are in 0.01157 moles of Vanadium?,6.965e21;2000000000000000000,numerical_tolerance
How many atoms are in 0.00249 moles of Carbon?,1.50e21;20000000000000000000,numerical_tolerance
How many moles are in 2.36x10<sup>22</sup> atoms of Copper?,0.0392;0.0002,numerical_tolerance
A sample containes 101 moles of a compound. How many atoms are present in the sample?,6.09e25;200000000000000000000000,numerical_tolerance
A sample containes 15 moles of a compound. How many atoms are present in the sample?,8.8e24;200000000000000000000000,numerical_tolerance
A sample containes 2.09x10<sup>-4</sup> moles of a compound. How many atoms are present in the sample?,1.26e20;2000000000000000000,numerical_tolerance
A sample of Chromium has 1.596x10<sup>25</sup> atoms. How many moles of Chromium are in the sample?,26.50;0.02,numerical_tolerance
A sample of Zinc has 1.662x10<sup>25</sup> atoms. How many moles of Zinc are in the sample?,27.60;0.02,numerical_tolerance
How many moles are in 1.5x10<sup>21</sup> atoms of Lithium?,0.0025;0.0002,numerical_tolerance
A sample of Zinc has 1.5x10<sup>25</sup> atoms. How many moles of Zinc are in the sample?,25;2,numerical_tolerance
How many moles are in 6.2x10<sup>24</sup> atoms of Boron?,10.;2,numerical_tolerance
How many moles are in 6.09x10<sup>21</sup> atoms of Carbon?,0.0101;0.0002,numerical_tolerance
How many atoms are in 7.275 moles of Neon?,4.381e24;2000000000000000000000,numerical_tolerance
A sample of Titanium has 1.654x10<sup>25</sup> atoms. How many moles of Titanium are in the sample?,27.47;0.02,numerical_tolerance
A sample of Chromium has 3.075x10<sup>25</sup> atoms. How many moles of Chromium are in the sample?,51.06;0.02,numerical_tolerance
A sample of Chromium has 1.584x10<sup>21</sup> atoms. How many moles of Chromium are in the sample?,0.002630;2e-06,numerical_tolerance
How many atoms are in 0.58 moles of Carbon?,3.5e23;20000000000000000000000,numerical_tolerance
How many atoms are in 0.06582 moles of Scandium?,3.964e22;20000000000000000000,numerical_tolerance
How many atoms are in 34.07 moles of Titanium?,2.052e25;20000000000000000000000,numerical_tolerance
A sample containes 0.00107 moles of a compound. How many atoms are present in the sample?,6.45e20;2000000000000000000,numerical_tolerance
How many atoms are in 0.10 moles of Manganese?,6.3e22;2000000000000000000000,numerical_tolerance
How many moles are in 1.8x10<sup>24</sup> atoms of Beryllium?,3.0;0.2,numerical_tolerance
A sample containes 0.746 moles of a compound. How many atoms are present in the sample?,4.49e23;2000000000000000000000,numerical_tolerance
A sample containes 9.17 moles of a compound. How many atoms are present in the sample?,5.52e24;20000000000000000000000,numerical_tolerance
How many moles are in 1.41x10<sup>24</sup> atoms of Scandium?,2.34;0.02,numerical_tolerance
A sample of Manganese has 5.33x10<sup>21</sup> atoms. How many moles of Manganese are in the sample?,0.00885;2e-05,numerical_tolerance
How many moles are in 7.69x10<sup>25</sup> atoms of Manganese?,128;2,numerical_tolerance
A sample containes 0.0135 moles of a compound. How many atoms are present in the sample?,8.15e21;20000000000000000000,numerical_tolerance
How many atoms are in 36.2 moles of Silicon?,2.18e25;200000000000000000000000,numerical_tolerance
How many moles are in 1.472x10<sup>22</sup> atoms of Potassium?,0.02444;2e-05,numerical_tolerance
How many moles are in 3.967x10<sup>21</sup> atoms of Manganese?,0.006587;2e-06,numerical_tolerance
A sample containes 1.3 moles of a compound. How many atoms are present in the sample?,7.8e23;20000000000000000000000,numerical_tolerance
How many atoms are in 0.013 moles of Aluminum?,7.6e21;200000000000000000000,numerical_tolerance
A sample of Argon has 3.79x10<sup>24</sup> atoms. How many moles of Argon are in the sample?,6.29;0.02,numerical_tolerance
How many atoms are in 11.0 moles of Manganese?,6.63e24;20000000000000000000000,numerical_tolerance
A sample of Lithium has 1.88x10<sup>25</sup> atoms. How many moles of Lithium are in the sample?,31.2;0.2,numerical_tolerance
A sample containes 160 moles of a compound. How many atoms are present in the sample?,9.6e25;2000000000000000000000000,numerical_tolerance
How many atoms are in 0.01597 moles of Scandium?,9.620e21;2000000000000000000,numerical_tolerance
A sample containes 22.33 moles of a compound. How many atoms are present in the sample?,1.345e25;20000000000000000000000,numerical_tolerance
How many atoms are in 4.23 moles of Zinc?,2.55e24;20000000000000000000000,numerical_tolerance
A sample containes 0.04726 moles of a compound. How many atoms are present in the sample?,2.846e22;20000000000000000000,numerical_tolerance
A sample containes 0.004762 moles of a compound. How many atoms are present in the sample?,2.868e21;2000000000000000000,numerical_tolerance
A sample of Argon has 3.47x10<sup>23</sup> atoms. How many moles of Argon are in the sample?,0.576;0.002,numerical_tolerance
A sample of Vanadium has 2.970x10<sup>23</sup> atoms. How many moles of Vanadium are in the sample?,0.4932;0.0002,numerical_tolerance
A sample containes 10.38 moles of a compound. How many atoms are present in the sample?,6.253e24;2000000000000000000000,numerical_tolerance
How many moles are in 1.180x10<sup>22</sup> atoms of Potassium?,0.01959;2e-05,numerical_tolerance
A sample of Terbium has 2.33x10<sup>25</sup> atoms. How many moles of Terbium are in the sample?,38.7;0.2,numerical_tolerance
A sample of Titanium has 1.1x10<sup>22</sup> atoms. How many moles of Titanium are in the sample?,0.018;0.002,numerical_tolerance
A sample of Neon has 1.7x10<sup>21</sup> atoms. How many moles of Neon are in the sample?,0.0028;0.0002,numerical_tolerance
A sample of Lithium has 6.645x10<sup>22</sup> atoms. How many moles of Lithium are in the sample?,0.1103;0.0002,numerical_tolerance
A sample containes 0.00352 moles of a compound. How many atoms are present in the sample?,2.12e21;20000000000000000000,numerical_tolerance
A sample of Boron has 2.249x10<sup>23</sup> atoms. How many moles of Boron are in the sample?,0.3735;0.0002,numerical_tolerance
How many moles are in 4.814x10<sup>22</sup> atoms of Phosphorus?,0.07994;2e-05,numerical_tolerance
A sample containes 3.3x10<sup>-4</sup> moles of a compound. How many atoms are present in the sample?,2.0e20;20000000000000000000,numerical_tolerance
How many atoms are in 2.7x10<sup>-4</sup> moles of Magnesium?,1.6e20;20000000000000000000,numerical_tolerance
