question,correct_answers,question_type
How many protons are in a H<sup>0</sup> atom?,1,short_answer
A Copper atom has a charge of -3. How many electrons are in the atom?,32,short_answer
A Nitrogen atom has a charge of -2. How many electrons are in the atom?,9,short_answer
How many electrons are in a V<sup>1-</sup> atom?,24,short_answer
A Titanium atom has a charge of +1. How many electrons are in the atom?,21,short_answer
An atom of Nickel has 27 electrons. What is its charge?,+1;+ 1;1+;1 +;1,short_answer
How many electrons are in a Mg<sup>2-</sup> atom?,14,short_answer
What is the charge of a Vanadium atom with 21 electrons?,+2;+ 2;2+;2 +;2,short_answer
How many protons are in an O<sup>2+</sup> atom?,8,short_answer
What is the charge of a Magnesium atom with 14 electrons?,-2;- 2;2-;2 -,short_answer
How many electrons are in a K<sup>1+</sup> atom?,18,short_answer
An atom of Aluminum has 10 electrons. What is its charge?,+3;+ 3;3+;3 +;3,short_answer
How many electrons are in a Na<sup>2+</sup> atom?,9,short_answer
A Cobalt atom has a charge of 0. How many electrons are in the atom?,27,short_answer
What is the charge of a Cobalt atom with 30 electrons?,-3;- 3;3-;3 -,short_answer
How many electrons are in a Cl<sup>1-</sup> atom?,18,short_answer
A Titanium atom has a charge of +1. How many electrons are in the atom?,21,short_answer
How many electrons are in a H<sup>3-</sup> atom?,4,short_answer
A Vanadium atom has a charge of 0. How many electrons are in the atom?,23,short_answer
How many electrons are in a Mn<sup>3+</sup> atom?,22,short_answer
What is the charge of a Beryllium atom with 6 electrons?,-2;- 2;2-;2 -,short_answer
How many electrons are in a Be<sup>1+</sup> atom?,3,short_answer
How many electrons are in an Fe<sup>3-</sup> atom?,29,short_answer
How many electrons are in a V<sup>2-</sup> atom?,25,short_answer
A Calcium atom has a charge of +2. How many electrons are in the atom?,18,short_answer
A Neon atom has a charge of -1. How many electrons are in the atom?,11,short_answer
A Cobalt atom has a charge of -2. How many electrons are in the atom?,29,short_answer
A Calcium atom has a charge of -1. How many electrons are in the atom?,21,short_answer
How many protons are in a F<sup>0</sup> atom?,9,short_answer
How many protons are in an Ar<sup>1-</sup> atom?,18,short_answer
How many electrons does a Scandium atom have if its charge is -1?,22,short_answer
