question,correct_answers,question_type
Round the following number to the hundredths place: 81532.70954,81532.71,short_answer
Round the following number to the tens place: 86905.04883,86910,short_answer
Round the following number to the thousandths place: 72712.45635,72712.456,short_answer
Round the following number to the thousandths place: 51541.95711,51541.957,short_answer
Round the following number to the tenths place: 50029.95419,50030.0,short_answer
Round the following number to the tens place: 91777.65950,91780,short_answer
Round the following number to the hundreds place: 15760.26348,15800,short_answer
Round the following number to the tenths place: 93394.54399,93394.5,short_answer
Round the following number to the ones place: 16418.46101,16418,short_answer
Round the following number to the thousands place: 90745.01304,91000,short_answer
Round the following number to the hundreds place: 10904.89094,10900,short_answer
Round the following number to the ten thousands place: 62285.86604,60000,short_answer
Round the following number to the tenths place: 91916.05366,91916.1,short_answer
Round the following number to the tens place: 17781.98703,17780,short_answer
Round the following number to the hundreds place: 38860.41719,38900,short_answer
Round the following number to the hundredths place: 62515.12227,62515.12,short_answer
Round the following number to the ten thousands place: 84596.75309,80000,short_answer
Round the following number to the hundredths place: 79024.99321,79024.99,short_answer
Round the following number to the tens place: 39018.78126,39020,short_answer
Round the following number to the tens place: 28910.42621,28910,short_answer
Round the following number to the hundredths place: 70236.15857,70236.16,short_answer
Round the following number to the thousands place: 77409.17937,77000,short_answer
Round the following number to the hundreds place: 29833.52333,29800,short_answer
Round the following number to the ten thousands place: 58817.60722,60000,short_answer
Round the following number to the tens place: 34021.72124,34020,short_answer
Round the following number to the tenths place: 73683.30291,73683.3,short_answer
Round the following number to the ten thousands place: 71956.59605,70000,short_answer
Round the following number to the thousandths place: 18142.14991,18142.150,short_answer
Round the following number to the tens place: 34442.09327,34440,short_answer
Round the following number to the hundredths place: 83984.39086,83984.39,short_answer
Round the following number to the hundredths place: 31161.75105,31161.75,short_answer
Round the following number to the ten thousands place: 77652.75156,80000,short_answer
Round the following number to the tenths place: 68520.40368,68520.4,short_answer
Round the following number to the tenths place: 86552.73861,86552.7,short_answer
Round the following number to the tens place: 79905.33242,79910,short_answer
Round the following number to the thousands place: 71859.94353,72000,short_answer
Round the following number to the hundredths place: 47970.52737,47970.53,short_answer
Round the following number to the hundredths place: 55556.09907,55556.10,short_answer
Round the following number to the ones place: 60523.00617,60523,short_answer
Round the following number to the tens place: 62743.69387,62740,short_answer
Round the following number to the hundreds place: 67315.72580,67300,short_answer
Round the following number to the tens place: 67472.38689,67470,short_answer
Round the following number to the hundredths place: 38672.95702,38672.96,short_answer
Round the following number to the thousandths place: 66318.91305,66318.913,short_answer
Round the following number to the hundredths place: 57863.10151,57863.10,short_answer
Round the following number to the ones place: 63731.19407,63731,short_answer
Round the following number to the thousands place: 63456.89832,63000,short_answer
Round the following number to the thousands place: 52524.26824,53000,short_answer
Round the following number to the hundredths place: 46819.71244,46819.71,short_answer
Round the following number to the tenths place: 33523.13261,33523.1,short_answer
Round the following number to the tenths place: 64832.28109,64832.3,short_answer
Round the following number to the ones place: 94209.19972,94209,short_answer
Round the following number to the tenths place: 79403.65803,79403.7,short_answer
Round the following number to the thousands place: 12481.52230,12000,short_answer
Round the following number to the thousandths place: 56800.32166,56800.322,short_answer
Round the following number to the thousands place: 85431.03837,85000,short_answer
Round the following number to the tens place: 55126.96633,55130,short_answer
Round the following number to the tens place: 91637.60661,91640,short_answer
Round the following number to the thousands place: 17177.96713,17000,short_answer
Round the following number to the thousandths place: 92182.52584,92182.526,short_answer
Round the following number to the thousands place: 75651.74591,76000,short_answer
Round the following number to the hundreds place: 41919.15386,41900,short_answer
Round the following number to the hundreds place: 82427.40290,82400,short_answer
Round the following number to the hundreds place: 71561.12327,71600,short_answer
Round the following number to the hundredths place: 77182.90961,77182.91,short_answer
Round the following number to the thousandths place: 61946.51240,61946.512,short_answer
Round the following number to the tenths place: 31332.01377,31332.0,short_answer
Round the following number to the thousandths place: 50054.91341,50054.913,short_answer
Round the following number to the ten thousands place: 92505.68226,90000,short_answer
Round the following number to the ones place: 33388.88673,33389,short_answer
Round the following number to the hundredths place: 61837.36523,61837.37,short_answer
Round the following number to the tens place: 65725.38406,65730,short_answer
Round the following number to the ten thousands place: 92062.99585,90000,short_answer
Round the following number to the ten thousands place: 14607.36298,10000,short_answer
Round the following number to the thousandths place: 83087.37963,83087.380,short_answer
Round the following number to the thousands place: 83606.76424,84000,short_answer
Round the following number to the tens place: 85713.20749,85710,short_answer
Round the following number to the hundredths place: 91285.66461,91285.66,short_answer
Round the following number to the tens place: 85165.67759,85170,short_answer
Round the following number to the ones place: 13225.77409,13226,short_answer
Round the following number to the thousandths place: 59002.65356,59002.654,short_answer
Round the following number to the hundredths place: 42934.96058,42934.96,short_answer
Round the following number to the hundredths place: 20790.22896,20790.23,short_answer
Round the following number to the hundredths place: 13978.43357,13978.43,short_answer
Round the following number to the ones place: 82181.45234,82181,short_answer
Round the following number to the tenths place: 55356.50275,55356.5,short_answer
Round the following number to the tenths place: 68738.40212,68738.4,short_answer
Round the following number to the hundredths place: 65816.00544,65816.01,short_answer
Round the following number to the ones place: 69815.42061,69815,short_answer
Round the following number to the ones place: 65147.64381,65148,short_answer
Round the following number to the tens place: 74330.23408,74330,short_answer
Round the following number to the thousandths place: 65229.49622,65229.496,short_answer
Round the following number to the ten thousands place: 73844.76572,70000,short_answer
Round the following number to the tenths place: 86427.22501,86427.2,short_answer
Round the following number to the tenths place: 46986.44014,46986.4,short_answer
Round the following number to the ones place: 17665.70954,17666,short_answer
Round the following number to the hundredths place: 39545.56148,39545.56,short_answer
Round the following number to the thousandths place: 76436.36771,76436.368,short_answer
Round the following number to the thousands place: 43962.10455,44000,short_answer
Round the following number to the ten thousands place: 18791.41996,20000,short_answer
Round the following number to the tenths place: 12092.73670,12092.7,short_answer
Round the following number to the ones place: 31324.57176,31325,short_answer
Round the following number to the hundreds place: 50483.33504,50500,short_answer
Round the following number to the tens place: 53830.43786,53830,short_answer
Round the following number to the hundreds place: 39664.18117,39700,short_answer
Round the following number to the thousands place: 44591.06872,45000,short_answer
Round the following number to the ones place: 47276.23879,47276,short_answer
Round the following number to the hundreds place: 55710.57425,55700,short_answer
Round the following number to the tens place: 77970.32326,77970,short_answer
Round the following number to the hundredths place: 59928.38205,59928.38,short_answer
Round the following number to the thousandths place: 85583.86844,85583.868,short_answer
Round the following number to the thousands place: 11552.53583,12000,short_answer
Round the following number to the ones place: 63385.45972,63385,short_answer
Round the following number to the ones place: 87661.42519,87661,short_answer
Round the following number to the hundreds place: 23271.30542,23300,short_answer
Round the following number to the thousandths place: 85945.87413,85945.874,short_answer
Round the following number to the tenths place: 19879.77531,19879.8,short_answer
Round the following number to the hundredths place: 12400.96270,12400.96,short_answer
Round the following number to the hundreds place: 53285.44511,53300,short_answer
Round the following number to the tenths place: 78031.10860,78031.1,short_answer
Round the following number to the thousandths place: 74245.47646,74245.476,short_answer
Round the following number to the hundredths place: 43796.97211,43796.97,short_answer
Round the following number to the thousands place: 10501.46823,11000,short_answer
Round the following number to the tenths place: 48048.32137,48048.3,short_answer
Round the following number to the ten thousands place: 72138.20654,70000,short_answer
Round the following number to the thousandths place: 73289.13761,73289.138,short_answer
Round the following number to the thousandths place: 74295.85688,74295.857,short_answer
Round the following number to the ten thousands place: 17087.98035,20000,short_answer
Round the following number to the hundreds place: 77911.91000,77900,short_answer
Round the following number to the thousandths place: 84794.33464,84794.335,short_answer
Round the following number to the hundredths place: 94229.97921,94229.98,short_answer
Round the following number to the hundreds place: 44369.28437,44400,short_answer
Round the following number to the thousandths place: 36718.01007,36718.010,short_answer
Round the following number to the hundreds place: 85234.49217,85200,short_answer
Round the following number to the thousandths place: 81032.33967,81032.340,short_answer
Round the following number to the thousands place: 32240.90415,32000,short_answer
Round the following number to the thousandths place: 16247.76570,16247.766,short_answer
Round the following number to the thousandths place: 90507.52010,90507.520,short_answer
Round the following number to the ten thousands place: 75534.47773,80000,short_answer
Round the following number to the hundredths place: 61493.51428,61493.51,short_answer
Round the following number to the tens place: 92213.28177,92210,short_answer
Round the following number to the tenths place: 78000.26492,78000.3,short_answer
Round the following number to the ones place: 52994.38308,52994,short_answer
Round the following number to the hundredths place: 11313.28107,11313.28,short_answer
Round the following number to the thousandths place: 79782.00074,79782.001,short_answer
Round the following number to the thousands place: 38992.55150,39000,short_answer
Round the following number to the tenths place: 76122.11258,76122.1,short_answer
Round the following number to the thousandths place: 45210.03595,45210.036,short_answer
Round the following number to the tenths place: 92564.31681,92564.3,short_answer
Round the following number to the tenths place: 91927.08339,91927.1,short_answer
Round the following number to the hundredths place: 66998.55073,66998.55,short_answer
Round the following number to the ten thousands place: 53515.73001,50000,short_answer
Round the following number to the thousandths place: 28987.49579,28987.496,short_answer
Round the following number to the thousandths place: 75866.74487,75866.745,short_answer
Round the following number to the ones place: 88678.14865,88678,short_answer
Round the following number to the thousands place: 36032.45286,36000,short_answer
Round the following number to the hundredths place: 31235.45170,31235.45,short_answer
Round the following number to the tens place: 47293.31471,47290,short_answer
Round the following number to the thousands place: 58321.68755,58000,short_answer
Round the following number to the hundreds place: 23458.09153,23500,short_answer
Round the following number to the ten thousands place: 72573.14994,70000,short_answer
Round the following number to the tenths place: 48804.69676,48804.7,short_answer
Round the following number to the thousands place: 94384.96732,94000,short_answer
Round the following number to the thousands place: 42609.04013,43000,short_answer
Round the following number to the hundredths place: 49701.71177,49701.71,short_answer
Round the following number to the tenths place: 94414.41844,94414.4,short_answer
Round the following number to the hundredths place: 16728.45150,16728.45,short_answer
Round the following number to the tenths place: 17416.06124,17416.1,short_answer
Round the following number to the tenths place: 15961.11356,15961.1,short_answer
Round the following number to the hundredths place: 11059.76588,11059.77,short_answer
Round the following number to the tens place: 11648.88779,11650,short_answer
Round the following number to the hundredths place: 43861.83813,43861.84,short_answer
Round the following number to the hundreds place: 45205.84417,45200,short_answer
Round the following number to the tenths place: 56547.22664,56547.2,short_answer
Round the following number to the tens place: 41970.69464,41970,short_answer
Round the following number to the hundredths place: 50751.40467,50751.40,short_answer
Round the following number to the hundredths place: 19710.08112,19710.08,short_answer
Round the following number to the thousandths place: 29631.83699,29631.837,short_answer
Round the following number to the thousandths place: 63325.71889,63325.719,short_answer
Round the following number to the ten thousands place: 39750.65132,40000,short_answer
Round the following number to the ones place: 70871.25105,70871,short_answer
Round the following number to the hundreds place: 21776.84460,21800,short_answer
Round the following number to the hundreds place: 50617.72960,50600,short_answer
Round the following number to the hundreds place: 82106.80312,82100,short_answer
Round the following number to the tens place: 85979.60532,85980,short_answer
Round the following number to the ten thousands place: 50678.87850,50000,short_answer
Round the following number to the thousandths place: 19191.32758,19191.328,short_answer
Round the following number to the tenths place: 39387.55272,39387.6,short_answer
Round the following number to the ten thousands place: 24729.93766,20000,short_answer
Round the following number to the hundreds place: 86297.47489,86300,short_answer
Round the following number to the thousandths place: 56557.52115,56557.521,short_answer
Round the following number to the ones place: 43191.90786,43192,short_answer
Round the following number to the thousandths place: 47079.48021,47079.480,short_answer
Round the following number to the tens place: 34756.89443,34760,short_answer
Round the following number to the tens place: 57369.48191,57370,short_answer
Round the following number to the hundredths place: 10117.97610,10117.98,short_answer
Round the following number to the ten thousands place: 87824.91609,90000,short_answer
Round the following number to the ones place: 82155.21296,82155,short_answer
Round the following number to the tenths place: 56429.34074,56429.3,short_answer
Round the following number to the hundredths place: 94137.79537,94137.80,short_answer
Round the following number to the hundredths place: 24809.07122,24809.07,short_answer
Round the following number to the tenths place: 84077.10522,84077.1,short_answer
Round the following number to the ones place: 20513.30722,20513,short_answer
Round the following number to the thousands place: 67407.69354,67000,short_answer
Round the following number to the hundreds place: 58420.30099,58400,short_answer
Round the following number to the ones place: 41545.76678,41546,short_answer
Round the following number to the tenths place: 78286.54107,78286.5,short_answer
Round the following number to the thousands place: 78487.79023,78000,short_answer
Round the following number to the ten thousands place: 52194.33166,50000,short_answer
Round the following number to the tens place: 25151.79174,25150,short_answer
Round the following number to the thousands place: 28198.42218,28000,short_answer
Round the following number to the ones place: 63690.94842,63691,short_answer
Round the following number to the tenths place: 56074.03706,56074.0,short_answer
Round the following number to the hundredths place: 77560.33328,77560.33,short_answer
Round the following number to the thousandths place: 22008.82450,22008.825,short_answer
Round the following number to the hundredths place: 25587.24459,25587.24,short_answer
