question,correct_answers,question_type
Convert 100 nJ to MJ,1e-13;1e-13;1E-13,short_answer
Convert 1 x 10<sup>-8</sup> kft to mft,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>-13</sup> Mlb to nlb,100;1e2;1E2,short_answer
Convert 0.01 GJ to nJ,1e16;1e16;1E16,short_answer
Convert 1 x 10<sup>13</sup> µmin to Gmin,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>8</sup> µft to kft,0.1;1e-1;1E-1;.1,short_answer
Convert 0.1 ccal to mcal,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>13</sup> cm to Gm,100;1e2;1E2,short_answer
Convert 100 nm to µm,0.1;1e-1;1E-1;.1,short_answer
Convert 1 kday to Mday,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>14</sup> µlb to Mlb,100;1e2;1E2,short_answer
Convert 10 mJ to MJ,1e-8;1e-8;1E-8,short_answer
Convert 1 x 10<sup>4</sup> coz to koz,0.1;1e-1;1E-1;.1,short_answer
Convert 1 cJ to GJ,1e-11;1e-11;1E-11,short_answer
Convert 1 x 10<sup>13</sup> mPa to GPa,10;1e1;1E1,short_answer
Convert 100 Mh to ch,1e10;1e10;1E10,short_answer
Convert 0.01 MJ to GJ,0.00001;1e-5;1E-5;.00001,short_answer
Convert 0.01 cbar to nbar,100000;1e5;1E5,short_answer
Convert 1 ns to µs,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-5</sup> mft to µft,0.01;1e-2;1E-2;.01,short_answer
Convert 1000 nL to µL,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>8</sup> cPa to MPa,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>-13</sup> MJ to nJ,100;1e2;1E2,short_answer
Convert 0.1 kg to Mg,0.0001;1e-4;1E-4;.0001,short_answer
Convert 1 x 10<sup>-4</sup> µg to ng,0.1;1e-1;1E-1;.1,short_answer
Convert 1 x 10<sup>5</sup> nft to mft,0.1;1e-1;1E-1;.1,short_answer
Convert 1 x 10<sup>14</sup> mlb to Glb,100;1e2;1E2,short_answer
Convert 0.1 coz to moz,1;1e0;1E0;1.,short_answer
Convert 1 µL to kL,1e-9;1e-9;1E-9,short_answer
Convert 0.1 nL to GL,1e-19;1e-19;1E-19,short_answer
Convert 1 x 10<sup>12</sup> µJ to MJ,1;1e0;1E0;1.,short_answer
Convert 1 µlb to Glb,1e-15;1e-15;1E-15,short_answer
Convert 100 nft to mft,0.0001;1e-4;1E-4;.0001,short_answer
Convert 1 ccal to kcal,0.00001;1e-5;1E-5;.00001,short_answer
Convert 0.001 mmin to µmin,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>-4</sup> Goz to koz,100;1e2;1E2,short_answer
Convert 10 µcal to Gcal,1e-14;1e-14;1E-14,short_answer
Convert 1 x 10<sup>8</sup> ngal to mgal,100;1e2;1E2,short_answer
Convert 0.01 kh to ch,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>7</sup> mPa to kPa,10;1e1;1E1,short_answer
Convert 100 mJ to cJ,10;1e1;1E1,short_answer
Convert 1 MPa to nPa,1e15;1e15;1E15,short_answer
