question,correct_answers,question_type
Enter the following number in scientific notation: 0.016 x 10<sup>-10</sup>,1.6e-12;1.6e-12,short_answer
Enter the following number in scientific notation: 3200 x 10<sup>3</sup>,3.2e6;3.2e6,short_answer
Enter the following number in scientific notation: 0.2243 x 10<sup>-6</sup>,2.243e-7;2.243e-7,short_answer
Enter the following number in scientific notation: 0.304 x 10<sup>9</sup>,3.04e8;3.04e8,short_answer
Enter the following number in scientific notation: 0.009181 x 10<sup>-9</sup>,9.181e-12;9.181e-12,short_answer
Enter the following number in scientific notation: 0.0003271 x 10<sup>3</sup>,3.271e-1,short_answer
Enter the following number in scientific notation: 57 x 10<sup>5</sup>,5.7e6;5.7e6,short_answer
Enter the following number in scientific notation: 0.2037 x 10<sup>-2</sup>,2.037e-3,short_answer
Enter the following number in scientific notation: 0.022 x 10<sup>-1</sup>,2.2e-3,short_answer
Enter the following number in scientific notation: 33.81 x 10<sup>6</sup>,3.381e7;3.381e7,short_answer
Enter the following number in scientific notation: 1741 x 10<sup>-3</sup>,1.741e0,short_answer
Enter the following number in scientific notation: 0.617 x 10<sup>3</sup>,6.17e2,short_answer
Enter the following number in scientific notation: 0.0003088 x 10<sup>-5</sup>,3.088e-9;3.088e-9,short_answer
Enter the following number in scientific notation: 1574 x 10<sup>-6</sup>,1.574e-3,short_answer
Enter the following number in scientific notation: 64.1 x 10<sup>-9</sup>,6.41e-8;6.41e-8,short_answer
Enter the following number in scientific notation: 250 x 10<sup>7</sup>,2.5e9;2.5e9,short_answer
Enter the following number in scientific notation: 114 x 10<sup>-5</sup>,1.14e-3,short_answer
Enter the following number in scientific notation: 626 x 10<sup>10</sup>,6.26e12;6.26e12,short_answer
Enter the following number in scientific notation: 0.000923 x 10<sup>-7</sup>,9.23e-11;9.23e-11,short_answer
Enter the following number in scientific notation: 28 x 10<sup>5</sup>,2.8e6;2.8e6,short_answer
Enter the following number in scientific notation: 3700 x 10<sup>5</sup>,3.7e8;3.7e8,short_answer
Enter the following number in scientific notation: 0.011 x 10<sup>-10</sup>,1.1e-12;1.1e-12,short_answer
Enter the following number in scientific notation: 0.5346 x 10<sup>7</sup>,5.346e6;5.346e6,short_answer
Enter the following number in scientific notation: 0.004414 x 10<sup>6</sup>,4.414e3,short_answer
Enter the following number in scientific notation: 1045 x 10<sup>-5</sup>,1.045e-2,short_answer
Enter the following number in scientific notation: 0.00024 x 10<sup>-1</sup>,2.4e-5,short_answer
Enter the following number in scientific notation: 45.12 x 10<sup>-6</sup>,4.512e-5,short_answer
Enter the following number in scientific notation: 14 x 10<sup>6</sup>,1.4e7;1.4e7,short_answer
Enter the following number in scientific notation: 9400 x 10<sup>8</sup>,9.4e11;9.4e11,short_answer
Enter the following number in scientific notation: 180 x 10<sup>-2</sup>,1.8e0,short_answer
Enter the following number in scientific notation: 0.005536 x 10<sup>1</sup>,5.536e-2,short_answer
Enter the following number in scientific notation: 0.00175 x 10<sup>-6</sup>,1.75e-9;1.75e-9,short_answer
Enter the following number in scientific notation: 0.14 x 10<sup>10</sup>,1.4e9;1.4e9,short_answer
Enter the following number in scientific notation: 0.07496 x 10<sup>5</sup>,7.496e3,short_answer
Enter the following number in scientific notation: 820 x 10<sup>-5</sup>,8.2e-3,short_answer
Enter the following number in scientific notation: 115.9 x 10<sup>-7</sup>,1.159e-5,short_answer
Enter the following number in scientific notation: 538 x 10<sup>6</sup>,5.38e8;5.38e8,short_answer
Enter the following number in scientific notation: 0.00864 x 10<sup>-8</sup>,8.64e-11;8.64e-11,short_answer
