question,correct_answers,question_type
Convert 315.90 mi to m. There are 1609.3 m in one mi.,5.0839e+05;2542,numerical_tolerance
Convert 0.124 gal to L. There are 3.7854 L in one gal.,0.46939;0.002347,numerical_tolerance
Convert 0.0631 bar to mmHg. There are 750.06 mmHg in one bar.,47.329;0.23665,numerical_tolerance
Convert 0.26023 hr to day. There are 24 hr in one day.,0.010843;5.4215e-05,numerical_tolerance
Convert 0.00641 lb to g. There are 453.59 g in one lb.,2.9075;0.014538,numerical_tolerance
Convert 4.523 L to gal. There are 3.7854 L in one gal.,1.1949;0.0059743,numerical_tolerance
Convert 0.08781 oz to g. There are 28.349 g in one oz.,2.4894;0.012447,numerical_tolerance
Convert 0.001307 mi to ft. There are 5280 ft in one mi.,6.9009;0.034505,numerical_tolerance
Convert 56.6 lb to g. There are 453.59 g in one lb.,25673;128.37,numerical_tolerance
Convert 0.0013853 day to hr. There are 24 hr in one day.,0.033247;0.00016624,numerical_tolerance
Convert 0.0107 mi to m. There are 1609.3 m in one mi.,17.22;0.0861,numerical_tolerance
Convert 0.0031063 m to ft. There are 3.2808 ft in one m.,0.010191;5.0956e-05,numerical_tolerance
Convert 11.206 mi to m. There are 1609.3 m in one mi.,18034;90.171,numerical_tolerance
Convert 0.638 J to cal. There are 4.184 J in one cal.,0.15249;0.00076243,numerical_tolerance
Convert 944.2 J to cal. There are 4.184 J in one cal.,225.67;1.1283,numerical_tolerance
Convert 805.6 oz to lb. There are 16 oz in one lb.,50.35;0.25175,numerical_tolerance
Convert 172.2 day to hr. There are 24 hr in one day.,4132.8;20.664,numerical_tolerance
Convert 0.005539 gal to L. There are 3.7854 L in one gal.,0.020967;0.00010484,numerical_tolerance
Convert 0.00438 cal to J. There are 4.184 J in one cal.,0.018326;9.163e-05,numerical_tolerance
Convert 0.25895 lb to oz. There are 16 oz in one lb.,4.1432;0.020716,numerical_tolerance
Convert 2.655 lb to g. There are 453.59 g in one lb.,1204.3;6.0214,numerical_tolerance
Convert 0.1688 day to min. There are 1440 min in one day.,243.07;1.2154,numerical_tolerance
Convert 22.778 mi to m. There are 1609.3 m in one mi.,36658;183.29,numerical_tolerance
Convert 0.1601 mi to m. There are 1609.3 m in one mi.,257.66;1.2883,numerical_tolerance
Convert 9.2333 min to hr. There are 60 min in one hr.,0.15389;0.00076944,numerical_tolerance
Convert 0.171 gal to L. There are 3.7854 L in one gal.,0.64731;0.0032365,numerical_tolerance
Convert 0.283 cal to J. There are 4.184 J in one cal.,1.1841;0.0059204,numerical_tolerance
Convert 79.75 lb to oz. There are 16 oz in one lb.,1276;6.38,numerical_tolerance
Convert 500. gal to L. There are 3.7854 L in one gal.,1892.7;9.4635,numerical_tolerance
Convert 1.25 gal to L. There are 3.7854 L in one gal.,4.7318;0.023659,numerical_tolerance
Convert 0.00758 hr to s. There are 3600 s in one hr.,27.288;0.13644,numerical_tolerance
Convert 0.454 cal to J. There are 4.184 J in one cal.,1.8995;0.0094977,numerical_tolerance
Convert 151.2 L to gal. There are 3.7854 L in one gal.,39.943;0.19971,numerical_tolerance
Convert 0.149 gal to L. There are 3.7854 L in one gal.,0.56403;0.0028201,numerical_tolerance
Convert 481.78 J to cal. There are 4.184 J in one cal.,115.15;0.57574,numerical_tolerance
Convert 54.654 cal to J. There are 4.184 J in one cal.,228.67;1.1434,numerical_tolerance
Convert 70.336 lb to oz. There are 16 oz in one lb.,1125.4;5.6269,numerical_tolerance
Convert 0.00125 lb to oz. There are 16 oz in one lb.,0.02;0.0001,numerical_tolerance
Convert 0.13199 bar to Pa. There are 1e5 Pa in one bar.,13199;65.995,numerical_tolerance
Convert 0.004320 mi to ft. There are 5280 ft in one mi.,22.81;0.11405,numerical_tolerance
Convert 0.7758 psi to mmHg. There are 51.715 mmHg in one psi.,40.121;0.2006,numerical_tolerance
