question,correct_answers,question_type
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{13298}{218}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B13298%7D%7B218%7D%3D?scale=1.5"" alt=""LaTeX: \frac{13298}{218}="" data-equation-content=""\frac{13298}{218}="" data-ignore-a11y-check=""""></mattext>",61,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3320}{40}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3320%7D%7B40%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3320}{40}="" data-equation-content=""\frac{3320}{40}="" data-ignore-a11y-check=""""></mattext>",83,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""466\times835=?"" src=""https://weber.instructure.com/equation_images/466%5Ctimes835%3D%3F?scale=1.5"" alt=""LaTeX: 466\times835=?"" data-equation-content=""466\times835=?"" data-ignore-a11y-check=""""></mattext>",389110,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""362\times351=?"" src=""https://weber.instructure.com/equation_images/362%5Ctimes351%3D%3F?scale=1.5"" alt=""LaTeX: 362\times351=?"" data-equation-content=""362\times351=?"" data-ignore-a11y-check=""""></mattext>",127062,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""175\times560=?"" src=""https://weber.instructure.com/equation_images/175%5Ctimes560%3D%3F?scale=1.5"" alt=""LaTeX: 175\times560=?"" data-equation-content=""175\times560=?"" data-ignore-a11y-check=""""></mattext>",98000,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""546\times448=?"" src=""https://weber.instructure.com/equation_images/546%5Ctimes448%3D%3F?scale=1.5"" alt=""LaTeX: 546\times448=?"" data-equation-content=""546\times448=?"" data-ignore-a11y-check=""""></mattext>",244608,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""629\times487=?"" src=""https://weber.instructure.com/equation_images/629%5Ctimes487%3D%3F?scale=1.5"" alt=""LaTeX: 629\times487=?"" data-equation-content=""629\times487=?"" data-ignore-a11y-check=""""></mattext>",306323,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""267\times376=?"" src=""https://weber.instructure.com/equation_images/267%5Ctimes376%3D%3F?scale=1.5"" alt=""LaTeX: 267\times376=?"" data-equation-content=""267\times376=?"" data-ignore-a11y-check=""""></mattext>",100392,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{475}{19}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B475%7D%7B19%7D%3D?scale=1.5"" alt=""LaTeX: \frac{475}{19}="" data-equation-content=""\frac{475}{19}="" data-ignore-a11y-check=""""></mattext>",25,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""760\times335=?"" src=""https://weber.instructure.com/equation_images/760%5Ctimes335%3D%3F?scale=1.5"" alt=""LaTeX: 760\times335=?"" data-equation-content=""760\times335=?"" data-ignore-a11y-check=""""></mattext>",254600,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{12089}{157}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B12089%7D%7B157%7D%3D?scale=1.5"" alt=""LaTeX: \frac{12089}{157}="" data-equation-content=""\frac{12089}{157}="" data-ignore-a11y-check=""""></mattext>",77,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""149\times881=?"" src=""https://weber.instructure.com/equation_images/149%5Ctimes881%3D%3F?scale=1.5"" alt=""LaTeX: 149\times881=?"" data-equation-content=""149\times881=?"" data-ignore-a11y-check=""""></mattext>",131269,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""352\times545=?"" src=""https://weber.instructure.com/equation_images/352%5Ctimes545%3D%3F?scale=1.5"" alt=""LaTeX: 352\times545=?"" data-equation-content=""352\times545=?"" data-ignore-a11y-check=""""></mattext>",191840,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""201\times673=?"" src=""https://weber.instructure.com/equation_images/201%5Ctimes673%3D%3F?scale=1.5"" alt=""LaTeX: 201\times673=?"" data-equation-content=""201\times673=?"" data-ignore-a11y-check=""""></mattext>",135273,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7995}{195}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7995%7D%7B195%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7995}{195}="" data-equation-content=""\frac{7995}{195}="" data-ignore-a11y-check=""""></mattext>",41,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{312}{24}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B312%7D%7B24%7D%3D?scale=1.5"" alt=""LaTeX: \frac{312}{24}="" data-equation-content=""\frac{312}{24}="" data-ignore-a11y-check=""""></mattext>",13,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{13050}{290}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B13050%7D%7B290%7D%3D?scale=1.5"" alt=""LaTeX: \frac{13050}{290}="" data-equation-content=""\frac{13050}{290}="" data-ignore-a11y-check=""""></mattext>",45,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""762\times359=?"" src=""https://weber.instructure.com/equation_images/762%5Ctimes359%3D%3F?scale=1.5"" alt=""LaTeX: 762\times359=?"" data-equation-content=""762\times359=?"" data-ignore-a11y-check=""""></mattext>",273558,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""751\times743=?"" src=""https://weber.instructure.com/equation_images/751%5Ctimes743%3D%3F?scale=1.5"" alt=""LaTeX: 751\times743=?"" data-equation-content=""751\times743=?"" data-ignore-a11y-check=""""></mattext>",557993,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""858\times145=?"" src=""https://weber.instructure.com/equation_images/858%5Ctimes145%3D%3F?scale=1.5"" alt=""LaTeX: 858\times145=?"" data-equation-content=""858\times145=?"" data-ignore-a11y-check=""""></mattext>",124410,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""482\times857=?"" src=""https://weber.instructure.com/equation_images/482%5Ctimes857%3D%3F?scale=1.5"" alt=""LaTeX: 482\times857=?"" data-equation-content=""482\times857=?"" data-ignore-a11y-check=""""></mattext>",413074,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""211\times719=?"" src=""https://weber.instructure.com/equation_images/211%5Ctimes719%3D%3F?scale=1.5"" alt=""LaTeX: 211\times719=?"" data-equation-content=""211\times719=?"" data-ignore-a11y-check=""""></mattext>",151709,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""155\times828=?"" src=""https://weber.instructure.com/equation_images/155%5Ctimes828%3D%3F?scale=1.5"" alt=""LaTeX: 155\times828=?"" data-equation-content=""155\times828=?"" data-ignore-a11y-check=""""></mattext>",128340,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""573\times425=?"" src=""https://weber.instructure.com/equation_images/573%5Ctimes425%3D%3F?scale=1.5"" alt=""LaTeX: 573\times425=?"" data-equation-content=""573\times425=?"" data-ignore-a11y-check=""""></mattext>",243525,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3136}{196}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3136%7D%7B196%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3136}{196}="" data-equation-content=""\frac{3136}{196}="" data-ignore-a11y-check=""""></mattext>",16,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""607\times845=?"" src=""https://weber.instructure.com/equation_images/607%5Ctimes845%3D%3F?scale=1.5"" alt=""LaTeX: 607\times845=?"" data-equation-content=""607\times845=?"" data-ignore-a11y-check=""""></mattext>",512915,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{11623}{197}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B11623%7D%7B197%7D%3D?scale=1.5"" alt=""LaTeX: \frac{11623}{197}="" data-equation-content=""\frac{11623}{197}="" data-ignore-a11y-check=""""></mattext>",59,short_answer
