question,correct_answers,question_type
What digit is in the tenths place of the following number: 21526.311,3,short_answer
What digit is in the tenths place of the following number: 90043.007,0,short_answer
What digit is in the ones place of the following number: 11766.703,6,short_answer
What digit is in the ones place of the following number: 21568.077,8,short_answer
What digit is in the ones place of the following number: 27712.307,2,short_answer
What digit is in the thousandths place of the following number: 67415.819,9,short_answer
What digit is in the ones place of the following number: 32589.654,9,short_answer
What digit is in the tenths place of the following number: 64252.715,7,short_answer
What digit is in the thousandths place of the following number: 12313.033,3,short_answer
What digit is in the thousands place of the following number: 42356.292,2,short_answer
What digit is in the tens place of the following number: 84596.956,9,short_answer
What digit is in the thousands place of the following number: 59837.437,9,short_answer
What digit is in the tens place of the following number: 75333.333,3,short_answer
What digit is in the hundredths place of the following number: 46599.450,5,short_answer
What digit is in the ones place of the following number: 93971.525,1,short_answer
What digit is in the hundreds place of the following number: 30944.333,9,short_answer
What digit is in the thousandths place of the following number: 99415.826,6,short_answer
What digit is in the hundreds place of the following number: 46956.080,9,short_answer
What digit is in the ten thousands place of the following number: 17631.935,1,short_answer
What digit is in the hundredths place of the following number: 29836.974,7,short_answer
What digit is in the ten thousands place of the following number: 46852.048,4,short_answer
What digit is in the thousandths place of the following number: 66761.796,6,short_answer
What digit is in the ones place of the following number: 77740.078,0,short_answer
What digit is in the thousandths place of the following number: 78392.755,5,short_answer
What digit is in the tens place of the following number: 64957.934,5,short_answer
What digit is in the thousandths place of the following number: 45796.758,8,short_answer
What digit is in the tens place of the following number: 65007.545,0,short_answer
What digit is in the thousands place of the following number: 50135.677,0,short_answer
What digit is in the tens place of the following number: 39645.585,4,short_answer
What digit is in the ones place of the following number: 97979.986,9,short_answer
What digit is in the tens place of the following number: 14983.109,8,short_answer
What digit is in the tenths place of the following number: 59223.205,2,short_answer
What digit is in the ones place of the following number: 74798.404,8,short_answer
What digit is in the hundredths place of the following number: 71838.927,2,short_answer
What digit is in the ones place of the following number: 25248.267,8,short_answer
What digit is in the hundreds place of the following number: 97565.654,5,short_answer
What digit is in the tenths place of the following number: 44945.269,2,short_answer
What digit is in the tens place of the following number: 28765.083,6,short_answer
What digit is in the ten thousands place of the following number: 23506.973,2,short_answer
What digit is in the thousandths place of the following number: 46045.425,5,short_answer
What digit is in the ten thousands place of the following number: 49448.716,4,short_answer
What digit is in the thousandths place of the following number: 14805.820,0,short_answer
What digit is in the ten thousands place of the following number: 84157.345,8,short_answer
What digit is in the thousands place of the following number: 98607.587,8,short_answer
What digit is in the tens place of the following number: 65775.875,7,short_answer
What digit is in the thousands place of the following number: 11742.123,1,short_answer
What digit is in the tenths place of the following number: 60108.917,9,short_answer
What digit is in the thousands place of the following number: 99081.452,9,short_answer
What digit is in the tens place of the following number: 20292.016,9,short_answer
What digit is in the tens place of the following number: 32595.767,9,short_answer
What digit is in the hundreds place of the following number: 11934.527,9,short_answer
What digit is in the tenths place of the following number: 47907.258,2,short_answer
What digit is in the thousands place of the following number: 19312.735,9,short_answer
