question,correct_answers,question_type
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-3}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-3%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-3}="" data-equation-content=""10^{-3}="" data-ignore-a11y-check=""""></mattext>",0.001,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{4}="" src=""https://weber.instructure.com/equation_images/10%5E%7B4%7D%3D?scale=1.5"" alt=""LaTeX: 10^{4}="" data-equation-content=""10^{4}="" data-ignore-a11y-check=""""></mattext>",10000,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-1}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-1%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-1}="" data-equation-content=""10^{-1}="" data-ignore-a11y-check=""""></mattext>",0.1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-1}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-1%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-1}="" data-equation-content=""10^{-1}="" data-ignore-a11y-check=""""></mattext>",0.1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-3}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-3%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-3}="" data-equation-content=""10^{-3}="" data-ignore-a11y-check=""""></mattext>",0.001,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{1}="" src=""https://weber.instructure.com/equation_images/10%5E%7B1%7D%3D?scale=1.5"" alt=""LaTeX: 10^{1}="" data-equation-content=""10^{1}="" data-ignore-a11y-check=""""></mattext>",10,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-2}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-2%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-2}="" data-equation-content=""10^{-2}="" data-ignore-a11y-check=""""></mattext>",0.01,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{2}="" src=""https://weber.instructure.com/equation_images/10%5E%7B2%7D%3D?scale=1.5"" alt=""LaTeX: 10^{2}="" data-equation-content=""10^{2}="" data-ignore-a11y-check=""""></mattext>",100,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-1}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-1%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-1}="" data-equation-content=""10^{-1}="" data-ignore-a11y-check=""""></mattext>",0.1,short_answer
"<mattext texttype=""text/html""><img class=""equation_image"" title=""10^{-1}="" src=""https://weber.instructure.com/equation_images/10%5E%7B-1%7D%3D?scale=1.5"" alt=""LaTeX: 10^{-1}="" data-equation-content=""10^{-1}="" data-ignore-a11y-check=""""></mattext>",0.1,short_answer
