question,correct_answers,question_type
Round the following number to the tens place: 62064.8891,62060,short_answer
Round the following number to the hundredths place: 33796.1513,33796.15,short_answer
Round the following number to the tens place: 65810.3284,65810,short_answer
Round the following number to the tens place: 61217.1812,61220,short_answer
Round the following number to the tens place: 34053.9704,34050,short_answer
Round the following number to the tens place: 19428.8987,19430,short_answer
Round the following number to the tens place: 53060.7581,53060,short_answer
Round the following number to the hundredths place: 14434.7169,14434.72,short_answer
Round the following number to the tens place: 27882.3489,27880,short_answer
Round the following number to the thousands place: 10927.7111,11000,short_answer
Round the following number to the tenths place: 90416.6478,90416.6,short_answer
Round the following number to the ten thousands place: 22098.2645,20000,short_answer
Round the following number to the thousandths place: 23032.8202,23032.820,short_answer
Round the following number to the thousandths place: 63919.4343,63919.434,short_answer
Round the following number to the tenths place: 60787.1146,60787.1,short_answer
Round the following number to the thousandths place: 14152.0451,14152.045,short_answer
Round the following number to the tens place: 46899.2428,4.690e4,short_answer
Round the following number to the thousandths place: 27558.7287,27558.729,short_answer
Round the following number to the tens place: 39489.9821,39490,short_answer
Round the following number to the thousandths place: 92554.0384,92554.038,short_answer
Round the following number to the ten thousands place: 93680.4039,90000,short_answer
Round the following number to the thousandths place: 76442.2351,76442.235,short_answer
Round the following number to the ones place: 88016.1594,88016,short_answer
Round the following number to the hundreds place: 47160.5903,47200,short_answer
Round the following number to the ones place: 83747.4582,83747,short_answer
Round the following number to the tenths place: 39286.0903,39286.1,short_answer
Round the following number to the tens place: 58968.7120,58970,short_answer
Round the following number to the ten thousands place: 14778.2512,10000,short_answer
Round the following number to the ones place: 35170.7263,35171,short_answer
Round the following number to the ones place: 39942.6796,39943,short_answer
Round the following number to the tenths place: 78250.4235,78250.4,short_answer
Round the following number to the thousandths place: 65617.9327,65617.933,short_answer
Round the following number to the thousands place: 87954.6361,88000,short_answer
Round the following number to the tens place: 27440.3523,27440,short_answer
Round the following number to the thousands place: 40558.6901,41000,short_answer
Round the following number to the thousands place: 66222.3840,66000,short_answer
Round the following number to the hundreds place: 26402.6843,26400,short_answer
Round the following number to the thousands place: 16568.9095,17000,short_answer
Round the following number to the thousandths place: 42092.8624,42092.862,short_answer
Round the following number to the tenths place: 23811.1159,23811.1,short_answer
Round the following number to the hundreds place: 70645.9852,70600,short_answer
Round the following number to the hundreds place: 73151.3892,73200,short_answer
Round the following number to the ten thousands place: 30954.2028,30000,short_answer
Round the following number to the thousandths place: 39512.3405,39512.341,short_answer
Round the following number to the tens place: 53305.8936,53310,short_answer
Round the following number to the ones place: 42755.5480,42756,short_answer
Round the following number to the thousandths place: 71702.1352,71702.135,short_answer
Round the following number to the ones place: 35218.1607,35218,short_answer
Round the following number to the thousands place: 13137.7744,13000,short_answer
Round the following number to the tens place: 87983.8614,87980,short_answer
Round the following number to the tenths place: 16059.5527,16059.6,short_answer
Round the following number to the ones place: 53683.0332,53683,short_answer
Round the following number to the thousands place: 54764.0019,55000,short_answer
Round the following number to the thousandths place: 88599.3558,88599.356,short_answer
Round the following number to the tens place: 49765.1228,49770,short_answer
Round the following number to the hundreds place: 18116.8506,18100,short_answer
Round the following number to the tenths place: 94644.8586,94644.9,short_answer
Round the following number to the thousandths place: 57090.7109,57090.711,short_answer
Round the following number to the ones place: 88738.3190,88738,short_answer
Round the following number to the ones place: 63534.8982,63535,short_answer
Round the following number to the ten thousands place: 87122.3714,90000,short_answer
Round the following number to the thousandths place: 72753.1805,72753.181,short_answer
Round the following number to the ten thousands place: 41713.1197,40000,short_answer
Round the following number to the hundreds place: 38687.1496,38700,short_answer
Round the following number to the thousands place: 48062.4527,48000,short_answer
Round the following number to the ten thousands place: 83475.3962,80000,short_answer
Round the following number to the tenths place: 79331.0807,79331.1,short_answer
Round the following number to the thousands place: 61240.4376,61000,short_answer
Round the following number to the ten thousands place: 80080.3878,80000,short_answer
Round the following number to the thousands place: 51703.0506,52000,short_answer
Round the following number to the hundredths place: 83444.7169,83444.72,short_answer
Round the following number to the hundredths place: 86132.2488,86132.25,short_answer
Round the following number to the ten thousands place: 88403.5343,90000,short_answer
Round the following number to the tens place: 32742.2130,32740,short_answer
Round the following number to the thousands place: 37028.0348,37000,short_answer
Round the following number to the tens place: 53833.5540,53830,short_answer
Round the following number to the tens place: 81300.0880,8.130e4,short_answer
Round the following number to the hundreds place: 36152.2911,36200,short_answer
Round the following number to the ones place: 44575.3287,44575,short_answer
Round the following number to the ten thousands place: 20663.4569,20000,short_answer
Round the following number to the ones place: 75124.8189,75125,short_answer
Round the following number to the thousandths place: 80652.9558,80652.956,short_answer
Round the following number to the thousands place: 19473.1531,19000,short_answer
Round the following number to the hundreds place: 42314.5013,42300,short_answer
Round the following number to the ten thousands place: 54464.8975,50000,short_answer
Round the following number to the thousandths place: 60416.2326,60416.233,short_answer
Round the following number to the thousands place: 76748.5417,77000,short_answer
Round the following number to the tens place: 57627.3976,57630,short_answer
Round the following number to the ten thousands place: 54031.7743,50000,short_answer
Round the following number to the hundredths place: 28053.6133,28053.61,short_answer
Round the following number to the tens place: 76122.8953,76120,short_answer
Round the following number to the ten thousands place: 12704.4738,10000,short_answer
Round the following number to the tens place: 39537.9200,39540,short_answer
Round the following number to the hundredths place: 81813.8967,81813.90,short_answer
Round the following number to the hundreds place: 56274.6990,56300,short_answer
Round the following number to the tens place: 15645.3351,15650,short_answer
Round the following number to the tens place: 20064.6767,20060,short_answer
Round the following number to the tens place: 65067.6937,65070,short_answer
Round the following number to the ones place: 93465.9353,93466,short_answer
Round the following number to the thousandths place: 44810.3783,44810.378,short_answer
Round the following number to the thousands place: 44326.3565,44000,short_answer
Round the following number to the hundredths place: 69403.8345,69403.83,short_answer
Round the following number to the hundreds place: 19547.8962,19500,short_answer
Round the following number to the hundredths place: 71845.9880,71845.99,short_answer
Round the following number to the hundreds place: 20152.9414,20200,short_answer
Round the following number to the hundredths place: 92195.2662,92195.27,short_answer
Round the following number to the hundredths place: 75909.9757,75909.98,short_answer
Round the following number to the thousands place: 29550.0787,3.0e4,short_answer
Round the following number to the hundreds place: 17117.5024,17100,short_answer
Round the following number to the tens place: 31100.0131,3.110e4,short_answer
Round the following number to the ones place: 72344.7519,72345,short_answer
Round the following number to the thousands place: 68716.6801,69000,short_answer
Round the following number to the hundreds place: 87307.5581,87300,short_answer
Round the following number to the thousands place: 91672.7997,92000,short_answer
Round the following number to the ten thousands place: 40886.9220,40000,short_answer
Round the following number to the thousandths place: 30370.7952,30370.795,short_answer
Round the following number to the tenths place: 49456.5149,49456.5,short_answer
Round the following number to the thousands place: 70974.7457,71000,short_answer
Round the following number to the thousands place: 58572.0353,59000,short_answer
Round the following number to the hundreds place: 77022.6516,7.70e4,short_answer
Round the following number to the ones place: 77276.6561,77277,short_answer
Round the following number to the tenths place: 12664.3946,12664.4,short_answer
Round the following number to the thousandths place: 65890.9888,65890.989,short_answer
Round the following number to the tens place: 19438.4633,19440,short_answer
Round the following number to the thousands place: 73409.7788,73000,short_answer
Round the following number to the thousandths place: 79553.4808,79553.481,short_answer
Round the following number to the thousandths place: 29822.7567,29822.757,short_answer
Round the following number to the thousandths place: 53070.5696,53070.570,short_answer
Round the following number to the ten thousands place: 52624.7112,50000,short_answer
Round the following number to the thousandths place: 15723.3707,15723.371,short_answer
Round the following number to the thousandths place: 74181.1942,74181.194,short_answer
Round the following number to the hundredths place: 83017.2644,83017.26,short_answer
Round the following number to the thousands place: 22241.8134,22000,short_answer
Round the following number to the hundreds place: 30948.9604,30900,short_answer
Round the following number to the hundredths place: 58974.2401,58974.24,short_answer
Round the following number to the thousands place: 10002.2461,1.0e4,short_answer
Round the following number to the thousandths place: 27966.4311,27966.431,short_answer
Round the following number to the hundredths place: 43088.5836,43088.58,short_answer
Round the following number to the ones place: 43594.2941,43594,short_answer
Round the following number to the thousands place: 26263.6653,26000,short_answer
Round the following number to the thousandths place: 41639.9526,41639.953,short_answer
Round the following number to the ten thousands place: 88353.9447,90000,short_answer
Round the following number to the hundreds place: 23031.5547,2.30e4,short_answer
Round the following number to the ones place: 32081.3856,32081,short_answer
Round the following number to the tens place: 51719.6831,51720,short_answer
Round the following number to the hundredths place: 85669.8240,85669.82,short_answer
Round the following number to the thousands place: 76622.2496,77000,short_answer
Round the following number to the ten thousands place: 34490.4018,30000,short_answer
Round the following number to the hundredths place: 81857.1504,81857.15,short_answer
Round the following number to the tens place: 85467.5630,85470,short_answer
Round the following number to the hundredths place: 40365.1340,40365.13,short_answer
Round the following number to the thousands place: 84207.6089,84000,short_answer
Round the following number to the thousandths place: 45022.5343,45022.534,short_answer
Round the following number to the thousands place: 76112.0762,76000,short_answer
Round the following number to the hundredths place: 43276.3380,43276.34,short_answer
Round the following number to the hundreds place: 37024.0235,3.70e4,short_answer
Round the following number to the tens place: 79764.4921,79760,short_answer
Round the following number to the thousands place: 83087.9915,83000,short_answer
Round the following number to the thousands place: 47146.3304,47000,short_answer
Round the following number to the ones place: 64176.8832,64177,short_answer
Round the following number to the hundredths place: 11645.5300,11645.53,short_answer
Round the following number to the ones place: 16756.9284,16757,short_answer
Round the following number to the thousands place: 72159.0241,72000,short_answer
Round the following number to the tens place: 23810.1174,23810,short_answer
Round the following number to the ten thousands place: 82040.5172,80000,short_answer
Round the following number to the tenths place: 59201.4776,59201.5,short_answer
Round the following number to the tenths place: 30750.3916,30750.4,short_answer
Round the following number to the hundredths place: 74581.5903,74581.59,short_answer
Round the following number to the ten thousands place: 49804.3732,50000,short_answer
Round the following number to the thousandths place: 37276.6104,37276.610,short_answer
Round the following number to the hundreds place: 41240.3080,41200,short_answer
Round the following number to the ten thousands place: 48657.6457,50000,short_answer
Round the following number to the hundreds place: 35326.1960,35300,short_answer
Round the following number to the hundreds place: 47298.4889,47300,short_answer
Round the following number to the ten thousands place: 14140.1315,10000,short_answer
Round the following number to the ten thousands place: 18805.6922,20000,short_answer
Round the following number to the thousandths place: 47281.2517,47281.252,short_answer
Round the following number to the ten thousands place: 44071.1037,40000,short_answer
Round the following number to the tenths place: 20534.4163,20534.4,short_answer
Round the following number to the thousands place: 51217.1096,51000,short_answer
Round the following number to the thousands place: 68380.5984,68000,short_answer
Round the following number to the hundreds place: 20950.2919,2.10e4,short_answer
Round the following number to the hundreds place: 75342.4593,75300,short_answer
Round the following number to the thousands place: 44661.1501,45000,short_answer
Round the following number to the thousandths place: 41640.8613,41640.861,short_answer
Round the following number to the hundredths place: 66273.8808,66273.88,short_answer
Round the following number to the hundredths place: 25862.6010,25862.60,short_answer
Round the following number to the hundreds place: 89080.4634,89100,short_answer
Round the following number to the ten thousands place: 14924.5261,10000,short_answer
Round the following number to the thousands place: 45852.9372,46000,short_answer
Round the following number to the tens place: 80543.6409,80540,short_answer
Round the following number to the thousands place: 84666.1761,85000,short_answer
Round the following number to the thousandths place: 40082.8024,40082.802,short_answer
Round the following number to the thousands place: 78621.6726,79000,short_answer
Round the following number to the thousandths place: 48182.1088,48182.109,short_answer
Round the following number to the tens place: 15441.6086,15440,short_answer
Round the following number to the ones place: 80953.8178,80954,short_answer
Round the following number to the ones place: 57981.8695,57982,short_answer
Round the following number to the hundredths place: 86532.2477,86532.25,short_answer
Round the following number to the ten thousands place: 52900.5761,50000,short_answer
Round the following number to the thousandths place: 62562.2553,62562.255,short_answer
Round the following number to the thousandths place: 64569.6049,64569.605,short_answer
Round the following number to the ten thousands place: 74235.0412,70000,short_answer
Round the following number to the hundredths place: 23088.4544,23088.45,short_answer
Round the following number to the hundreds place: 17001.4343,1.70e4,short_answer
Round the following number to the hundredths place: 43872.1757,43872.18,short_answer
Round the following number to the ones place: 67305.0740,67305,short_answer
Round the following number to the tenths place: 83711.0864,83711.1,short_answer
Round the following number to the ten thousands place: 51920.8897,50000,short_answer
Round the following number to the ten thousands place: 64535.5485,60000,short_answer
Round the following number to the thousandths place: 62362.8610,62362.861,short_answer
Round the following number to the tens place: 47130.3987,47130,short_answer
Round the following number to the hundredths place: 63791.5084,63791.51,short_answer
Round the following number to the ones place: 61983.3376,61983,short_answer
Round the following number to the hundredths place: 61064.8244,61064.82,short_answer
Round the following number to the thousandths place: 63840.2927,63840.293,short_answer
Round the following number to the tens place: 70176.7673,70180,short_answer
Round the following number to the hundredths place: 56708.7813,56708.78,short_answer
Round the following number to the hundreds place: 38827.7853,38800,short_answer
Round the following number to the hundredths place: 29307.9787,29307.98,short_answer
Round the following number to the hundreds place: 65676.6911,65700,short_answer
Round the following number to the tenths place: 71800.3356,71800.3,short_answer
Round the following number to the ones place: 53516.4892,53516,short_answer
Round the following number to the tenths place: 28878.1390,28878.1,short_answer
Round the following number to the hundredths place: 73848.2149,73848.21,short_answer
Round the following number to the tenths place: 75929.5081,75929.5,short_answer
Round the following number to the tenths place: 63978.1650,63978.2,short_answer
Round the following number to the hundreds place: 87599.7269,87600,short_answer
Round the following number to the ten thousands place: 62088.5372,60000,short_answer
Round the following number to the hundreds place: 19420.7610,19400,short_answer
Round the following number to the thousands place: 78435.9192,78000,short_answer
Round the following number to the thousands place: 16781.0144,17000,short_answer
Round the following number to the tenths place: 17933.9291,17933.9,short_answer
Round the following number to the ten thousands place: 74604.1796,70000,short_answer
Round the following number to the hundreds place: 57185.2833,57200,short_answer
Round the following number to the thousandths place: 29798.6744,29798.674,short_answer
Round the following number to the thousandths place: 64872.2024,64872.202,short_answer
Round the following number to the ten thousands place: 26373.3495,30000,short_answer
Round the following number to the ten thousands place: 48947.0525,50000,short_answer
Round the following number to the thousands place: 43113.4235,43000,short_answer
Round the following number to the tenths place: 91399.5483,91399.5,short_answer
Round the following number to the tens place: 22688.9976,22690,short_answer
Round the following number to the thousandths place: 65351.6150,65351.615,short_answer
Round the following number to the hundredths place: 47892.1627,47892.16,short_answer
Round the following number to the tens place: 74200.4104,7.420e4,short_answer
Round the following number to the tens place: 12434.7891,12430,short_answer
Round the following number to the hundreds place: 84106.6963,84100,short_answer
Round the following number to the ten thousands place: 33173.6153,30000,short_answer
Round the following number to the ones place: 27142.9091,27143,short_answer
Round the following number to the ten thousands place: 56308.2106,60000,short_answer
Round the following number to the thousands place: 61920.7854,62000,short_answer
Round the following number to the tens place: 88673.6492,88670,short_answer
Round the following number to the thousands place: 21935.8501,22000,short_answer
Round the following number to the thousandths place: 93615.6348,93615.635,short_answer
Round the following number to the thousands place: 24029.3300,24000,short_answer
Round the following number to the thousands place: 15560.3994,16000,short_answer
Round the following number to the ones place: 54064.9875,54065,short_answer
Round the following number to the thousands place: 47578.1497,48000,short_answer
Round the following number to the tenths place: 54041.6929,54041.7,short_answer
Round the following number to the tens place: 19090.2921,19090,short_answer
Round the following number to the ones place: 69108.8921,69109,short_answer
Round the following number to the ones place: 64837.2833,64837,short_answer
Round the following number to the tens place: 17862.8805,17860,short_answer
Round the following number to the hundredths place: 55659.4766,55659.48,short_answer
Round the following number to the thousandths place: 73932.6179,73932.618,short_answer
Round the following number to the hundredths place: 28057.4810,28057.48,short_answer
Round the following number to the tens place: 48200.7845,4.820e4,short_answer
Round the following number to the thousands place: 11854.1408,12000,short_answer
Round the following number to the ten thousands place: 66435.4281,70000,short_answer
Round the following number to the thousandths place: 34754.2247,34754.225,short_answer
Round the following number to the ones place: 89705.9382,89706,short_answer
Round the following number to the ones place: 58318.9950,58319,short_answer
Round the following number to the thousands place: 17926.9152,18000,short_answer
Round the following number to the tens place: 10501.0153,1.050e4,short_answer
Round the following number to the tens place: 21926.0508,21930,short_answer
Round the following number to the thousands place: 79152.5337,79000,short_answer
Round the following number to the hundreds place: 59116.7573,59100,short_answer
Round the following number to the tens place: 36436.5967,36440,short_answer
Round the following number to the thousands place: 58286.1090,58000,short_answer
Round the following number to the thousands place: 81819.1041,82000,short_answer
Round the following number to the tens place: 40811.1542,40810,short_answer
Round the following number to the hundredths place: 10141.9650,10141.97,short_answer
Round the following number to the ones place: 31643.8651,31644,short_answer
Round the following number to the ones place: 81291.0892,81291,short_answer
Round the following number to the ten thousands place: 57295.4709,60000,short_answer
Round the following number to the tenths place: 53136.5185,53136.5,short_answer
Round the following number to the ones place: 78786.4435,78786,short_answer
Round the following number to the tenths place: 20660.8425,20660.8,short_answer
Round the following number to the tens place: 72191.9466,72190,short_answer
Round the following number to the hundreds place: 85885.4787,85900,short_answer
Round the following number to the thousandths place: 81122.1969,81122.197,short_answer
Round the following number to the tens place: 32712.8100,32710,short_answer
Round the following number to the thousands place: 39293.2170,39000,short_answer
Round the following number to the thousands place: 67675.4112,68000,short_answer
Round the following number to the thousandths place: 42646.8439,42646.844,short_answer
Round the following number to the tens place: 35374.6875,35370,short_answer
Round the following number to the hundredths place: 24491.7626,24491.76,short_answer
Round the following number to the tenths place: 50521.5398,50521.5,short_answer
Round the following number to the hundreds place: 86821.1958,86800,short_answer
Round the following number to the hundreds place: 82264.6961,82300,short_answer
Round the following number to the ones place: 75820.6877,75821,short_answer
Round the following number to the hundredths place: 54893.1040,54893.10,short_answer
Round the following number to the thousandths place: 27279.8369,27279.837,short_answer
Round the following number to the ten thousands place: 24237.0292,20000,short_answer
Round the following number to the thousands place: 89446.9395,89000,short_answer
Round the following number to the hundredths place: 39055.2479,39055.25,short_answer
Round the following number to the ten thousands place: 11607.7912,10000,short_answer
Round the following number to the hundreds place: 70659.1598,70700,short_answer
Round the following number to the hundreds place: 69153.1058,69200,short_answer
Round the following number to the tens place: 28979.7891,28980,short_answer
Round the following number to the thousands place: 43970.1001,44000,short_answer
Round the following number to the tenths place: 50284.8112,50284.8,short_answer
Round the following number to the thousandths place: 80692.6821,80692.682,short_answer
Round the following number to the hundreds place: 39160.8728,39200,short_answer
Round the following number to the tens place: 19374.7028,19370,short_answer
Round the following number to the ones place: 58693.1275,58693,short_answer
Round the following number to the thousands place: 49557.4333,5.0e4,short_answer
Round the following number to the thousands place: 76429.9812,76000,short_answer
Round the following number to the ten thousands place: 75935.2704,80000,short_answer
Round the following number to the hundredths place: 81505.6877,81505.69,short_answer
Round the following number to the tenths place: 18850.3657,18850.4,short_answer
Round the following number to the tens place: 91197.7972,9.120e4,short_answer
Round the following number to the hundredths place: 94828.1035,94828.10,short_answer
Round the following number to the thousandths place: 31129.6596,31129.660,short_answer
Round the following number to the thousands place: 87737.5090,88000,short_answer
Round the following number to the ones place: 64360.6703,64361,short_answer
Round the following number to the ones place: 60330.6125,60331,short_answer
Round the following number to the thousandths place: 32523.1354,32523.135,short_answer
Round the following number to the hundredths place: 25485.8817,25485.88,short_answer
Round the following number to the tenths place: 44787.4472,44787.4,short_answer
Round the following number to the thousandths place: 12121.3492,12121.349,short_answer
Round the following number to the tenths place: 21212.7096,21212.7,short_answer
Round the following number to the thousands place: 52074.1015,52000,short_answer
Round the following number to the hundreds place: 63798.2790,63800,short_answer
Round the following number to the tenths place: 62955.3392,62955.3,short_answer
Round the following number to the hundreds place: 88750.5068,88800,short_answer
Round the following number to the ten thousands place: 85761.7155,90000,short_answer
Round the following number to the thousands place: 76041.5633,76000,short_answer
Round the following number to the thousandths place: 87387.3651,87387.365,short_answer
Round the following number to the tens place: 18018.5308,18020,short_answer
Round the following number to the ones place: 27768.1546,27768,short_answer
Round the following number to the tens place: 17284.1649,17280,short_answer
Round the following number to the tenths place: 86552.7520,86552.8,short_answer
Round the following number to the tenths place: 49257.3129,49257.3,short_answer
Round the following number to the ones place: 42096.1600,42096,short_answer
Round the following number to the tens place: 29525.6447,29530,short_answer
Round the following number to the ten thousands place: 31511.4787,30000,short_answer
Round the following number to the ones place: 54697.2082,54697,short_answer
Round the following number to the thousands place: 11713.3269,12000,short_answer
Round the following number to the hundredths place: 23933.5877,23933.59,short_answer
Round the following number to the hundreds place: 88627.3209,88600,short_answer
Round the following number to the hundreds place: 70869.0370,70900,short_answer
Round the following number to the ten thousands place: 27945.1327,30000,short_answer
Round the following number to the tenths place: 49257.3557,49257.4,short_answer
Round the following number to the thousands place: 89791.1390,9.0e4,short_answer
Round the following number to the thousands place: 43164.2181,43000,short_answer
Round the following number to the thousands place: 47405.3200,47000,short_answer
Round the following number to the tenths place: 31660.0405,31660.0,short_answer
Round the following number to the hundredths place: 30268.7680,30268.77,short_answer
Round the following number to the ones place: 49290.5169,49291,short_answer
Round the following number to the hundreds place: 65073.2281,65100,short_answer
Round the following number to the ten thousands place: 56403.3296,60000,short_answer
Round the following number to the hundreds place: 91054.1753,91100,short_answer
Round the following number to the tenths place: 81573.1858,81573.2,short_answer
Round the following number to the thousands place: 85558.2286,86000,short_answer
Round the following number to the thousandths place: 94199.3870,94199.387,short_answer
Round the following number to the hundreds place: 47754.9414,47800,short_answer
Round the following number to the ones place: 15362.2503,15362,short_answer
Round the following number to the tenths place: 42146.3728,42146.4,short_answer
Round the following number to the hundreds place: 84433.4052,84400,short_answer
Round the following number to the ten thousands place: 86797.2046,90000,short_answer
Round the following number to the hundredths place: 93287.3409,93287.34,short_answer
Round the following number to the tenths place: 90248.1426,90248.1,short_answer
Round the following number to the tens place: 47099.2462,4.710e4,short_answer
Round the following number to the hundreds place: 29181.0869,29200,short_answer
