question,correct_answers,question_type
Convert 7.89 x 10<sup>-19</sup> cal/bond to J/bond.<br>There are 4.184 J in one cal.,3.30e-18;3.30e-18;3.30E-18;3.3e-18;3.3e-18;3.3E-18;3.301e-18;3.301e-18;3.301E-18;3.31e-18;3.31e-18;3.31E-18;3.3e-18;3.3e-18;3.3E-18;3.310e-18;3.310e-18;3.310E-18,short_answer
Convert 242.0 kJ/mol to J/bond.,4.019e-19;4.019e-19;4.019E-19;4.02e-19;4.02e-19;4.02E-19;4.0185e-19;4.0185e-19;4.0185E-19;4.018e-19;4.018e-19;4.018E-19;4.02e-19;4.02e-19;4.02E-19;4.0180e-19;4.0180e-19;4.0180E-19,short_answer
Convert 7 x 10<sup>-19</sup> J/bond to kJ/mol.,400;4e2;4E2;420;4.2e2;4.2E2;500;5e2;5E2;5.0e2;5.0e2;5.0E2,short_answer
A covalent bond has an energy of 550 kcal/mol. Calculate this bond energy in kJ/mol.<br>There are 4.184 J in one cal.,2300;2.3e3;2.3E3;2000;2e3;2E3;2.30e3;2.30e3;2.30E3;2400;2.4e3;2.4E3;2000;2e3;2E3;2.40e3;2.40e3;2.40E3,short_answer
A covalent bond has an energy of 636 kcal/mol. Calculate this bond energy in kJ/mol.<br>There are 4.184 J in one cal.,2660;2.66e3;2.66E3;2700;2.7e3;2.7E3;2661;2.661e3;2.661E3;2661.;2670;2.67e3;2.67E3;2700;2.7e3;2.7E3;2670.;2.670e3;2.670E3;2670..,short_answer
Convert 4.5 x 10<sup>-19</sup> J/bond to kJ/mol.,270;2.7e2;2.7E2;300;3e2;3E2;271;2.71e2;2.71E2;271.;280;2.8e2;2.8E2;300;3e2;3E2;280.;2.80e2;2.80E2;280..,short_answer
Convert 3.529 x 10<sup>-19</sup> J/bond to kJ/mol.,212.5;2.125e2;2.125E2;213;2.13e2;2.13E2;213.;212.52;2.1252e2;2.1252E2;212.6;2.126e2;2.126E2;213;2.13e2;2.13E2;213.;212.60;2.1260e2;2.1260E2,short_answer
A single covalent bond has an energy of 5.1 x 10<sup>-19</sup> J. Calculate this bond energy in cal.<br>There are 4.184 J in one cal.,1.2e-19;1.2e-19;1.2E-19;1e-19;1e-19;1E-19;1.22e-19;1.22e-19;1.22E-19;1.3e-19;1.3e-19;1.3E-19;1e-19;1e-19;1E-19;1.30e-19;1.30e-19;1.30E-19,short_answer
A covalent bond has an energy of 680 kJ/mol. Calculate this bond energy in kcal/mol.<br>There are 4.184 J in one cal.,160;1.6e2;1.6E2;200;2e2;2E2;163;1.63e2;1.63E2;163.;170;1.7e2;1.7E2;200;2e2;2E2;170.;1.70e2;1.70E2;170..,short_answer
Convert 7 x 10<sup>-19</sup> cal/bond to J/bond.<br>There are 4.184 J in one cal.,3e-18;3e-18;3E-18;2.9e-18;2.9e-18;2.9E-18;2e-18;2e-18;2E-18;2.0e-18;2.0e-18;2.0E-18,short_answer
Convert 5.0 x 10<sup>-19</sup> cal/bond to J/bond.<br>There are 4.184 J in one cal.,2.1e-18;2.1e-18;2.1E-18;2e-18;2e-18;2E-18;2.09e-18;2.09e-18;2.09E-18;2.0e-18;2.0e-18;2.0E-18;2e-18;2e-18;2E-18;2.00e-18;2.00e-18;2.00E-18,short_answer
Convert 239.0 kcal/mol to kJ/mol.<br>There are 4.184 J in one cal.,1000.0;1.0000e3;1.0000E3;1000.;1.000e3;1.000E3;1000..;999.98;9.9998e2;9.9998E2;999.9;9.999e2;9.999E2;1000.;1.000e3;1.000E3;1000..;999.90;9.9990e2;9.9990E2,short_answer
A covalent bond has an energy of 648 kJ mol<sup>-1</sup>. Calculate the energy of a single bond in J.,1.08e-18;1.08e-18;1.08E-18;1.1e-18;1.1e-18;1.1E-18;1.076e-18;1.076e-18;1.076E-18;1.07e-18;1.07e-18;1.07E-18;1.1e-18;1.1e-18;1.1E-18;1.070e-18;1.070e-18;1.070E-18,short_answer
Convert 410 kcal/mol to kJ/mol.<br>There are 4.184 J in one cal.,1700;1.7e3;1.7E3;2000;2e3;2E3;1720;1.72e3;1.72E3;1800;1.8e3;1.8E3;2000;2e3;2E3;1.80e3;1.80e3;1.80E3,short_answer
Convert 302 kcal/mol to kJ/mol.<br>There are 4.184 J in one cal.,1260;1.26e3;1.26E3;1300;1.3e3;1.3E3;1264;1.264e3;1.264E3;1264.;1270;1.27e3;1.27E3;1300;1.3e3;1.3E3;1270.;1.270e3;1.270E3;1270..,short_answer
