question,correct_answers,question_type
Calculate the concentration (in M) of a solution prepared by dissolving 5.45 g of NH<sub>4</sub>Cl in 100 mL of water.,1;1e0;1E0;1.;1.0;1.0e0;1.0E0;2;2e0;2E0;2.;2.0;2.0e0;2.0E0,short_answer
A student prepares a 640 mL solution by dissolving 8.502 g of NaCl in water. What is the molarity of this solution?,0.23;2.3e-1;2.3E-1;.23;0.2;2e-1;2E-1;.2;0.227;2.27e-1;2.27E-1;.227;0.22;2.2e-1;2.2E-1;.22;0.2;2e-1;2E-1;.2;0.220;2.20e-1;2.20E-1;.220,short_answer
Calculate the mass of KNO<sub>3</sub> (in g) needed to prepare a 0.003726 M solution with a volume of 4.0e2 mL.,0.15;1.5e-1;1.5E-1;.15;0.2;2e-1;2E-1;.2;0.151;1.51e-1;1.51E-1;.151;0.16;1.6e-1;1.6E-1;.16;0.2;2e-1;2E-1;.2;0.160;1.60e-1;1.60E-1;.160,short_answer
"A student prepares a 0.0063 M, 0.2 L solution of KNO<sub>3</sub> in water. How many grams of KNO<sub>3</sub> did they dissolve?",0.1;1e-1;1E-1;.1;0.13;1.3e-1;1.3E-1;.13;0.2;2e-1;2E-1;.2;0.20;2.0e-1;2.0E-1;.20,short_answer
A student prepares a 400 mL solution by dissolving 2.34 g of Mg(NO<sub>3</sub>)<sub>2</sub> in water. What is the molarity of this solution?,0.04;4e-2;4E-2;.04;0.039;3.9e-2;3.9E-2;.039;0.03;3e-2;3E-2;.03;0.030;3.0e-2;3.0E-2;.030,short_answer
A student prepares a 0.3 L solution by dissolving 8 g of Fe(NO<sub>3</sub>)<sub>2</sub> in water. What is the molarity of this solution?,0.1;1e-1;1E-1;.1;0.15;1.5e-1;1.5E-1;.15;0.2;2e-1;2E-1;.2;0.20;2.0e-1;2.0E-1;.20,short_answer
Calculate the mass of Fe(NO<sub>3</sub>)<sub>2</sub> (in g) needed to prepare a 0.3 L solution with a concentration of 0.3 M.,20;2e1;2E1;16;1.6e1;1.6E1;16.;10;1e1;1E1;10.;1.0e1;1.0E1;10..,short_answer
Calculate the mass of NH<sub>4</sub>Br (in g) needed to prepare a 169.7 mL solution with a concentration of 0.0310 M.,0.515;5.15e-1;5.15E-1;.515;0.52;5.2e-1;5.2E-1;.52;0.5152;5.152e-1;5.152E-1;.5152;0.516;5.16e-1;5.16E-1;.516;0.52;5.2e-1;5.2E-1;.52;0.5160;5.160e-1;5.160E-1;.5160,short_answer
"A student prepares a 0.02110 M, 280 mL solution of Na<sub>2</sub>CO<sub>3</sub> in water. How many grams of Na<sub>2</sub>CO<sub>3</sub> did they dissolve?",0.63;6.3e-1;6.3E-1;.63;0.6;6e-1;6E-1;.6;0.626;6.26e-1;6.26E-1;.626;0.62;6.2e-1;6.2E-1;.62;0.6;6e-1;6E-1;.6;0.620;6.20e-1;6.20E-1;.620,short_answer
A student dissolves 4.1 g of Fe(NO<sub>3</sub>)<sub>2</sub> in 461 mL of water. What is the molarity of this solution?,0.049;4.9e-2;4.9E-2;.049;0.05;5e-2;5E-2;.05;0.0494;4.94e-2;4.94E-2;.0494;0.050;5.0e-2;5.0E-2;.050;0.05;5e-2;5E-2;.05;0.0500;5.00e-2;5.00E-2;.0500,short_answer
A student dissolves 1.5 g of NH<sub>4</sub>Br in 0.45 L of water. What is the molarity of this solution?,0.034;3.4e-2;3.4E-2;.034;0.03;3e-2;3E-2;.03;0.0340;3.40e-2;3.40E-2;.0340;0.035;3.5e-2;3.5E-2;.035;0.04;4e-2;4E-2;.04;0.0350;3.50e-2;3.50E-2;.0350,short_answer
Calculate the concentration (in M) of a solution prepared by dissolving 6.71 g of Pb(NO<sub>3</sub>)<sub>2</sub> in 0.99 L of water.,0.020;2.0e-2;2.0E-2;.020;0.02;2e-2;2E-2;.02;0.0205;2.05e-2;2.05E-2;.0205;0.021;2.1e-2;2.1E-2;.021;0.02;2e-2;2E-2;.02;0.0210;2.10e-2;2.10E-2;.0210,short_answer
Calculate the mass of NaNO<sub>3</sub> (in g) needed to prepare a 0.0011 M solution with a volume of 0.57 L.,0.053;5.3e-2;5.3E-2;.053;0.05;5e-2;5E-2;.05;0.0533;5.33e-2;5.33E-2;.0533;0.054;5.4e-2;5.4E-2;.054;0.05;5e-2;5E-2;.05;0.0540;5.40e-2;5.40E-2;.0540,short_answer
"A student prepares a 0.67 L, 0.00107 M solution of NaCl in water. How many grams of NaCl did they dissolve?",0.042;4.2e-2;4.2E-2;.042;0.04;4e-2;4E-2;.04;0.0419;4.19e-2;4.19E-2;.0419;0.041;4.1e-2;4.1E-2;.041;0.04;4e-2;4E-2;.04;0.0410;4.10e-2;4.10E-2;.0410,short_answer
Calculate the mass of Na<sub>3</sub>PO<sub>4</sub> (in g) needed to prepare a 0.01062 M solution with a volume of 0.433 L.,0.754;7.54e-1;7.54E-1;.754;0.75;7.5e-1;7.5E-1;.75;0.7539;7.539e-1;7.539E-1;.7539;0.753;7.53e-1;7.53E-1;.753;0.75;7.5e-1;7.5E-1;.75;0.7530;7.530e-1;7.530E-1;.7530,short_answer
A student prepares a 400 mL solution by dissolving 8.6 g of AgNO<sub>3</sub> in water. What is the molarity of this solution?,0.1;1e-1;1E-1;.1;0.13;1.3e-1;1.3E-1;.13;0.2;2e-1;2E-1;.2;0.20;2.0e-1;2.0E-1;.20,short_answer
Calculate the mass of NH<sub>4</sub>Br (in g) needed to prepare a 138 mL solution with a concentration of 0.154 M.,2.08;2.08e0;2.08E0;2.1;2.1e0;2.1E0;2.081;2.081e0;2.081E0;2.09;2.09e0;2.09E0;2.1;2.1e0;2.1E0;2.090;2.090e0;2.090E0,short_answer
Calculate the concentration (in M) of a solution prepared by dissolving 5.19 g of NaCl in 100.0 mL of water.,0.888;8.88e-1;8.88E-1;.888;0.89;8.9e-1;8.9E-1;.89;0.8881;8.881e-1;8.881E-1;.8881;0.889;8.89e-1;8.89E-1;.889;0.89;8.9e-1;8.9E-1;.89;0.8890;8.890e-1;8.890E-1;.8890,short_answer
"A student prepares a 0.1132 M, 600 mL solution of KCl in water. How many grams of KCl did they dissolve?",5;5e0;5E0;5.;5.1;5.1e0;5.1E0;6;6e0;6E0;6.;6.0;6.0e0;6.0E0,short_answer
Calculate the concentration (in M) of a solution prepared by dissolving 7 g of NaCl in 0.2181 L of water.,0.5;5e-1;5E-1;.5;0.55;5.5e-1;5.5E-1;.55;0.6;6e-1;6E-1;.6;0.60;6.0e-1;6.0E-1;.60,short_answer
Calculate the mass of Ba(NO<sub>3</sub>)<sub>2</sub> (in g) needed to prepare a 0.3 L solution with a concentration of 0.01022 M.,0.8;8e-1;8E-1;.8;0.80;8.0e-1;8.0E-1;.80;0.9;9e-1;9E-1;.9;0.90;9.0e-1;9.0E-1;.90,short_answer
"A student prepares a 900 mL, 0.0304 M solution of NaCl in water. How many grams of NaCl did they dissolve?",2;2e0;2E0;2.;1.6;1.6e0;1.6E0;1;1e0;1E0;1.;1.0;1.0e0;1.0E0,short_answer
Calculate the mass of K<sub>2</sub>CO<sub>3</sub> (in g) needed to prepare a 0.03 M solution with a volume of 0.1969 L.,0.8;8e-1;8E-1;.8;0.82;8.2e-1;8.2E-1;.82;0.9;9e-1;9E-1;.9;0.90;9.0e-1;9.0E-1;.90,short_answer
A student dissolves 4 g of Na<sub>3</sub>PO<sub>4</sub> in 0.6 L of water. What is the molarity of this solution?,0.04;4e-2;4E-2;.04;0.041;4.1e-2;4.1E-2;.041;0.05;5e-2;5E-2;.05;0.050;5.0e-2;5.0E-2;.050,short_answer
"A student prepares a 0.5855 L, 0.62 M solution of Na<sub>2</sub>SO<sub>4</sub> in water. How many grams of Na<sub>2</sub>SO<sub>4</sub> did they dissolve?",52;5.2e1;5.2E1;52.;50;5e1;5E1;51.6;5.16e1;5.16E1;51;5.1e1;5.1E1;51.;50;5e1;5E1;51.0;5.10e1;5.10E1,short_answer
Calculate the concentration (in M) of a solution prepared by dissolving 9 g of NaNO<sub>3</sub> in 742 mL of water.,0.1;1e-1;1E-1;.1;0.14;1.4e-1;1.4E-1;.14;0.2;2e-1;2E-1;.2;0.20;2.0e-1;2.0E-1;.20,short_answer
Calculate the mass of NH<sub>4</sub>Cl (in g) needed to prepare a 3.0e2 mL solution with a concentration of 0.00530 M.,0.085;8.5e-2;8.5E-2;.085;0.09;9e-2;9E-2;.09;0.0850;8.50e-2;8.50E-2;.0850;0.086;8.6e-2;8.6E-2;.086;0.09;9e-2;9E-2;.09;0.0860;8.60e-2;8.60E-2;.0860,short_answer
"A student prepares a 0.089 M, 0.6 L solution of NaCl in water. How many grams of NaCl did they dissolve?",3;3e0;3E0;3.;3.1;3.1e0;3.1E0;4;4e0;4E0;4.;4.0;4.0e0;4.0E0,short_answer
A student prepares a 1 L solution by dissolving 2.4 g of Na<sub>3</sub>PO<sub>4</sub> in water. What is the molarity of this solution?,0.01;1e-2;1E-2;.01;0.015;1.5e-2;1.5E-2;.015;0.02;2e-2;2E-2;.02;0.020;2.0e-2;2.0E-2;.020,short_answer
"A student prepares a 435.8 mL, 0.02 M solution of KCl in water. How many grams of KCl did they dissolve?",0.6;6e-1;6E-1;.6;0.65;6.5e-1;6.5E-1;.65;0.7;7e-1;7E-1;.7;0.70;7.0e-1;7.0E-1;.70,short_answer
A student prepares a 0.1032 L solution by dissolving 5 g of Na<sub>2</sub>SO<sub>4</sub> in water. What is the molarity of this solution?,0.3;3e-1;3E-1;.3;0.34;3.4e-1;3.4E-1;.34;0.4;4e-1;4E-1;.4;0.40;4.0e-1;4.0E-1;.40,short_answer
Calculate the mass of Mg(NO<sub>3</sub>)<sub>2</sub> (in g) needed to prepare a 0.19 M solution with a volume of 0.95 L.,27;2.7e1;2.7E1;27.;30;3e1;3E1;26.8;2.68e1;2.68E1;26;2.6e1;2.6E1;26.;30;3e1;3E1;26.0;2.60e1;2.60E1,short_answer
A student dissolves 9 g of Na<sub>2</sub>SO<sub>4</sub> in 2.0e2 mL of water. What is the molarity of this solution?,0.3;3e-1;3E-1;.3;0.32;3.2e-1;3.2E-1;.32;0.4;4e-1;4E-1;.4;0.40;4.0e-1;4.0E-1;.40,short_answer
