question,correct_answers,question_type
"Calculate the number of moles in a sample that required 25.6 kJ to be vaporized, given that the enthalpy of vaporization is 30.7 kJ/mol. There are 4.184 J in 1 cal.",0.834;8.34e-1;8.34E-1;.834;0.83;8.3e-1;8.3E-1;.83;0.8339;8.339e-1;8.339E-1;.8339;0.833;8.33e-1;8.33E-1;.833;0.83;8.3e-1;8.3E-1;.83;0.8330;8.330e-1;8.330E-1;.8330,short_answer
Calculate the amount of energy (in cal) required to vaporize 2.93 moles of a compound whose enthalpy of vaporization is 56 kJ mol<sup>-1</sup>. There are 4.184 J in 1 cal.,39000;3.9e4;3.9E4;40000;4e4;4E4;39200;3.92e4;3.92E4;4.0e4;4.0e4;4.0E4;40000;4e4;4E4;4.00e4;4.00e4;4.00E4,short_answer
Calculate the amount of energy (in J) required to vaporize 3.22 moles of a compound whose enthalpy of vaporization is 33 kJ mol<sup>-1</sup>. There are 4.184 J in 1 cal.,110000;1.1e5;1.1E5;100000;1e5;1E5;106000;1.06e5;1.06E5;1.0e5;1.0e5;1.0E5;100000;1e5;1E5;1.00e5;1.00e5;1.00E5,short_answer
Calculate the amount of energy (in kcal) required to vaporize 0.04 moles of a compound whose enthalpy of vaporization is 36.9 kJ mol<sup>-1</sup>. There are 4.184 J in 1 cal.,0.4;4e-1;4E-1;.4;0.35;3.5e-1;3.5E-1;.35;0.3;3e-1;3E-1;.3;0.30;3.0e-1;3.0E-1;.30,short_answer
"Calculate the number of moles in a sample that required 0.6 kJ to be vaporized, given that the enthalpy of vaporization is 24 kJ/mol. There are 4.184 J in 1 cal.",0.02;2e-2;2E-2;.02;0.025;2.5e-2;2.5E-2;.025;0.03;3e-2;3E-2;.03;0.030;3.0e-2;3.0E-2;.030,short_answer
"Calculate the number of moles in a sample that required 1.88 kJ to be vaporized, given that the enthalpy of vaporization is 40 kJ/mol. There are 4.184 J in 1 cal.",0.05;5e-2;5E-2;.05;0.047;4.7e-2;4.7E-2;.047;0.04;4e-2;4E-2;.04;0.040;4.0e-2;4.0E-2;.040,short_answer
Calculate the amount of energy (in J) required to vaporize 0.009 moles of a compound whose enthalpy of vaporization is 16 kJ mol<sup>-1</sup>. There are 4.184 J in 1 cal.,100;1e2;1E2;140;1.4e2;1.4E2;200;2e2;2E2;2.0e2;2.0e2;2.0E2,short_answer
Calculate the amount of energy (in J) required to vaporize 0.0343 moles of a compound whose enthalpy of vaporization is 22 kJ mol<sup>-1</sup>. There are 4.184 J in 1 cal.,750;7.5e2;7.5E2;800;8e2;8E2;755;7.55e2;7.55E2;755.;760;7.6e2;7.6E2;800;8e2;8E2;760.;7.60e2;7.60E2;760..,short_answer
"Calculate the number of moles in a sample that required 17000 cal to be vaporized, given that the enthalpy of vaporization is 34 kJ/mol. There are 4.184 J in 1 cal.",2.1;2.1e0;2.1E0;2;2e0;2E0;2.;2.09;2.09e0;2.09E0;2.0;2.0e0;2.0E0;2;2e0;2E0;2.;2.00;2.00e0;2.00E0,short_answer
"Calculate the number of moles in a sample that required 0.2 kJ to be vaporized, given that the enthalpy of vaporization is 23.7 kJ/mol. There are 4.184 J in 1 cal.",0.008;8e-3;8E-3;.008;0.0084;8.4e-3;8.4E-3;.0084;0.009;9e-3;9E-3;.009;0.0090;9.0e-3;9.0E-3;.0090,short_answer
