question,correct_answers,incorrect_answers,question_type
"Which reactant is in excess when 0.0353 mol of O<sub>2</sub> react with 1.9 g of S?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/S%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DSO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-equation-content=""S(s)+O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",S,O2,multiple_choice
"Which reactant is in excess when 2.8 g of O<sub>2</sub> react with 0.8516 g of Be?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" src=""https://weber.instructure.com/equation_images/2Be%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2BeO%28s%29?scale=1.5"" alt=""LaTeX: 2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-equation-content=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-ignore-a11y-check=""""></mattext>",O2,Be,multiple_choice
"Which reactant is limiting when 4.547 g of CuSO<sub>4</sub> react with 2.7 g of NaOH?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/CuSO_%7B4%7D%28aq%29%2B2NaOH%28aq%29%5Cleftrightarrows%7B%7DCu%28OH%29_%7B2%7D%28s%29%2BNa_%7B2%7DSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-equation-content=""CuSO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Cu(OH)_{2}(s)+Na_{2}SO_{4}(aq)"" data-ignore-a11y-check=""""></mattext>",CuSO4,NaOH,multiple_choice
"Which reactant is in excess when 0.036 mol of K react with 0.8512 g of H<sub>2</sub>O?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2K%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2KOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-equation-content=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",H2O,K,multiple_choice
"Which reactant is in excess when 0.9437 g of Cl<sub>2</sub> react with 2.7 g of KI?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2KI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-equation-content=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",Cl2,KI,multiple_choice
"Which reactant is limiting when 0.04912 mol of Be react with 0.99 g of O<sub>2</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" src=""https://weber.instructure.com/equation_images/2Be%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2BeO%28s%29?scale=1.5"" alt=""LaTeX: 2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-equation-content=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-ignore-a11y-check=""""></mattext>",Be,O2,multiple_choice
"Which reactant is in excess when 0.3360 g of N<sub>2</sub> react with 0.091 g of H<sub>2</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""N_{2}(g)+3H_{2}(g)\leftrightarrows{}2NH_{3}(g)"" src=""https://weber.instructure.com/equation_images/N_%7B2%7D%28g%29%2B3H_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2NH_%7B3%7D%28g%29?scale=1.5"" alt=""LaTeX: N_{2}(g)+3H_{2}(g)\leftrightarrows{}2NH_{3}(g)"" data-equation-content=""N_{2}(g)+3H_{2}(g)\leftrightarrows{}2NH_{3}(g)"" data-ignore-a11y-check=""""></mattext>",H2,N2,multiple_choice
"Which reactant is in excess when 2.209 g of H<sub>2</sub>S react with 2.636 g of O<sub>2</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2H_%7B2%7DS%28g%29%2B3O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2H_%7B2%7DO%28g%29%2B2SO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-equation-content=""2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",H2S,O2,multiple_choice
"Which reactant is in excess when 6.01 g of O<sub>2</sub> react with 11.04 g of Mg?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" src=""https://weber.instructure.com/equation_images/2Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2MgO%28s%29?scale=1.5"" alt=""LaTeX: 2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-equation-content=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-ignore-a11y-check=""""></mattext>",Mg,O2,multiple_choice
"Which reactant is in excess when 0.0418 g of Cl<sub>2</sub> react with 0.15 g of KI?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2KI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-equation-content=""2KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",Cl2,KI,multiple_choice
"Which reactant is limiting when 0.0037 mol of H<sub>2</sub>SO<sub>4</sub> react with 0.24 g of NaOH?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+2H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B2NaOH%28aq%29%5Cleftrightarrows%7B%7DNa_%7B2%7DSO_%7B4%7D%28aq%29%2B2H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+2H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+2NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+2H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",NaOH,H2SO4,multiple_choice
"Which reactant is limiting when 0.0059 mol of NaI react with 0.56 g of Br<sub>2</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2NaI(aq)+Br_{2}(g)\leftrightarrows{}2NaBr(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2NaI%28aq%29%2BBr_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2NaBr%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2NaI(aq)+Br_{2}(g)\leftrightarrows{}2NaBr(aq)+I_{2}(s)"" data-equation-content=""2NaI(aq)+Br_{2}(g)\leftrightarrows{}2NaBr(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",NaI,Br2,multiple_choice
"Which reactant is in excess when 0.0036 mol of Mg react with 0.174 g of H<sub>3</sub>PO<sub>4</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Mg(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/3Mg%28s%29%2B2H_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DMg_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3Mg(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-equation-content=""3Mg(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Mg,H3PO4,multiple_choice
"Which reactant is in excess when 0.01364 mol of O<sub>2</sub> react with 0.4130 g of Mg?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" src=""https://weber.instructure.com/equation_images/2Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2MgO%28s%29?scale=1.5"" alt=""LaTeX: 2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-equation-content=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-ignore-a11y-check=""""></mattext>",O2,Mg,multiple_choice
"Which reactant is limiting when 0.241 mol of FeO react with 0.85 g of C?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2C%28s%29%2B4FeO%28s%29%5Cleftrightarrows%7B%7D4Fe%28s%29%2B2CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" data-equation-content=""2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",C,FeO,multiple_choice
"Which reactant is limiting when 0.166 mol of H<sub>2</sub>SO<sub>4</sub> react with 0.1867 mol of NH<sub>3</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}(NH_{4})_{2}SO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/2NH_%7B3%7D%28g%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7D%28NH_%7B4%7D%29_%7B2%7DSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: 2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}(NH_{4})_{2}SO_{4}(aq)"" data-equation-content=""2NH_{3}(g)+H_{2}SO_{4}(aq)\leftrightarrows{}(NH_{4})_{2}SO_{4}(aq)"" data-ignore-a11y-check=""""></mattext>",NH3,H2SO4,multiple_choice
"Which reactant is in excess when 0.00797 mol of O<sub>2</sub> react with 0.2994 g of Mg?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" src=""https://weber.instructure.com/equation_images/2Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2MgO%28s%29?scale=1.5"" alt=""LaTeX: 2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-equation-content=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-ignore-a11y-check=""""></mattext>",O2,Mg,multiple_choice
"Which reactant is in excess when 6.34 g of Sr react with 9.38 g of H<sub>3</sub>PO<sub>4</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Sr(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/3Sr%28s%29%2B2H_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DSr_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3Sr(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-equation-content=""3Sr(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",H3PO4,Sr,multiple_choice
"Which reactant is in excess when 0.64 mol of Na react with 8.708 g of S?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" src=""https://weber.instructure.com/equation_images/2Na%28s%29%2BS%28s%29%5Cleftrightarrows%7B%7DNa_%7B2%7DS%28s%29?scale=1.5"" alt=""LaTeX: 2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" data-equation-content=""2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" data-ignore-a11y-check=""""></mattext>",Na,S,multiple_choice
"Which reactant is limiting when 0.062 mol of S react with 0.165 mol of Na?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" src=""https://weber.instructure.com/equation_images/2Na%28s%29%2BS%28s%29%5Cleftrightarrows%7B%7DNa_%7B2%7DS%28s%29?scale=1.5"" alt=""LaTeX: 2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" data-equation-content=""2Na(s)+S(s)\leftrightarrows{}Na_{2}S(s)"" data-ignore-a11y-check=""""></mattext>",S,Na,multiple_choice
"Which reactant is in excess when 0.89 g of NaOH react with 3.29 g of Co(NO<sub>3</sub>)<sub>2</sub>?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Co%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2B2NaOH%28aq%29%5Cleftrightarrows%7B%7DCo%28OH%29_%7B2%7D%28s%29%2B2NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" data-equation-content=""Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>",Co(NO3)2,NaOH,multiple_choice
