question,correct_answers,question_type
"How many grams of MgO can be produced from 7.51 moles of O<sub>2</sub> by the reaction below?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" src=""https://weber.instructure.com/equation_images/2Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2MgO%28s%29?scale=1.5"" alt=""LaTeX: 2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-equation-content=""2Mg(s)+O_{2}(g)\leftrightarrows{}2MgO(s)"" data-ignore-a11y-check=""""></mattext>",605;6.05e2;6.05E2;605.;610;6.1e2;6.1E2;605.4;6.054e2;6.054E2;606;6.06e2;6.06E2;606.;610;6.1e2;6.1E2;606.0;6.060e2;6.060E2,short_answer
"Calculate the amount of HCl (in mol) that can be produced from 0.3632 moles of H<sub>2</sub>SO<sub>4</sub> by the following reaction:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""SrCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}SrSO_{4}(s)+2HCl(aq)"" src=""https://weber.instructure.com/equation_images/SrCl_%7B2%7D%28aq%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DSrSO_%7B4%7D%28s%29%2B2HCl%28aq%29?scale=1.5"" alt=""LaTeX: SrCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}SrSO_{4}(s)+2HCl(aq)"" data-equation-content=""SrCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}SrSO_{4}(s)+2HCl(aq)"" data-ignore-a11y-check=""""></mattext>",0.7264;7.264e-1;7.264E-1;.7264;0.726;7.26e-1;7.26E-1;.726;0.72640;7.2640e-1;7.2640E-1;.72640;0.7263;7.263e-1;7.263E-1;.7263;0.726;7.26e-1;7.26E-1;.726;0.72630;7.2630e-1;7.2630E-1;.72630,short_answer
"How many moles of NaOH can be produced from 74.06 grams of Na by the reaction below?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Na(s)+2H_{2}O(l)\leftrightarrows{}2NaOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Na%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2NaOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Na(s)+2H_{2}O(l)\leftrightarrows{}2NaOH(aq)+H_{2}(g)"" data-equation-content=""2Na(s)+2H_{2}O(l)\leftrightarrows{}2NaOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",3.221;3.221e0;3.221E0;3.22;3.22e0;3.22E0;3.2214;3.2214e0;3.2214E0;3.222;3.222e0;3.222E0;3.22;3.22e0;3.22E0;3.2220;3.2220e0;3.2220E0,short_answer
"A student reacts 5.624 g of KI according to the reaction below. How many moles of KBr will be produced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2KI(aq)+Br_{2}(g)\leftrightarrows{}2KBr(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2KI%28aq%29%2BBr_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KBr%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2KI(aq)+Br_{2}(g)\leftrightarrows{}2KBr(aq)+I_{2}(s)"" data-equation-content=""2KI(aq)+Br_{2}(g)\leftrightarrows{}2KBr(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",0.03388;3.388e-2;3.388E-2;.03388;0.0339;3.39e-2;3.39E-2;.0339;0.033879;3.3879e-2;3.3879E-2;.033879;0.03387;3.387e-2;3.387E-2;.03387;0.0339;3.39e-2;3.39E-2;.0339;0.033870;3.3870e-2;3.3870E-2;.033870,short_answer
"A student reacts 35.36 g of Al according to the reaction below. How many grams of Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub> will be produced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Al%28s%29%2B3H_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DAl_%7B2%7D%28SO_%7B4%7D%29_%7B3%7D%28aq%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" data-equation-content=""2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",224.2;2.242e2;2.242E2;224;2.24e2;2.24E2;224.;224.19;2.2419e2;2.2419E2;224.1;2.241e2;2.241E2;224;2.24e2;2.24E2;224.;224.10;2.2410e2;2.2410E2,short_answer
"How many grams of PCl<sub>3</sub> can be produced from 0.01787 moles of Cl<sub>2</sub> by the reaction below?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" src=""https://weber.instructure.com/equation_images/P_%7B4%7D%28s%29%2B6Cl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D4PCl_%7B3%7D%28l%29?scale=1.5"" alt=""LaTeX: P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" data-equation-content=""P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" data-ignore-a11y-check=""""></mattext>",1.636;1.636e0;1.636E0;1.64;1.64e0;1.64E0;1.6360;1.6360e0;1.6360E0;1.635;1.635e0;1.635E0;1.64;1.64e0;1.64E0;1.6350;1.6350e0;1.6350E0,short_answer
"How many grams of CO<sub>2</sub> can be produced from 2.759 moles of Fe<sub>2</sub>O<sub>3</sub> by the reaction below?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/Fe_%7B2%7DO_%7B3%7D%28s%29%2B3CO%28g%29%5Cleftrightarrows%7B%7D2Fe%28s%29%2B3CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-equation-content=""Fe_{2}O_{3}(s)+3CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",364.3;3.643e2;3.643E2;364;3.64e2;3.64E2;364.;364.26;3.6426e2;3.6426E2;364.2;3.642e2;3.642E2;364;3.64e2;3.64E2;364.;364.20;3.6420e2;3.6420E2,short_answer
"A student reacts 0.01690 moles of H<sub>2</sub>O according to the reaction below. How many grams of H<sub>2</sub> will be produced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2K%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2KOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-equation-content=""2K(s)+2H_{2}O(l)\leftrightarrows{}2KOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",0.01704;1.704e-2;1.704E-2;.01704;0.0170;1.70e-2;1.70E-2;.0170;0.017035;1.7035e-2;1.7035E-2;.017035;0.01703;1.703e-2;1.703E-2;.01703;0.0170;1.70e-2;1.70E-2;.0170;0.017030;1.7030e-2;1.7030E-2;.017030,short_answer
"Calculate the amount of NaNO<sub>3</sub> (in mol) that can be produced from 7.283 g of NaOH by the following reaction:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Co%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2B2NaOH%28aq%29%5Cleftrightarrows%7B%7DCo%28OH%29_%7B2%7D%28s%29%2B2NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" data-equation-content=""Co(NO_{3})_{2}(aq)+2NaOH(aq)\leftrightarrows{}Co(OH)_{2}(s)+2NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>",0.1821;1.821e-1;1.821E-1;.1821;0.182;1.82e-1;1.82E-1;.182;0.18209;1.8209e-1;1.8209E-1;.18209;0.1820;1.820e-1;1.820E-1;.1820;0.182;1.82e-1;1.82E-1;.182;0.18200;1.8200e-1;1.8200E-1;.18200,short_answer
"A student reacts 60. g of O<sub>2</sub> according to the reaction below. How many moles of H<sub>2</sub>O will be produced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/O_%7B2%7D%28g%29%2B2H_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" data-equation-content=""O_{2}(g)+2H_{2}(g)\leftrightarrows{}2H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",3.8;3.8e0;3.8E0;4;4e0;4E0;4.;3.75;3.75e0;3.75E0;3.7;3.7e0;3.7E0;4;4e0;4E0;4.;3.70;3.70e0;3.70E0,short_answer
