question,correct_answers,question_type
47 ± 3 ÷ 50 ± 20 = ?<br>Use the ± symbol in your answer.,0.9 ± 0.4;0.9±0.4;9e-1 ± 4e-1;9e-1±4e-1,short_answer
0.015 ± 0.002 + 0.013 ± 0.002 = ?<br>Use the ± symbol in your answer.,0.028 ± 0.003;0.028±0.003;2.8e-2 ± 3e-3;2.8e-2±3e-3,short_answer
31 ± 7 ÷ 3.1 ± 0.4 = ?<br>Use the ± symbol in your answer.,10. ± 3;10.±3;1.0e1 ± 3e0;1.0e1±3e0,short_answer
980 ± 40 × 8e3 ± 2e3 = ?<br>Use the ± symbol in your answer.,8e6 ± 2e6;8e6±2e6;8e6 ± 2e6;8e6±2e6,short_answer
1.9 ± 0.9 - 2.6 ± 0.3 = ?<br>Use the ± symbol in your answer.,-0.7 ± 0.9;-0.7±0.9;-7e-1 ± 9e-1;-7e-1±9e-1,short_answer
8e3 ± 3e3 × 3.6e4 ± 1.2e4 = ?<br>Use the ± symbol in your answer.,2.9e8 ± 1.4e8;2.9e8±1.4e8;2.9e8 ± 1.4e8;2.9e8±1.4e8,short_answer
600 ± 300 - 3.1e3 ± 1.1e3 = ?<br>Use the ± symbol in your answer.,-2500 ± 1100;-2500±1100;-2.5e3 ± 1.1e3;-2.5e3±1.1e3,short_answer
44 ± 7 - 70 ± 20 = ?<br>Use the ± symbol in your answer.,-30 ± 20;-30±20;-3e1 ± 2e1;-3e1±2e1,short_answer
0.05 ± 0.02 × 0.013 ± 0.005 = ?<br>Use the ± symbol in your answer.,0.0006 ± 0.0004;0.0006±0.0004;6e-4 ± 4e-4;6e-4±4e-4,short_answer
12 ± 3 ÷ 32 ± 5 = ?<br>Use the ± symbol in your answer.,0.38 ± 0.11;0.38±0.11;3.8e-1 ± 1.1e-1;3.8e-1±1.1e-1,short_answer
2.6 ± 0.5 ÷ 0.78 ± 0.14 = ?<br>Use the ± symbol in your answer.,3.3 ± 0.9;3.3±0.9;3.3e0 ± 9e-1;3.3e0±9e-1,short_answer
