question,correct_answers,question_type
"To find the Cu content of a solid, 0.8518 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""CuBr"" src=""https://weber.instructure.com/equation_images/CuBr?scale=1.5"" alt=""LaTeX: CuBr"" data-equation-content=""CuBr"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.3365 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Cu^+"" src=""https://weber.instructure.com/equation_images/Cu%5E%2B?scale=1.5"" alt=""LaTeX: Cu^+"" data-equation-content=""Cu^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""CuBr"" src=""https://weber.instructure.com/equation_images/CuBr?scale=1.5"" alt=""LaTeX: CuBr"" data-equation-content=""CuBr"" data-ignore-a11y-check=""""></mattext> = 143.450 g mol-1<br>Formula mass Cu = 63.546 g mol-1",0.6951;6.951e-1;6.951E-1;.6951,short_answer
"To find the Ag content of a solid, 5.0004 g of sample were dissolved and treated with excess chloride to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""AgCl"" src=""https://weber.instructure.com/equation_images/AgCl?scale=1.5"" alt=""LaTeX: AgCl"" data-equation-content=""AgCl"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 2.7923 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Ag^+"" src=""https://weber.instructure.com/equation_images/Ag%5E%2B?scale=1.5"" alt=""LaTeX: Ag^+"" data-equation-content=""Ag^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""AgCl"" src=""https://weber.instructure.com/equation_images/AgCl?scale=1.5"" alt=""LaTeX: AgCl"" data-equation-content=""AgCl"" data-ignore-a11y-check=""""></mattext> = 143.32 g mol-1<br>Formula mass Ag = 107.8682 g mol-1",0.42030;4.2030e-1;4.2030E-1;.42030,short_answer
"To find the Ag content of a solid, 1.9609 g of sample were dissolved and treated with excess chloride to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""AgCl"" src=""https://weber.instructure.com/equation_images/AgCl?scale=1.5"" alt=""LaTeX: AgCl"" data-equation-content=""AgCl"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.4496 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Ag^+"" src=""https://weber.instructure.com/equation_images/Ag%5E%2B?scale=1.5"" alt=""LaTeX: Ag^+"" data-equation-content=""Ag^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""AgCl"" src=""https://weber.instructure.com/equation_images/AgCl?scale=1.5"" alt=""LaTeX: AgCl"" data-equation-content=""AgCl"" data-ignore-a11y-check=""""></mattext> = 143.32 g mol-1<br>Formula mass Ag = 107.8682 g mol-1",0.55639;5.5639e-1;5.5639E-1;.55639,short_answer
"To find the Pb content of a solid, 1.4650 g of sample were dissolved and treated with excess chloride to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbCl_2"" src=""https://weber.instructure.com/equation_images/PbCl_2?scale=1.5"" alt=""LaTeX: PbCl_2"" data-equation-content=""PbCl_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 0.8255 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbCl_2"" src=""https://weber.instructure.com/equation_images/PbCl_2?scale=1.5"" alt=""LaTeX: PbCl_2"" data-equation-content=""PbCl_2"" data-ignore-a11y-check=""""></mattext> = 278.1 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.4198;4.198e-1;4.198E-1;.4198,short_answer
"To find the Pb content of a solid, 8.3970 g of sample were dissolved and treated with excess chloride to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbCl_2"" src=""https://weber.instructure.com/equation_images/PbCl_2?scale=1.5"" alt=""LaTeX: PbCl_2"" data-equation-content=""PbCl_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 2.6630 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbCl_2"" src=""https://weber.instructure.com/equation_images/PbCl_2?scale=1.5"" alt=""LaTeX: PbCl_2"" data-equation-content=""PbCl_2"" data-ignore-a11y-check=""""></mattext> = 278.1 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.2363;2.363e-1;2.363E-1;.2363,short_answer
"To find the Ag content of a solid, 2.4399 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""AgBr"" src=""https://weber.instructure.com/equation_images/AgBr?scale=1.5"" alt=""LaTeX: AgBr"" data-equation-content=""AgBr"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.7307 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Ag^+"" src=""https://weber.instructure.com/equation_images/Ag%5E%2B?scale=1.5"" alt=""LaTeX: Ag^+"" data-equation-content=""Ag^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""AgBr"" src=""https://weber.instructure.com/equation_images/AgBr?scale=1.5"" alt=""LaTeX: AgBr"" data-equation-content=""AgBr"" data-ignore-a11y-check=""""></mattext> = 187.772 g mol-1<br>Formula mass Ag = 107.8682 g mol-1",0.40749;4.0749e-1;4.0749E-1;.40749,short_answer
"To find the Pb content of a solid, 1.0150 g of sample were dissolved and treated with excess iodide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbI_2"" src=""https://weber.instructure.com/equation_images/PbI_2?scale=1.5"" alt=""LaTeX: PbI_2"" data-equation-content=""PbI_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.3440 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbI_2"" src=""https://weber.instructure.com/equation_images/PbI_2?scale=1.5"" alt=""LaTeX: PbI_2"" data-equation-content=""PbI_2"" data-ignore-a11y-check=""""></mattext> = 461.0 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.5951;5.951e-1;5.951E-1;.5951,short_answer
"To find the Tl content of a solid, 3.5926 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""TlBr"" src=""https://weber.instructure.com/equation_images/TlBr?scale=1.5"" alt=""LaTeX: TlBr"" data-equation-content=""TlBr"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 2.5545 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Tl^+"" src=""https://weber.instructure.com/equation_images/Tl%5E%2B?scale=1.5"" alt=""LaTeX: Tl^+"" data-equation-content=""Tl^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""TlBr"" src=""https://weber.instructure.com/equation_images/TlBr?scale=1.5"" alt=""LaTeX: TlBr"" data-equation-content=""TlBr"" data-ignore-a11y-check=""""></mattext> = 284.28 g mol-1<br>Formula mass Tl = 204.38 g mol-1",0.51120;5.1120e-1;5.1120E-1;.51120,short_answer
"To find the Pb content of a solid, 3.2100 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 2.1559 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext> = 367.0 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.3792;3.792e-1;3.792E-1;.3792,short_answer
"To find the Pb content of a solid, 3.0700 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 2.0063 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext> = 367.0 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.3690;3.690e-1;3.690E-1;.3690,short_answer
"To find the Pb content of a solid, 1.3450 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 0.5020 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Pb^{2+}"" src=""https://weber.instructure.com/equation_images/Pb%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: Pb^{2+}"" data-equation-content=""Pb^{2+}"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""PbBr_2"" src=""https://weber.instructure.com/equation_images/PbBr_2?scale=1.5"" alt=""LaTeX: PbBr_2"" data-equation-content=""PbBr_2"" data-ignore-a11y-check=""""></mattext> = 367.0 g mol-1<br>Formula mass Pb = 207.2 g mol-1",0.2107;2.107e-1;2.107E-1;.2107,short_answer
"To find the Cu content of a solid, 4.4485 g of sample were dissolved and treated with excess bromide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""CuBr"" src=""https://weber.instructure.com/equation_images/CuBr?scale=1.5"" alt=""LaTeX: CuBr"" data-equation-content=""CuBr"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.8755 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Cu^+"" src=""https://weber.instructure.com/equation_images/Cu%5E%2B?scale=1.5"" alt=""LaTeX: Cu^+"" data-equation-content=""Cu^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""CuBr"" src=""https://weber.instructure.com/equation_images/CuBr?scale=1.5"" alt=""LaTeX: CuBr"" data-equation-content=""CuBr"" data-ignore-a11y-check=""""></mattext> = 143.450 g mol-1<br>Formula mass Cu = 63.546 g mol-1",0.18676;1.8676e-1;1.8676E-1;.18676,short_answer
"To find the Ag content of a solid, 4.6780 g of sample were dissolved and treated with excess iodide to precipitate <mattext texttype=""text/html""><img class=""equation_image"" title=""AgI"" src=""https://weber.instructure.com/equation_images/AgI?scale=1.5"" alt=""LaTeX: AgI"" data-equation-content=""AgI"" data-ignore-a11y-check=""""></mattext>. The precipitate was collected, washed, dried, and weighed, giving a mass of 1.0689 g. What was the mass fraction of <mattext texttype=""text/html""><img class=""equation_image"" title=""Ag^+"" src=""https://weber.instructure.com/equation_images/Ag%5E%2B?scale=1.5"" alt=""LaTeX: Ag^+"" data-equation-content=""Ag^+"" data-ignore-a11y-check=""""></mattext> in the original solid?<br>Formula mass <mattext texttype=""text/html""><img class=""equation_image"" title=""AgI"" src=""https://weber.instructure.com/equation_images/AgI?scale=1.5"" alt=""LaTeX: AgI"" data-equation-content=""AgI"" data-ignore-a11y-check=""""></mattext> = 234.7727 g mol-1<br>Formula mass Ag = 107.8682 g mol-1",0.10498;1.0498e-1;1.0498E-1;.10498,short_answer
