question,correct_answers,question_type
"Concentrated sulfuric acid has a concentration of 18.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""H_2SO_4"" src=""https://weber.instructure.com/equation_images/H_2SO_4?scale=1.5"" alt=""LaTeX: H_2SO_4"" data-equation-content=""H_2SO_4"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 1.39 M solution using a 1.000 L volumetric flask.",75.5;7.55e1;7.55E1,short_answer
"Concentrated nitric acid has a concentration of 15.8 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HNO_3"" src=""https://weber.instructure.com/equation_images/HNO_3?scale=1.5"" alt=""LaTeX: HNO_3"" data-equation-content=""HNO_3"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.228 M solution using a 1.000 L volumetric flask.",14.4;1.44e1;1.44E1,short_answer
"Concentrated acetic acid has a concentration of 17.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HC_2H_3O_2"" src=""https://weber.instructure.com/equation_images/HC_2H_3O_2?scale=1.5"" alt=""LaTeX: HC_2H_3O_2"" data-equation-content=""HC_2H_3O_2"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.945 M solution using a 1.000 L volumetric flask.",54.3;5.43e1;5.43E1,short_answer
"Concentrated nitric acid has a concentration of 15.8 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HNO_3"" src=""https://weber.instructure.com/equation_images/HNO_3?scale=1.5"" alt=""LaTeX: HNO_3"" data-equation-content=""HNO_3"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.875 M solution using a 1.000 L volumetric flask.",55.4;5.54e1;5.54E1,short_answer
"Concentrated sulfuric acid has a concentration of 18.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""H_2SO_4"" src=""https://weber.instructure.com/equation_images/H_2SO_4?scale=1.5"" alt=""LaTeX: H_2SO_4"" data-equation-content=""H_2SO_4"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.518 M solution using a 1.000 L volumetric flask.",28.2;2.82e1;2.82E1,short_answer
"Concentrated acetic acid has a concentration of 17.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HC_2H_3O_2"" src=""https://weber.instructure.com/equation_images/HC_2H_3O_2?scale=1.5"" alt=""LaTeX: HC_2H_3O_2"" data-equation-content=""HC_2H_3O_2"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 1.00 M solution using a 1.000 L volumetric flask.",57.5;5.75e1;5.75E1,short_answer
"Concentrated acetic acid has a concentration of 17.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HC_2H_3O_2"" src=""https://weber.instructure.com/equation_images/HC_2H_3O_2?scale=1.5"" alt=""LaTeX: HC_2H_3O_2"" data-equation-content=""HC_2H_3O_2"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 1.71 M solution using a 1.000 L volumetric flask.",98.3;9.83e1;9.83E1,short_answer
"Concentrated nitric acid has a concentration of 15.8 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HNO_3"" src=""https://weber.instructure.com/equation_images/HNO_3?scale=1.5"" alt=""LaTeX: HNO_3"" data-equation-content=""HNO_3"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 1.40 M solution using a 1.000 L volumetric flask.",88.6;8.86e1;8.86E1,short_answer
"Concentrated acetic acid has a concentration of 17.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""HC_2H_3O_2"" src=""https://weber.instructure.com/equation_images/HC_2H_3O_2?scale=1.5"" alt=""LaTeX: HC_2H_3O_2"" data-equation-content=""HC_2H_3O_2"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.0881 M solution using a 1.000 L volumetric flask.",5.06;5.06e0;5.06E0,short_answer
"Concentrated sulfuric acid has a concentration of 18.4 M. Calculate the volume of <mattext texttype=""text/html""><img class=""equation_image"" title=""H_2SO_4"" src=""https://weber.instructure.com/equation_images/H_2SO_4?scale=1.5"" alt=""LaTeX: H_2SO_4"" data-equation-content=""H_2SO_4"" data-ignore-a11y-check=""""></mattext> (in mL) needed to prepare a 0.724 M solution using a 1.000 L volumetric flask.",39.3;3.93e1;3.93E1,short_answer
