question,correct_answers,question_type
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Cu(OH)_{3}^{-}"" src=""https://weber.instructure.com/equation_images/Cu%28OH%29_%7B3%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: Cu(OH)_{3}^{-}"" data-equation-content=""Cu(OH)_{3}^{-}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Cu(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Cu%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Cu(OH)_{2}"" data-equation-content=""Cu(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 11.0<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_3)=14.5"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_3%29%3D14.5?scale=1.5"" alt=""LaTeX: log(\beta_3)=14.5"" data-equation-content=""log(\beta_3)=14.5"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Cu(OH)2}=19.32"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CCu%28OH%292%7D%3D19.32?scale=1.5"" alt=""LaTeX: pK_{sp,Cu(OH)2}=19.32"" data-equation-content=""pK_{sp,Cu(OH)2}=19.32"" data-ignore-a11y-check=""""></mattext>",2e-8;2e-8;2E-8;1.5e-8;1.5e-8;1.5E-8;.5e-8,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""FeOH^{+}"" src=""https://weber.instructure.com/equation_images/FeOH%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: FeOH^{+}"" data-equation-content=""FeOH^{+}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 8.08<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_1)=4.6"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_1%29%3D4.6?scale=1.5"" alt=""LaTeX: log(\beta_1)=4.6"" data-equation-content=""log(\beta_1)=4.6"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Fe(OH)2}=15.1"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CFe%28OH%292%7D%3D15.1?scale=1.5"" alt=""LaTeX: pK_{sp,Fe(OH)2}=15.1"" data-equation-content=""pK_{sp,Fe(OH)2}=15.1"" data-ignore-a11y-check=""""></mattext>",0.00003;3e-5;3E-5;.00003;0.000026;2.6e-5;2.6E-5;.000026,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""MnOH^{+}"" src=""https://weber.instructure.com/equation_images/MnOH%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: MnOH^{+}"" data-equation-content=""MnOH^{+}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mn(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Mn%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Mn(OH)_{2}"" data-equation-content=""Mn(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 8.1<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_1)=3.4"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_1%29%3D3.4?scale=1.5"" alt=""LaTeX: log(\beta_1)=3.4"" data-equation-content=""log(\beta_1)=3.4"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Mn(OH)2}=12.8"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CMn%28OH%292%7D%3D12.8?scale=1.5"" alt=""LaTeX: pK_{sp,Mn(OH)2}=12.8"" data-equation-content=""pK_{sp,Mn(OH)2}=12.8"" data-ignore-a11y-check=""""></mattext>",0.0003;3e-4;3E-4;.0003;0.00032;3.2e-4;3.2E-4;.00032,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""FeOH^{+}"" src=""https://weber.instructure.com/equation_images/FeOH%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: FeOH^{+}"" data-equation-content=""FeOH^{+}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 7.4<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_1)=4.6"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_1%29%3D4.6?scale=1.5"" alt=""LaTeX: log(\beta_1)=4.6"" data-equation-content=""log(\beta_1)=4.6"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Fe(OH)2}=15.1"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CFe%28OH%292%7D%3D15.1?scale=1.5"" alt=""LaTeX: pK_{sp,Fe(OH)2}=15.1"" data-equation-content=""pK_{sp,Fe(OH)2}=15.1"" data-ignore-a11y-check=""""></mattext>",0.0001;1e-4;1E-4;.0001;0.00013;1.3e-4;1.3E-4;.00013,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mn(OH)_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/Mn%28OH%29_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: Mn(OH)_{4}^{2-}"" data-equation-content=""Mn(OH)_{4}^{2-}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mn(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Mn%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Mn(OH)_{2}"" data-equation-content=""Mn(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 9.7<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_4)=7.7"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_4%29%3D7.7?scale=1.5"" alt=""LaTeX: log(\beta_4)=7.7"" data-equation-content=""log(\beta_4)=7.7"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Mn(OH)2}=12.8"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CMn%28OH%292%7D%3D12.8?scale=1.5"" alt=""LaTeX: pK_{sp,Mn(OH)2}=12.8"" data-equation-content=""pK_{sp,Mn(OH)2}=12.8"" data-ignore-a11y-check=""""></mattext>",2e-14;2e-14;2E-14;2.0e-14;2.0e-14;2.0E-14;.0e-14,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{4}^{2-}"" data-equation-content=""Fe(OH)_{4}^{2-}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 11<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_4)=10.0"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_4%29%3D10.0?scale=1.5"" alt=""LaTeX: log(\beta_4)=10.0"" data-equation-content=""log(\beta_4)=10.0"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Fe(OH)2}=15.1"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CFe%28OH%292%7D%3D15.1?scale=1.5"" alt=""LaTeX: pK_{sp,Fe(OH)2}=15.1"" data-equation-content=""pK_{sp,Fe(OH)2}=15.1"" data-ignore-a11y-check=""""></mattext>",8e-12;8e-12;8E-12;7.9e-12;7.9e-12;7.9E-12;.9e-12,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""FeOH^{+}"" src=""https://weber.instructure.com/equation_images/FeOH%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: FeOH^{+}"" data-equation-content=""FeOH^{+}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 7.1<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_1)=4.6"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_1%29%3D4.6?scale=1.5"" alt=""LaTeX: log(\beta_1)=4.6"" data-equation-content=""log(\beta_1)=4.6"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Fe(OH)2}=15.1"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CFe%28OH%292%7D%3D15.1?scale=1.5"" alt=""LaTeX: pK_{sp,Fe(OH)2}=15.1"" data-equation-content=""pK_{sp,Fe(OH)2}=15.1"" data-ignore-a11y-check=""""></mattext>",0.0003;3e-4;3E-4;.0003;0.00025;2.5e-4;2.5E-4;.00025,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Al(OH)_{2}^{+}"" src=""https://weber.instructure.com/equation_images/Al%28OH%29_%7B2%7D%5E%7B%2B%7D?scale=1.5"" alt=""LaTeX: Al(OH)_{2}^{+}"" data-equation-content=""Al(OH)_{2}^{+}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Al(OH)_{3}"" src=""https://weber.instructure.com/equation_images/Al%28OH%29_%7B3%7D?scale=1.5"" alt=""LaTeX: Al(OH)_{3}"" data-equation-content=""Al(OH)_{3}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 7.1<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_2)=17.9"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_2%29%3D17.9?scale=1.5"" alt=""LaTeX: log(\beta_2)=17.9"" data-equation-content=""log(\beta_2)=17.9"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Al(OH)3}=33.5"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CAl%28OH%293%7D%3D33.5?scale=1.5"" alt=""LaTeX: pK_{sp,Al(OH)3}=33.5"" data-equation-content=""pK_{sp,Al(OH)3}=33.5"" data-ignore-a11y-check=""""></mattext>",2e-9;2e-9;2E-9;2.0e-9;2.0e-9;2.0E-9;.0e-9,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Fe(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Fe%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Fe(OH)_{2}"" data-equation-content=""Fe(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 9.7<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_2)=7.5"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_2%29%3D7.5?scale=1.5"" alt=""LaTeX: log(\beta_2)=7.5"" data-equation-content=""log(\beta_2)=7.5"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Fe(OH)2}=15.1"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CFe%28OH%292%7D%3D15.1?scale=1.5"" alt=""LaTeX: pK_{sp,Fe(OH)2}=15.1"" data-equation-content=""pK_{sp,Fe(OH)2}=15.1"" data-ignore-a11y-check=""""></mattext>",3e-8;3e-8;3E-8;2.5e-8;2.5e-8;2.5E-8;.5e-8,short_answer
"Calculate the concentration of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mn(OH)_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/Mn%28OH%29_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: Mn(OH)_{4}^{2-}"" data-equation-content=""Mn(OH)_{4}^{2-}"" data-ignore-a11y-check=""""></mattext> (in M) in a saturated solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mn(OH)_{2}"" src=""https://weber.instructure.com/equation_images/Mn%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: Mn(OH)_{2}"" data-equation-content=""Mn(OH)_{2}"" data-ignore-a11y-check=""""></mattext> given:<br>pH = 7.1<br><mattext texttype=""text/html""><img class=""equation_image"" title=""log(\beta_4)=7.7"" src=""https://weber.instructure.com/equation_images/log%28%5Cbeta_4%29%3D7.7?scale=1.5"" alt=""LaTeX: log(\beta_4)=7.7"" data-equation-content=""log(\beta_4)=7.7"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""pK_{sp,Mn(OH)2}=12.8"" src=""https://weber.instructure.com/equation_images/pK_%7Bsp%2CMn%28OH%292%7D%3D12.8?scale=1.5"" alt=""LaTeX: pK_{sp,Mn(OH)2}=12.8"" data-equation-content=""pK_{sp,Mn(OH)2}=12.8"" data-ignore-a11y-check=""""></mattext>",1e-19;1e-19;1E-19;1.3e-19;1.3e-19;1.3E-19;.3e-19,short_answer
