question,correct_answers,question_type
"Calculate the ionic strength of a 0.061 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""NaCl"" src=""https://weber.instructure.com/equation_images/NaCl?scale=1.5"" alt=""LaTeX: NaCl"" data-equation-content=""NaCl"" data-ignore-a11y-check=""""></mattext>",0.0610;6.10e-2;6.10E-2;.0610;0.061;6.1e-2;6.1E-2;.061;0.06100;6.100e-2;6.100E-2;.06100,short_answer
"Calculate the ionic strength of a 0.2 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(NO_{3})_2"" src=""https://weber.instructure.com/equation_images/Mg%28NO_%7B3%7D%29_2?scale=1.5"" alt=""LaTeX: Mg(NO_{3})_2"" data-equation-content=""Mg(NO_{3})_2"" data-ignore-a11y-check=""""></mattext>",0.60;6.0e-1;6.0E-1;.60;0.6;6e-1;6E-1;.6;0.600;6.00e-1;6.00E-1;.600,short_answer
"Calculate the ionic strength of a 0.106 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""NaCl"" src=""https://weber.instructure.com/equation_images/NaCl?scale=1.5"" alt=""LaTeX: NaCl"" data-equation-content=""NaCl"" data-ignore-a11y-check=""""></mattext>",0.106;1.06e-1;1.06E-1;.106;0.11;1.1e-1;1.1E-1;.11;0.1060;1.060e-1;1.060E-1;.1060,short_answer
"Calculate the ionic strength of a 0.14 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(Cl)_2"" src=""https://weber.instructure.com/equation_images/Mg%28Cl%29_2?scale=1.5"" alt=""LaTeX: Mg(Cl)_2"" data-equation-content=""Mg(Cl)_2"" data-ignore-a11y-check=""""></mattext>",0.42;4.2e-1;4.2E-1;.42;0.4;4e-1;4E-1;.4;0.420;4.20e-1;4.20E-1;.420,short_answer
"Calculate the ionic strength of a 0.0684 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""(K)_3PO_{4}"" src=""https://weber.instructure.com/equation_images/%28K%29_3PO_%7B4%7D?scale=1.5"" alt=""LaTeX: (K)_3PO_{4}"" data-equation-content=""(K)_3PO_{4}"" data-ignore-a11y-check=""""></mattext>",0.410;4.10e-1;4.10E-1;.410;0.41;4.1e-1;4.1E-1;.41;0.4104;4.104e-1;4.104E-1;.4104,short_answer
"Calculate the ionic strength of a 0.0852 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""(Na)_3PO_{4}"" src=""https://weber.instructure.com/equation_images/%28Na%29_3PO_%7B4%7D?scale=1.5"" alt=""LaTeX: (Na)_3PO_{4}"" data-equation-content=""(Na)_3PO_{4}"" data-ignore-a11y-check=""""></mattext>",0.5112;5.112e-1;5.112E-1;.5112;0.511;5.11e-1;5.11E-1;.511;0.51120;5.1120e-1;5.1120E-1;.51120,short_answer
"Calculate the ionic strength of a 0.15 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(Cl)_2"" src=""https://weber.instructure.com/equation_images/Mg%28Cl%29_2?scale=1.5"" alt=""LaTeX: Mg(Cl)_2"" data-equation-content=""Mg(Cl)_2"" data-ignore-a11y-check=""""></mattext>",0.45;4.5e-1;4.5E-1;.45;0.4;4e-1;4E-1;.4;0.450;4.50e-1;4.50E-1;.450,short_answer
"Calculate the ionic strength of a 0.20 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""(Na)_3PO_{4}"" src=""https://weber.instructure.com/equation_images/%28Na%29_3PO_%7B4%7D?scale=1.5"" alt=""LaTeX: (Na)_3PO_{4}"" data-equation-content=""(Na)_3PO_{4}"" data-ignore-a11y-check=""""></mattext>",1.2;1.2e0;1.2E0;1;1e0;1E0;1.;1.20;1.20e0;1.20E0,short_answer
"Calculate the ionic strength of a 0.19 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""(Na)_2SO_{4}"" src=""https://weber.instructure.com/equation_images/%28Na%29_2SO_%7B4%7D?scale=1.5"" alt=""LaTeX: (Na)_2SO_{4}"" data-equation-content=""(Na)_2SO_{4}"" data-ignore-a11y-check=""""></mattext>",0.570;5.70e-1;5.70E-1;.570;0.57;5.7e-1;5.7E-1;.57;0.5700;5.700e-1;5.700E-1;.5700,short_answer
"Calculate the ionic strength of a 0.1 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""KCl"" src=""https://weber.instructure.com/equation_images/KCl?scale=1.5"" alt=""LaTeX: KCl"" data-equation-content=""KCl"" data-ignore-a11y-check=""""></mattext>",0.1;1e-1;1E-1;.1;0.10;1.0e-1;1.0E-1;.10,short_answer
"Calculate the ionic strength of a 0.1 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""NaCl"" src=""https://weber.instructure.com/equation_images/NaCl?scale=1.5"" alt=""LaTeX: NaCl"" data-equation-content=""NaCl"" data-ignore-a11y-check=""""></mattext>",0.1;1e-1;1E-1;.1;0.10;1.0e-1;1.0E-1;.10,short_answer
"Calculate the ionic strength of a 0.198 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(Cl)_2"" src=""https://weber.instructure.com/equation_images/Mg%28Cl%29_2?scale=1.5"" alt=""LaTeX: Mg(Cl)_2"" data-equation-content=""Mg(Cl)_2"" data-ignore-a11y-check=""""></mattext>",0.5940;5.940e-1;5.940E-1;.5940;0.594;5.94e-1;5.94E-1;.594;0.59400;5.9400e-1;5.9400E-1;.59400,short_answer
"Calculate the ionic strength of a 0.1 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""(Mg)_3(PO_{4})_2"" src=""https://weber.instructure.com/equation_images/%28Mg%29_3%28PO_%7B4%7D%29_2?scale=1.5"" alt=""LaTeX: (Mg)_3(PO_{4})_2"" data-equation-content=""(Mg)_3(PO_{4})_2"" data-ignore-a11y-check=""""></mattext>",2;2e0;2E0;2.;1.5;1.5e0;1.5E0,short_answer
"Calculate the ionic strength of a 0.0796 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(NO_{3})_2"" src=""https://weber.instructure.com/equation_images/Mg%28NO_%7B3%7D%29_2?scale=1.5"" alt=""LaTeX: Mg(NO_{3})_2"" data-equation-content=""Mg(NO_{3})_2"" data-ignore-a11y-check=""""></mattext>",0.239;2.39e-1;2.39E-1;.239;0.24;2.4e-1;2.4E-1;.24;0.2388;2.388e-1;2.388E-1;.2388,short_answer
"Calculate the ionic strength of a 0.1 M solution of <mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(Cl)_2"" src=""https://weber.instructure.com/equation_images/Mg%28Cl%29_2?scale=1.5"" alt=""LaTeX: Mg(Cl)_2"" data-equation-content=""Mg(Cl)_2"" data-ignore-a11y-check=""""></mattext>",0.3;3e-1;3E-1;.3;0.30;3.0e-1;3.0E-1;.30,short_answer
