question,correct_answers,question_type
Calculate the pH of a 9.60e-7 M solution of nitric acid.,6.0131;6.0131e0;6.0131E0;6.013;6.013e0;6.013E0;6.01309;6.01309e0;6.01309E0,short_answer
Calculate the pH of a 8.43e-6 M solution of rubidium hydroxide.,8.926;8.926e0;8.926E0;8.93;8.93e0;8.93E0;8.9259;8.9259e0;8.9259E0,short_answer
Calculate the pH of a 1.7e-8 M solution of hydrobromic acid.,6.963;6.963e0;6.963E0;6.96;6.96e0;6.96E0;6.9631;6.9631e0;6.9631E0,short_answer
Calculate the pH of a 4.2e-6 M solution of potassium hydroxide.,8.62;8.62e0;8.62E0;8.6;8.6e0;8.6E0;8.623;8.623e0;8.623E0,short_answer
Calculate the pH of a 1.69e-5 M solution of potassium hydroxide.,9.228;9.228e0;9.228E0;9.23;9.23e0;9.23E0;9.2279;9.2279e0;9.2279E0,short_answer
Calculate the pH of a 2.28e-8 M solution of calcium hydroxide.,7.0982;7.0982e0;7.0982E0;7.098;7.098e0;7.098E0;7.09818;7.09818e0;7.09818E0,short_answer
Calculate the pH of a 2.03e-5 M solution of hydroiodic acid.,4.692;4.692e0;4.692E0;4.69;4.69e0;4.69E0;4.6925;4.6925e0;4.6925E0,short_answer
Calculate the pH of a 1.2e-7 M solution of nitric acid.,6.75;6.75e0;6.75E0;6.8;6.8e0;6.8E0;6.753;6.753e0;6.753E0,short_answer
Calculate the pH of a 6.3e-5 M solution of hydroiodic acid.,4.201;4.201e0;4.201E0;4.20;4.20e0;4.20E0;4.2007;4.2007e0;4.2007E0,short_answer
Calculate the pH of a 4.6e-6 M solution of nitric acid.,5.34;5.34e0;5.34E0;5.3;5.3e0;5.3E0;5.337;5.337e0;5.337E0,short_answer
Calculate the pH of a 3.8e-8 M solution of barium hydroxide.,7.161;7.161e0;7.161E0;7.16;7.16e0;7.16E0;7.1613;7.1613e0;7.1613E0,short_answer
Calculate the pH of a 1.2e-7 M solution of hydroiodic acid.,6.75;6.75e0;6.75E0;6.8;6.8e0;6.8E0;6.753;6.753e0;6.753E0,short_answer
Calculate the pH of a 5.8e-6 M solution of nitric acid.,5.236;5.236e0;5.236E0;5.24;5.24e0;5.24E0;5.2364;5.2364e0;5.2364E0,short_answer
Calculate the pH of a 1.05e-8 M solution of lithium hydroxide.,7.0228;7.0228e0;7.0228E0;7.023;7.023e0;7.023E0;7.02279;7.02279e0;7.02279E0,short_answer
Calculate the pH of a 5.74e-8 M solution of rubidium hydroxide.,7.1230;7.1230e0;7.1230E0;7.123;7.123e0;7.123E0;7.12299;7.12299e0;7.12299E0,short_answer
Calculate the pH of a 4.0e-8 M solution of sodium hydroxide.,7.086;7.086e0;7.086E0;7.09;7.09e0;7.09E0;7.0863;7.0863e0;7.0863E0,short_answer
Calculate the pH of a 3.62e-8 M solution of hydrochloric acid.,6.9218;6.9218e0;6.9218E0;6.922;6.922e0;6.922E0;6.92182;6.92182e0;6.92182E0,short_answer
