question,correct_answers,question_type
"Calculate the pH of a 0.0036 M solution of ammonia, <mattext texttype=""text/html""><img class=""equation_image"" title=""NH_{3}"" src=""https://weber.instructure.com/equation_images/NH_%7B3%7D?scale=1.5"" alt=""LaTeX: NH_{3}"" data-equation-content=""NH_{3}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=9.245"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D9.245?scale=1.5"" alt=""LaTeX: p_{Ka1}=9.245"" data-equation-content=""p_{Ka1}=9.245"" data-ignore-a11y-check=""""></mattext>",10.39;1.039e1;1.039E1;10.4;1.04e1;1.04E1;10.385;1.0385e1;1.0385E1,short_answer
"Calculate the pH of a 0.02 M solution of piperidine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{11}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B11%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{11}N"" data-equation-content=""C_{5}H_{11}N"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=11.125"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D11.125?scale=1.5"" alt=""LaTeX: p_{Ka1}=11.125"" data-equation-content=""p_{Ka1}=11.125"" data-ignore-a11y-check=""""></mattext>",11.66;1.166e1;1.166E1;11.7;1.17e1;1.17E1;11.657;1.1657e1;1.1657E1,short_answer
"Calculate the pH of a 0.02 M solution of aniline HCl, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{8}NCl"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B8%7DNCl?scale=1.5"" alt=""LaTeX: C_{6}H_{8}NCl"" data-equation-content=""C_{6}H_{8}NCl"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=4.601"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D4.601?scale=1.5"" alt=""LaTeX: p_{Ka1}=4.601"" data-equation-content=""p_{Ka1}=4.601"" data-ignore-a11y-check=""""></mattext>",3.16;3.16e0;3.16E0;3.2;3.2e0;3.2E0;3.158;3.158e0;3.158E0,short_answer
"Calculate the pH of a 0.00156 M solution of nitrous acid, <mattext texttype=""text/html""><img class=""equation_image"" title=""HNO_{2}"" src=""https://weber.instructure.com/equation_images/HNO_%7B2%7D?scale=1.5"" alt=""LaTeX: HNO_{2}"" data-equation-content=""HNO_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=3.15"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D3.15?scale=1.5"" alt=""LaTeX: p_{Ka1}=3.15"" data-equation-content=""p_{Ka1}=3.15"" data-ignore-a11y-check=""""></mattext>",3.12;3.12e0;3.12E0;3.1;3.1e0;3.1E0;3.122;3.122e0;3.122E0,short_answer
"Calculate the pH of a 0.005 M solution of sodium propanoate, <mattext texttype=""text/html""><img class=""equation_image"" title=""NaC_{3}H_{5}O_{2}"" src=""https://weber.instructure.com/equation_images/NaC_%7B3%7DH_%7B5%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: NaC_{3}H_{5}O_{2}"" data-equation-content=""NaC_{3}H_{5}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=4.874"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D4.874?scale=1.5"" alt=""LaTeX: p_{Ka1}=4.874"" data-equation-content=""p_{Ka1}=4.874"" data-ignore-a11y-check=""""></mattext>",8.29;8.29e0;8.29E0;8.3;8.3e0;8.3E0;8.287;8.287e0;8.287E0,short_answer
"Calculate the pH of a 0.03 M solution of butanoic acid, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{4}H_{8}O_{2}"" src=""https://weber.instructure.com/equation_images/C_%7B4%7DH_%7B8%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: C_{4}H_{8}O_{2}"" data-equation-content=""C_{4}H_{8}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=4.818"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D4.818?scale=1.5"" alt=""LaTeX: p_{Ka1}=4.818"" data-equation-content=""p_{Ka1}=4.818"" data-ignore-a11y-check=""""></mattext>",3.18;3.18e0;3.18E0;3.2;3.2e0;3.2E0;3.175;3.175e0;3.175E0,short_answer
"Calculate the pH of a 0.0111 M solution of formic acid, <mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{2}O_{2}"" src=""https://weber.instructure.com/equation_images/CH_%7B2%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: CH_{2}O_{2}"" data-equation-content=""CH_{2}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=3.744"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D3.744?scale=1.5"" alt=""LaTeX: p_{Ka1}=3.744"" data-equation-content=""p_{Ka1}=3.744"" data-ignore-a11y-check=""""></mattext>",2.88;2.88e0;2.88E0;2.9;2.9e0;2.9E0;2.877;2.877e0;2.877E0,short_answer
"Calculate the pH of a 0.05 M solution of formic acid, <mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{2}O_{2}"" src=""https://weber.instructure.com/equation_images/CH_%7B2%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: CH_{2}O_{2}"" data-equation-content=""CH_{2}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=3.744"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D3.744?scale=1.5"" alt=""LaTeX: p_{Ka1}=3.744"" data-equation-content=""p_{Ka1}=3.744"" data-ignore-a11y-check=""""></mattext>",2.54;2.54e0;2.54E0;2.5;2.5e0;2.5E0;2.536;2.536e0;2.536E0,short_answer
"Calculate the pH of a 0.031 M solution of benzylamine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{7}H_{9}N"" src=""https://weber.instructure.com/equation_images/C_%7B7%7DH_%7B9%7DN?scale=1.5"" alt=""LaTeX: C_{7}H_{9}N"" data-equation-content=""C_{7}H_{9}N"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=9.35"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D9.35?scale=1.5"" alt=""LaTeX: p_{Ka1}=9.35"" data-equation-content=""p_{Ka1}=9.35"" data-ignore-a11y-check=""""></mattext>",10.91;1.091e1;1.091E1;10.9;1.09e1;1.09E1;10.915;1.0915e1;1.0915E1,short_answer
"Calculate the pH of a 0.044 M solution of pyridine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{5}N"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B5%7DN?scale=1.5"" alt=""LaTeX: C_{5}H_{5}N"" data-equation-content=""C_{5}H_{5}N"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=5.2"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D5.2?scale=1.5"" alt=""LaTeX: p_{Ka1}=5.2"" data-equation-content=""p_{Ka1}=5.2"" data-ignore-a11y-check=""""></mattext>",8.92;8.92e0;8.92E0;8.9;8.9e0;8.9E0;8.922;8.922e0;8.922E0,short_answer
