question,correct_answers,question_type
"Calculate the pH of a 0.001 M solution of serine sodium salt, <mattext texttype=""text/html""><img class=""equation_image"" title=""NaC_{3}H_{6}NO_{3}"" src=""https://weber.instructure.com/equation_images/NaC_%7B3%7DH_%7B6%7DNO_%7B3%7D?scale=1.5"" alt=""LaTeX: NaC_{3}H_{6}NO_{3}"" data-equation-content=""NaC_{3}H_{6}NO_{3}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{3}H_{8}NO_{3}^{+}\leftrightarrow{}C_{3}H_{7}NO_{3}\leftrightarrow{}C_{3}H_{6}NO_{3}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B3%7DH_%7B8%7DNO_%7B3%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B3%7DH_%7B7%7DNO_%7B3%7D%5Cleftrightarrow%7B%7DC_%7B3%7DH_%7B6%7DNO_%7B3%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{3}H_{8}NO_{3}^{+}\leftrightarrow{}C_{3}H_{7}NO_{3}\leftrightarrow{}C_{3}H_{6}NO_{3}^{-}"" data-equation-content=""C_{3}H_{8}NO_{3}^{+}\leftrightarrow{}C_{3}H_{7}NO_{3}\leftrightarrow{}C_{3}H_{6}NO_{3}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.187"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.187?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.187"" data-equation-content=""p_{Ka1}=2.187"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.209"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.209?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.209"" data-equation-content=""p_{Ka2}=9.209"" data-ignore-a11y-check=""""></mattext>",10.08;1.008e1;1.008E1;10.1;1.01e1;1.01E1;10.077;1.0077e1;1.0077E1,short_answer
"Calculate the pH of a 0.022 M solution of lysine sodium salt, <mattext texttype=""text/html""><img class=""equation_image"" title=""NaC_{6}H_{13}N_{2}O_{2}"" src=""https://weber.instructure.com/equation_images/NaC_%7B6%7DH_%7B13%7DN_%7B2%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: NaC_{6}H_{13}N_{2}O_{2}"" data-equation-content=""NaC_{6}H_{13}N_{2}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{15}N_{2}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{2}O_{2}\leftrightarrow{}C_{6}H_{13}N_{2}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{2}O_{2}^{2-}"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B15%7DN_%7B2%7DO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B14%7DN_%7B2%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B13%7DN_%7B2%7DO_%7B2%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B12%7DN_%7B2%7DO_%7B2%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: C_{6}H_{15}N_{2}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{2}O_{2}\leftrightarrow{}C_{6}H_{13}N_{2}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{2}O_{2}^{2-}"" data-equation-content=""C_{6}H_{15}N_{2}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{2}O_{2}\leftrightarrow{}C_{6}H_{13}N_{2}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{2}O_{2}^{2-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=1.77"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D1.77?scale=1.5"" alt=""LaTeX: p_{Ka1}=1.77"" data-equation-content=""p_{Ka1}=1.77"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.07"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.07?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.07"" data-equation-content=""p_{Ka2}=9.07"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka3}=10.82"" src=""https://weber.instructure.com/equation_images/p_%7BKa3%7D%3D10.82?scale=1.5"" alt=""LaTeX: p_{Ka3}=10.82"" data-equation-content=""p_{Ka3}=10.82"" data-ignore-a11y-check=""""></mattext>",9.94;9.94e0;9.94E0;9.9;9.9e0;9.9E0;9.937;9.937e0;9.937E0,short_answer
"Calculate the pH of a 0.05 M solution of sodium threonate, <mattext texttype=""text/html""><img class=""equation_image"" title=""NaC_{4}H_{8}NO_{3}"" src=""https://weber.instructure.com/equation_images/NaC_%7B4%7DH_%7B8%7DNO_%7B3%7D?scale=1.5"" alt=""LaTeX: NaC_{4}H_{8}NO_{3}"" data-equation-content=""NaC_{4}H_{8}NO_{3}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{4}H_{10}NO_{3}^{+}\leftrightarrow{}C_{4}H_{9}NO_{3}\leftrightarrow{}C_{4}H_{8}NO_{3}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B4%7DH_%7B10%7DNO_%7B3%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B4%7DH_%7B9%7DNO_%7B3%7D%5Cleftrightarrow%7B%7DC_%7B4%7DH_%7B8%7DNO_%7B3%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{4}H_{10}NO_{3}^{+}\leftrightarrow{}C_{4}H_{9}NO_{3}\leftrightarrow{}C_{4}H_{8}NO_{3}^{-}"" data-equation-content=""C_{4}H_{10}NO_{3}^{+}\leftrightarrow{}C_{4}H_{9}NO_{3}\leftrightarrow{}C_{4}H_{8}NO_{3}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.088"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.088?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.088"" data-equation-content=""p_{Ka1}=2.088"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.1"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.1?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.1"" data-equation-content=""p_{Ka2}=9.1"" data-ignore-a11y-check=""""></mattext>",10.90;1.090e1;1.090E1;10.9;1.09e1;1.09E1;10.896;1.0896e1;1.0896E1,short_answer
"Calculate the pH of a 0.08 M solution of valine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{11}NO_{2}"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B11%7DNO_%7B2%7D?scale=1.5"" alt=""LaTeX: C_{5}H_{11}NO_{2}"" data-equation-content=""C_{5}H_{11}NO_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{12}NO_{2}^{+}\leftrightarrow{}C_{5}H_{11}NO_{2}\leftrightarrow{}C_{5}H_{10}NO_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B12%7DNO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B11%7DNO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B10%7DNO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{5}H_{12}NO_{2}^{+}\leftrightarrow{}C_{5}H_{11}NO_{2}\leftrightarrow{}C_{5}H_{10}NO_{2}^{-}"" data-equation-content=""C_{5}H_{12}NO_{2}^{+}\leftrightarrow{}C_{5}H_{11}NO_{2}\leftrightarrow{}C_{5}H_{10}NO_{2}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.286"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.286?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.286"" data-equation-content=""p_{Ka1}=2.286"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.719"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.719?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.719"" data-equation-content=""p_{Ka2}=9.719"" data-ignore-a11y-check=""""></mattext>",6.02;6.02e0;6.02E0;6.0;6.0e0;6.0E0;6.016;6.016e0;6.016E0,short_answer
"Calculate the pH of a 0.0016 M solution of glycine HCl, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{6}NO_{2}Cl"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B6%7DNO_%7B2%7DCl?scale=1.5"" alt=""LaTeX: C_{2}H_{6}NO_{2}Cl"" data-equation-content=""C_{2}H_{6}NO_{2}Cl"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{6}NO_{2}^{+}\leftrightarrow{}C_{2}H_{5}NO_{2}\leftrightarrow{}C_{2}H_{4}NO_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B6%7DNO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B2%7DH_%7B5%7DNO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B2%7DH_%7B4%7DNO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{2}H_{6}NO_{2}^{+}\leftrightarrow{}C_{2}H_{5}NO_{2}\leftrightarrow{}C_{2}H_{4}NO_{2}^{-}"" data-equation-content=""C_{2}H_{6}NO_{2}^{+}\leftrightarrow{}C_{2}H_{5}NO_{2}\leftrightarrow{}C_{2}H_{4}NO_{2}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.35"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.35?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.35"" data-equation-content=""p_{Ka1}=2.35"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.778"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.778?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.778"" data-equation-content=""p_{Ka2}=9.778"" data-ignore-a11y-check=""""></mattext>",2.90;2.90e0;2.90E0;2.9;2.9e0;2.9E0;2.903;2.903e0;2.903E0,short_answer
"Calculate the pH of a 0.012 M solution of phenylalanine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{9}H_{11}NO_{2}"" src=""https://weber.instructure.com/equation_images/C_%7B9%7DH_%7B11%7DNO_%7B2%7D?scale=1.5"" alt=""LaTeX: C_{9}H_{11}NO_{2}"" data-equation-content=""C_{9}H_{11}NO_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{9}H_{12}NO_{2}^{+}\leftrightarrow{}C_{9}H_{11}NO_{2}\leftrightarrow{}C_{9}H_{10}NO_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B9%7DH_%7B12%7DNO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B9%7DH_%7B11%7DNO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B9%7DH_%7B10%7DNO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{9}H_{12}NO_{2}^{+}\leftrightarrow{}C_{9}H_{11}NO_{2}\leftrightarrow{}C_{9}H_{10}NO_{2}^{-}"" data-equation-content=""C_{9}H_{12}NO_{2}^{+}\leftrightarrow{}C_{9}H_{11}NO_{2}\leftrightarrow{}C_{9}H_{10}NO_{2}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.2"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.2?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.2"" data-equation-content=""p_{Ka1}=2.2"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.31"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.31?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.31"" data-equation-content=""p_{Ka2}=9.31"" data-ignore-a11y-check=""""></mattext>",5.85;5.85e0;5.85E0;5.8;5.8e0;5.8E0;5.846;5.846e0;5.846E0,short_answer
"Calculate the pH of a 0.002 M solution of alanine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{3}H_{7}NO_{2}"" src=""https://weber.instructure.com/equation_images/C_%7B3%7DH_%7B7%7DNO_%7B2%7D?scale=1.5"" alt=""LaTeX: C_{3}H_{7}NO_{2}"" data-equation-content=""C_{3}H_{7}NO_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{3}H_{8}NO_{2}^{+}\leftrightarrow{}C_{3}H_{7}NO_{2}\leftrightarrow{}C_{3}H_{6}NO_{2}^{-}"" src=""https://weber.instructure.com/equation_images/C_%7B3%7DH_%7B8%7DNO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B3%7DH_%7B7%7DNO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B3%7DH_%7B6%7DNO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: C_{3}H_{8}NO_{2}^{+}\leftrightarrow{}C_{3}H_{7}NO_{2}\leftrightarrow{}C_{3}H_{6}NO_{2}^{-}"" data-equation-content=""C_{3}H_{8}NO_{2}^{+}\leftrightarrow{}C_{3}H_{7}NO_{2}\leftrightarrow{}C_{3}H_{6}NO_{2}^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.344"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.344?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.344"" data-equation-content=""p_{Ka1}=2.344"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=9.868"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D9.868?scale=1.5"" alt=""LaTeX: p_{Ka2}=9.868"" data-equation-content=""p_{Ka2}=9.868"" data-ignore-a11y-check=""""></mattext>",6.36;6.36e0;6.36E0;6.4;6.4e0;6.4E0;6.355;6.355e0;6.355E0,short_answer
"Calculate the pH of a 0.0544 M solution of histidine HCl, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{10}N_{3}O_{2}Cl"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B10%7DN_%7B3%7DO_%7B2%7DCl?scale=1.5"" alt=""LaTeX: C_{6}H_{10}N_{3}O_{2}Cl"" data-equation-content=""C_{6}H_{10}N_{3}O_{2}Cl"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{10}N_{3}O_{2}^{+}\leftrightarrow{}C_{6}H_{9}N_{3}O_{2}\leftrightarrow{}C_{6}H_{8}N_{3}O_{2}^{-}\leftrightarrow{}C_{6}H_{7}N_{3}O_{2}^{2-}"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B10%7DN_%7B3%7DO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B9%7DN_%7B3%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B8%7DN_%7B3%7DO_%7B2%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B7%7DN_%7B3%7DO_%7B2%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: C_{6}H_{10}N_{3}O_{2}^{+}\leftrightarrow{}C_{6}H_{9}N_{3}O_{2}\leftrightarrow{}C_{6}H_{8}N_{3}O_{2}^{-}\leftrightarrow{}C_{6}H_{7}N_{3}O_{2}^{2-}"" data-equation-content=""C_{6}H_{10}N_{3}O_{2}^{+}\leftrightarrow{}C_{6}H_{9}N_{3}O_{2}\leftrightarrow{}C_{6}H_{8}N_{3}O_{2}^{-}\leftrightarrow{}C_{6}H_{7}N_{3}O_{2}^{2-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=1.6"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D1.6?scale=1.5"" alt=""LaTeX: p_{Ka1}=1.6"" data-equation-content=""p_{Ka1}=1.6"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=5.97"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D5.97?scale=1.5"" alt=""LaTeX: p_{Ka2}=5.97"" data-equation-content=""p_{Ka2}=5.97"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka3}=9.28"" src=""https://weber.instructure.com/equation_images/p_%7BKa3%7D%3D9.28?scale=1.5"" alt=""LaTeX: p_{Ka3}=9.28"" data-equation-content=""p_{Ka3}=9.28"" data-ignore-a11y-check=""""></mattext>",1.58;1.58e0;1.58E0;1.6;1.6e0;1.6E0;1.577;1.577e0;1.577E0,short_answer
"Calculate the pH of a 0.004 M solution of sodium glutamate, <mattext texttype=""text/html""><img class=""equation_image"" title=""NaC_{5}H_{8}NO_{4}"" src=""https://weber.instructure.com/equation_images/NaC_%7B5%7DH_%7B8%7DNO_%7B4%7D?scale=1.5"" alt=""LaTeX: NaC_{5}H_{8}NO_{4}"" data-equation-content=""NaC_{5}H_{8}NO_{4}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{5}H_{10}NO_{4}^{+}\leftrightarrow{}C_{5}H_{9}NO_{4}\leftrightarrow{}C_{5}H_{8}NO_{4}^{-}\leftrightarrow{}C_{5}H_{7}NO_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/C_%7B5%7DH_%7B10%7DNO_%7B4%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B9%7DNO_%7B4%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B8%7DNO_%7B4%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DC_%7B5%7DH_%7B7%7DNO_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: C_{5}H_{10}NO_{4}^{+}\leftrightarrow{}C_{5}H_{9}NO_{4}\leftrightarrow{}C_{5}H_{8}NO_{4}^{-}\leftrightarrow{}C_{5}H_{7}NO_{4}^{2-}"" data-equation-content=""C_{5}H_{10}NO_{4}^{+}\leftrightarrow{}C_{5}H_{9}NO_{4}\leftrightarrow{}C_{5}H_{8}NO_{4}^{-}\leftrightarrow{}C_{5}H_{7}NO_{4}^{2-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=2.16"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D2.16?scale=1.5"" alt=""LaTeX: p_{Ka1}=2.16"" data-equation-content=""p_{Ka1}=2.16"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=4.3"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D4.3?scale=1.5"" alt=""LaTeX: p_{Ka2}=4.3"" data-equation-content=""p_{Ka2}=4.3"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka3}=9.96"" src=""https://weber.instructure.com/equation_images/p_%7BKa3%7D%3D9.96?scale=1.5"" alt=""LaTeX: p_{Ka3}=9.96"" data-equation-content=""p_{Ka3}=9.96"" data-ignore-a11y-check=""""></mattext>",7.13;7.13e0;7.13E0;7.1;7.1e0;7.1E0;7.128;7.128e0;7.128E0,short_answer
"Calculate the pH of a 0.0028 M solution of arginine, <mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{14}N_{4}O_{2}"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B14%7DN_%7B4%7DO_%7B2%7D?scale=1.5"" alt=""LaTeX: C_{6}H_{14}N_{4}O_{2}"" data-equation-content=""C_{6}H_{14}N_{4}O_{2}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{6}H_{15}N_{4}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{4}O_{2}\leftrightarrow{}C_{6}H_{13}N_{4}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{4}O_{2}^{2-}"" src=""https://weber.instructure.com/equation_images/C_%7B6%7DH_%7B15%7DN_%7B4%7DO_%7B2%7D%5E%7B%2B%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B14%7DN_%7B4%7DO_%7B2%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B13%7DN_%7B4%7DO_%7B2%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DC_%7B6%7DH_%7B12%7DN_%7B4%7DO_%7B2%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: C_{6}H_{15}N_{4}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{4}O_{2}\leftrightarrow{}C_{6}H_{13}N_{4}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{4}O_{2}^{2-}"" data-equation-content=""C_{6}H_{15}N_{4}O_{2}^{+}\leftrightarrow{}C_{6}H_{14}N_{4}O_{2}\leftrightarrow{}C_{6}H_{13}N_{4}O_{2}^{-}\leftrightarrow{}C_{6}H_{12}N_{4}O_{2}^{2-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka1}=1.823"" src=""https://weber.instructure.com/equation_images/p_%7BKa1%7D%3D1.823?scale=1.5"" alt=""LaTeX: p_{Ka1}=1.823"" data-equation-content=""p_{Ka1}=1.823"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka2}=8.991"" src=""https://weber.instructure.com/equation_images/p_%7BKa2%7D%3D8.991?scale=1.5"" alt=""LaTeX: p_{Ka2}=8.991"" data-equation-content=""p_{Ka2}=8.991"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""p_{Ka3}=12.48"" src=""https://weber.instructure.com/equation_images/p_%7BKa3%7D%3D12.48?scale=1.5"" alt=""LaTeX: p_{Ka3}=12.48"" data-equation-content=""p_{Ka3}=12.48"" data-ignore-a11y-check=""""></mattext>",5.81;5.81e0;5.81E0;5.8;5.8e0;5.8E0;5.808;5.808e0;5.808E0,short_answer
