question,correct_answers,question_type
Write the balanced half reaction for reduction of ClO4- to ClO3-.,2e- + ClO4- + 2H+ = ClO3- + H2O;2e- + ClO4- + 2H+ = H2O + ClO3-;2e- + 2H+ + ClO4- = ClO3- + H2O;2e- + 2H+ + ClO4- = H2O + ClO3-;ClO4- + 2e- + 2H+ = ClO3- + H2O;ClO4- + 2e- + 2H+ = H2O + ClO3-;ClO4- + 2H+ + 2e- = ClO3- + H2O;ClO4- + 2H+ + 2e- = H2O + ClO3-;2H+ + 2e- + ClO4- = ClO3- + H2O;2H+ + 2e- + ClO4- = H2O + ClO3-;2H+ + ClO4- + 2e- = ClO3- + H2O;2H+ + ClO4- + 2e- = H2O + ClO3-,short_answer
Write the balanced half reaction for reduction of Fe++ to Fe(s).,2e- + Fe++ = Fe(s);Fe++ + 2e- = Fe(s),short_answer
Write the balanced half reaction for reduction of MnO4- to MnO4--.,e- + MnO4- = MnO4--;MnO4- + e- = MnO4--,short_answer
Write the balanced half reaction for reduction of CrO4-- to Cr(OH)3(s) under basic conditions.,3e- + CrO4-- + 4H2O = Cr(OH)3(s) + 5OH-;3e- + CrO4-- + 4H2O = 5OH- + Cr(OH)3(s);3e- + 4H2O + CrO4-- = Cr(OH)3(s) + 5OH-;3e- + 4H2O + CrO4-- = 5OH- + Cr(OH)3(s);CrO4-- + 3e- + 4H2O = Cr(OH)3(s) + 5OH-;CrO4-- + 3e- + 4H2O = 5OH- + Cr(OH)3(s);CrO4-- + 4H2O + 3e- = Cr(OH)3(s) + 5OH-;CrO4-- + 4H2O + 3e- = 5OH- + Cr(OH)3(s);4H2O + 3e- + CrO4-- = Cr(OH)3(s) + 5OH-;4H2O + 3e- + CrO4-- = 5OH- + Cr(OH)3(s);4H2O + CrO4-- + 3e- = Cr(OH)3(s) + 5OH-;4H2O + CrO4-- + 3e- = 5OH- + Cr(OH)3(s),short_answer
Write the balanced half reaction for reduction of Co(OH)2(s) to Co(s) under basic conditions.,2e- + Co(OH)2(s) = Co(s) + 2OH-;2e- + Co(OH)2(s) = 2OH- + Co(s);Co(OH)2(s) + 2e- = Co(s) + 2OH-;Co(OH)2(s) + 2e- = 2OH- + Co(s),short_answer
Write the balanced half reaction for reduction of Cr2O7-- to Cr+++ under acidic conditions.,6e- + Cr2O7-- + 14H+ = 2Cr+++ + 7H2O;6e- + Cr2O7-- + 14H+ = 7H2O + 2Cr+++;6e- + 14H+ + Cr2O7-- = 2Cr+++ + 7H2O;6e- + 14H+ + Cr2O7-- = 7H2O + 2Cr+++;Cr2O7-- + 6e- + 14H+ = 2Cr+++ + 7H2O;Cr2O7-- + 6e- + 14H+ = 7H2O + 2Cr+++;Cr2O7-- + 14H+ + 6e- = 2Cr+++ + 7H2O;Cr2O7-- + 14H+ + 6e- = 7H2O + 2Cr+++;14H+ + 6e- + Cr2O7-- = 2Cr+++ + 7H2O;14H+ + 6e- + Cr2O7-- = 7H2O + 2Cr+++;14H+ + Cr2O7-- + 6e- = 2Cr+++ + 7H2O;14H+ + Cr2O7-- + 6e- = 7H2O + 2Cr+++,short_answer
Write the balanced half reaction for reduction of Br2(l) to Br-.,2e- + Br2(l) = 2Br-;Br2(l) + 2e- = 2Br-,short_answer
Write the balanced half reaction for reduction of Cu+ to Cu(s).,e- + Cu+ = Cu(s);Cu+ + e- = Cu(s),short_answer
Write the balanced half reaction for reduction of Bi+++ to Bi(s).,3e- + Bi+++ = Bi(s);Bi+++ + 3e- = Bi(s),short_answer
Write the balanced half reaction for reduction of FeOH++ to Fe++ under acidic conditions.,e- + FeOH++ + H+ = Fe++ + H2O;e- + FeOH++ + H+ = H2O + Fe++;e- + H+ + FeOH++ = Fe++ + H2O;e- + H+ + FeOH++ = H2O + Fe++;FeOH++ + e- + H+ = Fe++ + H2O;FeOH++ + e- + H+ = H2O + Fe++;FeOH++ + H+ + e- = Fe++ + H2O;FeOH++ + H+ + e- = H2O + Fe++;H+ + e- + FeOH++ = Fe++ + H2O;H+ + e- + FeOH++ = H2O + Fe++;H+ + FeOH++ + e- = Fe++ + H2O;H+ + FeOH++ + e- = H2O + Fe++,short_answer
Write the balanced half reaction for reduction of B4O7-- to B(s) under acidic conditions.,12e- + B4O7-- + 14H+ = 4B(s) + 7H2O;12e- + B4O7-- + 14H+ = 7H2O + 4B(s);12e- + 14H+ + B4O7-- = 4B(s) + 7H2O;12e- + 14H+ + B4O7-- = 7H2O + 4B(s);B4O7-- + 12e- + 14H+ = 4B(s) + 7H2O;B4O7-- + 12e- + 14H+ = 7H2O + 4B(s);B4O7-- + 14H+ + 12e- = 4B(s) + 7H2O;B4O7-- + 14H+ + 12e- = 7H2O + 4B(s);14H+ + 12e- + B4O7-- = 4B(s) + 7H2O;14H+ + 12e- + B4O7-- = 7H2O + 4B(s);14H+ + B4O7-- + 12e- = 4B(s) + 7H2O;14H+ + B4O7-- + 12e- = 7H2O + 4B(s),short_answer
Write the balanced half reaction for reduction of Be++ to Be(s).,2e- + Be++ = Be(s);Be++ + 2e- = Be(s),short_answer
Write the balanced half reaction for reduction of MnO2(s) to Mn++ under acidic conditions.,2e- + MnO2(s) + 4H+ = Mn++ + 2H2O;2e- + MnO2(s) + 4H+ = 2H2O + Mn++;2e- + 4H+ + MnO2(s) = Mn++ + 2H2O;2e- + 4H+ + MnO2(s) = 2H2O + Mn++;MnO2(s) + 2e- + 4H+ = Mn++ + 2H2O;MnO2(s) + 2e- + 4H+ = 2H2O + Mn++;MnO2(s) + 4H+ + 2e- = Mn++ + 2H2O;MnO2(s) + 4H+ + 2e- = 2H2O + Mn++;4H+ + 2e- + MnO2(s) = Mn++ + 2H2O;4H+ + 2e- + MnO2(s) = 2H2O + Mn++;4H+ + MnO2(s) + 2e- = Mn++ + 2H2O;4H+ + MnO2(s) + 2e- = 2H2O + Mn++,short_answer
