question,correct_answers,question_type
"A compound has a distribution coefficient of 0.0232. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.00371 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.0000861;8.61e-5;8.61E-5;.0000861;0.000086;8.6e-5;8.6E-5;.000086;0.00008607;8.607e-5;8.607E-5;.00008607,short_answer
"A compound has a distribution coefficient of 0.18. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.0017 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.00031;3.1e-4;3.1E-4;.00031;0.0003;3e-4;3E-4;.0003;0.000306;3.06e-4;3.06E-4;.000306,short_answer
"A compound has a distribution coefficient of 217.5. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.00303 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.659;6.59e-1;6.59E-1;.659;0.66;6.6e-1;6.6E-1;.66;0.6590;6.590e-1;6.590E-1;.6590,short_answer
"A compound has a distribution coefficient of 2.07e-4. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 9.1e-4 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",1.9e-7;1.9e-7;1.9E-7;2e-7;2e-7;2E-7;1.88e-7;1.88e-7;1.88E-7,short_answer
"A compound has a distribution coefficient of 0.01063. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.0040 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.000043;4.3e-5;4.3E-5;.000043;0.00004;4e-5;4E-5;.00004;0.0000425;4.25e-5;4.25E-5;.0000425,short_answer
"A compound has a distribution coefficient of 0.004476. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.00138 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.00000618;6.18e-6;6.18E-6;.00000618;0.0000062;6.2e-6;6.2E-6;.0000062;0.000006177;6.177e-6;6.177E-6;.000006177,short_answer
"A compound has a distribution coefficient of 1.089e-4. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.0019 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",2.1e-7;2.1e-7;2.1E-7;2e-7;2e-7;2E-7;2.07e-7;2.07e-7;2.07E-7,short_answer
"A compound has a distribution coefficient of 2.48. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.00352 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.00873;8.73e-3;8.73E-3;.00873;0.0087;8.7e-3;8.7E-3;.0087;0.008730;8.730e-3;8.730E-3;.008730,short_answer
"A compound has a distribution coefficient of 0.0075. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.00162 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.000012;1.2e-5;1.2E-5;.000012;0.00001;1e-5;1E-5;.00001;0.0000122;1.22e-5;1.22E-5;.0000122,short_answer
"A compound has a distribution coefficient of 2.45. Calculate the concentration (in M) of the compound in phase 2 given that the concentration in phase 1 is 0.0015 M.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" src=""https://weber.instructure.com/equation_images/A_%7BPhase1%7D%5Cleftrightarrows%7B%7DA_%7BPhase2%7D?scale=1.5"" alt=""LaTeX: A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-equation-content=""A_{Phase1}\leftrightarrows{}A_{Phase2}"" data-ignore-a11y-check=""""></mattext>",0.0037;3.7e-3;3.7E-3;.0037;0.004;4e-3;4E-3;.004;0.00368;3.68e-3;3.68E-3;.00368,short_answer
