question,correct_answers,question_type
"Calculate the number of moles of Cl- formed by flowing a current of 9.70 A into a solution for 4.1 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2Cl%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" data-equation-content=""2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" data-ignore-a11y-check=""""></mattext>",0.025;2.5e-2;2.5E-2;.025;0.02;2e-2;2E-2;.02;0.0247;2.47e-2;2.47E-2;.0247,short_answer
"Calculate the number of moles of Mn++ formed by flowing a current of 1.5 A into a solution for 2.35 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BMnO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DMn%5E%7B2%2B%7D%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" data-equation-content=""2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0011;1.1e-3;1.1E-3;.0011;0.001;1e-3;1E-3;.001;0.00110;1.10e-3;1.10E-3;.00110,short_answer
"Calculate the number of moles of Co formed by flowing a current of 3.082 A into a solution for 28 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCo%28OH%29_%7B2%7D%28s%29%5Cleftrightarrows%7B%7DCo%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" data-equation-content=""2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext>",0.027;2.7e-2;2.7E-2;.027;0.03;3e-2;3E-2;.03;0.0268;2.68e-2;2.68E-2;.0268,short_answer
"Calculate the number of moles of Ni formed by flowing a current of 6.2 A into a solution for 10.8 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Ni(OH)_{2}(s)\leftrightarrows{}Ni(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BNi%28OH%29_%7B2%7D%28s%29%5Cleftrightarrows%7B%7DNi%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Ni(OH)_{2}(s)\leftrightarrows{}Ni(s)+2OH^{-}"" data-equation-content=""2e^{-}+Ni(OH)_{2}(s)\leftrightarrows{}Ni(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext>",0.021;2.1e-2;2.1E-2;.021;0.02;2e-2;2E-2;.02;0.0208;2.08e-2;2.08E-2;.0208,short_answer
"Calculate the number of moles of Cl- formed by flowing a current of 8.84 A into a solution for 4.02 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2Cl%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" data-equation-content=""2e^{-}+Cl_{2}(g)\leftrightarrows{}2Cl^{-}"" data-ignore-a11y-check=""""></mattext>",0.0221;2.21e-2;2.21E-2;.0221;0.022;2.2e-2;2.2E-2;.022;0.02210;2.210e-2;2.210E-2;.02210,short_answer
"Calculate the number of moles of MnO2 formed by flowing a current of 7.1 A into a solution for 3.0 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrows{}MnO_{2}(s)+2H_{2}O"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BMnO_%7B4%7D%5E%7B-%7D%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DMnO_%7B2%7D%28s%29%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrows{}MnO_{2}(s)+2H_{2}O"" data-equation-content=""3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrows{}MnO_{2}(s)+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0044;4.4e-3;4.4E-3;.0044;0.004;4e-3;4E-3;.004;0.00442;4.42e-3;4.42E-3;.00442,short_answer
"Calculate the number of moles of F- formed by flowing a current of 4.3 A into a solution for 5.2 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""4e^{-}+F_{2}O(g)+2H^{+}\leftrightarrows{}2F^{-}+H_{2}O"" src=""https://weber.instructure.com/equation_images/4e%5E%7B-%7D%2BF_%7B2%7DO%28g%29%2B2H%5E%7B%2B%7D%5Cleftrightarrows%7B%7D2F%5E%7B-%7D%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 4e^{-}+F_{2}O(g)+2H^{+}\leftrightarrows{}2F^{-}+H_{2}O"" data-equation-content=""4e^{-}+F_{2}O(g)+2H^{+}\leftrightarrows{}2F^{-}+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0070;7.0e-3;7.0E-3;.0070;0.007;7e-3;7E-3;.007;0.00695;6.95e-3;6.95E-3;.00695,short_answer
"Calculate the number of moles of HClO2 formed by flowing a current of 10. A into a solution for 3.95 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+ClO_{3}^{-}+3H^{+}\leftrightarrows{}HClO_{2}+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BClO_%7B3%7D%5E%7B-%7D%2B3H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DHClO_%7B2%7D%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+ClO_{3}^{-}+3H^{+}\leftrightarrows{}HClO_{2}+H_{2}O"" data-equation-content=""2e^{-}+ClO_{3}^{-}+3H^{+}\leftrightarrows{}HClO_{2}+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.012;1.2e-2;1.2E-2;.012;0.01;1e-2;1E-2;.01;0.0123;1.23e-2;1.23E-2;.0123,short_answer
"Calculate the number of moles of Co formed by flowing a current of 1.49 A into a solution for 19 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCo%28OH%29_%7B2%7D%28s%29%5Cleftrightarrows%7B%7DCo%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" data-equation-content=""2e^{-}+Co(OH)_{2}(s)\leftrightarrows{}Co(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext>",0.0088;8.8e-3;8.8E-3;.0088;0.009;9e-3;9E-3;.009;0.00880;8.80e-3;8.80E-3;.00880,short_answer
"Calculate the number of moles of Mn++ formed by flowing a current of 6.8 A into a solution for 18.0 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BMnO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DMn%5E%7B2%2B%7D%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" data-equation-content=""2e^{-}+MnO_{2}(s)+4H^{+}\leftrightarrows{}Mn^{2+}+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.038;3.8e-2;3.8E-2;.038;0.04;4e-2;4E-2;.04;0.0381;3.81e-2;3.81E-2;.0381,short_answer
