question,correct_answers,question_type
"Given the half-reactions below calculate the net potential of this galvanic cell (in V):<br><mattext texttype=""text/html""><img class=""equation_image"" title=""6e^{-}+IO_{3}^{-}+3H_{2}O\leftrightarrow{}I^{-}+6OH^{-}"" src=""https://weber.instructure.com/equation_images/6e%5E%7B-%7D%2BIO_%7B3%7D%5E%7B-%7D%2B3H_%7B2%7DO%5Cleftrightarrow%7B%7DI%5E%7B-%7D%2B6OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 6e^{-}+IO_{3}^{-}+3H_{2}O\leftrightarrow{}I^{-}+6OH^{-}"" data-equation-content=""6e^{-}+IO_{3}^{-}+3H_{2}O\leftrightarrow{}I^{-}+6OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.269V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.269V?scale=1.5"" alt=""LaTeX: E^o=0.269V"" data-equation-content=""E^o=0.269V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCo%28OH%29_%7B2%7D%28s%29%5Cleftrightarrow%7B%7DCo%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" data-equation-content=""2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.746V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.746V?scale=1.5"" alt=""LaTeX: E^o=-0.746V"" data-equation-content=""E^o=-0.746V"" data-ignore-a11y-check=""""></mattext>",1.015;1.015e0;1.015E0;1.02;1.02e0;1.02E0;1.0150;1.0150e0;1.0150E0,short_answer
"The two half-reactions of a galvanic cell are listed below. Which element is oxidized?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BFeOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrow%7B%7DFe%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-equation-content=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.16V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.16V?scale=1.5"" alt=""LaTeX: E^o=-0.16V"" data-equation-content=""E^o=-0.16V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Mn_{2}O_{3}(s)+6H^{+}\leftrightarrow{}2Mn^{2+}+3H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BMn_%7B2%7DO_%7B3%7D%28s%29%2B6H%5E%7B%2B%7D%5Cleftrightarrow%7B%7D2Mn%5E%7B2%2B%7D%2B3H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+Mn_{2}O_{3}(s)+6H^{+}\leftrightarrow{}2Mn^{2+}+3H_{2}O"" data-equation-content=""2e^{-}+Mn_{2}O_{3}(s)+6H^{+}\leftrightarrow{}2Mn^{2+}+3H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=1.485V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D1.485V?scale=1.5"" alt=""LaTeX: E^o=1.485V"" data-equation-content=""E^o=1.485V"" data-ignore-a11y-check=""""></mattext>",Fe,short_answer
"The two half-reactions of a galvanic cell are listed below. Which element is oxidized?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+PbO_{2}(s)+4H^{+}\leftrightarrow{}Pb^{2+}+2H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BPbO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrow%7B%7DPb%5E%7B2%2B%7D%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+PbO_{2}(s)+4H^{+}\leftrightarrow{}Pb^{2+}+2H_{2}O"" data-equation-content=""2e^{-}+PbO_{2}(s)+4H^{+}\leftrightarrow{}Pb^{2+}+2H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=1.458V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D1.458V?scale=1.5"" alt=""LaTeX: E^o=1.458V"" data-equation-content=""E^o=1.458V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BFeOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrow%7B%7DFe%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-equation-content=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.16V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.16V?scale=1.5"" alt=""LaTeX: E^o=-0.16V"" data-equation-content=""E^o=-0.16V"" data-ignore-a11y-check=""""></mattext>",Fe,short_answer
"Given the half-reactions below calculate the net potential of this galvanic cell (in V):<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Be^{2+}\leftrightarrow{}Be(s)"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBe%5E%7B2%2B%7D%5Cleftrightarrow%7B%7DBe%28s%29?scale=1.5"" alt=""LaTeX: 2e^{-}+Be^{2+}\leftrightarrow{}Be(s)"" data-equation-content=""2e^{-}+Be^{2+}\leftrightarrow{}Be(s)"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-1.968V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-1.968V?scale=1.5"" alt=""LaTeX: E^o=-1.968V"" data-equation-content=""E^o=-1.968V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+Sb(s)+3H^{+}\leftrightarrow{}SbH_{3}(g)"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BSb%28s%29%2B3H%5E%7B%2B%7D%5Cleftrightarrow%7B%7DSbH_%7B3%7D%28g%29?scale=1.5"" alt=""LaTeX: 3e^{-}+Sb(s)+3H^{+}\leftrightarrow{}SbH_{3}(g)"" data-equation-content=""3e^{-}+Sb(s)+3H^{+}\leftrightarrow{}SbH_{3}(g)"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.51V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.51V?scale=1.5"" alt=""LaTeX: E^o=-0.51V"" data-equation-content=""E^o=-0.51V"" data-ignore-a11y-check=""""></mattext>",1.46;1.46e0;1.46E0;1.5;1.5e0;1.5E0;1.458;1.458e0;1.458E0,short_answer
"The two half-reactions of a galvanic cell are listed below. Which element is reduced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""e^{-}+MnO_{4}^{-}\leftrightarrow{}MnO_{4}^{2-}"" src=""https://weber.instructure.com/equation_images/e%5E%7B-%7D%2BMnO_%7B4%7D%5E%7B-%7D%5Cleftrightarrow%7B%7DMnO_%7B4%7D%5E%7B2-%7D?scale=1.5"" alt=""LaTeX: e^{-}+MnO_{4}^{-}\leftrightarrow{}MnO_{4}^{2-}"" data-equation-content=""e^{-}+MnO_{4}^{-}\leftrightarrow{}MnO_{4}^{2-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.002V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.002V?scale=1.5"" alt=""LaTeX: E^o=0.002V"" data-equation-content=""E^o=0.002V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrow{}As(s)+3H_{2}O"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BH_%7B3%7DAsO_%7B3%7D%2B3H%5E%7B%2B%7D%5Cleftrightarrow%7B%7DAs%28s%29%2B3H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrow{}As(s)+3H_{2}O"" data-equation-content=""3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrow{}As(s)+3H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.2475V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.2475V?scale=1.5"" alt=""LaTeX: E^o=0.2475V"" data-equation-content=""E^o=0.2475V"" data-ignore-a11y-check=""""></mattext>",As,short_answer
"The two half-reactions of a galvanic cell are listed below. Which element is oxidized?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+CrO_{4}^{2-}+4H_{2}O\leftrightarrow{}Cr(OH)_{3}(s)+5OH^{-}"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BCrO_%7B4%7D%5E%7B2-%7D%2B4H_%7B2%7DO%5Cleftrightarrow%7B%7DCr%28OH%29_%7B3%7D%28s%29%2B5OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 3e^{-}+CrO_{4}^{2-}+4H_{2}O\leftrightarrow{}Cr(OH)_{3}(s)+5OH^{-}"" data-equation-content=""3e^{-}+CrO_{4}^{2-}+4H_{2}O\leftrightarrow{}Cr(OH)_{3}(s)+5OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.12V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.12V?scale=1.5"" alt=""LaTeX: E^o=-0.12V"" data-equation-content=""E^o=-0.12V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCo%28OH%29_%7B2%7D%28s%29%5Cleftrightarrow%7B%7DCo%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" data-equation-content=""2e^{-}+Co(OH)_{2}(s)\leftrightarrow{}Co(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.746V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.746V?scale=1.5"" alt=""LaTeX: E^o=-0.746V"" data-equation-content=""E^o=-0.746V"" data-ignore-a11y-check=""""></mattext>",Co,short_answer
"The two half-reactions of a galvanic cell are listed below. Which element is reduced?<br><mattext texttype=""text/html""><img class=""equation_image"" title=""e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" src=""https://weber.instructure.com/equation_images/e%5E%7B-%7D%2BFe%5E%7B3%2B%7D%5Cleftrightarrow%7B%7DFe%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" data-equation-content=""e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.771V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.771V?scale=1.5"" alt=""LaTeX: E^o=0.771V"" data-equation-content=""E^o=0.771V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrow{}MnO_{2}(s)+2H_{2}O"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BMnO_%7B4%7D%5E%7B-%7D%2B4H%5E%7B%2B%7D%5Cleftrightarrow%7B%7DMnO_%7B2%7D%28s%29%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrow{}MnO_{2}(s)+2H_{2}O"" data-equation-content=""3e^{-}+MnO_{4}^{-}+4H^{+}\leftrightarrow{}MnO_{2}(s)+2H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=1.692V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D1.692V?scale=1.5"" alt=""LaTeX: E^o=1.692V"" data-equation-content=""E^o=1.692V"" data-ignore-a11y-check=""""></mattext>",Mn,short_answer
"Given the half-reactions below calculate the net potential of this galvanic cell (in V):<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+BrO^{-}+H_{2}O\leftrightarrow{}Br^{-}+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBrO%5E%7B-%7D%2BH_%7B2%7DO%5Cleftrightarrow%7B%7DBr%5E%7B-%7D%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+BrO^{-}+H_{2}O\leftrightarrow{}Br^{-}+2OH^{-}"" data-equation-content=""2e^{-}+BrO^{-}+H_{2}O\leftrightarrow{}Br^{-}+2OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.766V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.766V?scale=1.5"" alt=""LaTeX: E^o=0.766V"" data-equation-content=""E^o=0.766V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+Bi^{3+}\leftrightarrow{}Bi(s)"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BBi%5E%7B3%2B%7D%5Cleftrightarrow%7B%7DBi%28s%29?scale=1.5"" alt=""LaTeX: 3e^{-}+Bi^{3+}\leftrightarrow{}Bi(s)"" data-equation-content=""3e^{-}+Bi^{3+}\leftrightarrow{}Bi(s)"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.308V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.308V?scale=1.5"" alt=""LaTeX: E^o=0.308V"" data-equation-content=""E^o=0.308V"" data-ignore-a11y-check=""""></mattext>",0.458;4.58e-1;4.58E-1;.458;0.46;4.6e-1;4.6E-1;.46;0.4580;4.580e-1;4.580E-1;.4580,short_answer
"Given the half-reactions below calculate the net potential of this galvanic cell (in V):<br><mattext texttype=""text/html""><img class=""equation_image"" title=""e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" src=""https://weber.instructure.com/equation_images/e%5E%7B-%7D%2BFe%5E%7B3%2B%7D%5Cleftrightarrow%7B%7DFe%5E%7B2%2B%7D?scale=1.5"" alt=""LaTeX: e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" data-equation-content=""e^{-}+Fe^{3+}\leftrightarrow{}Fe^{2+}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.771V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.771V?scale=1.5"" alt=""LaTeX: E^o=0.771V"" data-equation-content=""E^o=0.771V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Ni(OH)_{2}(s)\leftrightarrow{}Ni(s)+2OH^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BNi%28OH%29_%7B2%7D%28s%29%5Cleftrightarrow%7B%7DNi%28s%29%2B2OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Ni(OH)_{2}(s)\leftrightarrow{}Ni(s)+2OH^{-}"" data-equation-content=""2e^{-}+Ni(OH)_{2}(s)\leftrightarrow{}Ni(s)+2OH^{-}"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.714V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.714V?scale=1.5"" alt=""LaTeX: E^o=-0.714V"" data-equation-content=""E^o=-0.714V"" data-ignore-a11y-check=""""></mattext>",1.485;1.485e0;1.485E0;1.48;1.48e0;1.48E0;1.4850;1.4850e0;1.4850E0,short_answer
"Given the half-reactions below calculate the net potential of this galvanic cell (in V):<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BFeOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrow%7B%7DFe%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-equation-content=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrow{}Fe(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=-0.16V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D-0.16V?scale=1.5"" alt=""LaTeX: E^o=-0.16V"" data-equation-content=""E^o=-0.16V"" data-ignore-a11y-check=""""></mattext><br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrow{}Co(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCoOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrow%7B%7DCo%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+CoOH^{+}+H^{+}\leftrightarrow{}Co(s)+H_{2}O"" data-equation-content=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrow{}Co(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext><br><mattext texttype=""text/html""><img class=""equation_image"" title=""E^o=0.003V"" src=""https://weber.instructure.com/equation_images/E%5Eo%3D0.003V?scale=1.5"" alt=""LaTeX: E^o=0.003V"" data-equation-content=""E^o=0.003V"" data-ignore-a11y-check=""""></mattext>",0.16;1.6e-1;1.6E-1;.16;0.2;2e-1;2E-1;.2;0.163;1.63e-1;1.63E-1;.163,short_answer
