question,correct_answers,question_type
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>4 ± 13 N, n=8<br>0. ± 10. N, n=14",10;1e1;1 e1;1e 1;1 e 1;1E1;1 E1;1E 1;1 E 1;11;1.1e1;1.1 e1;1.1e 1;1.1 e 1;1.1E1;1.1 E1;1.1E 1;1.1 E 1;11.;11.1;1.11e1;1.11 e1;1.11e 1;1.11 e 1;1.11E1;1.11 E1;1.11E 1;1.11 E 1,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>43 ± 3 A, n=12<br>3 ± 3 A, n=10",3;3e0;3 e0;3e 0;3 e 0;3E0;3 E0;3E 0;3 E 0;3.;3.1;3.1e0;3.1 e0;3.1e 0;3.1 e 0;3.1E0;3.1 E0;3.1E 0;3.1 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>10. ± 5 kg, n=3<br>4 ± 3 kg, n=17",3;3e0;3 e0;3e 0;3 e 0;3E0;3 E0;3E 0;3 E 0;3.;3.4;3.4e0;3.4 e0;3.4e 0;3.4 e 0;3.4E0;3.4 E0;3.4E 0;3.4 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>7.4 ± 0.9 s, n=3<br>0.6 ± 0.6 s, n=14",0.7;7e-1;7 e-1;7e -1;7 e -1;7E-1;7 E-1;7E -1;7 E -1;.7;0.67;6.7e-1;6.7 e-1;6.7e -1;6.7 e -1;6.7E-1;6.7 E-1;6.7E -1;6.7 E -1;.67,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>6 ± 4 mbar, n=18<br>0. ± 2 mbar, n=5",4;4e0;4 e0;4e 0;4 e 0;4E0;4 E0;4E 0;4 E 0;4.;3.6;3.6e0;3.6 e0;3.6e 0;3.6 e 0;3.6E0;3.6 E0;3.6E 0;3.6 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>5 ± 2 mL, n=4<br>20.6 ± 0.6 mL, n=3",1;1e0;1 e0;1e 0;1 e 0;1E0;1 E0;1E 0;1 E 0;1.;1.4;1.4e0;1.4 e0;1.4e 0;1.4 e 0;1.4E0;1.4 E0;1.4E 0;1.4 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>20. ± 3 cal, n=5<br>39 ± 3 cal, n=16",3;3e0;3 e0;3e 0;3 e 0;3E0;3 E0;3E 0;3 E 0;3.;2.8;2.8e0;2.8 e0;2.8e 0;2.8 e 0;2.8E0;2.8 E0;2.8E 0;2.8 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>14 ± 4 N, n=16<br>59 ± 2 N, n=4",4;4e0;4 e0;4e 0;4 e 0;4E0;4 E0;4E 0;4 E 0;4.;4.1;4.1e0;4.1 e0;4.1e 0;4.1 e 0;4.1E0;4.1 E0;4.1E 0;4.1 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>25 ± 3 g, n=9<br>65 ± 3 g, n=19",3;3e0;3 e0;3e 0;3 e 0;3E0;3 E0;3E 0;3 E 0;3.;2.9;2.9e0;2.9 e0;2.9e 0;2.9 e 0;2.9E0;2.9 E0;2.9E 0;2.9 E 0,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>7.9 ± 0.5 N, n=11<br>0.2 ± 0.4 N, n=14",0.5;5e-1;5 e-1;5e -1;5 e -1;5E-1;5 E-1;5E -1;5 E -1;.5;0.48;4.8e-1;4.8 e-1;4.8e -1;4.8 e -1;4.8E-1;4.8 E-1;4.8E -1;4.8 E -1;.48,short_answer_question
"Given the following measurements calculate <mattext texttype=""text/html""><img class=""equation_image"" title=""s_{pooled}"" src=""https://weber.instructure.com/equation_images/s_%7Bpooled%7D?scale=1.5"" alt=""LaTeX: s_{pooled}"" data-equation-content=""s_{pooled}"" data-ignore-a11y-check=""""></mattext>:<br>32.7 ± 0.5 atm, n=20<br>6.8 ± 0.4 atm, n=17",0.4;4e-1;4 e-1;4e -1;4 e -1;4E-1;4 E-1;4E -1;4 E -1;.4;0.44;4.4e-1;4.4 e-1;4.4e -1;4.4 e -1;4.4E-1;4.4 E-1;4.4E -1;4.4 E -1;.44,short_answer_question
