question,correct_answers,question_type
Convert 1.64 kg to fg,1.64e18;1.64e18;1.64E18,short_answer
Convert 2.77 fft to nft,0.00000277;2.77e-6;2.77E-6;.00000277,short_answer
Convert 7.491 ncal to ccal,7.491e-7;7.491e-7;7.491E-7;.491e-7,short_answer
Convert 4.1 acal to ccal,4.1e-16;4.1e-16;4.1E-16;.1e-16,short_answer
Convert 3.4 ft to kft,0.0034;3.4e-3;3.4E-3;.0034,short_answer
Convert 1.9 cHz to MHz,1.9e-8;1.9e-8;1.9E-8;.9e-8,short_answer
Convert 1.83 oz to µoz,1.83e6;1.83e6;1.83E6,short_answer
Convert 5.14 cmi to µmi,51400;5.14e4;5.14E4,short_answer
Convert 1.4306 nlb to lb,1.4306e-9;1.4306e-9;1.4306E-9;.4306e-9,short_answer
Convert 1.20 acal to ncal,1.20e-9;1.20e-9;1.20E-9;.20e-9,short_answer
Convert 3.2 oz to doz,32;3.2e1;3.2E1;32.,short_answer
Convert 9.80 hHz to fHz,9.80e17;9.80e17;9.80E17,short_answer
Convert 1.399 oz to koz,0.001399;1.399e-3;1.399E-3;.001399,short_answer
Convert 8.6532 mol to mmol,8653.2;8.6532e3;8.6532E3,short_answer
Convert 3.69 nJ to aJ,3.69e9;3.69e9;3.69E9,short_answer
Convert 3.981 mol to hmol,0.03981;3.981e-2;3.981E-2;.03981,short_answer
Convert 1.4 Gmol to amol,1.4e27;1.4e27;1.4E27,short_answer
Convert 3.3727 Torr to aTorr,3.3727e18;3.3727e18;3.3727E18,short_answer
Convert 6.67 atm to Gatm,6.67e-9;6.67e-9;6.67E-9;.67e-9,short_answer
Convert 1.24 aJ to hJ,1.24e-20;1.24e-20;1.24E-20;.24e-20,short_answer
Convert 9.1130 m to pm,9.1130e12;9.1130e12;9.1130E12,short_answer
Convert 1.928 mgal to gal,0.001928;1.928e-3;1.928E-3;.001928,short_answer
Convert 1.03 gal to agal,1.03e18;1.03e18;1.03E18,short_answer
Convert 5.522 L to nL,5.522e9;5.522e9;5.522E9,short_answer
Convert 4.153 hmolecules to nmolecules,4.153e11;4.153e11;4.153E11,short_answer
Convert 3.2 kmolecules to hmolecules,32;3.2e1;3.2E1;32.,short_answer
Convert 1.748 lb to clb,174.8;1.748e2;1.748E2,short_answer
Convert 5.0171 fmolecules to hmolecules,5.0171e-17;5.0171e-17;5.0171E-17;.0171e-17,short_answer
Convert 2.2892 cal to kcal,0.0022892;2.2892e-3;2.2892E-3;.0022892,short_answer
Convert 5.1388 mol to mmol,5138.8;5.1388e3;5.1388E3,short_answer
Convert 3.871 µhour to khour,3.871e-9;3.871e-9;3.871E-9;.871e-9,short_answer
Convert 3.641 g to ng,3.641e9;3.641e9;3.641E9,short_answer
Convert 1.69 km to nm,1.69e12;1.69e12;1.69E12,short_answer
Convert 7.976 cal to µcal,7.976e6;7.976e6;7.976E6,short_answer
Convert 1.5305 ft to Tft,1.5305e-12;1.5305e-12;1.5305E-12;.5305e-12,short_answer
Convert 2.078 pHz to Hz,2.078e-12;2.078e-12;2.078E-12;.078e-12,short_answer
Convert 9.0 moz to oz,0.0090;9.0e-3;9.0E-3;.0090,short_answer
Convert 1.8 h to hh,0.018;1.8e-2;1.8E-2;.018,short_answer
Convert 2.759 J to kJ,0.002759;2.759e-3;2.759E-3;.002759,short_answer
Convert 1.9 bar to hbar,0.019;1.9e-2;1.9E-2;.019,short_answer
Convert 1.155 cmolecules to molecules,0.01155;1.155e-2;1.155E-2;.01155,short_answer
Convert 5.19 nh to Mh,5.19e-15;5.19e-15;5.19E-15;.19e-15,short_answer
Convert 1.34 Torr to nTorr,1.34e9;1.34e9;1.34E9,short_answer
Convert 2.2 J to aJ,2.2e18;2.2e18;2.2E18,short_answer
Convert 3.5975 kL to ML,0.0035975;3.5975e-3;3.5975E-3;.0035975,short_answer
Convert 5.99 hm to m,599;5.99e2;5.99E2;599.,short_answer
Convert 2.269 Hz to cHz,226.9;2.269e2;2.269E2,short_answer
Convert 3.592 J to kJ,0.003592;3.592e-3;3.592E-3;.003592,short_answer
Convert 1.73 MHz to dHz,1.73e7;1.73e7;1.73E7,short_answer
Convert 2.02 kmolecules to molecules,2020;2.02e3;2.02E3,short_answer
Convert 7.1817 h to µh,7.1817e6;7.1817e6;7.1817E6,short_answer
Convert 4.72 L to ML,0.00000472;4.72e-6;4.72E-6;.00000472,short_answer
Convert 1.6 hoz to µoz,1.6e8;1.6e8;1.6E8,short_answer
