question,correct_answers,incorrect_answers,question_type
What type of electromagnetic radiation is a photon with an energy of 1940 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 281 kJ/mol?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 164 kJ/mol?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 814 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.86e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 201 nm?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 234 nm?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 109 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.35e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.58e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.78e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.58e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 767 nm?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 5.54e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.83e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 539 nm?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 111 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.27e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 116 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 7.44e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.13e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1.10e3 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 236 kJ/mol?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 111 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1030 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.78e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 4.36e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 6.69e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 3.86e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 407 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 228 kJ/mol?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.44e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1.10e3 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 391 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.58e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 1.60e3 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 366 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 107 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.91e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.36e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.88e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 9.17e14 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 417 nm?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1150 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 103 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 57.2 nm?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 115 kJ/mol?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.88e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1080 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 598 nm?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 132 nm?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 350. nm?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.14e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 6.19e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 1030 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 1150 nm?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 1.02e15 Hz?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.61e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with a wavelength of 527 nm?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 7.37e14 Hz?,Visible,Ultraviolet;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 539 kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
What type of electromagnetic radiation is a photon with a frequency of 2.58e14 Hz?,Infrared,Ultraviolet;Visible,multiple_choice
What type of electromagnetic radiation is a photon with an energy of 390. kJ/mol?,Ultraviolet,Visible;Infrared,multiple_choice
