question,correct_answers,question_type
The rate constant of a first-order reaction is 1e-5 s-1. Calculate the timescale of this reaction in s,70000;7e4;7E4;7.0e4;7.0e4;7.0E4,short_answer
A first-order reaction has a timescale of 10 s. Calculate the rate constant in units of s-1,0.1;1e-1;1E-1;.1;0.10;1.0e-1;1.0E-1;.10,short_answer
The rate constant of a first-order reaction is 1.2 s-1. Calculate the timescale of this reaction in s,0.85;8.5e-1;8.5E-1;.85;0.9;9e-1;9E-1;.9;0.850;8.50e-1;8.50E-1;.850,short_answer
The rate constant of a first-order reaction is 1e-4 s-1. Calculate the timescale of this reaction in s,10000;1e4;1E4;1.0e4;1.0e4;1.0E4,short_answer
A first-order reaction has a timescale of 3.32e-5 s. Calculate the rate constant in units of s-1,30100;3.01e4;3.01E4;3.0e4;3.0e4;3.0E4;30120;3.012e4;3.012E4,short_answer
A first-order reaction has a timescale of 4.26e-4 s. Calculate the rate constant in units of s-1,2350;2.35e3;2.35E3;2300;2.3e3;2.3E3;2347;2.347e3;2.347E3;2347.,short_answer
A first-order reaction has a timescale of 0.03276 s. Calculate the rate constant in units of s-1,30.53;3.053e1;3.053E1;30.5;3.05e1;3.05E1;30.525;3.0525e1;3.0525E1,short_answer
A first-order reaction has a timescale of 0.6902 min. Calculate the rate constant in units of s-1,0.02415;2.415e-2;2.415E-2;.02415;0.0241;2.41e-2;2.41E-2;.0241;0.024149;2.4149e-2;2.4149E-2;.024149,short_answer
A first-order reaction has a timescale of 9.60e-6 min. Calculate the rate constant in units of s-1,1740;1.74e3;1.74E3;1700;1.7e3;1.7E3;1736;1.736e3;1.736E3;1736.,short_answer
A first-order reaction has a timescale of 0.0013 s. Calculate the rate constant in units of s-1,770;7.7e2;7.7E2;800;8e2;8E2;769;7.69e2;7.69E2;769.,short_answer
A first-order reaction has a timescale of 1.8e-7 min. Calculate the rate constant in units of s-1,91000;9.1e4;9.1E4;90000;9e4;9E4;90900;9.09e4;9.09E4,short_answer
A first-order reaction has a timescale of 1.19e-4 min. Calculate the rate constant in units of s-1,141;1.41e2;1.41E2;141.;140;1.4e2;1.4E2;140.6;1.406e2;1.406E2,short_answer
A first-order reaction has a timescale of 224 s. Calculate the rate constant in units of s-1,0.00446;4.46e-3;4.46E-3;.00446;0.0045;4.5e-3;4.5E-3;.0045;0.004464;4.464e-3;4.464E-3;.004464,short_answer
The rate constant of a first-order reaction is 2.123e-4 s-1. Calculate the timescale of this reaction in s,4711;4.711e3;4.711E3;4711.;4710;4.71e3;4.71E3;4711.0;4.7110e3;4.7110E3,short_answer
The rate constant of a first-order reaction is 4830 s-1. Calculate the timescale of this reaction in s,0.000207;2.07e-4;2.07E-4;.000207;0.00021;2.1e-4;2.1E-4;.00021;0.0002070;2.070e-4;2.070E-4;.0002070,short_answer
The rate constant of a first-order reaction is 220 s-1. Calculate the timescale of this reaction in s,0.0045;4.5e-3;4.5E-3;.0045;0.005;5e-3;5E-3;.005;0.00450;4.50e-3;4.50E-3;.00450,short_answer
