question,correct_answers,question_type
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+OH\rightarrow{}O_{2}+H"" src=""https://weber.instructure.com/equation_images/O%2BOH%5Crightarrow%7B%7DO_%7B2%7D%2BH?scale=1.5"" alt=""LaTeX: O+OH\rightarrow{}O_{2}+H"" data-equation-content=""O+OH\rightarrow{}O_{2}+H"" data-ignore-a11y-check=""""></mattext>",k[O][OH];k[OH][O],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""IOH\rightarrow{}I+OH"" src=""https://weber.instructure.com/equation_images/IOH%5Crightarrow%7B%7DI%2BOH?scale=1.5"" alt=""LaTeX: IOH\rightarrow{}I+OH"" data-equation-content=""IOH\rightarrow{}I+OH"" data-ignore-a11y-check=""""></mattext>",k[IOH],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H+NO_{2}\rightarrow{}OH+NO"" src=""https://weber.instructure.com/equation_images/H%2BNO_%7B2%7D%5Crightarrow%7B%7DOH%2BNO?scale=1.5"" alt=""LaTeX: H+NO_{2}\rightarrow{}OH+NO"" data-equation-content=""H+NO_{2}\rightarrow{}OH+NO"" data-ignore-a11y-check=""""></mattext>",k[H][NO2];k[NO2][H],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{2}O\rightarrow{}H_{2}+CO"" src=""https://weber.instructure.com/equation_images/CH_%7B2%7DO%5Crightarrow%7B%7DH_%7B2%7D%2BCO?scale=1.5"" alt=""LaTeX: CH_{2}O\rightarrow{}H_{2}+CO"" data-equation-content=""CH_{2}O\rightarrow{}H_{2}+CO"" data-ignore-a11y-check=""""></mattext>",k[CH2O],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+NO_{2}\rightarrow{}HNO_{3}"" src=""https://weber.instructure.com/equation_images/OH%2BNO_%7B2%7D%5Crightarrow%7B%7DHNO_%7B3%7D?scale=1.5"" alt=""LaTeX: OH+NO_{2}\rightarrow{}HNO_{3}"" data-equation-content=""OH+NO_{2}\rightarrow{}HNO_{3}"" data-ignore-a11y-check=""""></mattext>",k[OH][NO2];k[NO2][OH],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""BrONO\rightarrow{}Br+NO_{2}"" src=""https://weber.instructure.com/equation_images/BrONO%5Crightarrow%7B%7DBr%2BNO_%7B2%7D?scale=1.5"" alt=""LaTeX: BrONO\rightarrow{}Br+NO_{2}"" data-equation-content=""BrONO\rightarrow{}Br+NO_{2}"" data-ignore-a11y-check=""""></mattext>",k[BrONO],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{3}O+O_{2}\rightarrow{}CH_{2}O+HO_{2}"" src=""https://weber.instructure.com/equation_images/CH_%7B3%7DO%2BO_%7B2%7D%5Crightarrow%7B%7DCH_%7B2%7DO%2BHO_%7B2%7D?scale=1.5"" alt=""LaTeX: CH_{3}O+O_{2}\rightarrow{}CH_{2}O+HO_{2}"" data-equation-content=""CH_{3}O+O_{2}\rightarrow{}CH_{2}O+HO_{2}"" data-ignore-a11y-check=""""></mattext>",k[CH3O][O2];k[O2][CH3O],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""HCO+O_{2}\rightarrow{}HO_{2}+CO"" src=""https://weber.instructure.com/equation_images/HCO%2BO_%7B2%7D%5Crightarrow%7B%7DHO_%7B2%7D%2BCO?scale=1.5"" alt=""LaTeX: HCO+O_{2}\rightarrow{}HO_{2}+CO"" data-equation-content=""HCO+O_{2}\rightarrow{}HO_{2}+CO"" data-ignore-a11y-check=""""></mattext>",k[HCO][O2];k[O2][HCO],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""HNO_{3}\rightarrow{}OH+NO_{2}"" src=""https://weber.instructure.com/equation_images/HNO_%7B3%7D%5Crightarrow%7B%7DOH%2BNO_%7B2%7D?scale=1.5"" alt=""LaTeX: HNO_{3}\rightarrow{}OH+NO_{2}"" data-equation-content=""HNO_{3}\rightarrow{}OH+NO_{2}"" data-ignore-a11y-check=""""></mattext>",k[HNO3],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Cl_{2}\rightarrow{}2Cl"" src=""https://weber.instructure.com/equation_images/Cl_%7B2%7D%5Crightarrow%7B%7D2Cl?scale=1.5"" alt=""LaTeX: Cl_{2}\rightarrow{}2Cl"" data-equation-content=""Cl_{2}\rightarrow{}2Cl"" data-ignore-a11y-check=""""></mattext>",k[Cl2],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""ClO\rightarrow{}Cl+O"" src=""https://weber.instructure.com/equation_images/ClO%5Crightarrow%7B%7DCl%2BO?scale=1.5"" alt=""LaTeX: ClO\rightarrow{}Cl+O"" data-equation-content=""ClO\rightarrow{}Cl+O"" data-ignore-a11y-check=""""></mattext>",k[ClO],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{3}CHO\rightarrow{}CH_{4}+CO"" src=""https://weber.instructure.com/equation_images/CH_%7B3%7DCHO%5Crightarrow%7B%7DCH_%7B4%7D%2BCO?scale=1.5"" alt=""LaTeX: CH_{3}CHO\rightarrow{}CH_{4}+CO"" data-equation-content=""CH_{3}CHO\rightarrow{}CH_{4}+CO"" data-ignore-a11y-check=""""></mattext>",k[CH3CHO],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+C_{3}H_{8}\rightarrow{}H_{2}O+C_{3}H_{7}"" src=""https://weber.instructure.com/equation_images/OH%2BC_%7B3%7DH_%7B8%7D%5Crightarrow%7B%7DH_%7B2%7DO%2BC_%7B3%7DH_%7B7%7D?scale=1.5"" alt=""LaTeX: OH+C_{3}H_{8}\rightarrow{}H_{2}O+C_{3}H_{7}"" data-equation-content=""OH+C_{3}H_{8}\rightarrow{}H_{2}O+C_{3}H_{7}"" data-ignore-a11y-check=""""></mattext>",k[OH][C3H8];k[C3H8][OH],short_answer
"Write the rate expression for the following reaction.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""N_{2}O_{5}\rightarrow{}NO_{3}+NO+O"" src=""https://weber.instructure.com/equation_images/N_%7B2%7DO_%7B5%7D%5Crightarrow%7B%7DNO_%7B3%7D%2BNO%2BO?scale=1.5"" alt=""LaTeX: N_{2}O_{5}\rightarrow{}NO_{3}+NO+O"" data-equation-content=""N_{2}O_{5}\rightarrow{}NO_{3}+NO+O"" data-ignore-a11y-check=""""></mattext>",k[N2O5],short_answer
