question,correct_answers,question_type
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to OH given that [NO2] = 3.42e11 molecules cm-3 and k = 1.1e-11 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+NO_2\longrightarrow{}HNO_3"" src=""https://weber.instructure.com/equation_images/OH%2BNO_2%5Clongrightarrow%7B%7DHNO_3?scale=1.5"" alt=""LaTeX: OH+NO_2\longrightarrow{}HNO_3"" data-equation-content=""OH+NO_2\longrightarrow{}HNO_3"" data-ignore-a11y-check=""""></mattext>",0.27;2.7e-1;2.7E-1;.27;0.3;3e-1;3E-1;.3;0.266;2.66e-1;2.66E-1;.266,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to OH given that [SO2] = 1.66e10 molecules cm-3 and k = 9.5e-13 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+SO_2\longrightarrow{}HSO_3"" src=""https://weber.instructure.com/equation_images/OH%2BSO_2%5Clongrightarrow%7B%7DHSO_3?scale=1.5"" alt=""LaTeX: OH+SO_2\longrightarrow{}HSO_3"" data-equation-content=""OH+SO_2\longrightarrow{}HSO_3"" data-ignore-a11y-check=""""></mattext>",63;6.3e1;6.3E1;63.;60;6e1;6E1;63.4;6.34e1;6.34E1,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to O given that [O2] = 3.88e18 molecules cm-3 and k = 1.5e-14 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+O_2\longrightarrow{}O_3"" src=""https://weber.instructure.com/equation_images/O%2BO_2%5Clongrightarrow%7B%7DO_3?scale=1.5"" alt=""LaTeX: O+O_2\longrightarrow{}O_3"" data-equation-content=""O+O_2\longrightarrow{}O_3"" data-ignore-a11y-check=""""></mattext>",0.000017;1.7e-5;1.7E-5;.000017;0.00002;2e-5;2E-5;.00002;0.0000172;1.72e-5;1.72E-5;.0000172,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to OH given that [SO2] = 1.19e10 molecules cm-3 and k = 9.5e-13 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+SO_2\longrightarrow{}HSO_3"" src=""https://weber.instructure.com/equation_images/OH%2BSO_2%5Clongrightarrow%7B%7DHSO_3?scale=1.5"" alt=""LaTeX: OH+SO_2\longrightarrow{}HSO_3"" data-equation-content=""OH+SO_2\longrightarrow{}HSO_3"" data-ignore-a11y-check=""""></mattext>",88;8.8e1;8.8E1;88.;90;9e1;9E1;88.5;8.85e1;8.85E1,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to OH given that [SO2] = 1.40e10 molecules cm-3 and k = 9.5e-13 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+SO_2\longrightarrow{}HSO_3"" src=""https://weber.instructure.com/equation_images/OH%2BSO_2%5Clongrightarrow%7B%7DHSO_3?scale=1.5"" alt=""LaTeX: OH+SO_2\longrightarrow{}HSO_3"" data-equation-content=""OH+SO_2\longrightarrow{}HSO_3"" data-ignore-a11y-check=""""></mattext>",75;7.5e1;7.5E1;75.;80;8e1;8E1;75.2;7.52e1;7.52E1,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to O given that [NO2] = 3.8e11 molecules cm-3 and k = 1.26e-11 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+NO_2\longrightarrow{}NO_3"" src=""https://weber.instructure.com/equation_images/O%2BNO_2%5Clongrightarrow%7B%7DNO_3?scale=1.5"" alt=""LaTeX: O+NO_2\longrightarrow{}NO_3"" data-equation-content=""O+NO_2\longrightarrow{}NO_3"" data-ignore-a11y-check=""""></mattext>",0.21;2.1e-1;2.1E-1;.21;0.2;2e-1;2E-1;.2;0.209;2.09e-1;2.09E-1;.209,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to OH given that [NO2] = 1.27e11 molecules cm-3 and k = 1.1e-11 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""OH+NO_2\longrightarrow{}HNO_3"" src=""https://weber.instructure.com/equation_images/OH%2BNO_2%5Clongrightarrow%7B%7DHNO_3?scale=1.5"" alt=""LaTeX: OH+NO_2\longrightarrow{}HNO_3"" data-equation-content=""OH+NO_2\longrightarrow{}HNO_3"" data-ignore-a11y-check=""""></mattext>",0.72;7.2e-1;7.2E-1;.72;0.7;7e-1;7E-1;.7;0.716;7.16e-1;7.16E-1;.716,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to O given that [NO2] = 1.7e11 molecules cm-3 and k = 1.26e-11 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+NO_2\longrightarrow{}NO_3"" src=""https://weber.instructure.com/equation_images/O%2BNO_2%5Clongrightarrow%7B%7DNO_3?scale=1.5"" alt=""LaTeX: O+NO_2\longrightarrow{}NO_3"" data-equation-content=""O+NO_2\longrightarrow{}NO_3"" data-ignore-a11y-check=""""></mattext>",0.47;4.7e-1;4.7E-1;.47;0.5;5e-1;5E-1;.5;0.467;4.67e-1;4.67E-1;.467,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to O given that [O2] = 2.2e18 molecules cm-3 and k = 1.5e-14 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+O_2\longrightarrow{}O_3"" src=""https://weber.instructure.com/equation_images/O%2BO_2%5Clongrightarrow%7B%7DO_3?scale=1.5"" alt=""LaTeX: O+O_2\longrightarrow{}O_3"" data-equation-content=""O+O_2\longrightarrow{}O_3"" data-ignore-a11y-check=""""></mattext>",0.000030;3.0e-5;3.0E-5;.000030;0.00003;3e-5;3E-5;.00003;0.0000303;3.03e-5;3.03E-5;.0000303,short_answer
"Consider the reaction below. Calculate the timescale of reaction (in units of s) with respect to O given that [O2] = 2.6e18 molecules cm-3 and k = 1.5e-14 cm3 molec-1 s-1<br><br><mattext texttype=""text/html""><img class=""equation_image"" title=""O+O_2\longrightarrow{}O_3"" src=""https://weber.instructure.com/equation_images/O%2BO_2%5Clongrightarrow%7B%7DO_3?scale=1.5"" alt=""LaTeX: O+O_2\longrightarrow{}O_3"" data-equation-content=""O+O_2\longrightarrow{}O_3"" data-ignore-a11y-check=""""></mattext>",0.000026;2.6e-5;2.6E-5;.000026;0.00003;3e-5;3E-5;.00003;0.0000256;2.56e-5;2.56E-5;.0000256,short_answer
