question,correct_answers,question_type
An airmass at 294.4 K has a total gas concentration of 1.3493e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,548.4;5.484e2;5.484E2;548;5.48e2;5.48E2;548.;548.44;5.4844e2;5.4844E2;548.5;5.485e2;5.485E2;549;5.49e2;5.49E2;549.;548.50;5.4850e2;5.4850E2,short_answer
Calculate the pressure of a parcel (in mbar) if the total gas concentration is 1.74e19 molecules cm<sup>-3</sup> and the temperature is 261.7 K,629;6.29e2;6.29E2;629.;630;6.3e2;6.3E2;628.7;6.287e2;6.287E2;628;6.28e2;6.28E2;628.;630;6.3e2;6.3E2;628.0;6.280e2;6.280E2,short_answer
An airmass at 263.9 K has a total gas concentration of 1.292e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,470.7;4.707e2;4.707E2;471;4.71e2;4.71E2;471.;470.75;4.7075e2;4.7075E2;470.8;4.708e2;4.708E2;471;4.71e2;4.71E2;471.;470.80;4.7080e2;4.7080E2,short_answer
Calculate the temperature of a parcel (in K) if the total gas concentration is 1.0625e19 molecules cm<sup>-3</sup> and the pressure is 903 mbar,616;6.16e2;6.16E2;616.;620;6.2e2;6.2E2;615.6;6.156e2;6.156E2;615;6.15e2;6.15E2;615.;620;6.2e2;6.2E2;615.0;6.150e2;6.150E2,short_answer
Calculate the pressure of a parcel (in mbar) if the total gas concentration is 1.1654e19 molecules cm<sup>-3</sup> and the temperature is 251 K,404;4.04e2;4.04E2;404.;4.0e2;4.0e2;4.0E2;403.9;4.039e2;4.039E2;403;4.03e2;4.03E2;403.;4.0e2;4.0e2;4.0E2;403.0;4.030e2;4.030E2,short_answer
An airmass at 274.0 K has a total gas concentration of 2.6002e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,983.7;9.837e2;9.837E2;984;9.84e2;9.84E2;984.;983.65;9.8365e2;9.8365E2;983.6;9.836e2;9.836E2;984;9.84e2;9.84E2;984.;983.60;9.8360e2;9.8360E2,short_answer
Calculate the concentration of molecules in air (in molecules cm<sup>-3</sup>) at 914 mbar and 3.0e2 K.,2.2e19;2.2e19;2.2E19;2e19;2e19;2E19;2.21e19;2.21e19;2.21E19;2.3e19;2.3e19;2.3E19;2e19;2e19;2E19;2.30e19;2.30e19;2.30E19,short_answer
An airmass at 297 K has a total gas concentration of 1.350e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,554;5.54e2;5.54E2;554.;550;5.5e2;5.5E2;553.6;5.536e2;5.536E2;553;5.53e2;5.53E2;553.;550;5.5e2;5.5E2;553.0;5.530e2;5.530E2,short_answer
Calculate the temperature of a parcel (in K) if the total gas concentration is 2.848e19 molecules cm<sup>-3</sup> and the pressure is 1010 mbar,257;2.57e2;2.57E2;257.;260;2.6e2;2.6E2;256.9;2.569e2;2.569E2;256;2.56e2;2.56E2;256.;260;2.6e2;2.6E2;256.0;2.560e2;2.560E2,short_answer
An airmass at 302 K has a total gas concentration of 2.127e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,887;8.87e2;8.87E2;887.;890;8.9e2;8.9E2;886.9;8.869e2;8.869E2;886;8.86e2;8.86E2;886.;890;8.9e2;8.9E2;886.0;8.860e2;8.860E2,short_answer
Calculate the pressure of a parcel (in mbar) if the total gas concentration is 1.01e19 molecules cm<sup>-3</sup> and the temperature is 286.6 K,400.;4.00e2;4.00E2;400..;4.0e2;4.0e2;4.0E2;399.7;3.997e2;3.997E2;399;3.99e2;3.99E2;399.;4.0e2;4.0e2;4.0E2;399.0;3.990e2;3.990E2,short_answer
The pressure and temperature of a sample are 265.3 K and 695.42 mbar. Calculate the concentration of gas in this sample in molecules cm<sup>-3</sup>.,1.899e19;1.899e19;1.899E19;1.90e19;1.90e19;1.90E19;1.8986e19;1.8986e19;1.8986E19;1.898e19;1.898e19;1.898E19;1.90e19;1.90e19;1.90E19;1.8980e19;1.8980e19;1.8980E19,short_answer
Calculate the concentration of molecules in air (in molecules cm<sup>-3</sup>) at 866 mbar and 280 K.,2.2e19;2.2e19;2.2E19;2e19;2e19;2E19;2.24e19;2.24e19;2.24E19;2.3e19;2.3e19;2.3E19;2e19;2e19;2E19;2.30e19;2.30e19;2.30E19,short_answer
An airmass at 289.7 K has a total gas concentration of 2.785e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,1114;1.114e3;1.114E3;1114.;1110;1.11e3;1.11E3;1113.9;1.1139e3;1.1139E3;1113;1.113e3;1.113E3;1113.;1110;1.11e3;1.11E3;1113.0;1.1130e3;1.1130E3,short_answer
An airmass at 671.02 mbar has a total gas concentration of 1.15e19 molecules cm<sup>-3</sup>. What is the temperature of this airmass in Kelvin?,423;4.23e2;4.23E2;423.;420;4.2e2;4.2E2;422.6;4.226e2;4.226E2;422;4.22e2;4.22E2;422.;420;4.2e2;4.2E2;422.0;4.220e2;4.220E2,short_answer
The pressure and temperature of a sample are 310 K and 895.62 mbar. Calculate the concentration of gas in this sample in molecules cm<sup>-3</sup>.,2.1e19;2.1e19;2.1E19;2e19;2e19;2E19;2.09e19;2.09e19;2.09E19;2.0e19;2.0e19;2.0E19;2e19;2e19;2E19;2.00e19;2.00e19;2.00E19,short_answer
Calculate the temperature of a parcel (in K) if the total gas concentration is 1.56e19 molecules cm<sup>-3</sup> and the pressure is 611.64 mbar,284;2.84e2;2.84E2;284.;280;2.8e2;2.8E2;284.0;2.840e2;2.840E2;283;2.83e2;2.83E2;283.;280;2.8e2;2.8E2;283.0;2.830e2;2.830E2,short_answer
An airmass at 251.1 K has a total gas concentration of 1.282e19 molecules cm<sup>-3</sup>. What is the pressure of this airmass in mbar?,444.4;4.444e2;4.444E2;444;4.44e2;4.44E2;444.;444.45;4.4445e2;4.4445E2;444.5;4.445e2;4.445E2;445;4.45e2;4.45E2;445.;444.50;4.4450e2;4.4450E2,short_answer
Calculate the pressure of a parcel (in mbar) if the total gas concentration is 2.052e19 molecules cm<sup>-3</sup> and the temperature is 303 K,858;8.58e2;8.58E2;858.;860;8.6e2;8.6E2;858.4;8.584e2;8.584E2;859;8.59e2;8.59E2;859.;860;8.6e2;8.6E2;859.0;8.590e2;8.590E2,short_answer
