question,correct_answers,question_type
The concentration of carbon dioxide in an air sample is 7.581e14 molecules cm-3 at 262.5 K and 1134 mbar. Calculate the mixing ratio in ppm.,24.23;2.423e1;2.423E1;24.2;2.42e1;2.42E1;24.230;2.4230e1;2.4230E1,short_answer
The concentration of nitric oxide in an air sample is 1.04e13 molecules cm-3 at 258.7 K and 515 mbar. Calculate the mixing ratio in ppb.,718;7.18e2;7.18E2;718.;720;7.2e2;7.2E2;718.0;7.180e2;7.180E2,short_answer
The concentration of sulfur dioxide in an air sample is 1.40e13 molecules cm-3 at 282 K and 531 mbar. Calculate the mixing ratio in ppb.,1030;1.03e3;1.03E3;1.0e3;1.0e3;1.0E3;1030.;1.030e3;1.030E3;1030..,short_answer
The concentration of nitric oxide in an air sample is 1.50e16 molecules cm-3 at 262 K and 528 mbar. Calculate the mixing ratio in ppm.,1030;1.03e3;1.03E3;1.0e3;1.0e3;1.0E3;1030.;1.030e3;1.030E3;1030..,short_answer
The concentration of nitric oxide in an air sample is 1.56e16 molecules cm-3 at 280.7 K and 1033 mbar. Calculate the mixing ratio in ppm.,585;5.85e2;5.85E2;585.;590;5.9e2;5.9E2;585.0;5.850e2;5.850E2,short_answer
The concentration of sulfur dioxide in an air sample is 2.25e13 molecules cm-3 at 275.1 K and 1040 mbar. Calculate the mixing ratio in ppb.,821;8.21e2;8.21E2;821.;820;8.2e2;8.2E2;821.0;8.210e2;8.210E2,short_answer
The concentration of nitrogen dioxide in an air sample is 2.22e13 molecules cm-3 at 261.4 K and 749.4 mbar. Calculate the mixing ratio in ppb.,1070;1.07e3;1.07E3;1100;1.1e3;1.1E3;1070.;1.070e3;1.070E3;1070..,short_answer
The concentration of nitric oxide in an air sample is 3.29e15 molecules cm-3 at 278 K and 420. mbar. Calculate the mixing ratio in ppm.,301;3.01e2;3.01E2;301.;3.0e2;3.0e2;3.0E2;301.0;3.010e2;3.010E2,short_answer
The concentration of sulfur dioxide in an air sample is 6.417e15 molecules cm-3 at 274.2 K and 480.3 mbar. Calculate the mixing ratio in ppm.,505.8;5.058e2;5.058E2;506;5.06e2;5.06E2;506.;505.80;5.0580e2;5.0580E2,short_answer
The concentration of ozone in an air sample is 2.96e16 molecules cm-3 at 265 K and 1050 mbar. Calculate the mixing ratio in ppm.,1030;1.03e3;1.03E3;1.0e3;1.0e3;1.0E3;1030.;1.030e3;1.030E3;1030..,short_answer
The concentration of ozone in an air sample is 3.0e12 molecules cm-3 at 269 K and 858.2 mbar. Calculate the mixing ratio in ppb.,130;1.3e2;1.3E2;100;1e2;1E2;130.;1.30e2;1.30E2;130..,short_answer
The concentration of nitric oxide in an air sample is 7.86e12 molecules cm-3 at 304.5 K and 756.6 mbar. Calculate the mixing ratio in ppb.,437;4.37e2;4.37E2;437.;440;4.4e2;4.4E2;437.0;4.370e2;4.370E2,short_answer
The concentration of water in an air sample is 3.39e16 molecules cm-3 at 302.5 K and 1190 mbar. Calculate the mixing ratio in ppm.,1190;1.19e3;1.19E3;1200;1.2e3;1.2E3;1190.;1.190e3;1.190E3;1190..,short_answer
The concentration of nitric oxide in an air sample is 9.95e11 molecules cm-3 at 254 K and 486.0 mbar. Calculate the mixing ratio in ppb.,71.8;7.18e1;7.18E1;72;7.2e1;7.2E1;72.;71.80;7.180e1;7.180E1,short_answer
The concentration of nitric oxide in an air sample is 1.43e13 molecules cm-3 at 266.2 K and 450. mbar. Calculate the mixing ratio in ppb.,1170;1.17e3;1.17E3;1200;1.2e3;1.2E3;1170.;1.170e3;1.170E3;1170..,short_answer
The concentration of nitric oxide in an air sample is 5.981e15 molecules cm-3 at 257.9 K and 684.1 mbar. Calculate the mixing ratio in ppm.,311.3;3.113e2;3.113E2;311;3.11e2;3.11E2;311.;311.30;3.1130e2;3.1130E2,short_answer
The concentration of water in an air sample is 2.1e16 molecules cm-3 at 296 K and 1040 mbar. Calculate the mixing ratio in ppm.,830;8.3e2;8.3E2;800;8e2;8E2;830.;8.30e2;8.30E2;830..,short_answer
The concentration of nitric oxide in an air sample is 1.49e16 molecules cm-3 at 298.4 K and 810. mbar. Calculate the mixing ratio in ppm.,760.;7.60e2;7.60E2;760..;760;7.6e2;7.6E2;760.0;7.600e2;7.600E2,short_answer
The concentration of water in an air sample is 2.13e16 molecules cm-3 at 290.6 K and 731.1 mbar. Calculate the mixing ratio in ppm.,1170;1.17e3;1.17E3;1200;1.2e3;1.2E3;1170.;1.170e3;1.170E3;1170..,short_answer
The concentration of nitrogen dioxide in an air sample is 2.2e12 molecules cm-3 at 290.7 K and 443 mbar. Calculate the mixing ratio in ppb.,2.0e2;2.0e2;2.0E2;200;2e2;2E2;200.;2.00e2;2.00E2;200..,short_answer
The concentration of nitrogen dioxide in an air sample is 1.8e16 molecules cm-3 at 301 K and 1090 mbar. Calculate the mixing ratio in ppm.,7.0e2;7.0e2;7.0E2;700;7e2;7E2;700.;7.00e2;7.00E2;700..,short_answer
The concentration of sulfur dioxide in an air sample is 3.10e16 molecules cm-3 at 289.9 K and 1140 mbar. Calculate the mixing ratio in ppm.,1090;1.09e3;1.09E3;1100;1.1e3;1.1E3;1090.;1.090e3;1.090E3;1090..,short_answer
The concentration of ozone in an air sample is 2.18e16 molecules cm-3 at 271.8 K and 1160 mbar. Calculate the mixing ratio in ppm.,704;7.04e2;7.04E2;704.;7.0e2;7.0e2;7.0E2;704.0;7.040e2;7.040E2,short_answer
The concentration of water in an air sample is 3.4e16 molecules cm-3 at 271 K and 1050. mbar. Calculate the mixing ratio in ppm.,1200;1.2e3;1.2E3;1000;1e3;1E3;1.20e3;1.20e3;1.20E3,short_answer
The concentration of ozone in an air sample is 2.17e16 molecules cm-3 at 254.5 K and 651.7 mbar. Calculate the mixing ratio in ppm.,1170;1.17e3;1.17E3;1200;1.2e3;1.2E3;1170.;1.170e3;1.170E3;1170..,short_answer
The concentration of sulfur dioxide in an air sample is 1.78e13 molecules cm-3 at 270.8 K and 640.0 mbar. Calculate the mixing ratio in ppb.,1040;1.04e3;1.04E3;1.0e3;1.0e3;1.0E3;1040.;1.040e3;1.040E3;1040..,short_answer
The concentration of nitric oxide in an air sample is 5.0e12 molecules cm-3 at 264 K and 906 mbar. Calculate the mixing ratio in ppb.,2.0e2;2.0e2;2.0E2;200;2e2;2E2;200.;2.00e2;2.00E2;200..,short_answer
The concentration of nitrogen dioxide in an air sample is 1.0e16 molecules cm-3 at 278.6 K and 629 mbar. Calculate the mixing ratio in ppm.,640;6.4e2;6.4E2;600;6e2;6E2;640.;6.40e2;6.40E2;640..,short_answer
The concentration of ozone in an air sample is 1.14e16 molecules cm-3 at 268.2 K and 777 mbar. Calculate the mixing ratio in ppm.,544;5.44e2;5.44E2;544.;540;5.4e2;5.4E2;544.0;5.440e2;5.440E2,short_answer
The concentration of ozone in an air sample is 8.3e15 molecules cm-3 at 261.2 K and 435 mbar. Calculate the mixing ratio in ppm.,690;6.9e2;6.9E2;700;7e2;7E2;690.;6.90e2;6.90E2;690..,short_answer
The concentration of carbon dioxide in an air sample is 6.53e12 molecules cm-3 at 277.3 K and 750.6 mbar. Calculate the mixing ratio in ppb.,333;3.33e2;3.33E2;333.;330;3.3e2;3.3E2;333.0;3.330e2;3.330E2,short_answer
The concentration of ozone in an air sample is 1.64e13 molecules cm-3 at 284 K and 759.0 mbar. Calculate the mixing ratio in ppb.,846;8.46e2;8.46E2;846.;850;8.5e2;8.5E2;846.0;8.460e2;8.460E2,short_answer
