question,correct_answers,question_type
Compound X has a diffusion coefficient of 0.0079 cm<sup>2</sup> s<sup>-1</sup>. How long (in seconds) will it take a molecule to acheive a displacement of 39 cm?,96000;9.6e4;9.6E4;1.0e5;1.0e5;1.0E5;96300;9.63e4;9.63E4;97000;9.7e4;9.7E4;1.0e5;1.0e5;1.0E5;9.70e4;9.70e4;9.70E4,short_answer
Compound X has a diffusion coefficient of 0.060 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 30.2 seconds.,1.9;1.9e0;1.9E0;2;2e0;2E0;2.;1.90;1.90e0;1.90E0;2.0;2.0e0;2.0E0;2;2e0;2E0;2.;2.00;2.00e0;2.00E0,short_answer
Calculate the diffusion coefficient (in cm<sup>2</sup> s<sup>-1</sup>) for a molecule that is diplaced by 1.7 cm after 50 seconds.,0.03;3e-2;3E-2;.03;0.029;2.9e-2;2.9E-2;.029;0.02;2e-2;2E-2;.02;0.020;2.0e-2;2.0E-2;.020,short_answer
Compound X has a diffusion coefficient of 0.0750 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 104 seconds.,3.95;3.95e0;3.95E0;3.9;3.9e0;3.9E0;3.950;3.950e0;3.950E0;3.94;3.94e0;3.94E0;3.9;3.9e0;3.9E0;3.940;3.940e0;3.940E0,short_answer
Compound X has a diffusion coefficient of 0.098 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 439 seconds.,9.3;9.3e0;9.3E0;9;9e0;9E0;9.;9.28;9.28e0;9.28E0;9.2;9.2e0;9.2E0;9;9e0;9E0;9.;9.20;9.20e0;9.20E0,short_answer
Compound X has a diffusion coefficient of 0.0897 cm<sup>2</sup> s<sup>-1</sup>. How long (in seconds) will it take a molecule to acheive a displacement of 1.78 cm?,17.7;1.77e1;1.77E1;18;1.8e1;1.8E1;18.;17.66;1.766e1;1.766E1;17.6;1.76e1;1.76E1;18;1.8e1;1.8E1;18.;17.60;1.760e1;1.760E1,short_answer
Calculate the diffusion coefficient (in cm<sup>2</sup> s<sup>-1</sup>) for a molecule that is diplaced by 7.3 cm after 702 seconds.,0.038;3.8e-2;3.8E-2;.038;0.04;4e-2;4E-2;.04;0.0380;3.80e-2;3.80E-2;.0380;0.037;3.7e-2;3.7E-2;.037;0.04;4e-2;4E-2;.04;0.0370;3.70e-2;3.70E-2;.0370,short_answer
Compound X has a diffusion coefficient of 0.0963 cm<sup>2</sup> s<sup>-1</sup>. How long (in seconds) will it take a molecule to acheive a displacement of 360 cm?,670000;6.7e5;6.7E5;700000;7e5;7E5;673000;6.73e5;6.73E5;680000;6.8e5;6.8E5;700000;7e5;7E5;6.80e5;6.80e5;6.80E5,short_answer
Compound X has a diffusion coefficient of 0.0618 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 669.22 seconds.,9.09;9.09e0;9.09E0;9.1;9.1e0;9.1E0;9.095;9.095e0;9.095E0;9.10;9.10e0;9.10E0;9.1;9.1e0;9.1E0;9.100;9.100e0;9.100E0,short_answer
Compound X has a diffusion coefficient of 0.00577 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 980 seconds.,3.4;3.4e0;3.4E0;3;3e0;3E0;3.;3.36;3.36e0;3.36E0;3.3;3.3e0;3.3E0;3;3e0;3E0;3.;3.30;3.30e0;3.30E0,short_answer
Compound X has a diffusion coefficient of 0.0995 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 800 seconds.,10;1e1;1E1;13;1.3e1;1.3E1;13.;20;2e1;2E1;20.;2.0e1;2.0E1;20..,short_answer
Calculate the diffusion coefficient (in cm<sup>2</sup> s<sup>-1</sup>) for a molecule that is diplaced by 269 cm after 241.4 seconds.,150.;1.50e2;1.50E2;150..;150;1.5e2;1.5E2;149.9;1.499e2;1.499E2;149;1.49e2;1.49E2;149.;150;1.5e2;1.5E2;149.0;1.490e2;1.490E2,short_answer
Compound X has a diffusion coefficient of 0.052 cm<sup>2</sup> s<sup>-1</sup>. How long (in seconds) will it take a molecule to acheive a displacement of 82 cm?,65000;6.5e4;6.5E4;60000;6e4;6E4;64700;6.47e4;6.47E4;64000;6.4e4;6.4E4;60000;6e4;6E4;6.40e4;6.40e4;6.40E4,short_answer
Compound X has a diffusion coefficient of 0.0970 cm<sup>2</sup> s<sup>-1</sup>. Calculate the mean displacement (in cm) of a molecule after 487 seconds.,9.72;9.72e0;9.72E0;9.7;9.7e0;9.7E0;9.720;9.720e0;9.720E0;9.71;9.71e0;9.71E0;9.7;9.7e0;9.7E0;9.710;9.710e0;9.710E0,short_answer
