question,correct_answers
What is the name of element H?,"['Hydrogen', 'hydrogen']"
What is the name of element He?,"['Helium', 'helium']"
What is the name of element Li?,"['Lithium', 'lithium']"
What is the name of element Be?,"['Beryllium', 'beryllium']"
What is the name of element B?,"['Boron', 'boron']"
What is the name of element C?,"['Carbon', 'carbon']"
What is the name of element N?,"['Nitrogen', 'nitrogen']"
What is the name of element O?,"['Oxygen', 'oxygen']"
What is the name of element F?,"['Fluorine', 'fluorine']"
What is the name of element Ne?,"['Neon', 'neon']"
What is the name of element Na?,"['Sodium', 'sodium']"
What is the name of element Mg?,"['Magnesium', 'magnesium']"
What is the name of element Al?,"['Aluminum', 'aluminum']"
What is the name of element Si?,"['Silicon', 'silicon']"
What is the name of element P?,"['Phosphorus', 'phosphorus']"
What is the name of element S?,"['Sulfur', 'sulfur']"
What is the name of element Cl?,"['Chlorine', 'chlorine']"
What is the name of element Ar?,"['Argon', 'argon']"
What is the name of element K?,"['Potassium', 'potassium']"
What is the name of element Ca?,"['Calcium', 'calcium']"
What is the name of element Sc?,"['Scandium', 'scandium']"
What is the name of element Ti?,"['Titanium', 'titanium']"
What is the name of element V?,"['Vanadium', 'vanadium']"
What is the name of element Cr?,"['Chromium', 'chromium']"
What is the name of element Mn?,"['Manganese', 'manganese']"
What is the name of element Fe?,"['Iron', 'iron']"
What is the name of element Co?,"['Cobalt', 'cobalt']"
What is the name of element Ni?,"['Nickel', 'nickel']"
What is the name of element Cu?,"['Copper', 'copper']"
What is the name of element Zn?,"['Zinc', 'zinc']"
What is the name of element Ga?,"['Gallium', 'gallium']"
What is the name of element Ge?,"['Germanium', 'germanium']"
What is the name of element As?,"['Arsenic', 'arsenic']"
What is the name of element Se?,"['Selenium', 'selenium']"
What is the name of element Br?,"['Bromine', 'bromine']"
What is the name of element Kr?,"['Krypton', 'krypton']"
What is the name of element Rb?,"['Rubidium', 'rubidium']"
What is the name of element Sr?,"['Strontium', 'strontium']"
What is the name of element Y?,"['Yttrium', 'yttrium']"
What is the name of element Zr?,"['Zirconium', 'zirconium']"
