question,correct_answers
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.732529212 ± 0.000223366,0.7325 ± 0.0002;0.7325±0.0002;7.325e-1 ± 2e-4;7.325e-1±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.008484781,19.189 ± 0.008;19.189±0.008;1.9189e1 ± 8e-3;1.9189e1±8e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.089765368 ± 0.012599783,0.090 ± 0.013;0.090±0.013;9.0e-2 ± 1.3e-2;9.0e-2±1.3e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 12.035010042 ± 4.277547421,12 ± 4;12±4;1.2e1 ± 4e0;1.2e1±4e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 124.012191124 ± 0.037814411,124.01 ± 0.04;124.01±0.04;1.2401e2 ± 4e-2;1.2401e2±4e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 0.587827382,249.7 ± 0.6;249.7±0.6;2.497e2 ± 6e-1;2.497e2±6e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 197.727905394 ± 0.087429618,197.73 ± 0.09;197.73±0.09;1.9773e2 ± 9e-2;1.9773e2±9e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.013889752 ± 0.000012915,0.013890 ± 0.000013;0.013890±0.000013;1.3890e-2 ± 1.3e-5;1.3890e-2±1.3e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 634.712319273 ± 271.659020377,600 ± 300;600±300;6e2 ± 3e2;6e2±3e2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.013889752 ± 0.000022552,0.01389 ± 0.00002;0.01389±0.00002;1.389e-2 ± 2e-5;1.389e-2±2e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.474790480 ± 0.249277680,1.5 ± 0.2;1.5±0.2;1.5e0 ± 2e-1;1.5e0±2e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 15.196663584 ± 0.002653657,15.197 ± 0.003;15.197±0.003;1.5197e1 ± 3e-3;1.5197e1±3e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.228200182 ± 0.006015625,0.228 ± 0.006;0.228±0.006;2.28e-1 ± 6e-3;2.28e-1±6e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 5.977795859 ± 0.009705624,5.978 ± 0.010;5.978±0.010;5.978e0 ± 9.7e-3;5.978e0±9.7e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.013889752 ± 0.000004235,0.013890 ± 0.000004;0.013890±0.000004;1.3890e-2 ± 4e-6;1.3890e-2±4e-6
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 4.734120275 ± 0.458243039,4.7 ± 0.5;4.7±0.5;4.7e0 ± 5e-1;4.7e0±5e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.474790480 ± 0.631215316,1.5 ± 0.6;1.5±0.6;1.5e0 ± 6e-1;1.5e0±6e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 398.082735412 ± 0.778313513,398.1 ± 0.8;398.1±0.8;3.981e2 ± 8e-1;3.981e2±8e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.228200182 ± 0.097670450,0.23 ± 0.10;0.23±0.10;2.3e-1 ± 9.8e-2;2.3e-1±9.8e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.924968069 ± 0.011595680,0.925 ± 0.012;0.925±0.012;9.25e-1 ± 1.2e-2;9.25e-1±1.2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.862224851 ± 0.661881883,1.9 ± 0.7;1.9±0.7;1.9e0 ± 7e-1;1.9e0±7e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.180723319 ± 0.014526867,0.181 ± 0.015;0.181±0.015;1.81e-1 ± 1.5e-2;1.81e-1±1.5e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 502.660935677 ± 15.956541414,5.0e2 ± 20;5.0e2±20;5.0e2 ± 2e1;5.0e2±2e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 30.595223253 ± 2.042267198,31 ± 2;31±2;3.1e1 ± 2e0;3.1e1±2e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.027964036 ± 0.000138444,0.02796 ± 0.00014;0.02796±0.00014;2.796e-2 ± 1.4e-4;2.796e-2±1.4e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 5.686075564,49 ± 6;49±6;4.9e1 ± 6e0;4.9e1±6e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 98.211555272 ± 9.506467708,98 ± 10.;98±10.;9.8e1 ± 9.5e0;9.8e1±9.5e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.113347151 ± 0.102012436,0.11 ± 0.10;0.11±0.10;1.1e-1 ± 1.0e-1;1.1e-1±1.0e-1
