question,correct_answers,floating_point_value
7.906 / 6870 = ?,0.00115;1.15e-3,0.0011508005822416301
4e-4 / 3240 = ?,1e-7;1e-7,1.234567901234568e-07
1500 / 0.56899 = ?,2600;2.6e3,2636.250197718765
0.0091030 / 0.8 = ?,0.01;1e-2,0.01137875
35.6 / 720 = ?,0.049;4.9e-2,0.049444444444444444
2000 / 1500 = ?,1;1e0,1.3333333333333333
0.18421 / 339 = ?,5.43e-4;5.43e-4,0.0005433923303834808
7.9060 / 6870 = ?,0.00115;1.15e-3,0.0011508005822416301
0.013 / 6866.5 = ?,1.9e-6;1.9e-6,1.8932498361610719e-06
2.1210e-4 / 2000 = ?,1e-7;1e-7,1.0605e-07
0.040949 / 0.019307 = ?,2.1209;2.1209e0,2.1209405914953123
0.086851 / 1.2068 = ?,0.071968;7.1968e-2,0.07196801458402385
0.0281 / 3237 = ?,8.68e-6;8.68e-6,8.680877355576151e-06
1.4563e-4 / 720. = ?,2.02e-7;2.02e-7,2.0226388888888888e-07
7000 / 1.00e4 = ?,0.7;7e-1,0.7
1e4 / 1.000e-4 = ?,1e8;1e8,100000000.0
3.1e-4 / 0.059636 = ?,0.0052;5.2e-3,0.005198202428063585
233 / 1.21 = ?,193;1.93e2,192.5619834710744
0.0063 / 4 = ?,0.002;2e-3,0.001575
0.12649 / 0.004 = ?,30;3e1,31.6225
1.4563e-4 / 1.5e-4 = ?,0.97;9.7e-1,0.9708666666666668
3.73 / 51.795 = ?,0.0720;7.20e-2,0.07201467323100685
16.77 / 500 = ?,0.03;3e-2,0.03354
1.0e3 / 1050 = ?,0.95;9.5e-1,0.9523809523809523
4715 / 0.003 = ?,2e6;2e6,1571666.6666666667
7.906 / 20 = ?,0.4;4e-1,0.3953
0.05964 / 494 = ?,1.21e-4;1.21e-4,0.00012072874493927125
4700 / 0.040949 = ?,1.1e5;1.1e5,114776.91762924613
2.12e-4 / 35.56 = ?,5.96e-6;5.96e-6,5.961754780652418e-06
0.02 / 0.00295 = ?,7;7e0,6.779661016949153
0.1842 / 0.002 = ?,90;9e1,92.1
0.6 / 0.569 = ?,1;1e0,1.0544815465729351
7.9 / 719.7 = ?,0.011;1.1e-2,0.010976795887175211
0.006251 / 4 = ?,0.002;2e-3,0.00156275
35.565 / 0.18 = ?,2.0e2;2.0e2,197.58333333333331
159.99 / 494.2 = ?,0.3237;3.237e-1,0.3237353298259814
7.91 / 0.006 = ?,1000;1e3,1318.3333333333333
1.0e4 / 0.0014 = ?,7.1e6;7.1e6,7142857.142857143
0.004 / 24.421 = ?,2e-4;2e-4,0.00016379345645141477
0.006251 / 24 = ?,2.6e-4;2.6e-4,0.0002604583333333333
0.569 / 1.2 = ?,0.47;4.7e-1,0.4741666666666666
17 / 1000 = ?,0.02;2e-2,0.017
0.08685 / 24.42 = ?,0.003557;3.557e-3,0.0035565110565110563
0.0063 / 233 = ?,2.7e-5;2.7e-5,2.703862660944206e-05
0.83 / 0.013257 = ?,63;6.3e1,62.60843328053104
339.32 / 490 = ?,0.69;6.9e-1,0.6924897959183673
110. / 0.0409 = ?,2690;2.69e3,2689.486552567237
1.207 / 0.0409 = ?,29.5;2.95e1,29.511002444987778
0.001389 / 75.43 = ?,1.841e-5;1.841e-5,1.8414423969243007e-05
24.4 / 0.0063 = ?,3900;3.9e3,3873.015873015873
7.9 / 0.12649 = ?,62;6.2e1,62.455530081429366
3.7276 / 51.79 = ?,0.07198;7.198e-2,0.07197528480401622
24 / 4710 = ?,0.0051;5.1e-3,0.005095541401273885
51.795 / 0.060 = ?,860;8.6e2,863.2500000000001
2.56 / 0.0133 = ?,192;1.92e2,192.48120300751881
2 / 230 = ?,0.009;9e-3,0.008695652173913044
0.4 / 0.2 = ?,2;2e0,2.0
0.2 / 51.8 = ?,0.004;4e-3,0.0038610038610038615
4.50e-4 / 0.019 = ?,0.024;2.4e-2,0.02368421052631579
0.4 / 3.73 = ?,0.1;1e-1,0.10723860589812333
0.0193 / 0.04 = ?,0.5;5e-1,0.48250000000000004
24.4 / 50 = ?,0.5;5e-1,0.488
4715 / 0.00625 = ?,7.54e5;7.54e5,754400.0
5000 / 20 = ?,200;2e2,250.0
0.087 / 7.9060 = ?,0.011;1.1e-2,0.011004300531242094
0.126 / 9.5e-4 = ?,130;1.3e2,132.6315789473684
75.43 / 3200 = ?,0.024;2.4e-2,0.023571875000000003
24.421 / 9.5e-4 = ?,2.6e4;2.6e4,25706.315789473683
2.5595 / 0.0020 = ?,1300;1.3e3,1279.75
233.0 / 0.0133 = ?,1.75e4;1.75e4,17518.796992481202
700 / 0.0043 = ?,2e5;2e5,162790.6976744186
0.059636 / 0.0596 = ?,1.00;1.00e0,1.0006040268456375
490 / 3.73 = ?,130;1.3e2,131.36729222520108
4714.9 / 0.00295 = ?,1.60e6;1.60e6,1598271.1864406778
0.028118 / 0.0409 = ?,0.687;6.87e-1,0.6874816625916871
2.5595 / 0.0193 = ?,133;1.33e2,132.6165803108808
160 / 0.041 = ?,3900;3.9e3,3902.439024390244
6.55e-4 / 110. = ?,5.95e-6;5.95e-6,5.954545454545455e-06
2 / 160. = ?,0.01;1e-2,0.0125
1.0e3 / 0.02 = ?,5e4;5e4,50000.0
1.000e-4 / 0.0042919 = ?,0.02330;2.330e-2,0.02329970409375801
8 / 2.56 = ?,3;3e0,3.125
24.4 / 0.5690 = ?,42.9;4.29e1,42.88224956063269
1048 / 11.5 = ?,91.1;9.11e1,91.1304347826087
0.041 / 5.4287 = ?,0.0076;7.6e-3,0.007552452705067512
0.01326 / 0.268 = ?,0.0495;4.95e-2,0.0494776119402985
3.728 / 10 = ?,0.4;4e-1,0.3728
4.5e-4 / 0.00429 = ?,0.10;1.0e-1,0.10489510489510488
3237 / 2.12e-4 = ?,1.53e7;1.53e7,15268867.9245283
339.3 / 9.5e-4 = ?,3.6e5;3.6e5,357157.89473684214
17 / 0.0013895 = ?,1.2e4;1.2e4,12234.616768621807
0.0596 / 35.56 = ?,0.00168;1.68e-3,0.0016760404949381325
52 / 1500 = ?,0.035;3.5e-2,0.034666666666666665
1.000e4 / 0.09 = ?,1e5;1e5,111111.11111111111
1.0000e-4 / 0.0091030 = ?,0.010985;1.0985e-2,0.010985389432055367
1.000e-4 / 16.8 = ?,5.95e-6;5.95e-6,5.9523809523809525e-06
11.514 / 0.0091030 = ?,1264.9;1.2649e3,1264.8577392068548
1050 / 0.56899 = ?,1850;1.85e3,1845.3751384031355
0.001389 / 6.6e-4 = ?,2.1;2.1e0,2.1045454545454545
35.565 / 3.1e-4 = ?,1.1e5;1.1e5,114725.8064516129
0.013 / 110. = ?,1.2e-4;1.2e-4,0.00011818181818181818
0.0029471 / 7.9 = ?,3.7e-4;3.7e-4,0.0003730506329113924
3.0888e-4 / 0.27 = ?,0.0011;1.1e-3,0.0011439999999999998
200 / 0.002947 = ?,7e4;7e4,67865.6260604004
0.126 / 0.013257 = ?,9.50;9.50e0,9.504412763068569
0.02812 / 0.006251 = ?,4.498;4.498e0,4.498480243161095
1e4 / 1.758 = ?,6000;6e3,5688.282138794084
0.1 / 1526 = ?,7e-5;7e-5,6.55307994757536e-05
1.76 / 0.13 = ?,14;1.4e1,13.538461538461538
0.0062506 / 4715 = ?,1.326e-6;1.326e-6,1.3256839872746554e-06
3.728 / 3 = ?,1;1e0,1.2426666666666668
0.268 / 3.73 = ?,0.0718;7.18e-2,0.07184986595174263
3240 / 230 = ?,14;1.4e1,14.08695652173913
75.4 / 0.006 = ?,1e4;1e4,12566.666666666668
9.5e-4 / 1e4 = ?,9.5e-8;9.5e-8,9.5e-08
7e-4 / 1.207 = ?,6e-4;6e-4,0.000579950289975145
0.0020236 / 500 = ?,4e-6;4e-6,4.0472e-06
1050 / 1 = ?,1000;1e3,1050.0
2223.0 / 0.02 = ?,1e5;1e5,111150.0
340 / 52 = ?,6.5;6.5e0,6.538461538461538
0.01326 / 5.4 = ?,0.0025;2.5e-3,0.0024555555555555554
75.4 / 3000 = ?,0.03;3e-2,0.025133333333333334
16.77 / 233 = ?,0.0720;7.20e-2,0.07197424892703863
4.50e-4 / 1.000e-4 = ?,4.50;4.50e0,4.5
494.2 / 2.1210e-4 = ?,2.330e6;2.330e6,2330033.00330033
1530 / 233.00 = ?,6.57;6.57e0,6.5665236051502145
3237.5 / 3.0888e-4 = ?,1.0481e7;1.0481e7,10481416.731416732
0.268 / 0.00625 = ?,42.9;4.29e1,42.88
1048 / 0.00295 = ?,3.55e5;3.55e5,355254.2372881356
160 / 233.0 = ?,0.69;6.9e-1,0.6866952789699571
230 / 233.0 = ?,0.99;9.9e-1,0.9871244635193133
2.6 / 0.003 = ?,900;9e2,866.6666666666666
0.0013895 / 4715 = ?,2.947e-7;2.947e-7,2.9469777306468715e-07
4714.9 / 6.551e-4 = ?,7.197e6;7.197e6,7197221.798198747
0.391 / 719.69 = ?,5.43e-4;5.43e-4,0.000543289471855938
8 / 1526 = ?,0.005;5e-3,0.005242463958060288
