question,correct_answers,floating_point_value
0.00625 x 300 = ?,2;2e0,1.875
0.0029 x 0.99 = ?,0.0029;2.9e-3,0.002871
0.0091030 x 407.19 = ?,3.7067;3.7067e0,3.70665057
3237 x 20.122 = ?,6.513e4;6.513e4,65134.914
2.560 x 3 = ?,8;8e0,7.68
1.76 x 0.2 = ?,0.4;4e-1,0.35200000000000004
1.0000e-4 x 0.99 = ?,9.9e-5;9.9e-5,9.900000000000001e-05
0.002947 x 7 = ?,0.02;2e-2,0.020629
0.4 x 13.82 = ?,6;6e0,5.5280000000000005
35.6 x 0.05 = ?,2;2e0,1.7800000000000002
16.77 x 0.994 = ?,16.7;1.67e1,16.66938
0.00429 x 2.5451e-4 = ?,1.09e-6;1.09e-6,1.0918479000000002e-06
9.5e-4 x 280. = ?,0.27;2.7e-1,0.266
0.04 x 0.049 = ?,0.002;2e-3,0.00196
0.01931 x 280. = ?,5.41;5.41e0,5.4068000000000005
339 x 0.02 = ?,7;7e0,6.78
339.32 x 5e-4 = ?,0.2;2e-1,0.16966
3e-4 x 29.305 = ?,0.009;9e-3,0.008791499999999999
0.03 x 2.1 = ?,0.06;6e-2,0.063
4710 x 279.59 = ?,1.32e6;1.32e6,1316868.9
0.00910 x 863.6 = ?,7.86;7.86e0,7.85876
0.060 x 0.02317 = ?,0.0014;1.4e-3,0.0013901999999999999
339.32 x 0.0024 = ?,0.81;8.1e-1,0.8143679999999999
1.0e3 x 300 = ?,3e5;3e5,300000.0
0.013257 x 0.0075 = ?,9.9e-5;9.9e-5,9.942749999999999e-05
1.4563e-4 x 20.1 = ?,0.00293;2.93e-3,0.0029271630000000004
5.4287 x 9.49 = ?,51.5;5.15e1,51.518363
0.18 x 42.7 = ?,7.7;7.7e0,7.686
4.4984e-4 x 593 = ?,0.267;2.67e-1,0.26675512
0.013257 x 4 = ?,0.05;5e-2,0.053028
16.77 x 0.071563 = ?,1.200;1.200e0,1.20011151
2200 x 1831.7 = ?,4.0e6;4.0e6,4029740.0
6.6e-4 x 0.9944 = ?,6.6e-4;6.6e-4,0.0006563039999999999
5.4287 x 1.748e-4 = ?,9.489e-4;9.489e-4,0.0009489367599999999
51.79 x 3885 = ?,2.012e5;2.012e5,201204.15
3237.5 x 9.49 = ?,3.07e4;3.07e4,30723.875
4.4984e-4 x 0.68278 = ?,3.0714e-4;3.0714e-4,0.00030714175520000006
0.3 x 0.049139 = ?,0.01;1e-2,0.0147417
24.4 x 13.8 = ?,337;3.37e2,336.71999999999997
1500 x 280. = ?,4.2e5;4.2e5,420000.0
0.028 x 0.0051503 = ?,1.4e-4;1.4e-4,0.0001442084
0.006 x 13.82 = ?,0.08;8e-2,0.08292000000000001
0.09 x 2667.6 = ?,200;2e2,240.08399999999997
0.013257 x 130 = ?,1.7;1.7e0,1.7234099999999999
51.8 x 0.07 = ?,4;4e0,3.6260000000000003
0.83 x 407.19 = ?,340;3.4e2,337.9677
1050 x 14 = ?,1.5e4;1.5e4,14700.0
16.768 x 0.0011449 = ?,0.019198;1.9198e-2,0.0191976832
160 x 7 = ?,1000;1e3,1120.0
0.0091 x 0.033741 = ?,3.1e-4;3.1e-4,0.00030704310000000004
0.06 x 0.071563 = ?,0.004;4e-3,0.00429378
2.12e-4 x 300 = ?,0.06;6e-2,0.0636
0.041 x 9.4873 = ?,0.39;3.9e-1,0.3889793
0.18 x 20.122 = ?,3.6;3.6e0,3.6219599999999996
109.9 x 0.016 = ?,1.8;1.8e0,1.7584000000000002
233.00 x 100 = ?,2e4;2e4,23300.0
16.77 x 0.68278 = ?,11.45;1.145e1,11.4502206
0.028118 x 0.22105 = ?,0.0062155;6.2155e-3,0.0062154839
100 x 40 = ?,4000;4e3,4000.0
16.77 x 5.3981e-4 = ?,0.009053;9.053e-3,0.0090526137
1.758 x 1260 = ?,2220;2.22e3,2215.08
2000 x 2668 = ?,5e6;5e6,5336000.0
0.009103 x 593 = ?,5.40;5.40e0,5.398079
12 x 1 = ?,10;1e1,12.0
0.019307 x 0.4688 = ?,0.009051;9.051e-3,0.0090511216
0.4 x 0.015909 = ?,0.006;6e-3,0.0063636000000000005
0.040949 x 0.071563 = ?,0.0029304;2.9304e-3,0.002930433287
2.560 x 4e-4 = ?,0.001;1e-3,0.0010240000000000002
1526 x 1258 = ?,1.920e6;1.920e6,1919708.0
0.0029 x 400 = ?,1;1e0,1.16
0.00625 x 0.002428 = ?,1.52e-5;1.52e-5,1.5175000000000001e-05
0.18 x 0.0075007 = ?,0.0014;1.4e-3,0.0013501259999999999
7000 x 0.023 = ?,200;2e2,161.0
230 x 5e-4 = ?,0.1;1e-1,0.115
230 x 3 = ?,700;7e2,690.0
0.0042919 x 280. = ?,1.20;1.20e0,1.201732
0.57 x 5657.8 = ?,3200;3.2e3,3224.946
0.05964 x 0.008 = ?,5e-4;5e-4,0.00047712
1.000e-4 x 1.2e-4 = ?,1.2e-8;1.2e-8,1.2000000000000002e-08
1.0000e-4 x 13.82 = ?,0.001382;1.382e-3,0.0013820000000000002
0.0014 x 7.9e-4 = ?,1.1e-6;1.1e-6,1.106e-06
1.456e-4 x 0.9944 = ?,1.448e-4;1.448e-4,0.00014478463999999998
4710 x 0.10422 = ?,491;4.91e2,490.8762
1.76 x 8000 = ?,1e4;1e4,14080.0
11.51 x 62.2 = ?,716;7.16e2,715.922
9.5e-4 x 2e-4 = ?,2e-7;2e-7,1.9e-07
4710 x 2.109 = ?,9930;9.93e3,9933.39
0.1265 x 1257.7 = ?,159.1;1.591e2,159.09905
75.43 x 5.3981e-4 = ?,0.04072;4.072e-2,0.04071786830000001
1.76 x 5.3981e-4 = ?,9.50e-4;9.50e-4,0.0009500656000000001
3.1e-4 x 0.00167 = ?,5.2e-7;5.2e-7,5.177e-07
7.9 x 4.4731 = ?,35;3.5e1,35.337489999999995
0.040949 x 3 = ?,0.1;1e-1,0.122847
0.0063 x 0.15 = ?,9.4e-4;9.4e-4,0.000945
