question,correct_answers,floating_point_value
ln(1.0e4) = ?,9.21;9.21e0,9.210340371976184
ln(1.2068) = ?,0.18797;1.8797e-1,0.18797222830276905
ln(159.99) = ?,5.07511;5.07511e0,5.075111313280621
ln(0.0014) = ?,-6.57;-6.57e0,-6.571283042360924
ln(0.57) = ?,-0.56;-5.6e-1,-0.5621189181535413
ln(12) = ?,2.48;2.48e0,2.4849066497880004
ln(0.5690) = ?,-0.5639;-5.639e-1,-0.5638748448558062
ln(1526) = ?,7.3304;7.3304e0,7.330405211844402
ln(7.906) = ?,2.0676;2.0676e0,2.0676219648744936
ln(0.569) = ?,-0.564;-5.64e-1,-0.5638748448558062
ln(1.00e4) = ?,9.210;9.210e0,9.210340371976184
ln(1.8) = ?,0.59;5.9e-1,0.5877866649021191
ln(0.05964) = ?,-2.8194;-2.8194e0,-2.8194287890855994
ln(36) = ?,3.58;3.58e0,3.58351893845611
ln(1530) = ?,7.333;7.333e0,7.333023014386481
ln(0.0133) = ?,-4.320;-4.320e0,-4.319991243754429
ln(1.2) = ?,0.18;1.8e-1,0.1823215567939546
ln(0.041) = ?,-3.19;-3.19e0,-3.1941832122778293
ln(1.758) = ?,0.5642;5.642e-1,0.5641767992629853
ln(0.27) = ?,-1.31;-1.31e0,-1.3093333199837622
ln(6900) = ?,8.84;8.84e0,8.83927669058535
ln(339.3) = ?,5.8269;5.8269e0,5.826884671790184
ln(0.00625) = ?,-5.075;-5.075e0,-5.075173815233827
ln(75.431) = ?,4.32322;4.32322e0,4.323218331102334
ln(0.39) = ?,-0.94;-9.4e-1,-0.941608539858445
ln(2.5595) = ?,0.93981;9.3981e-1,0.9398119269155009
ln(0.060) = ?,-2.81;-2.81e0,-2.8134107167600364
ln(4710) = ?,8.457;8.457e0,8.457443187010464
ln(6866.5) = ?,8.83441;8.83441e0,8.834409793970337
ln(3.73) = ?,1.316;1.316e0,1.3164082336557241
ln(4700) = ?,8.46;8.46e0,8.45531778769815
ln(1.8) = ?,0.59;5.9e-1,0.5877866649021191
ln(339) = ?,5.826;5.826e0,5.82600010738045
ln(3.7) = ?,1.31;1.31e0,1.308332819650179
ln(6.55e-4) = ?,-7.331;-7.331e0,-7.330875322329022
ln(0.01931) = ?,-3.9471;-3.9471e0,-3.947132182541714
ln(0.26827) = ?,-1.31576;-1.31576e0,-1.315761342934651
ln(109.85) = ?,4.69912;4.69912e0,4.699115798830619
ln(4.50e-4) = ?,-7.706;-7.706e0,-7.706262975199909
ln(3.0888e-4) = ?,-8.08256;-8.08256e0,-8.082557706008293
ln(0.0133) = ?,-4.320;-4.320e0,-4.319991243754429
ln(0.0062506) = ?,-5.07508;-5.07508e0,-5.075077819841532
ln(0.013) = ?,-4.34;-4.34e0,-4.3428059215206005
ln(6866.5) = ?,8.83441;8.83441e0,8.834409793970337
ln(36) = ?,3.58;3.58e0,3.58351893845611
ln(2.1e-4) = ?,-8.47;-8.47e0,-8.468403027246806
ln(1.000e4) = ?,9.2103;9.2103e0,9.210340371976184
ln(3200) = ?,8.07;8.07e0,8.070906088787819
ln(339.32) = ?,5.82694;5.82694e0,5.826943614939534
ln(3.73) = ?,1.316;1.316e0,1.3164082336557241
ln(4.4984e-4) = ?,-7.70662;-7.70662e0,-7.706618593980328
ln(9.5e-4) = ?,-6.96;-6.96e0,-6.959048573369688
ln(1048.1) = ?,6.95473;6.95473e0,6.954734280176131
ln(3.089e-4) = ?,-8.0825;-8.0825e0,-8.082492958039738
ln(490) = ?,6.19;6.19e0,6.194405391104672
ln(0.0062506) = ?,-5.07508;-5.07508e0,-5.075077819841532
ln(75.43) = ?,4.3232;4.3232e0,4.323205073865539
ln(7.9) = ?,2.07;2.07e0,2.066862759472976
ln(0.041) = ?,-3.19;-3.19e0,-3.1941832122778293
ln(0.12649) = ?,-2.06759;-2.06759e0,-2.0675920253226865
ln(6.5513e-4) = ?,-7.33068;-7.33068e0,-7.330676868739796
ln(0.83) = ?,-0.19;-1.9e-1,-0.18632957819149348
ln(0.27) = ?,-1.31;-1.31e0,-1.3093333199837622
ln(3.73) = ?,1.316;1.316e0,1.3164082336557241
ln(7.906) = ?,2.0676;2.0676e0,2.0676219648744936
ln(0.002024) = ?,-6.2027;-6.2027e0,-6.202679527556918
ln(1050) = ?,6.957;6.957e0,6.956545443151569
ln(51.79) = ?,3.9472;3.9472e0,3.9471970804358
ln(160) = ?,5.08;5.08e0,5.075173815233827
ln(233) = ?,5.451;5.451e0,5.4510384535657
ln(0.2683) = ?,-1.3156;-1.3156e0,-1.3156495215505586
ln(3.73) = ?,1.316;1.316e0,1.3164082336557241
ln(0.028) = ?,-3.58;-3.58e0,-3.575550768806933
ln(0.0013895) = ?,-6.57881;-6.57881e0,-6.578811308781716
ln(1.4563e-4) = ?,-8.83444;-8.83444e0,-8.834441399469785
ln(1048.1) = ?,6.95473;6.95473e0,6.954734280176131
ln(0.0029471) = ?,-5.82693;-5.82693e0,-5.826933642989254
ln(11.51) = ?,2.4432;2.4432e0,2.4432162227337915
ln(0.009103) = ?,-4.6992;-4.6992e0,-4.6991512494589855
ln(0.39069) = ?,-0.93984;-9.3984e-1,-0.9398408723344155
ln(9.5410e-4) = ?,-6.95474;-6.95474e0,-6.954742070206474
ln(0.002947) = ?,-5.8270;-5.8270e0,-5.826967575226579
ln(6900) = ?,8.84;8.84e0,8.83927669058535
ln(0.0409) = ?,-3.197;-3.197e0,-3.196625215933381
ln(52) = ?,3.95;3.95e0,3.9512437185814275
ln(1.0e3) = ?,6.91;6.91e0,6.907755278982137
ln(3.1e-4) = ?,-8.08;-8.08e0,-8.078938260485081
ln(1.4563e-4) = ?,-8.83444;-8.83444e0,-8.834441399469785
ln(6.6e-4) = ?,-7.32;-7.32e0,-7.3232707229438025
ln(2.56) = ?,0.940;9.40e-1,0.9400072584914712
ln(2.6) = ?,0.96;9.6e-1,0.9555114450274363
ln(2223.0) = ?,7.70661;7.70661e0,7.706612913964197
ln(0.2683) = ?,-1.3156;-1.3156e0,-1.3156495215505586
ln(1.8) = ?,0.59;5.9e-1,0.5877866649021191
ln(0.0869) = ?,-2.443;-2.443e0,-2.4429972467107905
ln(0.060) = ?,-2.81;-2.81e0,-2.8134107167600364
ln(4715) = ?,8.4585;8.4585e0,8.458504195067558
ln(1500) = ?,7.31;7.31e0,7.313220387090301
ln(233.0) = ?,5.4510;5.4510e0,5.4510384535657
ln(233.00) = ?,5.45104;5.45104e0,5.4510384535657
ln(6.6e-4) = ?,-7.32;-7.32e0,-7.3232707229438025
ln(6.551e-4) = ?,-7.3307;-7.3307e0,-7.330722662226443
ln(0.27) = ?,-1.31;-1.31e0,-1.3093333199837622
ln(75.431) = ?,4.32322;4.32322e0,4.323218331102334
