question,correct_answers,floating_point_value
0.39069 + 1.0e-4 = ?,0.39079;3.9079e-1,0.39078999999999997
1.0e4 + 1.00e4 = ?,2.0e4;2.0e4,20000.0
1.456e-4 + 0.0020236 = ?,0.0021692;2.1692e-3,0.0021692
6866 + 2.121e-4 = ?,6866;6.866e3,6866.0002121
0.18421 + 339.32 = ?,339.50;3.3950e2,339.50421
3200 + 339.32 = ?,3500;3.5e3,3539.32
0.028 + 2220 = ?,2220;2.22e3,2220.028
9.54e-4 + 719.69 = ?,719.69;7.1969e2,719.690954
0.0193 + 0.02 = ?,0.04;4e-2,0.0393
2.121e-4 + 35.565 = ?,35.565;3.5565e1,35.5652121
0.391 + 9.5410e-4 = ?,0.392;3.92e-1,0.3919541
4.5e-4 + 1.0e-4 = ?,5.5e-4;5.5e-4,0.00055
1526.4 + 0.019 = ?,1526.4;1.5264e3,1526.419
6.6e-4 + 109.9 = ?,109.9;1.099e2,109.90066
1.456e-4 + 0.004 = ?,0.004;4e-3,0.0041456
5.43 + 2.5595 = ?,7.99;7.99e0,7.9895
6900 + 51.8 = ?,7.0e3;7.0e3,6951.8
0.040949 + 16.77 = ?,16.81;1.681e1,16.810949
110. + 0.39 = ?,110.;1.10e2,110.39
340 + 0.0063 = ?,340;3.4e2,340.0063
3237 + 1000 = ?,4000;4e3,4237.0
0.82864 + 2.12e-4 = ?,0.82885;8.2885e-1,0.828852
16.768 + 0.041 = ?,16.809;1.6809e1,16.809
4700 + 2000 = ?,7000;7e3,6700.0
0.0869 + 2 = ?,2;2e0,2.0869
0.00910 + 0.00625 = ?,0.01535;1.535e-2,0.01535
3000 + 0.019 = ?,3000;3e3,3000.019
0.13 + 50 = ?,50;5e1,50.13
0.4 + 340 = ?,340;3.4e2,340.4
1500 + 24.421 = ?,1500;1.5e3,1524.421
490 + 720 = ?,1210;1.21e3,1210.0
233 + 1.207 = ?,234;2.34e2,234.207
2000 + 1048.1 = ?,3000;3e3,3048.1
0.2 + 0.0042919 = ?,0.2;2e-1,0.2042919
2.560 + 0.1 = ?,2.7;2.7e0,2.66
6.5513e-4 + 230 = ?,230;2.3e2,230.00065513
50 + 0.57 = ?,50;5e1,50.57
6.5513e-4 + 1.0000e4 = ?,1.0000e4;1.0000e4,10000.00065513
1.21 + 0.08685 = ?,1.30;1.30e0,1.29685
24.4 + 160.0 = ?,184.4;1.844e2,184.4
36 + 1.0e4 = ?,1.0e4;1.0e4,10036.0
3.1e-4 + 0.3 = ?,0.3;3e-1,0.30030999999999997
0.004 + 1050 = ?,1050;1.05e3,1050.004
16.768 + 2.121e-4 = ?,16.768;1.6768e1,16.7682121
35.56 + 0.013257 = ?,35.57;3.557e1,35.573257000000005
80 + 35.56 = ?,120;1.2e2,115.56
0.8 + 109.9 = ?,110.7;1.107e2,110.7
0.0063 + 0.18421 = ?,0.1905;1.905e-1,0.19051
3.7276 + 494 = ?,498;4.98e2,497.7276
0.002947 + 1e-4 = ?,0.0030;3.0e-3,0.003047
0.013 + 3.728 = ?,3.741;3.741e0,3.741
0.1265 + 0.0409 = ?,0.1674;1.674e-1,0.1674
0.57 + 100 = ?,100;1e2,100.57
0.184 + 720. = ?,720.;7.20e2,720.184
3.0888e-4 + 100 = ?,100;1e2,100.00030888
3.73 + 0.0043 = ?,3.73;3.73e0,3.7343
7e-4 + 0.019307 = ?,0.0200;2.00e-2,0.020007
0.02812 + 0.0193 = ?,0.0474;4.74e-2,0.047420000000000004
1530 + 339 = ?,1870;1.87e3,1869.0
0.1 + 100 = ?,100;1e2,100.1
2.560 + 0.0029471 = ?,2.563;2.563e0,2.5629471
0.27 + 0.002 = ?,0.27;2.7e-1,0.272
7.91 + 0.0014 = ?,7.91;7.91e0,7.9114
3.728 + 3e-4 = ?,3.728;3.728e0,3.7283000000000004
1e-4 + 35.56 = ?,35.56;3.556e1,35.560100000000006
1.46e-4 + 0.18421 = ?,0.18436;1.8436e-1,0.18435600000000002
2.6 + 0.0091 = ?,2.6;2.6e0,2.6091
160 + 20 = ?,180;1.8e2,180.0
80 + 0.3907 = ?,80;8e1,80.3907
200 + 0.019 = ?,200;2e2,200.019
230 + 0.6 = ?,230;2.3e2,230.6
9.54e-4 + 2000 = ?,2000;2e3,2000.000954
0.0133 + 2.121e-4 = ?,0.0135;1.35e-2,0.013512099999999999
6870 + 2223.0 = ?,9090;9.09e3,9093.0
0.18421 + 2 = ?,2;2e0,2.18421
340 + 36 = ?,380;3.8e2,376.0
3.73 + 1.2068 = ?,4.94;4.94e0,4.9368
0.0013895 + 300 = ?,300;3e2,300.0013895
0.56899 + 7000 = ?,7000;7e3,7000.56899
9.5e-4 + 6.55e-4 = ?,0.00161;1.61e-3,0.001605
233.0 + 1e4 = ?,1e4;1e4,10233.0
1e-4 + 1.0000e4 = ?,1.0000e4;1.0000e4,10000.0001
0.087 + 0.0281 = ?,0.115;1.15e-1,0.1151
9.541e-4 + 4715 = ?,4715;4.715e3,4715.0009541
1.76 + 50 = ?,50;5e1,51.76
0.004 + 1e4 = ?,1e4;1e4,10000.004
0.060 + 35.56 = ?,35.62;3.562e1,35.620000000000005
24 + 17 = ?,41;4.1e1,41.0
0.2 + 52 = ?,52;5.2e1,52.2
0.57 + 0.006 = ?,0.58;5.8e-1,0.576
490 + 1048.1 = ?,1540;1.54e3,1538.1
494.2 + 160. = ?,654;6.54e2,654.2
6900 + 9.541e-4 = ?,6900;6.9e3,6900.0009541
0.4 + 490 = ?,490;4.9e2,490.4
1.4563e-4 + 20 = ?,20;2e1,20.00014563
40 + 3000 = ?,3000;3e3,3040.0
6.55e-4 + 233 = ?,233;2.33e2,233.000655
0.02 + 0.8 = ?,0.8;8e-1,0.8200000000000001
75.43 + 200 = ?,300;3e2,275.43
3237 + 0.4 = ?,3237;3.237e3,3237.4
1.00e4 + 4.4984e-4 = ?,1.00e4;1.00e4,10000.00044984
75.43 + 0.086851 = ?,75.52;7.552e1,75.516851
17 + 100 = ?,100;1e2,117.0
0.0042919 + 1.758 = ?,1.762;1.762e0,1.7622919
0.82864 + 494.17 = ?,495.00;4.9500e2,494.99864
0.184 + 35.56 = ?,35.74;3.574e1,35.744
1.7575 + 9.54e-4 = ?,1.7585;1.7585e0,1.758454
100 + 6.6e-4 = ?,100;1e2,100.00066
1.2068 + 0.00910 = ?,1.2159;1.2159e0,1.2159000000000002
1.0e-4 + 1.0e3 = ?,1.0e3;1.0e3,1000.0001
2220 + 0.03 = ?,2220;2.22e3,2220.03
1.2068 + 51.795 = ?,53.002;5.3002e1,53.0018
2.56 + 0.2 = ?,2.8;2.8e0,2.7600000000000002
35.565 + 0.019 = ?,35.584;3.5584e1,35.583999999999996
3000 + 0.0013895 = ?,3000;3e3,3000.0013895
3 + 2.6 = ?,6;6e0,5.6
2220 + 1.000e4 = ?,1.222e4;1.222e4,12220.0
4e-4 + 0.004292 = ?,0.0047;4.7e-3,0.004692
0.040949 + 0.02 = ?,0.06;6e-2,0.060949
7.9 + 5.429 = ?,13.3;1.33e1,13.329
9.541e-4 + 0.028118 = ?,0.029072;2.9072e-2,0.0290721
233.0 + 1.7575 = ?,234.8;2.348e2,234.7575
1526 + 0.01326 = ?,1526;1.526e3,1526.01326
1.7575 + 52 = ?,54;5.4e1,53.7575
7.9 + 0.001389 = ?,7.9;7.9e0,7.901389
1526 + 0.003 = ?,1526;1.526e3,1526.003
