Name,formula,tex,hydrated_radius_pm
Hydroxide,OH-,OH^{-},350
Chloride,Cl-,Cl^{-},300
Bromide,Br-,Br^{-},300
Iodide,I-,I^{-},300
Nitrate,NO3-,NO_3^{-},300
Sulfate,SO4--,SO_4^{2-},400
Phosphate,PO4---,PO_4^{3-},400
Carbonate,CO3--,CO_3^{2-},450
Bicarbonate,HCO3-,HCO_3^{-},450
Acetate,C2H3O2-,C_2H_3O_2^{-},450
Oxide,O--,O^{2-},
Sulfide,S--,S^{2-},
Nitrite,NO2-,NO_2^{-},300
Sulfite,SO3--,SO_3^{2-},450
Phosphite,PO3---,PO_3^{3-},
Permanganate,MnO4-,MnO_4^{-},350
Chromate,CrO4--,CrO_4^{2-},400
Dichromate,Cr2O7--,Cr_2O_7^{2-},
Hypochlorite,ClO-,ClO^{-},
Chlorate,ClO3-,ClO_3^{-},350
Perchlorate,ClO4-,ClO_4^{-},350
Cyanide,CN-,CN^{-},300
Thiocyanate,SCN-,SCN^{-},350
Peroxide,O2--,O_2^{2-},
