UnixTime,SensorID,PM1,PM2_5,PM10
1627584521.25,1,4,7,7
1627584521.72,2,2,3,4
1627584522.09,1,4,7,7
1627584522.63,2,2,3,4
1627584523.01,1,4,6,6
1627584523.48,2,2,3,4
1627584523.86,1,4,6,6
1627584524.32,2,2,3,4
1627584524.70,1,3,5,5
1627584525.24,2,1,3,4
1627584525.62,1,3,6,6
1627584526.09,2,1,3,4
1627584526.47,1,3,6,6
1627584526.93,2,1,3,4
1627584527.32,1,3,6,6
1627584527.85,2,1,3,4
1627584528.23,1,3,6,6
1627584528.69,2,1,3,4
1627584529.08,1,3,6,6
1627584529.54,2,1,3,4
1627584529.93,1,3,6,6
1627584530.46,2,1,3,4
1627584530.85,1,3,6,7
1627584531.30,2,1,3,4
1627584531.69,1,3,6,7
1627584532.15,2,1,3,4
1627584532.54,1,3,6,7
1627584533.06,2,1,2,3
1627584533.46,1,3,6,6
1627584533.91,2,1,2,3
1627584534.30,1,3,6,6
1627584534.76,2,1,2,3
1627584535.15,1,3,6,6
1627584535.67,2,1,2,3
1627584536.07,1,3,6,7
1627584536.52,2,1,2,3
1627584536.92,1,4,7,8
1627584537.36,2,1,2,3
1627584537.76,1,4,7,8
1627584538.28,2,1,2,3
1627584538.68,1,4,7,7
1627584539.13,2,1,2,3
1627584539.53,1,4,7,7
1627584539.97,2,1,2,3
1627584540.37,1,4,7,7
1627584540.89,2,1,2,3
1627584541.29,1,4,7,8
1627584541.73,2,1,2,3
1627584542.14,1,4,7,8
1627584542.58,2,1,2,3
1627584542.99,1,3,6,7
1627584543.50,2,1,2,2
1627584543.90,1,3,5,6
1627584544.34,2,1,2,2
1627584544.75,1,3,5,6
1627584545.19,2,1,2,2
1627584545.60,1,3,5,6
1627584546.10,2,1,2,2
1627584546.52,1,4,7,7
1627584546.95,2,1,2,2
1627584547.36,1,4,7,7
1627584547.80,2,1,2,2
1627584548.21,1,4,7,7
1627584548.71,2,1,2,2
1627584549.13,1,3,7,8
1627584549.56,2,1,2,2
1627584549.98,1,3,7,8
1627584550.40,2,1,2,2
1627584550.82,1,3,7,8
1627584551.32,2,1,2,2
1627584551.74,1,3,7,8
1627584552.17,2,1,2,2
1627584552.59,1,3,7,8
1627584553.01,2,1,2,2
1627584553.43,1,3,7,8
1627584553.93,2,1,2,2
1627584554.35,1,4,7,8
1627584554.77,2,1,2,2
1627584555.20,1,4,7,8
1627584555.62,2,1,2,2
1627584556.05,1,4,7,8
1627584556.53,2,1,2,2
1627584556.96,1,4,7,7
1627584557.38,2,1,2,2
1627584557.81,1,4,7,7
1627584558.23,2,1,2,2
1627584558.66,1,4,7,7
1627584559.14,2,1,2,2
1627584559.57,1,4,7,7
1627584559.99,2,1,2,2
1627584560.42,1,4,7,7
1627584560.83,2,1,2,2
1627584561.27,1,4,7,7
1627584561.75,2,1,2,2
1627584562.19,1,4,6,6
1627584562.60,2,1,2,2
1627584563.03,1,4,6,6
1627584563.44,2,1,2,2
1627584563.88,1,4,6,6
1627584564.36,2,1,2,2
1627584564.80,1,4,7,7
1627584565.20,2,1,2,2
1627584565.65,1,4,7,7
1627584566.05,2,1,2,2
1627584566.49,1,4,7,7
1627584566.97,2,1,2,2
1627584567.41,1,4,7,8
1627584567.81,2,1,2,2
1627584568.26,1,4,7,8
1627584568.66,2,1,2,2
1627584569.10,1,4,7,8
1627584569.57,2,1,2,2
1627584570.02,1,3,6,7
1627584570.42,2,1,2,2
1627584570.87,1,3,6,7
1627584571.27,2,1,2,2
1627584571.72,1,3,6,7
1627584572.18,2,1,2,2
1627584572.63,1,3,7,7
1627584573.03,2,1,2,2
1627584573.48,1,3,7,7
1627584573.87,2,1,2,2
1627584574.33,1,3,7,7
1627584574.79,2,1,2,2
1627584575.24,1,4,7,7
1627584575.64,2,1,2,2
1627584576.09,1,4,7,7
1627584576.48,2,1,2,2
1627584576.94,1,4,7,7
1627584577.40,2,1,3,3
1627584577.86,1,4,7,8
1627584578.24,2,1,3,3
1627584578.70,1,4,7,8
1627584579.09,2,1,3,3
1627584579.55,1,4,7,8
1627584580.01,2,1,2,2
1627584580.47,1,4,7,8
1627584580.85,2,1,2,2
1627584581.32,1,4,7,8
1627584581.70,2,1,2,2
1627584582.16,1,4,7,8
1627584582.61,2,1,2,2
1627584583.08,1,4,8,8
1627584583.46,2,1,2,2
1627584583.93,1,4,8,8
1627584584.31,2,1,2,2
1627584584.77,1,4,8,8
1627584585.22,2,1,2,4
1627584585.69,1,5,8,9
1627584586.07,2,1,2,4
1627584586.54,1,5,8,9
1627584586.91,2,1,2,4
1627584587.39,1,5,8,9
1627584587.83,2,1,2,4
1627584588.30,1,5,9,9
1627584588.68,2,1,2,4
1627584589.15,1,5,9,9
1627584589.52,2,1,2,4
1627584590.00,1,5,9,9
1627584590.44,2,1,2,4
1627584590.92,1,4,8,8
1627584591.28,2,1,2,4
1627584591.76,1,4,8,8
1627584592.13,2,1,2,4
1627584592.61,1,4,8,8
1627584593.05,2,1,2,4
1627584593.53,1,4,8,8
1627584593.89,2,1,2,4
1627584594.37,1,4,8,8
1627584594.74,2,1,2,4
1627584595.22,1,4,8,8
1627584595.65,2,1,2,4
1627584596.14,1,4,7,7
1627584596.50,2,1,2,4
1627584596.99,1,4,7,7
1627584597.35,2,1,2,4
1627584597.83,1,4,7,7
1627584598.26,2,1,2,4
1627584598.75,1,4,7,7
1627584599.11,2,1,2,4
1627584599.60,1,4,7,7
1627584599.95,2,1,2,4
1627584600.44,1,4,7,7
1627584600.87,2,1,2,4
1627584601.36,1,4,7,8
1627584601.72,2,1,2,4
1627584602.21,1,4,7,8
1627584602.56,2,1,2,4
1627584603.06,1,4,7,8
1627584603.48,2,1,2,3
1627584603.97,1,4,7,7
1627584604.32,2,1,2,3
1627584604.82,1,4,7,7
1627584605.17,2,1,2,3
1627584605.67,1,4,7,7
1627584606.09,2,1,2,3
1627584606.59,1,4,8,8
1627584606.93,2,1,2,3
1627584607.43,1,4,8,8
1627584607.78,2,1,2,3
1627584608.28,1,4,8,8
1627584608.69,2,1,2,3
1627584609.20,1,4,7,8
1627584609.54,2,1,2,3
1627584610.04,1,4,7,8
1627584610.38,2,1,2,3
1627584610.89,1,4,7,8
1627584611.30,2,1,2,2
1627584611.81,1,4,7,8
1627584612.15,2,1,2,2
1627584612.66,1,4,7,8
1627584612.99,2,1,2,2
1627584613.50,1,4,7,8
1627584613.91,2,1,2,2
1627584614.42,1,4,7,8
1627584614.75,2,1,2,2
1627584615.27,1,4,7,8
1627584615.60,2,1,2,2
1627584616.12,1,4,7,8
1627584616.52,2,1,2,2
1627584617.03,1,4,8,9
1627584617.36,2,1,2,2
1627584617.88,1,4,8,9
1627584618.21,2,1,2,2
1627584618.73,1,4,8,9
1627584619.12,2,1,2,2
1627584619.64,1,4,7,8
1627584619.97,2,1,2,2
1627584620.49,1,4,7,8
1627584620.82,2,1,2,2
1627584621.34,1,4,7,8
1627584621.73,2,1,1,1
1627584622.26,1,4,7,8
1627584622.58,2,1,1,1
1627584623.10,1,4,7,8
1627584623.42,2,1,1,1
1627584623.95,1,4,7,8
1627584624.34,2,1,1,1
1627584624.87,1,4,7,9
1627584625.19,2,1,1,1
1627584625.72,1,4,7,9
1627584626.03,2,1,1,1
1627584626.56,1,4,7,9
1627584626.95,2,1,2,2
1627584627.48,1,3,7,8
1627584627.79,2,1,2,2
1627584628.33,1,3,7,8
1627584628.64,2,1,2,2
1627584629.17,1,3,7,8
1627584629.56,2,1,2,2
1627584630.09,1,3,6,10
1627584630.40,2,1,2,2
1627584630.94,1,3,6,10
1627584631.25,2,1,2,2
1627584631.79,1,3,6,10
1627584632.16,2,1,2,2
1627584632.70,1,3,6,9
1627584633.01,2,1,2,2
1627584633.55,1,3,6,9
1627584633.85,2,1,2,2
1627584634.40,1,3,6,9
1627584634.77,2,1,2,2
1627584635.32,1,3,6,11
1627584635.62,2,1,2,2
1627584636.16,1,3,6,11
1627584636.46,2,1,2,2
1627584637.01,1,3,6,11
1627584637.38,2,1,2,2
1627584637.93,1,4,6,11
