#"+ EIC(78.0) Scan tube3HHW.D "
#Point,X(Minutes),Y(Counts)
0,0.596,5452
1,0.605,5235
2,0.614,5193
3,0.624,5216
4,0.633,5054
5,0.642,5016
6,0.651,4874
7,0.660,5133
8,0.670,4654
9,0.679,4580
10,0.688,4867
11,0.697,4307
12,0.706,4489
13,0.716,4565
14,0.725,4796
15,0.734,4436
16,0.743,4291
17,0.752,4038
18,0.762,4450
19,0.771,3968
20,0.780,4478
21,0.789,4264
22,0.798,4052
23,0.807,4231
24,0.817,4024
25,0.826,3961
26,0.835,4000
27,0.844,4159
28,0.853,3992
29,0.863,3847
30,0.872,3622
31,0.881,3816
32,0.890,3796
33,0.899,3907
34,0.909,3646
35,0.918,3706
36,0.927,3538
37,0.936,3684
38,0.945,3728
39,0.954,3559
40,0.964,3542
41,0.973,3942
42,0.982,3646
43,0.991,3378
44,1.000,3441
45,1.010,3592
46,1.019,3152
47,1.028,3442
48,1.037,3626
49,1.046,3361
50,1.056,3367
51,1.065,3445
52,1.074,3595
53,1.083,3189
54,1.092,3050
55,1.102,3289
56,1.111,3041
57,1.120,3411
58,1.129,2977
59,1.138,3396
60,1.147,3054
61,1.157,3089
62,1.166,3433
63,1.175,3160
64,1.184,2749
65,1.193,3358
66,1.203,3169
67,1.212,3037
68,1.221,3152
69,1.230,3136
70,1.239,3323
71,1.249,3398
72,1.258,2999
73,1.267,2914
74,1.276,3063
75,1.285,3276
76,1.295,2983
77,1.304,2959
78,1.313,2755
79,1.322,2989
80,1.331,3157
81,1.340,2808
82,1.350,2719
83,1.359,3031
84,1.368,2763
85,1.377,2887
86,1.386,3074
87,1.396,3253
88,1.405,2807
89,1.414,2904
90,1.423,2934
91,1.432,2875
92,1.442,2704
93,1.451,2689
94,1.460,2564
95,1.469,2950
96,1.478,2776
97,1.488,2602
98,1.497,2830
99,1.506,2710
100,1.515,2814
101,1.524,2867
102,1.533,2869
103,1.543,2838
104,1.552,2726
105,1.561,2611
106,1.570,2681
107,1.579,2949
108,1.589,2614
109,1.598,2934
110,1.607,2885
111,1.616,2547
112,1.625,2368
113,1.635,2595
114,1.644,2668
115,1.653,2487
116,1.662,2439
117,1.671,2383
118,1.680,2868
119,1.690,2751
120,1.699,2302
121,1.708,2542
122,1.717,2416
123,1.726,2533
124,1.736,2394
125,1.745,2676
126,1.754,2546
127,1.763,2492
128,1.772,2404
129,1.782,2586
130,1.791,2504
131,1.800,2401
132,1.809,2569
133,1.818,2583
134,1.828,2457
135,1.837,2524
136,1.846,2428
137,1.855,2580
138,1.864,2469
139,1.873,2418
140,1.883,2207
141,1.892,2433
142,1.901,2529
143,1.910,2509
144,1.919,2285
145,1.929,2662
146,1.938,2358
147,1.947,2370
148,1.956,2181
149,1.965,2541
150,1.975,2449
151,1.984,2386
152,1.993,2374
153,2.002,2597
154,2.011,2413
155,2.021,2279
156,2.030,2168
157,2.039,2424
158,2.048,2255
159,2.057,2305
160,2.066,2216
161,2.076,2242
162,2.085,2156
163,2.094,2361
164,2.103,2041
165,2.112,2535
166,2.122,2213
167,2.131,2300
168,2.140,2114
169,2.149,2296
170,2.158,2479
171,2.168,2158
172,2.177,2264
173,2.186,2134
174,2.195,2369
175,2.204,2198
176,2.213,2405
177,2.223,2076
178,2.232,2057
179,2.241,2264
180,2.250,2241
181,2.259,2028
182,2.269,2199
183,2.278,2073
184,2.287,2060
185,2.296,1931
186,2.305,1976
187,2.315,1972
188,2.324,2169
189,2.333,2007
190,2.342,2029
191,2.351,2295
192,2.361,2091
193,2.370,2128
194,2.379,2040
195,2.388,2060
196,2.397,1955
197,2.406,2020
198,2.416,2038
199,2.425,1957
200,2.434,2050
201,2.443,2131
202,2.452,2123
203,2.462,2038
204,2.471,1942
205,2.480,2033
206,2.489,1905
207,2.498,2114
208,2.508,1989
209,2.517,2005
210,2.526,2137
211,2.535,1908
212,2.544,1911
213,2.554,2012
214,2.563,1986
215,2.572,2033
216,2.581,2010
217,2.590,2059
218,2.599,1808
219,2.609,1931
220,2.618,1826
221,2.627,1937
222,2.636,1840
223,2.645,2097
224,2.655,1645
225,2.664,2213
226,2.673,1954
227,2.682,1976
228,2.691,2075
229,2.701,2048
230,2.710,1874
231,2.719,2185
232,2.728,2010
233,2.737,1953
234,2.746,1847
235,2.756,2044
236,2.765,1653
237,2.774,1926
238,2.783,1962
239,2.792,1864
240,2.802,1960
241,2.811,1916
242,2.820,1841
243,2.829,1772
244,2.838,1573
245,2.848,2172
246,2.857,2048
247,2.866,1975
248,2.875,1780
