#"Cpd 30: o-xylene: + ECC Scan tube3HHW.D "
#Point,X(Minutes),Y(Counts)
0,21.310,551176
1,21.319,563406
2,21.328,599716
3,21.337,712506
4,21.346,921041
5,21.356,1308128
6,21.365,1877280
7,21.374,2630648
8,21.383,3438144
9,21.392,4120016
10,21.402,4619480
11,21.411,4790944
12,21.420,4664872
13,21.429,4305528
14,21.438,3885008
15,21.448,3399656
16,21.457,2990600
17,21.466,2629776
18,21.475,2355192
19,21.484,2084264
20,21.493,1886856
21,21.503,1706288
22,21.512,1569472
23,21.521,1451184
24,21.530,1360320
25,21.539,1273025
26,21.549,1195451
27,21.558,1119132
28,21.567,1048540
29,21.576,1007729
30,21.585,964177
31,21.595,919523
32,21.604,887689
33,21.613,850565
34,21.622,823512
35,21.631,793445
36,21.641,777022
37,21.650,750275
38,21.659,740365
39,21.668,724630
40,21.677,718536
41,21.686,702412
42,21.696,687089
43,21.705,675944
44,21.714,668306
45,21.723,655322
46,21.732,639313
47,21.742,630646
48,21.751,617307
49,21.760,603840
50,21.769,598329
51,21.778,593000
52,21.788,581127
