point,rt,signal
0,0.596,297
1,0.605,218
2,0.614,297
3,0.624,247
4,0.633,246
5,0.642,357
6,0.651,297
7,0.660,210
8,0.670,253
9,0.679,223
10,0.688,281
11,0.697,241
12,0.706,244
13,0.716,190
14,0.725,273
15,0.734,270
16,0.743,238
17,0.752,168
18,0.762,355
19,0.771,167
20,0.780,211
21,0.789,250
22,0.798,218
23,0.807,187
24,0.817,240
25,0.826,0
26,0.835,331
27,0.844,234
28,0.853,157
29,0.863,196
30,0.872,204
31,0.881,223
32,0.890,215
33,0.899,252
34,0.909,177
35,0.918,235
36,0.927,187
37,0.936,167
38,0.945,316
39,0.954,0
40,0.964,163
41,0.973,179
42,0.982,183
43,0.991,258
44,1.000,230
45,1.010,173
46,1.019,189
47,1.028,260
48,1.037,186
49,1.046,204
50,1.056,151
51,1.065,196
52,1.074,0
53,1.083,322
54,1.092,290
55,1.102,168
56,1.111,226
57,1.120,229
58,1.129,159
59,1.138,238
60,1.147,205
61,1.157,212
62,1.166,208
63,1.175,229
64,1.184,248
65,1.193,250
66,1.203,159
67,1.212,200
68,1.221,163
69,1.230,187
70,1.239,168
71,1.249,254
72,1.258,189
73,1.267,202
74,1.276,167
75,1.285,254
76,1.295,201
77,1.304,0
78,1.313,199
79,1.322,205
80,1.331,247
81,1.340,155
82,1.350,186
83,1.359,206
84,1.368,322
85,1.377,157
86,1.386,0
87,1.396,240
88,1.405,160
89,1.414,0
90,1.423,203
91,1.432,187
92,1.442,185
93,1.451,211
94,1.460,0
95,1.469,157
96,1.478,201
97,1.488,233
98,1.497,186
99,1.506,181
100,1.515,225
101,1.524,216
102,1.533,150
103,1.543,175
104,1.552,229
105,1.561,225
106,1.570,216
107,1.579,174
108,1.589,251
109,1.598,155
110,1.607,171
111,1.616,0
112,1.625,0
113,1.635,220
114,1.644,154
115,1.653,0
116,1.662,185
117,1.671,207
118,1.680,189
119,1.690,165
120,1.699,165
121,1.708,159
122,1.717,189
123,1.726,209
124,1.736,157
125,1.745,192
126,1.754,158
127,1.763,186
128,1.772,251
129,1.782,168
130,1.791,0
131,1.800,178
132,1.809,0
133,1.818,195
134,1.828,195
135,1.837,165
136,1.846,191
137,1.855,250
138,1.864,190
139,1.873,185
140,1.883,223
141,1.892,0
142,1.901,164
143,1.910,0
144,1.919,163
145,1.929,0
146,1.938,177
147,1.947,194
148,1.956,186
149,1.965,169
150,1.975,183
151,1.984,0
152,1.993,0
153,2.002,168
154,2.011,0
155,2.021,0
156,2.030,203
157,2.039,0
158,2.048,191
159,2.057,198
160,2.066,159
161,2.076,160
162,2.085,150
163,2.094,171
164,2.103,154
