#"Cpd 22: ethylbenzyne: + Compound Spectrum (rt: 20.538-20.712 min) tube3HHW.D "
#Point,X(Thompsons),Y(Counts)
0,50.10,0.778546123729158
1,51.10,1.85299395991777
2,52.10,0.633882641345709
3,63.10,0.778508057434963
4,65.10,1.77655551608241
5,77.10,1.68751206942446
6,78.10,1.43470513634498
7,79.10,0.704985841077484
8,82.10,0.475900925091083
9,89.10,0.489116735333656
10,91.10,19.5658728382798
11,92.10,1.4980117928498
12,103.10,0.683553674205206
13,105.10,0.996274545087924
14,106.10,6.30196607391809
15,107.10,0.557258865252061
