#"Cpd 30: o-xylene: + Compound Spectrum (rt: 21.310-21.788 min) tube3HHW.D "
point,mz,signal
0,50.10,1.13832723381922
1,51.10,2.95457661909901
2,52.10,1.1561753868153
3,63.10,1.32732807097701
4,65.10,1.69895556842229
5,77.10,3.40654736710851
6,78.10,2.27285723432957
7,79.10,1.68901484480445
8,89.10,0.60159724396153
9,91.10,26.0491409618178
10,92.10,2.00330040902671
11,103.10,2.30976636136588
12,104.10,2.28160453143922
13,105.10,4.90387926703288
14,106.10,12.4541735642525
15,107.10,0.995622479105407
