point,rt,signal
0,0.596,81864
1,0.605,87592
2,0.614,247741
3,0.624,245822
4,0.633,76496
5,0.642,71720
6,0.651,231726
7,0.660,230063
8,0.670,225898
9,0.679,68022
10,0.688,65420
11,0.697,63044
12,0.706,61275
13,0.716,61054
14,0.725,215344
15,0.734,215561
16,0.743,56947
17,0.752,55880
18,0.762,55144
19,0.771,53257
20,0.780,206288
21,0.789,52515
22,0.798,49328
23,0.807,203792
24,0.817,203121
25,0.826,48623
26,0.835,48065
27,0.844,47785
28,0.853,46031
29,0.863,201581
30,0.872,45817
31,0.881,198010
32,0.890,198943
33,0.899,44393
34,0.909,43932
35,0.918,43756
36,0.927,194745
37,0.936,193603
38,0.945,194776
39,0.954,41295
40,0.964,193184
41,0.973,42015
42,0.982,42140
43,0.991,40529
44,1.000,192820
45,1.010,190318
46,1.019,40772
47,1.028,39089
48,1.037,39099
49,1.046,38275
50,1.056,188462
51,1.065,188063
52,1.074,38303
53,1.083,37997
54,1.092,36659
55,1.102,186324
56,1.111,186910
57,1.120,36926
58,1.129,37340
59,1.138,36845
60,1.147,37066
61,1.157,37568
62,1.166,35530
63,1.175,182246
64,1.184,184976
65,1.193,35420
66,1.203,183038
67,1.212,182931
68,1.221,34048
69,1.230,35095
70,1.239,182934
71,1.249,34260
72,1.258,34293
73,1.267,35572
74,1.276,34459
75,1.285,34834
76,1.295,183655
77,1.304,32781
78,1.313,182067
79,1.322,32765
80,1.331,34227
81,1.340,32512
82,1.350,34522
83,1.359,32468
84,1.368,179138
85,1.377,33000
86,1.386,181145
87,1.396,31843
88,1.405,32068
89,1.414,32994
90,1.423,179358
91,1.432,32316
92,1.442,31428
93,1.451,30848
94,1.460,30677
95,1.469,32235
96,1.478,32973
97,1.488,32523
98,1.497,31877
99,1.506,177083
100,1.515,33052
101,1.524,31279
102,1.533,31725
103,1.543,32569
104,1.552,31020
105,1.561,30346
106,1.570,175948
107,1.579,30074
108,1.589,176999
109,1.598,31101
110,1.607,31228
111,1.616,29611
112,1.625,29973
113,1.635,29838
114,1.644,30226
115,1.653,30107
116,1.662,29411
117,1.671,28828
118,1.680,29501
119,1.690,171945
120,1.699,171440
121,1.708,29431
122,1.717,29260
123,1.726,28560
124,1.736,29298
125,1.745,171399
126,1.754,28655
127,1.763,29495
128,1.772,28384
129,1.782,168078
130,1.791,28125
131,1.800,169189
132,1.809,28698
133,1.818,170399
134,1.828,27874
135,1.837,28042
136,1.846,27852
137,1.855,27153
138,1.864,168853
139,1.873,27656
140,1.883,166647
141,1.892,27330
142,1.901,28269
143,1.910,28442
144,1.919,26348
145,1.929,26912
146,1.938,27679
147,1.947,164338
148,1.956,27896
149,1.965,27884
150,1.975,166288
151,1.984,26527
152,1.993,26156
153,2.002,27179
154,2.011,26963
155,2.021,26223
156,2.030,26160
157,2.039,26920
158,2.048,164276
159,2.057,27475
160,2.066,163908
161,2.076,27831
162,2.085,26057
163,2.094,26174
164,2.103,26290
165,2.112,160985
166,2.122,26281
167,2.131,161219
168,2.140,25468
169,2.149,25979
170,2.158,25433
171,2.168,25447
172,2.177,24591
173,2.186,25603
174,2.195,26021
175,2.204,25172
176,2.213,25626
177,2.223,25573
178,2.232,24616
179,2.241,25132
180,2.250,26030
181,2.259,25342
182,2.269,25202
183,2.278,25255
184,2.287,24975
185,2.296,24191
186,2.305,24299
187,2.315,158147
188,2.324,160884
189,2.333,23952
190,2.342,25099
191,2.351,24730
192,2.361,159939
193,2.370,158296
194,2.379,24179
195,2.388,24636
196,2.397,24154
197,2.406,25363
198,2.416,23747
199,2.425,24132
200,2.434,24973
201,2.443,25263
202,2.452,24463
203,2.462,25694
204,2.471,24881
205,2.480,25635
206,2.489,25515
207,2.498,26135
208,2.508,25333
209,2.517,159200
210,2.526,25426
211,2.535,25789
212,2.544,24256
213,2.554,25391
214,2.563,25360
215,2.572,24461
216,2.581,22983
217,2.590,26296
218,2.599,25616
219,2.609,25104
220,2.618,24314
221,2.627,23978
222,2.636,24476
223,2.645,24889
224,2.655,23745
225,2.664,25441
226,2.673,24571
227,2.682,24707
228,2.691,24826
229,2.701,24051
230,2.710,24232
231,2.719,25165
232,2.728,24356
233,2.737,23964
234,2.746,24573
235,2.756,24976
236,2.765,24729
237,2.774,155544
238,2.783,24986
239,2.792,24601
240,2.802,24221
241,2.811,24716
242,2.820,23977
243,2.829,24526
244,2.838,155742
245,2.848,25040
246,2.857,24592
247,2.866,23365
248,2.875,24754
249,2.884,23401
250,2.894,23558
251,2.903,23405
252,2.912,23150
253,2.921,24552
254,2.930,24807
255,2.939,23645
256,2.949,24305
257,2.958,154666
258,2.967,24675
259,2.976,23589
260,2.985,23994
261,2.995,24430
262,3.004,23835
263,3.013,24186
264,3.022,23943
265,3.031,23551
266,3.041,23674
267,3.050,23586
268,3.059,24114
269,3.068,24437
270,3.077,23632
271,3.087,23309
272,3.096,150646
273,3.105,23185
274,3.114,23428
275,3.123,24542
276,3.132,22566
277,3.142,23548
278,3.151,23189
279,3.160,22899
280,3.169,23802
281,3.178,24157
282,3.188,23355
283,3.197,23601
284,3.206,24157
285,3.215,22855
286,3.224,23401
287,3.234,23704
288,3.243,22066
289,3.252,23732
290,3.261,23069
291,3.270,22984
292,3.279,23825
293,3.289,23537
294,3.298,22926
295,3.307,23051
296,3.316,23322
297,3.325,22621
298,3.335,21803
299,3.344,22419
300,3.353,22367
301,3.362,23360
302,3.371,23019
303,3.381,22777
304,3.390,22655
305,3.399,23046
306,3.408,23677
307,3.417,23163
308,3.427,23194
309,3.436,23670
310,3.445,22667
311,3.454,22918
312,3.463,22614
313,3.472,22372
314,3.482,22428
315,3.491,23239
316,3.500,23138
317,3.509,21835
318,3.518,23333
319,3.528,23664
320,3.537,23807
321,3.546,21953
322,3.555,23701
323,3.564,22894
324,3.574,23392
325,3.583,22178
326,3.592,21964
327,3.601,22061
328,3.610,21885
329,3.620,23057
330,3.629,21707
331,3.638,21878
332,3.647,22729
333,3.656,22576
334,3.665,23092
335,3.675,22173
336,3.684,22351
337,3.693,23239
338,3.702,22545
339,3.711,22331
340,3.721,22735
341,3.730,22138
342,3.739,22714
343,3.748,22722
344,3.757,22231
345,3.767,22327
346,3.776,22911
347,3.785,21989
348,3.794,21743
349,3.803,21838
350,3.812,23392
351,3.822,22974
352,3.831,22442
353,3.840,21726
354,3.849,22025
355,3.858,22890
356,3.868,22468
357,3.877,21646
358,3.886,22636
359,3.895,22603
360,3.904,22277
361,3.914,22518
362,3.923,21940
363,3.932,22343
364,3.941,22434
365,3.950,21763
366,3.960,21861
367,3.969,22161
368,3.978,23020
369,3.987,21421
370,3.996,21905
371,4.005,21630
372,4.015,21066
373,4.024,22061
374,4.033,21779
375,4.042,21380
376,4.051,21442
377,4.061,20949
378,4.070,21095
379,4.079,22582
380,4.088,21421
381,4.097,22442
382,4.107,21149
383,4.116,21643
384,4.125,22251
385,4.134,21313
386,4.143,20035
387,4.153,21981
388,4.162,20777
389,4.171,22016
390,4.180,20746
391,4.189,20707
392,4.198,21097
393,4.208,22238
394,4.217,21306
