point,rt,signal
0,0.214,440
1,0.223,343
2,0.232,362
3,0.241,573
4,0.250,319
5,0.260,379
6,0.269,349
7,0.278,302
8,0.287,394
9,0.296,411
10,0.306,281
11,0.315,255
12,0.324,259
13,0.333,440
14,0.342,291
15,0.351,272
16,0.361,306
17,0.370,230
18,0.379,287
19,0.388,259
20,0.397,268
21,0.407,325
22,0.416,245
23,0.425,284
24,0.434,308
25,0.443,321
26,0.453,312
27,0.462,322
28,0.471,391
29,0.480,295
30,0.489,267
31,0.499,219
32,0.508,323
33,0.517,334
34,0.526,340
35,0.535,260
36,0.544,301
37,0.554,336
38,0.563,296
39,0.572,292
40,0.581,265
41,0.590,222
42,0.600,314
43,0.609,323
44,0.618,273
45,0.627,288
46,0.636,257
47,0.646,280
48,0.655,246
49,0.664,323
50,0.673,254
51,0.682,189
52,0.691,238
53,0.701,262
54,0.710,224
55,0.719,213
56,0.728,265
57,0.737,261
58,0.747,310
59,0.756,292
60,0.765,199
61,0.774,274
62,0.783,288
63,0.793,317
64,0.802,212
65,0.811,235
66,0.820,272
67,0.829,272
68,0.839,279
69,0.848,231
70,0.857,270
71,0.866,263
72,0.875,215
73,0.884,390
74,0.894,265
75,0.903,217
76,0.912,253
77,0.921,220
78,0.930,218
79,0.940,236
80,0.949,189
81,0.958,248
82,0.967,272
83,0.976,247
84,0.986,264
85,0.995,215
86,1.004,223
87,1.013,349
88,1.022,211
89,1.032,367
90,1.041,281
91,1.050,266
92,1.059,264
93,1.068,245
94,1.077,245
95,1.087,306
96,1.096,325
97,1.105,270
98,1.114,243
99,1.123,265
100,1.133,295
101,1.142,205
102,1.151,279
103,1.160,196
104,1.169,331
105,1.179,212
106,1.188,240
107,1.197,226
108,1.206,233
109,1.215,279
110,1.225,249
111,1.234,279
112,1.243,203
113,1.252,241
114,1.261,293
115,1.270,232
116,1.280,265
117,1.289,220
118,1.298,238
119,1.307,167
120,1.316,295
121,1.326,265
122,1.335,214
123,1.344,258
124,1.353,223
125,1.362,245
126,1.372,152
127,1.381,298
128,1.390,230
129,1.399,249
130,1.408,171
131,1.417,285
132,1.427,263
133,1.436,170
134,1.445,211
135,1.454,203
136,1.463,239
137,1.473,171
138,1.482,151
139,1.491,320
140,1.500,256
141,1.509,216
142,1.519,299
143,1.528,172
144,1.537,242
145,1.546,156
146,1.555,253
147,1.565,222
148,1.574,374
149,1.583,231
150,1.592,194
151,1.601,256
152,1.610,204
153,1.620,199
154,1.629,269
155,1.638,183
156,1.647,208
157,1.656,228
158,1.666,229
159,1.675,212
160,1.684,261
161,1.693,258
162,1.702,198
163,1.712,228
164,1.721,229
165,1.730,206
166,1.739,0
167,1.748,192
168,1.758,194
169,1.767,223
170,1.776,284
171,1.785,276
172,1.794,0
173,1.803,233
174,1.813,215
175,1.822,172
176,1.831,286
177,1.840,249
178,1.849,198
179,1.859,164
180,1.868,203
181,1.877,0
182,1.886,171
183,1.895,195
184,1.905,253
185,1.914,329
186,1.923,174
187,1.932,0
188,1.941,187
189,1.950,183
190,1.960,231
191,1.969,236
192,1.978,157
193,1.987,165
194,1.996,206
195,2.006,187
196,2.015,219
197,2.024,225
198,2.033,188
199,2.042,192
200,2.052,165
201,2.061,197
202,2.070,237
203,2.079,196
204,2.088,191
205,2.098,213
206,2.107,181
207,2.116,163
208,2.125,225
209,2.134,188
210,2.143,186
211,2.153,290
212,2.162,159
213,2.171,226
214,2.180,195
215,2.189,0
216,2.199,274
217,2.208,159
218,2.217,205
