question,correct_answers,question_type
A sample containes 0.00897 grams of a compound. How many atoms are present in the sample?,1.06e20;2000000000000000000,numerical_tolerance
A sample of Boron has 5.380x10<sup>20</sup> atoms. How many grams of Boron are in the sample?,0.009657;2e-06,numerical_tolerance
A sample of Carbon has 1.2x10<sup>23</sup> atoms. How many grams of Carbon are in the sample?,2.4;0.2,numerical_tolerance
A sample containes 21 grams of a compound. How many atoms are present in the sample?,4.6e23;20000000000000000000000,numerical_tolerance
How many atoms are in 0.01250 grams of Phosphorus?,2.431e20;200000000000000000,numerical_tolerance
How many atoms are in 1696 grams of Manganese?,1.859e25;20000000000000000000000,numerical_tolerance
A sample containes 0.14 grams of a compound. How many atoms are present in the sample?,4.3e21;200000000000000000000,numerical_tolerance
A sample containes 3902 grams of a compound. How many atoms are present in the sample?,9.668e25;20000000000000000000000,numerical_tolerance
A sample containes 130 grams of a compound. How many atoms are present in the sample?,1.4e24;200000000000000000000000,numerical_tolerance
What is the mass (in g) of 2.510x10<sup>23</sup> atoms of Phosphorus?,12.91;0.02,numerical_tolerance
A sample of Nickel has 6.21x10<sup>25</sup> atoms. How many grams of Nickel are in the sample?,6050;20,numerical_tolerance
What is the mass (in g) of 1.773x10<sup>20</sup> atoms of Cobalt?,0.01735;2e-05,numerical_tolerance
What is the mass (in g) of 1.8x10<sup>25</sup> atoms of Copper?,1900;200,numerical_tolerance
A sample of Titanium has 6.185x10<sup>20</sup> atoms. How many grams of Titanium are in the sample?,0.04916;2e-05,numerical_tolerance
A sample containes 0.10 grams of a compound. How many atoms are present in the sample?,2.0e21;200000000000000000000,numerical_tolerance
A sample containes 0.078 grams of a compound. How many atoms are present in the sample?,5.2e21;200000000000000000000,numerical_tolerance
A sample of Copper has 1.610x10<sup>22</sup> atoms. How many grams of Copper are in the sample?,1.699;0.002,numerical_tolerance
A sample containes 31 grams of a compound. How many atoms are present in the sample?,7.5e22;2000000000000000000000,numerical_tolerance
A sample of Boron has 7.478x10<sup>20</sup> atoms. How many grams of Boron are in the sample?,0.01342;2e-05,numerical_tolerance
A sample of Zinc has 1.644x10<sup>25</sup> atoms. How many grams of Zinc are in the sample?,1785;2,numerical_tolerance
A sample containes 670. grams of a compound. How many atoms are present in the sample?,2.00e25;200000000000000000000000,numerical_tolerance
A sample of Vanadium has 1.751x10<sup>21</sup> atoms. How many grams of Vanadium are in the sample?,0.1481;0.0002,numerical_tolerance
A sample of Vanadium has 1.207x10<sup>21</sup> atoms. How many grams of Vanadium are in the sample?,0.1021;0.0002,numerical_tolerance
What is the mass (in g) of 1.371x10<sup>25</sup> atoms of Silicon?,639.4;0.2,numerical_tolerance
How many atoms are in 27.2 grams of Neon?,8.11e23;2000000000000000000000,numerical_tolerance
How many atoms are in 0.16 grams of Chromium?,1.9e21;200000000000000000000,numerical_tolerance
What is the mass (in g) of 1.33x10<sup>23</sup> atoms of Phosphorus?,6.84;0.02,numerical_tolerance
How many atoms are in 0.0180 grams of Potassium?,2.77e20;2000000000000000000,numerical_tolerance
How many atoms are in 0.08751 grams of Titanium?,1.101e21;2000000000000000000,numerical_tolerance
A sample containes 3700 grams of a compound. How many atoms are present in the sample?,4.1e25;2000000000000000000000000,numerical_tolerance
A sample containes 0.050 grams of a compound. How many atoms are present in the sample?,1.3e20;20000000000000000000,numerical_tolerance
A sample of Nickel has 4.5x10<sup>22</sup> atoms. How many grams of Nickel are in the sample?,4.4;0.2,numerical_tolerance
A sample of Dubnium has 1.0x10<sup>25</sup> atoms. How many grams of Dubnium are in the sample?,4500;200,numerical_tolerance
A sample of Helium has 7.3x10<sup>24</sup> atoms. How many grams of Helium are in the sample?,49;2,numerical_tolerance
A sample containes 200.3 grams of a compound. How many atoms are present in the sample?,3.014e25;20000000000000000000000,numerical_tolerance
A sample of Lithium has 4.424x10<sup>20</sup> atoms. How many grams of Lithium are in the sample?,0.005098;2e-06,numerical_tolerance
What is the mass (in g) of 4.835x10<sup>20</sup> atoms of Aluminum?,0.02166;2e-05,numerical_tolerance
A sample containes 289.4 grams of a compound. How many atoms are present in the sample?,3.877e24;2000000000000000000000,numerical_tolerance
A sample of Cobalt has 3.01x10<sup>21</sup> atoms. How many grams of Cobalt are in the sample?,0.295;0.002,numerical_tolerance
How many atoms are in 0.088 grams of Thallium?,2.6e20;20000000000000000000,numerical_tolerance
A sample of Beryllium has 7.1x10<sup>25</sup> atoms. How many grams of Beryllium are in the sample?,1100;200,numerical_tolerance
How many atoms are in 0.054 grams of Beryllium?,3.6e21;200000000000000000000,numerical_tolerance
How many atoms are in 0.01153 grams of Phosphorus?,2.242e20;200000000000000000,numerical_tolerance
How many atoms are in 2425 grams of Osmium?,7.677e24;2000000000000000000000,numerical_tolerance
What is the mass (in g) of 5.87x10<sup>22</sup> atoms of Helium?,0.390;0.002,numerical_tolerance
A sample of Boron has 6.404x10<sup>22</sup> atoms. How many grams of Boron are in the sample?,1.150;0.002,numerical_tolerance
How many atoms are in 0.6772 grams of Scandium?,9.071e21;2000000000000000000,numerical_tolerance
What is the mass (in g) of 7.45x10<sup>24</sup> atoms of Beryllium?,111;2,numerical_tolerance
A sample of Magnesium has 8.24x10<sup>21</sup> atoms. How many grams of Magnesium are in the sample?,0.333;0.002,numerical_tolerance
A sample of Carbon has 3.6x10<sup>23</sup> atoms. How many grams of Carbon are in the sample?,7.2;0.2,numerical_tolerance
A sample of Carbon has 4.440x10<sup>21</sup> atoms. How many grams of Carbon are in the sample?,0.08855;2e-05,numerical_tolerance
A sample containes 0.257 grams of a compound. How many atoms are present in the sample?,3.86e22;200000000000000000000,numerical_tolerance
A sample containes 4900 grams of a compound. How many atoms are present in the sample?,5.0e25;2000000000000000000000000,numerical_tolerance
What is the mass (in g) of 2.228x10<sup>24</sup> atoms of Copper?,235.1;0.2,numerical_tolerance
A sample of Magnesium has 1.9x10<sup>22</sup> atoms. How many grams of Magnesium are in the sample?,0.77;0.02,numerical_tolerance
A sample of Europium has 4.27x10<sup>24</sup> atoms. How many grams of Europium are in the sample?,1080;20,numerical_tolerance
A sample containes 0.2076 grams of a compound. How many atoms are present in the sample?,1.041e22;20000000000000000000,numerical_tolerance
A sample of Neon has 1.088x10<sup>24</sup> atoms. How many grams of Neon are in the sample?,36.46;0.02,numerical_tolerance
How many atoms are in 80. grams of Helium?,1.2e25;2000000000000000000000000,numerical_tolerance
How many atoms are in 2.7 grams of Moscovium?,5.7e21;200000000000000000000,numerical_tolerance
