question,correct_answers,incorrect_answers,question_type
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of neutrons<br>Number of protons<br>Number of electrons,Element name;Element symbol;Atomic number;Mass number;Mass of the nucleus;Number of neutrons,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Atomic number<br>Number of neutrons<br>Number of electrons,Element name;Element symbol;Number of protons;Mass number;Mass of the nucleus;Number of neutrons,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Element name<br>Number of neutrons<br>Number of electrons,Element symbol;Atomic number;Number of protons;Mass number;Mass of the nucleus;Number of neutrons,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Number of neutrons<br>Element symbol,Element name;Atomic number;Number of protons;Mass number;Mass of the nucleus;Number of neutrons,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Number of neutrons,,Number of protons;Atomic number;Element name;Element symbol;Mass number;Mass of the nucleus;Number of neutrons;Mass number;Mass of the nucleus,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Number of protons<br>Mass number,Element name;Element symbol;Atomic number;Mass of the nucleus;Number of neutrons;Mass number,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Atomic number<br>Number of electrons<br>Mass number,Element name;Element symbol;Number of protons;Mass of the nucleus;Number of neutrons;Mass number,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Element name<br>Mass number,Element symbol;Atomic number;Number of protons;Mass of the nucleus;Number of neutrons;Mass number,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Mass number<br>Element symbol,Mass of the nucleus;Element name;Atomic number;Number of protons;Number of neutrons;Mass number,,multi_select
You know the following information about an atom. Which of the following properties of the atom can you determine? Select all that are correct.<br>Number of electrons<br>Mass number,Mass of the nucleus,Number of protons;Atomic number;Element name;Element symbol;Number of neutrons;Number of neutrons;Mass number,multi_select
