question,correct_answers,question_type
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>31.02  :  42.5%<br>32.04  :  57.5%,31.606499999999997;0.031606499999999996,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>28.10  :  65.7%<br>28.98  :  34.3%,28.40184;0.02840184,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>60.08  :  43.5%<br>61.06  :  30.4%<br>62.06  :  26.1%,60.8947;0.0608947,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>32.05  :  43.0%<br>33.09  :  57.0%,32.6428;0.0326428,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>44.07  :  35.6%<br>45.01  :  64.4%,44.67536;0.04467536,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>87.07  :  76.8%<br>87.99  :  17.5%<br>89.08  :  5.7%,87.34557000000001;0.08734557000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>74.96  :  23.2%<br>76.01  :  49.0%<br>77.05  :  27.8%,76.05552;0.07605552,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>28.05  :  59.6%<br>28.97  :  40.4%,28.42168;0.028421679999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>46.98  :  52.9%<br>48.06  :  47.1%,47.48868;0.047488680000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>59.95  :  68.3%<br>60.97  :  28.9%<br>61.99  :  2.8%,60.30190000000001;0.06030190000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>79.03  :  32.0%<br>79.96  :  5.68%<br>81.02  :  62.3%,80.322992;0.080322992,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>81.04  :  48.6%<br>81.97  :  51.4%,81.51802;0.08151802000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>11.05  :  21.7%<br>12.02  :  7.77%<br>13.05  :  70.5%,12.535969000000001;0.012535969000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>65.10  :  28.6%<br>66.02  :  54.7%<br>67.03  :  16.7%,65.92555;0.06592555,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>66.03  :  63.4%<br>67.02  :  36.6%,66.39233999999999;0.06639234,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>63.10  :  16.1%<br>63.98  :  83.9%,63.83832;0.06383832,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>34.03  :  47.0%<br>35.05  :  53.0%,34.5706;0.0345706,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>24.02  :  70.2%<br>25.09  :  27.2%<br>25.97  :  2.6%,24.36174;0.024361740000000003,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>37.03  :  80.5%<br>37.97  :  4.49%<br>39.01  :  15.0%,37.369404;0.037369404,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>40.06  :  33.9%<br>41.02  :  44.3%<br>42.02  :  21.8%,40.912560000000006;0.04091256000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>90.02  :  59.7%<br>91.00  :  40.3%,90.41493999999999;0.09041493999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>33.01  :  53.2%<br>34.03  :  22.2%<br>35.09  :  24.6%,33.74812;0.03374812,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>57.96  :  38.2%<br>59.09  :  20.1%<br>60.09  :  41.7%,59.075340000000004;0.059075340000000004,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>100.0  :  47.7%<br>101.0  :  52.3%,100.523;0.100523,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>71.10  :  13.2%<br>71.95  :  39.6%<br>72.97  :  47.2%,72.31924000000001;0.07231924,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>80.07  :  18.7%<br>81.10  :  54.3%<br>81.98  :  27.0%,81.14498999999999;0.08114499,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>25.10  :  75.1%<br>26.03  :  24.9%,25.33157;0.02533157,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>70.08  :  28.3%<br>71.09  :  71.7%,70.80417000000001;0.07080417000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>95.99  :  64.6%<br>97.07  :  35.4%,96.37231999999999;0.09637231999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>87.01  :  43.4%<br>87.99  :  56.6%,87.56468000000001;0.08756468,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>19.02  :  11.7%<br>20.09  :  88.3%,19.96481;0.01996481,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>24.96  :  25.4%<br>26.09  :  20.3%<br>26.96  :  54.3%,26.27539;0.026275390000000003,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>67.97  :  22.2%<br>69.04  :  7.17%<br>70.05  :  70.6%,69.515823;0.069515823,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>60.08  :  69.8%<br>60.97  :  30.2%,60.348780000000005;0.060348780000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>65.98  :  24.6%<br>66.96  :  75.4%,66.71892;0.06671892,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>41.05  :  46.5%<br>42.04  :  43.3%<br>42.96  :  10.2%,41.673489999999994;0.041673489999999994,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>44.08  :  54.3%<br>45.08  :  11.4%<br>46.02  :  34.3%,44.85942;0.044859420000000004,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>24.06  :  40.1%<br>25.06  :  46.1%<br>26.09  :  13.8%,24.801139999999997;0.024801139999999996,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>57.99  :  81.2%<br>58.98  :  4.35%<br>60.02  :  14.5%,58.32640000000001;0.05832640000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>55.06  :  19.8%<br>56.08  :  36.7%<br>57.05  :  43.5%,56.29999;0.05629999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>78.96  :  88.0%<br>80.05  :  8.01%<br>81.05  :  4.0%,79.13069999999998;0.07913069999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>97.07  :  18.7%<br>97.99  :  37.8%<br>98.97  :  43.5%,98.24426;0.09824426,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>21.06  :  89.1%<br>22.07  :  6.02%<br>23.04  :  4.9%,21.217425999999996;0.021217425999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>91.01  :  20.1%<br>91.99  :  79.9%,91.79302000000001;0.09179302000000002,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>31.05  :  63.4%<br>32.08  :  36.6%,31.42698;0.03142698,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>25.01  :  18.7%<br>26.00  :  33.3%<br>26.96  :  48.0%,26.275669999999998;0.026275669999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>66.09  :  10.8%<br>67.02  :  89.2%,66.91955999999999;0.06691955999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>100.0  :  48.1%<br>101.1  :  51.9%,100.5709;0.10057089999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>64.02  :  35.1%<br>65.07  :  64.9%,64.70145;0.06470145,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>29.98  :  53.9%<br>31.03  :  9.03%<br>32.04  :  37.1%,30.838457000000005;0.030838457000000007,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>72.00  :  65.7%<br>73.02  :  21.4%<br>73.95  :  12.9%,72.46983;0.07246983,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>45.01  :  15.2%<br>46.02  :  84.8%,45.866479999999996;0.045866479999999994,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>80.98  :  79.5%<br>82.06  :  10.1%<br>83.08  :  10.4%,81.30748000000001;0.08130748000000002,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>79.03  :  47.5%<br>80.01  :  10.6%<br>80.99  :  41.9%,79.95512;0.07995511999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>62.08  :  65.8%<br>63.02  :  20.2%<br>64.01  :  14.0%,62.54007999999999;0.06254007999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>27.96  :  41.8%<br>28.97  :  24.2%<br>30.06  :  34.0%,28.918419999999998;0.028918419999999997,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>91.07  :  11.8%<br>92.00  :  39.9%<br>93.02  :  48.3%,92.38291999999998;0.09238291999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>19.04  :  46.7%<br>20.10  :  33.5%<br>21.05  :  19.8%,19.793080000000003;0.019793080000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>88.96  :  25.2%<br>89.97  :  3.26%<br>90.96  :  71.5%,90.42372599999999;0.090423726,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>44.01  :  60.5%<br>44.95  :  39.5%,44.381299999999996;0.0443813,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>100.1  :  65.0%<br>101.0  :  35.0%,100.41499999999999;0.10041499999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>51.04  :  47.0%<br>51.96  :  53.0%,51.5276;0.0515276,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>47.05  :  29.6%<br>47.97  :  70.4%,47.697680000000005;0.047697680000000006,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>83.97  :  56.6%<br>85.03  :  8.47%<br>86.09  :  34.9%,84.800298;0.084800298,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>56.04  :  15.3%<br>56.99  :  84.7%,56.84465;0.056844650000000004,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>87.01  :  10.5%<br>87.99  :  89.5%,87.88709999999999;0.0878871,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>50.95  :  88.9%<br>52.10  :  11.1%,51.07765;0.05107765,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>57.10  :  11.0%<br>58.01  :  89.0%,57.9099;0.0579099,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>15.10  :  72.7%<br>16.01  :  19.6%<br>16.98  :  7.7%,15.423119999999997;0.015423119999999997,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>99.01  :  82.4%<br>100.1  :  6.94%<br>101.1  :  10.7%,99.30844;0.09930844000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>92.10  :  71.2%<br>93.02  :  28.8%,92.36496000000001;0.09236496000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>59.96  :  74.5%<br>61.08  :  25.5%,60.2456;0.0602456,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>57.10  :  26.2%<br>57.97  :  73.8%,57.74206;0.057742060000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>15.03  :  72.9%<br>15.95  :  27.1%,15.279319999999998;0.015279319999999999,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>37.02  :  25.1%<br>38.06  :  74.9%,37.79896000000001;0.037798960000000006,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>49.98  :  79.6%<br>51.09  :  20.4%,50.20644;0.050206440000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>12.08  :  33.0%<br>13.06  :  67.0%,12.736600000000001;0.0127366,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>14.01  :  72.5%<br>15.09  :  14.3%<br>15.97  :  13.2%,14.423160000000001;0.01442316,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>17.96  :  60.9%<br>19.10  :  28.9%<br>19.98  :  10.2%,18.495500000000003;0.018495500000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>12.06  :  45.8%<br>13.04  :  54.2%,12.59116;0.01259116,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>24.03  :  75.4%<br>24.96  :  24.6%,24.258779999999998;0.024258779999999997,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>61.10  :  20.3%<br>62.09  :  79.7%,61.889030000000005;0.061889030000000005,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>60.08  :  56.0%<br>61.00  :  35.6%<br>61.99  :  8.4%,60.56796000000001;0.06056796000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>62.08  :  75.8%<br>63.09  :  14.5%<br>64.01  :  9.7%,62.41366;0.06241366,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>36.09  :  59.3%<br>36.97  :  40.7%,36.44816;0.03644816,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>24.06  :  71.9%<br>25.03  :  28.1%,24.33257;0.02433257,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>91.96  :  69.2%<br>93.06  :  30.8%,92.2988;0.0922988,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>37.96  :  74.5%<br>39.02  :  20.7%<br>40.01  :  4.8%,38.27782;0.03827782,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>22.09  :  33.7%<br>23.04  :  18.1%<br>24.01  :  48.2%,23.18739;0.023187390000000002,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>18.96  :  17.9%<br>20.05  :  82.1%,19.85489;0.01985489,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>66.96  :  17.3%<br>67.97  :  38.0%<br>69.07  :  44.7%,68.28697;0.06828697,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>15.09  :  88.0%<br>16.08  :  7.78%<br>17.08  :  4.2%,15.250999999999998;0.015250999999999997,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>63.98  :  76.6%<br>65.07  :  13.9%<br>66.06  :  9.5%,64.32910999999999;0.06432910999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>58.05  :  76.8%<br>59.04  :  5.09%<br>60.04  :  18.1%,58.46078;0.058460780000000004,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>17.02  :  35.3%<br>17.97  :  8.94%<br>19.02  :  55.8%,18.22013;0.01822013,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>95.02  :  40.0%<br>96.09  :  40.7%<br>97.07  :  19.3%,95.85114000000002;0.09585114000000002,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>85.07  :  39.1%<br>86.02  :  60.9%,85.64855;0.08564855,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>28.07  :  88.5%<br>29.02  :  11.5%,28.17925;0.02817925,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>74.07  :  59.7%<br>75.05  :  40.3%,74.46493999999998;0.07446493999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>59.95  :  80.0%<br>61.02  :  10.8%<br>62.08  :  9.2%,60.261520000000004;0.060261520000000006,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>86.08  :  78.1%<br>87.05  :  18.6%<br>88.07  :  3.3%,86.32609;0.08632609,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>78.00  :  36.8%<br>79.05  :  63.2%,78.6636;0.0786636,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>88.04  :  23.9%<br>88.98  :  76.1%,88.75534;0.08875534,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>43.04  :  77.0%<br>44.10  :  23.0%,43.2838;0.0432838,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>62.00  :  17.8%<br>62.98  :  82.2%,62.80556;0.06280556,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>54.97  :  11.2%<br>55.99  :  88.8%,55.87576;0.055875760000000003,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>25.02  :  48.7%<br>26.09  :  7.32%<br>27.06  :  44.0%,25.995516000000002;0.025995516000000003,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>13.00  :  29.3%<br>14.08  :  70.7%,13.76356;0.013763560000000001,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>25.95  :  63.9%<br>27.03  :  36.1%,26.33988;0.026339880000000003,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>25.08  :  59.9%<br>26.00  :  27.9%<br>26.96  :  12.2%,25.566039999999997;0.025566039999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>46.03  :  22.1%<br>46.95  :  22.2%<br>48.07  :  55.7%,47.37052;0.04737052,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>59.97  :  16.2%<br>61.01  :  30.7%<br>62.00  :  53.1%,61.36721;0.06136721,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>16.97  :  45.6%<br>18.06  :  54.4%,17.56296;0.01756296,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>74.08  :  36.0%<br>75.05  :  64.0%,74.70079999999999;0.07470079999999998,numerical_tolerance
An element has the following isotopes at the given abundances. Calculate the atomic mass of the element.<br>Isotope mass (u)  :  Abundance (%)<br>71.03  :  33.2%<br>72.01  :  48.9%<br>73.04  :  17.9%,71.86901;0.07186901000000001,numerical_tolerance
