question,correct_answers,question_type
An Fluorine nucleus has a mass of 17 u. How many neutrons are in this nucleus?,8,short_answer
How many neutrons are there in a <sup>6</sup>He nucleus?,4,short_answer
How many protons are in a Nitrogen-11 nucleus?,7,short_answer
Name the isotope of an atom with 7 protons and 9 neutrons.,16N;16 N;Nitrogen-16;Nitrogen 16;nitrogen-16;nitrogen 16,short_answer
How many neutrons are there in a <sup>18</sup>F nucleus?,9,short_answer
Name the isotope of an atom with 6 protons and 6 neutrons.,12C;12 C;Carbon-12;Carbon 12;carbon-12;carbon 12,short_answer
An atom has 7 neutrons and a mass of 13 u. Name this isotope.,13C;13 C;Carbon-13;Carbon 13;carbon-13;carbon 13,short_answer
How many neutrons are there in a <sup>13</sup>O nucleus?,5,short_answer
An Nitrogen nucleus has a mass of 14 u. How many neutrons are in this nucleus?,7,short_answer
Name the isotope of an atom with 6 protons and 8 neutrons.,14C;14 C;Carbon-14;Carbon 14;carbon-14;carbon 14,short_answer
Name the isotope of an atom with 7 protons and 4 neutrons.,11N;11 N;Nitrogen-11;Nitrogen 11;nitrogen-11;nitrogen 11,short_answer
An atom has 0 neutrons and a mass of 1 u. Name this isotope.,1H;1 H;Hydrogen-1;Hydrogen 1;hydrogen-1;hydrogen 1,short_answer
An Nitrogen nucleus has a mass of 14 u. How many neutrons are in this nucleus?,7,short_answer
How many neutrons are there in a <sup>24</sup>Mg nucleus?,12,short_answer
An atom has 12 neutrons and a mass of 22 u. What element is this atom?,Ne;Neon;neon,short_answer
How many neutrons are there in a <sup>1</sup>H nucleus?,0,short_answer
An atom has 12 neutrons and a mass of 21 u. Name this isotope.,21F;21 F;Fluorine-21;Fluorine 21;fluorine-21;fluorine 21,short_answer
Name the isotope of an atom with 4 protons and 7 neutrons.,11Be;11 Be;Beryllium-11;Beryllium 11;beryllium-11;beryllium 11,short_answer
An Lithium nucleus has a mass of 6 u. How many neutrons are in this nucleus?,3,short_answer
How many protons are in a Carbon-11 nucleus?,6,short_answer
How many protons are in a Hydrogen-2 nucleus?,1,short_answer
An Beryllium nucleus has a mass of 8 u. How many neutrons are in this nucleus?,4,short_answer
An atom has 13 neutrons and a mass of 24 u. What element is this atom?,Na;Sodium;sodium,short_answer
Name the isotope of an atom with 5 protons and 2 neutrons.,7B;7 B;Boron-7;Boron 7;boron-7;boron 7,short_answer
How many neutrons are there in a <sup>11</sup>C nucleus?,5,short_answer
Name the isotope of an atom with 7 protons and 7 neutrons.,14N;14 N;Nitrogen-14;Nitrogen 14;nitrogen-14;nitrogen 14,short_answer
Name the isotope of an atom with 9 protons and 11 neutrons.,20F;20 F;Fluorine-20;Fluorine 20;fluorine-20;fluorine 20,short_answer
