question,correct_answers,question_type
Convert 10 mi to mmi,10000;1e4;1E4,short_answer
Convert 1000 cs to s,10;1e1;1E1,short_answer
Convert 0.1 cs to s,0.001;1e-3;1E-3;.001,short_answer
Convert 0.1 kday to day,100;1e2;1E2,short_answer
Convert 10 mi to Gmi,1e-8;1e-8;1E-8,short_answer
Convert 0.01 oz to Goz,1e-11;1e-11;1E-11,short_answer
Convert 1 x 10<sup>6</sup> mPa to Pa,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>4</sup> µg to g,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>-8</sup> Mlb to lb,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>8</sup> µh to h,100;1e2;1E2,short_answer
Convert 0.01 Pa to mPa,10;1e1;1E1,short_answer
Convert 1 x 10<sup>7</sup> µh to h,10;1e1;1E1,short_answer
Convert 0.01 m to km,0.00001;1e-5;1E-5;.00001,short_answer
Convert 1 L to cL,100;1e2;1E2,short_answer
Convert 10 bar to mbar,10000;1e4;1E4,short_answer
Convert 100 mh to h,0.1;1e-1;1E-1;.1,short_answer
Convert 0.01 L to cL,1;1e0;1E0;1.,short_answer
Convert 0.01 cal to kcal,0.00001;1e-5;1E-5;.00001,short_answer
Convert 1 x 10<sup>8</sup> µmi to mi,100;1e2;1E2,short_answer
Convert 0.001 Pa to µPa,1000;1e3;1E3,short_answer
Convert 0.01 lb to clb,1;1e0;1E0;1.,short_answer
Convert 1 mi to cmi,100;1e2;1E2,short_answer
Convert 0.01 bar to Gbar,1e-11;1e-11;1E-11,short_answer
Convert 10 min to cmin,1000;1e3;1E3,short_answer
Convert 0.001 MJ to J,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>-11</sup> Gday to day,0.01;1e-2;1E-2;.01,short_answer
Convert 0.001 g to ng,1000000;1e6;1E6,short_answer
Convert 1 x 10<sup>5</sup> µm to m,0.1;1e-1;1E-1;.1,short_answer
Convert 1 x 10<sup>-6</sup> kgal to gal,0.001;1e-3;1E-3;.001,short_answer
Convert 0.001 cal to Gcal,1e-12;1e-12;1E-12,short_answer
Convert 0.001 Pa to nPa,1000000;1e6;1E6,short_answer
Convert 0.01 cal to ccal,1;1e0;1E0;1.,short_answer
Convert 10 cal to mcal,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>5</sup> mcal to cal,100;1e2;1E2,short_answer
Convert 1000 h to Mh,0.001;1e-3;1E-3;.001,short_answer
Convert 0.001 Moz to oz,1000;1e3;1E3,short_answer
Convert 100 gal to Ggal,1e-7;1e-7;1E-7,short_answer
Convert 1 x 10<sup>6</sup> µJ to J,1;1e0;1E0;1.,short_answer
Convert 0.1 J to µJ,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>5</sup> moz to oz,100;1e2;1E2,short_answer
Convert 100 mcal to cal,0.1;1e-1;1E-1;.1,short_answer
Convert 0.1 kL to L,100;1e2;1E2,short_answer
Convert 0.001 oz to µoz,1000;1e3;1E3,short_answer
Convert 0.1 ft to Gft,1e-10;1e-10;1E-10,short_answer
Convert 0.1 min to Mmin,1e-7;1e-7;1E-7,short_answer
Convert 1 cal to ccal,100;1e2;1E2,short_answer
Convert 0.1 min to mmin,100;1e2;1E2,short_answer
Convert 0.001 Mh to h,1000;1e3;1E3,short_answer
Convert 1000 s to cs,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>6</sup> µm to m,1;1e0;1E0;1.,short_answer
Convert 0.1 mi to mmi,100;1e2;1E2,short_answer
Convert 10 oz to Moz,0.00001;1e-5;1E-5;.00001,short_answer
Convert 10 g to kg,0.01;1e-2;1E-2;.01,short_answer
Convert 1000 cal to Mcal,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>6</sup> nL to L,0.001;1e-3;1E-3;.001,short_answer
Convert 1 m to Mm,0.000001;1e-6;1E-6,short_answer
Convert 1 h to Gh,1e-9;1e-9;1E-9,short_answer
Convert 1 x 10<sup>4</sup> µcal to cal,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>-10</sup> Gh to h,0.1;1e-1;1E-1;.1,short_answer
Convert 10 mlb to lb,0.01;1e-2;1E-2;.01,short_answer
Convert 1 mh to h,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-6</sup> km to m,0.001;1e-3;1E-3;.001,short_answer
Convert 0.1 J to cJ,10;1e1;1E1,short_answer
Convert 0.01 s to ks,0.00001;1e-5;1E-5;.00001,short_answer
Convert 0.01 s to µs,10000;1e4;1E4,short_answer
Convert 1 J to nJ,1e9;1e9;1E9,short_answer
Convert 1 x 10<sup>-7</sup> GJ to J,100;1e2;1E2,short_answer
Convert 100 mi to cmi,10000;1e4;1E4,short_answer
Convert 1000 lb to clb,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>-7</sup> MJ to J,0.1;1e-1;1E-1;.1,short_answer
Convert 1 x 10<sup>-6</sup> Ggal to gal,1000;1e3;1E3,short_answer
Convert 0.1 kgal to gal,100;1e2;1E2,short_answer
Convert 0.01 gal to mgal,10;1e1;1E1,short_answer
Convert 0.001 day to cday,0.1;1e-1;1E-1;.1,short_answer
Convert 0.001 cal to mcal,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>8</sup> µPa to Pa,100;1e2;1E2,short_answer
Convert 10 mlb to lb,0.01;1e-2;1E-2;.01,short_answer
Convert 1 x 10<sup>-9</sup> MJ to J,0.001;1e-3;1E-3;.001,short_answer
Convert 1000 L to mL,1000000;1e6;1E6,short_answer
Convert 10 ms to s,0.01;1e-2;1E-2;.01,short_answer
Convert 100 day to nday,1e11;1e11;1E11,short_answer
Convert 0.01 Pa to µPa,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>10</sup> noz to oz,10;1e1;1E1,short_answer
Convert 0.01 bar to mbar,10;1e1;1E1,short_answer
Convert 0.1 cal to mcal,100;1e2;1E2,short_answer
Convert 1 x 10<sup>4</sup> cL to L,100;1e2;1E2,short_answer
Convert 1 h to mh,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>4</sup> mh to h,10;1e1;1E1,short_answer
Convert 0.1 cg to g,0.001;1e-3;1E-3;.001,short_answer
Convert 0.01 cal to µcal,10000;1e4;1E4,short_answer
Convert 10 day to kday,0.01;1e-2;1E-2;.01,short_answer
Convert 0.01 ft to Mft,1e-8;1e-8;1E-8,short_answer
Convert 1000 Pa to kPa,1;1e0;1E0;1.,short_answer
Convert 1000 bar to Mbar,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-11</sup> Gday to day,0.01;1e-2;1E-2;.01,short_answer
Convert 100 g to kg,0.1;1e-1;1E-1;.1,short_answer
Convert 10 bar to µbar,1e7;1e7;1E7,short_answer
Convert 1 kday to day,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>-8</sup> Mm to m,0.01;1e-2;1E-2;.01,short_answer
Convert 0.1 J to cJ,10;1e1;1E1,short_answer
Convert 1000 bar to Mbar,0.001;1e-3;1E-3;.001,short_answer
Convert 0.001 s to ns,1000000;1e6;1E6,short_answer
Convert 1 x 10<sup>-5</sup> kgal to gal,0.01;1e-2;1E-2;.01,short_answer
Convert 10 mmi to mi,0.01;1e-2;1E-2;.01,short_answer
Convert 0.001 Pa to GPa,1e-12;1e-12;1E-12,short_answer
Convert 1 ft to Mft,0.000001;1e-6;1E-6,short_answer
Convert 100 ch to h,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>-6</sup> Ms to s,1;1e0;1E0;1.,short_answer
Convert 1000 gal to Ggal,0.000001;1e-6;1E-6,short_answer
Convert 1000 bar to µbar,1e9;1e9;1E9,short_answer
Convert 0.01 bar to µbar,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>7</sup> µday to day,10;1e1;1E1,short_answer
Convert 10 cday to day,0.1;1e-1;1E-1;.1,short_answer
Convert 1 x 10<sup>-8</sup> Mcal to cal,0.01;1e-2;1E-2;.01,short_answer
Convert 0.01 kbar to bar,10;1e1;1E1,short_answer
Convert 0.1 bar to mbar,100;1e2;1E2,short_answer
Convert 0.001 ft to Mft,1e-9;1e-9;1E-9,short_answer
Convert 1000 lb to klb,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>-10</sup> GJ to J,0.1;1e-1;1E-1;.1,short_answer
Convert 0.01 mi to cmi,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>8</sup> µgal to gal,100;1e2;1E2,short_answer
Convert 10 g to µg,1e7;1e7;1E7,short_answer
Convert 100 J to cJ,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>-9</sup> Gbar to bar,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>4</sup> mbar to bar,10;1e1;1E1,short_answer
Convert 100 s to Ms,0.0001;1e-4;1E-4;.0001,short_answer
Convert 1000 µgal to gal,0.001;1e-3;1E-3;.001,short_answer
Convert 0.01 s to ms,10;1e1;1E1,short_answer
Convert 1 x 10<sup>5</sup> cL to L,1000;1e3;1E3,short_answer
Convert 100 cal to Mcal,0.0001;1e-4;1E-4;.0001,short_answer
Convert 10 cal to Gcal,1e-8;1e-8;1E-8,short_answer
Convert 100 bar to µbar,1e8;1e8;1E8,short_answer
Convert 1 x 10<sup>-4</sup> Mday to day,100;1e2;1E2,short_answer
Convert 1 x 10<sup>6</sup> mm to m,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>5</sup> ccal to cal,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>4</sup> µL to L,0.01;1e-2;1E-2;.01,short_answer
Convert 1000 ft to kft,1;1e0;1E0;1.,short_answer
Convert 0.1 day to Mday,1e-7;1e-7;1E-7,short_answer
Convert 1 mi to µmi,1000000;1e6;1E6,short_answer
Convert 1000 h to Mh,0.001;1e-3;1E-3;.001,short_answer
Convert 100 m to Gm,1e-7;1e-7;1E-7,short_answer
Convert 1 x 10<sup>7</sup> µmin to min,10;1e1;1E1,short_answer
Convert 100 h to kh,0.1;1e-1;1E-1;.1,short_answer
Convert 0.001 s to Ms,1e-9;1e-9;1E-9,short_answer
Convert 0.01 day to µday,10000;1e4;1E4,short_answer
Convert 0.001 L to kL,0.000001;1e-6;1E-6,short_answer
Convert 1 x 10<sup>-6</sup> Mday to day,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>-9</sup> Mh to h,0.001;1e-3;1E-3;.001,short_answer
Convert 1000 mi to Gmi,0.000001;1e-6;1E-6,short_answer
Convert 100 J to nJ,1e11;1e11;1E11,short_answer
Convert 1 x 10<sup>-11</sup> Gmi to mi,0.01;1e-2;1E-2;.01,short_answer
Convert 10 Pa to nPa,1e10;1e10;1E10,short_answer
Convert 1 x 10<sup>-12</sup> GJ to J,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-9</sup> Mlb to lb,0.001;1e-3;1E-3;.001,short_answer
Convert 10 s to ms,10000;1e4;1E4,short_answer
Convert 0.1 m to cm,10;1e1;1E1,short_answer
Convert 100 s to ks,0.1;1e-1;1E-1;.1,short_answer
Convert 1 mJ to J,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-7</sup> Gm to m,100;1e2;1E2,short_answer
Convert 10 coz to oz,0.1;1e-1;1E-1;.1,short_answer
Convert 10 s to µs,1e7;1e7;1E7,short_answer
Convert 1 x 10<sup>-5</sup> Moz to oz,10;1e1;1E1,short_answer
Convert 0.001 min to Gmin,1e-12;1e-12;1E-12,short_answer
Convert 0.1 m to µm,100000;1e5;1E5,short_answer
Convert 0.01 klb to lb,10;1e1;1E1,short_answer
Convert 1000 gal to cgal,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>-7</sup> GJ to J,100;1e2;1E2,short_answer
Convert 1 x 10<sup>-6</sup> kmin to min,0.001;1e-3;1E-3;.001,short_answer
Convert 1000 day to nday,1e12;1e12;1E12,short_answer
Convert 100 L to ML,0.0001;1e-4;1E-4;.0001,short_answer
Convert 1000 mh to h,1;1e0;1E0;1.,short_answer
Convert 10 s to µs,1e7;1e7;1E7,short_answer
Convert 1 x 10<sup>6</sup> nlb to lb,0.001;1e-3;1E-3;.001,short_answer
Convert 10 cJ to J,0.1;1e-1;1E-1;.1,short_answer
Convert 100 bar to Mbar,0.0001;1e-4;1E-4;.0001,short_answer
Convert 1 x 10<sup>6</sup> mL to L,1000;1e3;1E3,short_answer
Convert 100 mcal to cal,0.1;1e-1;1E-1;.1,short_answer
Convert 0.1 bar to mbar,100;1e2;1E2,short_answer
Convert 0.01 gal to µgal,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>-9</sup> Glb to lb,1;1e0;1E0;1.,short_answer
Convert 1000 h to ch,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>-12</sup> Gbar to bar,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-8</sup> Moz to oz,0.01;1e-2;1E-2;.01,short_answer
Convert 0.001 lb to clb,0.1;1e-1;1E-1;.1,short_answer
Convert 1 lb to clb,100;1e2;1E2,short_answer
Convert 1 x 10<sup>-6</sup> Mg to g,1;1e0;1E0;1.,short_answer
Convert 0.001 Mlb to lb,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>6</sup> mm to m,1000;1e3;1E3,short_answer
Convert 1 x 10<sup>4</sup> µoz to oz,0.01;1e-2;1E-2;.01,short_answer
Convert 0.1 min to cmin,10;1e1;1E1,short_answer
Convert 1 x 10<sup>9</sup> µg to g,1000;1e3;1E3,short_answer
Convert 1000 h to ch,100000;1e5;1E5,short_answer
Convert 100 gal to ngal,1e11;1e11;1E11,short_answer
Convert 1000 µs to s,0.001;1e-3;1E-3;.001,short_answer
Convert 1000 s to ks,1;1e0;1E0;1.,short_answer
Convert 10 gal to kgal,0.01;1e-2;1E-2;.01,short_answer
Convert 100 g to ng,1e11;1e11;1E11,short_answer
Convert 0.1 lb to Glb,1e-10;1e-10;1E-10,short_answer
Convert 10 ch to h,0.1;1e-1;1E-1;.1,short_answer
Convert 10 day to µday,1e7;1e7;1E7,short_answer
Convert 1000 min to Mmin,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-10</sup> Gmi to mi,0.1;1e-1;1E-1;.1,short_answer
Convert 0.001 day to nday,1000000;1e6;1E6,short_answer
Convert 1 x 10<sup>5</sup> cL to L,1000;1e3;1E3,short_answer
Convert 0.001 s to ms,1;1e0;1E0;1.,short_answer
Convert 1000 min to nmin,1e12;1e12;1E12,short_answer
Convert 1 m to Gm,1e-9;1e-9;1E-9,short_answer
Convert 1 x 10<sup>8</sup> µmin to min,100;1e2;1E2,short_answer
Convert 0.001 bar to nbar,1000000;1e6;1E6,short_answer
Convert 0.001 mi to cmi,0.1;1e-1;1E-1;.1,short_answer
Convert 100 ft to Mft,0.0001;1e-4;1E-4;.0001,short_answer
Convert 0.01 gal to mgal,10;1e1;1E1,short_answer
Convert 1 x 10<sup>-7</sup> Goz to oz,100;1e2;1E2,short_answer
Convert 100 L to ML,0.0001;1e-4;1E-4;.0001,short_answer
Convert 100 h to µh,1e8;1e8;1E8,short_answer
Convert 0.001 s to Ms,1e-9;1e-9;1E-9,short_answer
Convert 1 x 10<sup>-9</sup> Ms to s,0.001;1e-3;1E-3;.001,short_answer
Convert 1 x 10<sup>-10</sup> Gmi to mi,0.1;1e-1;1E-1;.1,short_answer
Convert 0.01 kcal to cal,10;1e1;1E1,short_answer
Convert 1 x 10<sup>-8</sup> Gft to ft,10;1e1;1E1,short_answer
Convert 100 ms to s,0.1;1e-1;1E-1;.1,short_answer
Convert 1000 h to nh,1e12;1e12;1E12,short_answer
Convert 100 cg to g,1;1e0;1E0;1.,short_answer
Convert 0.1 day to Mday,1e-7;1e-7;1E-7,short_answer
Convert 1 x 10<sup>-5</sup> Mm to m,10;1e1;1E1,short_answer
Convert 100 coz to oz,1;1e0;1E0;1.,short_answer
Convert 0.1 lb to nlb,1e8;1e8;1E8,short_answer
Convert 1 x 10<sup>7</sup> µmin to min,10;1e1;1E1,short_answer
Convert 100 cbar to bar,1;1e0;1E0;1.,short_answer
Convert 1 h to Mh,0.000001;1e-6;1E-6,short_answer
Convert 1 x 10<sup>4</sup> mcal to cal,10;1e1;1E1,short_answer
Convert 100 s to Gs,1e-7;1e-7;1E-7,short_answer
Convert 100 mi to mmi,100000;1e5;1E5,short_answer
Convert 1 x 10<sup>-5</sup> kL to L,0.01;1e-2;1E-2;.01,short_answer
Convert 10 cm to m,0.1;1e-1;1E-1;.1,short_answer
Convert 100 oz to µoz,1e8;1e8;1E8,short_answer
Convert 100 gal to cgal,10000;1e4;1E4,short_answer
Convert 1 x 10<sup>6</sup> µPa to Pa,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>9</sup> µL to L,1000;1e3;1E3,short_answer
Convert 100 h to µh,1e8;1e8;1E8,short_answer
Convert 0.001 gal to kgal,0.000001;1e-6;1E-6,short_answer
Convert 100 cm to m,1;1e0;1E0;1.,short_answer
Convert 1 x 10<sup>4</sup> cgal to gal,100;1e2;1E2,short_answer
Convert 1 x 10<sup>4</sup> mcal to cal,10;1e1;1E1,short_answer
