question,correct_answers,question_type
221000 × 244 =,5.3924e+07;2.6962e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3.98\times10^6}{0.00589}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3.98%5Ctimes10%5E6%7D%7B0.00589%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3.98\times10^6}{0.00589}="" data-equation-content=""\frac{3.98\times10^6}{0.00589}="" data-ignore-a11y-check=""""></mattext>",6.7572e+08;3.3786e+06,numerical_tolerance
23900 × 2.24 x 10<sup>6</sup> =,5.3536e+10;2.6768e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0515}{0.24}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0515%7D%7B0.24%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0515}{0.24}="" data-equation-content=""\frac{0.0515}{0.24}="" data-ignore-a11y-check=""""></mattext>",0.21458;0.0010729,numerical_tolerance
0.000042 × 3.0 x 10<sup>8</sup> =,12600;63,numerical_tolerance
2.94 x 10<sup>6</sup> × 6.12 x 10<sup>6</sup> =,1.7993e+13;8.9964e+10,numerical_tolerance
17300 × 5.0 x 10<sup>2</sup> =,8.65e+06;43250,numerical_tolerance
1.80 x 10<sup>8</sup> × 1.3 =,2.34e+08;1.17e+06,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{8.12\times10^6}{0.078}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B8.12%5Ctimes10%5E6%7D%7B0.078%7D%3D?scale=1.5"" alt=""LaTeX: \frac{8.12\times10^6}{0.078}="" data-equation-content=""\frac{8.12\times10^6}{0.078}="" data-ignore-a11y-check=""""></mattext>",1.041e+08;5.2051e+05,numerical_tolerance
4.79 x 10<sup>-8</sup> × 6.66 x 10<sup>6</sup> =,0.31901;0.0015951,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.0\times10^-7}{0.0000168}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.0%5Ctimes10%5E-7%7D%7B0.0000168%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.0\times10^-7}{0.0000168}="" data-equation-content=""\frac{7.0\times10^-7}{0.0000168}="" data-ignore-a11y-check=""""></mattext>",0.041667;0.00020833,numerical_tolerance
0.00225 × 2.2 x 10<sup>6</sup> =,4950;24.75,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{90.}{320}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B90.%7D%7B320%7D%3D?scale=1.5"" alt=""LaTeX: \frac{90.}{320}="" data-equation-content=""\frac{90.}{320}="" data-ignore-a11y-check=""""></mattext>",0.28125;0.0014062,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5.7\times10^6}{0.00459}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5.7%5Ctimes10%5E6%7D%7B0.00459%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5.7\times10^6}{0.00459}="" data-equation-content=""\frac{5.7\times10^6}{0.00459}="" data-ignore-a11y-check=""""></mattext>",1.2418e+09;6.2092e+06,numerical_tolerance
9.8 x 10<sup>7</sup> × 1.02 x 10<sup>7</sup> =,9.996e+14;4.998e+12,numerical_tolerance
2.00 x 10<sup>6</sup> × 3.40 x 10<sup>4</sup> =,6.8e+10;3.4e+08,numerical_tolerance
6.65 × 1410 =,9376.5;46.883,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5200}{3.06}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5200%7D%7B3.06%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5200}{3.06}="" data-equation-content=""\frac{5200}{3.06}="" data-ignore-a11y-check=""""></mattext>",1699.3;8.4967,numerical_tolerance
1.57 × 490 =,769.3;3.8465,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.000251}{0.00413}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.000251%7D%7B0.00413%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.000251}{0.00413}="" data-equation-content=""\frac{0.000251}{0.00413}="" data-ignore-a11y-check=""""></mattext>",0.060775;0.00030387,numerical_tolerance
6.64 x 10<sup>-7</sup> × 1.8 x 10<sup>6</sup> =,1.1952;0.005976,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.3}{0.00000959}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.3%7D%7B0.00000959%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.3}{0.00000959}="" data-equation-content=""\frac{7.3}{0.00000959}="" data-ignore-a11y-check=""""></mattext>",7.6121e+05;3806,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{475}{1810}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B475%7D%7B1810%7D%3D?scale=1.5"" alt=""LaTeX: \frac{475}{1810}="" data-equation-content=""\frac{475}{1810}="" data-ignore-a11y-check=""""></mattext>",0.26243;0.0013122,numerical_tolerance
568000 × 23 =,1.3064e+07;65320,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5.80}{1.1\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5.80%7D%7B1.1%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5.80}{1.1\times10^-9}="" data-equation-content=""\frac{5.80}{1.1\times10^-9}="" data-ignore-a11y-check=""""></mattext>",5.2727e+09;2.6364e+07,numerical_tolerance
7800 × 2.3 =,17940;89.7,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{18.1}{0.00344}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B18.1%7D%7B0.00344%7D%3D?scale=1.5"" alt=""LaTeX: \frac{18.1}{0.00344}="" data-equation-content=""\frac{18.1}{0.00344}="" data-ignore-a11y-check=""""></mattext>",5261.6;26.308,numerical_tolerance
0.969 × 2.3 x 10<sup>7</sup> =,2.2287e+07;1.1144e+05,numerical_tolerance
0.0943 × 1.2 x 10<sup>6</sup> =,1.1316e+05;565.8,numerical_tolerance
242 × 27000 =,6.534e+06;32670,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{4.50\times10^7}{170000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B4.50%5Ctimes10%5E7%7D%7B170000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{4.50\times10^7}{170000}="" data-equation-content=""\frac{4.50\times10^7}{170000}="" data-ignore-a11y-check=""""></mattext>",264.71;1.3235,numerical_tolerance
0.000781 × 15500 =,12.106;0.060528,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{971}{9.38\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B971%7D%7B9.38%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{971}{9.38\times10^-7}="" data-equation-content=""\frac{971}{9.38\times10^-7}="" data-ignore-a11y-check=""""></mattext>",1.0352e+09;5.1759e+06,numerical_tolerance
