question,correct_answers,question_type
Write the following number with 5 significant figures: 6.57393e5,657390;6.5739e5;6.5739E5,short_answer
Write the following number with 4 significant figures: 113.372,113.4;1.134e2;1.134E2,short_answer
Write the following number with 3 significant figures: 14.2324,14.2;1.42e1;1.42E1,short_answer
Write the following number with 5 significant figures: 5971.51,5971.5;5.9715e3;5.9715E3,short_answer
Write the following number with 3 significant figures: 0.0846603,0.0847;8.47e-2;8.47E-2;.0847,short_answer
Write the following number with 3 significant figures: 0.392275,0.392;3.92e-1;3.92E-1;.392,short_answer
Write the following number with 1 significant figures: 2.74618,3;3e0;3E0;3.,short_answer
Write the following number with 2 significant figures: 5.93060e4,59000;5.9e4;5.9E4,short_answer
Write the following number with 2 significant figures: 2.10157e5,210000;2.1e5;2.1E5,short_answer
Write the following number with 3 significant figures: 6559.40,6560;6.56e3;6.56E3,short_answer
Write the following number with 4 significant figures: 1.59842e5,159800;1.598e5;1.598E5,short_answer
Write the following number with 5 significant figures: 41.7099,41.710;4.1710e1;4.1710E1,short_answer
Write the following number with 1 significant figures: 1866.74,2000;2e3;2E3,short_answer
Write the following number with 4 significant figures: 2.62376e5,262400;2.624e5;2.624E5,short_answer
Write the following number with 3 significant figures: 0.0110121,0.0110;1.10e-2;1.10E-2;.0110,short_answer
Write the following number with 5 significant figures: 7.28328e5,728330;7.2833e5;7.2833E5,short_answer
Write the following number with 3 significant figures: 73.9431,73.9;7.39e1;7.39E1,short_answer
Write the following number with 2 significant figures: 0.803011,0.80;8.0e-1;8.0E-1;.80,short_answer
Write the following number with 1 significant figures: 0.330838,0.3;3e-1;3E-1;.3,short_answer
Write the following number with 5 significant figures: 6.62070e4,66207;6.6207e4;6.6207E4;66207.,short_answer
Write the following number with 5 significant figures: 0.0118662,0.011866;1.1866e-2;1.1866E-2;.011866,short_answer
Write the following number with 4 significant figures: 0.0412134,0.04121;4.121e-2;4.121E-2;.04121,short_answer
Write the following number with 3 significant figures: 97.6744,97.7;9.77e1;9.77E1,short_answer
Write the following number with 5 significant figures: 2.14070e4,21407;2.1407e4;2.1407E4;21407.,short_answer
Write the following number with 1 significant figures: 5.12208e5,500000;5e5;5E5,short_answer
Write the following number with 4 significant figures: 0.00953360,0.009534;9.534e-3;9.534E-3;.009534,short_answer
Write the following number with 5 significant figures: 0.0239902,0.023990;2.3990e-2;2.3990E-2;.023990,short_answer
Write the following number with 4 significant figures: 0.0494981,0.04950;4.950e-2;4.950E-2;.04950,short_answer
Write the following number with 1 significant figures: 0.935237,0.9;9e-1;9E-1;.9,short_answer
Write the following number with 5 significant figures: 0.227121,0.22712;2.2712e-1;2.2712E-1;.22712,short_answer
Write the following number with 2 significant figures: 0.0166255,0.017;1.7e-2;1.7E-2;.017,short_answer
Write the following number with 3 significant figures: 6.57872e5,658000;6.58e5;6.58E5,short_answer
Write the following number with 3 significant figures: 2.61826e-5,0.0000262;2.62e-5;2.62E-5;.0000262,short_answer
Write the following number with 2 significant figures: 2.64662e-5,0.000026;2.6e-5;2.6E-5;.000026,short_answer
Write the following number with 1 significant figures: 0.206719,0.2;2e-1;2E-1;.2,short_answer
Write the following number with 3 significant figures: 5.30253,5.30;5.30e0;5.30E0,short_answer
Write the following number with 3 significant figures: 1.08678,1.09;1.09e0;1.09E0,short_answer
Write the following number with 4 significant figures: 261.756,261.8;2.618e2;2.618E2,short_answer
Write the following number with 2 significant figures: 278.177,280;2.8e2;2.8E2,short_answer
Write the following number with 1 significant figures: 3039.25,3000;3e3;3E3,short_answer
Write the following number with 5 significant figures: 1807.39,1807.4;1.8074e3;1.8074E3,short_answer
Write the following number with 3 significant figures: 0.0792527,0.0793;7.93e-2;7.93E-2;.0793,short_answer
Write the following number with 3 significant figures: 0.00125028,0.00125;1.25e-3;1.25E-3;.00125,short_answer
Write the following number with 2 significant figures: 0.672149,0.67;6.7e-1;6.7E-1;.67,short_answer
Write the following number with 4 significant figures: 9457.32,9457;9.457e3;9.457E3;9457.,short_answer
Write the following number with 3 significant figures: 1.35709,1.36;1.36e0;1.36E0,short_answer
Write the following number with 3 significant figures: 0.00698306,0.00698;6.98e-3;6.98E-3;.00698,short_answer
Write the following number with 3 significant figures: 0.00503932,0.00504;5.04e-3;5.04E-3;.00504,short_answer
Write the following number with 5 significant figures: 5.88038e-5,0.000058804;5.8804e-5;5.8804E-5;.000058804,short_answer
Write the following number with 4 significant figures: 0.432419,0.4324;4.324e-1;4.324E-1;.4324,short_answer
Write the following number with 4 significant figures: 5.38250e5,538300;5.383e5;5.383E5,short_answer
Write the following number with 1 significant figures: 2.44519e-4,0.0002;2e-4;2E-4;.0002,short_answer
Write the following number with 5 significant figures: 0.170146,0.17015;1.7015e-1;1.7015E-1;.17015,short_answer
Write the following number with 1 significant figures: 0.235937,0.2;2e-1;2E-1;.2,short_answer
Write the following number with 4 significant figures: 3.29992e4,3.300e4;3.300e4;3.300E4,short_answer
Write the following number with 1 significant figures: 1020.62,1000;1e3;1E3,short_answer
Write the following number with 4 significant figures: 22.9099,22.91;2.291e1;2.291E1,short_answer
Write the following number with 2 significant figures: 2.50160e4,25000;2.5e4;2.5E4,short_answer
Write the following number with 1 significant figures: 0.265235,0.3;3e-1;3E-1;.3,short_answer
Write the following number with 1 significant figures: 39.6457,40;4e1;4E1,short_answer
Write the following number with 1 significant figures: 2.51276e-4,0.0003;3e-4;3E-4;.0003,short_answer
Write the following number with 5 significant figures: 8.23339,8.2334;8.2334e0;8.2334E0,short_answer
Write the following number with 3 significant figures: 4155.54,4160;4.16e3;4.16E3,short_answer
Write the following number with 5 significant figures: 0.755918,0.75592;7.5592e-1;7.5592E-1;.75592,short_answer
Write the following number with 1 significant figures: 0.354307,0.4;4e-1;4E-1;.4,short_answer
Write the following number with 1 significant figures: 10.5534,10;1e1;1E1,short_answer
Write the following number with 2 significant figures: 3.53372e5,350000;3.5e5;3.5E5,short_answer
Write the following number with 2 significant figures: 4.19153e5,420000;4.2e5;4.2E5,short_answer
Write the following number with 1 significant figures: 64.6362,60;6e1;6E1,short_answer
Write the following number with 5 significant figures: 2.72366e5,272370;2.7237e5;2.7237E5,short_answer
Write the following number with 5 significant figures: 4.72663e5,472660;4.7266e5;4.7266E5,short_answer
Write the following number with 3 significant figures: 5.27370e-5,0.0000527;5.27e-5;5.27E-5;.0000527,short_answer
Write the following number with 1 significant figures: 40.8018,40;4e1;4E1,short_answer
Write the following number with 3 significant figures: 1315.61,1320;1.32e3;1.32E3,short_answer
Write the following number with 1 significant figures: 0.00114923,0.001;1e-3;1E-3;.001,short_answer
Write the following number with 5 significant figures: 0.00179698,0.0017970;1.7970e-3;1.7970E-3;.0017970,short_answer
Write the following number with 1 significant figures: 1.00111e-4,0.0001;1e-4;1E-4;.0001,short_answer
Write the following number with 3 significant figures: 8.82371e5,882000;8.82e5;8.82E5,short_answer
Write the following number with 2 significant figures: 1.36685,1.4;1.4e0;1.4E0,short_answer
Write the following number with 1 significant figures: 35.7407,40;4e1;4E1,short_answer
Write the following number with 2 significant figures: 7.32706e-5,0.000073;7.3e-5;7.3E-5;.000073,short_answer
Write the following number with 3 significant figures: 1.11519e4,11200;1.12e4;1.12E4,short_answer
Write the following number with 1 significant figures: 370.299,400;4e2;4E2,short_answer
Write the following number with 4 significant figures: 0.678492,0.6785;6.785e-1;6.785E-1;.6785,short_answer
Write the following number with 3 significant figures: 0.0122701,0.0123;1.23e-2;1.23E-2;.0123,short_answer
Write the following number with 2 significant figures: 0.501409,0.50;5.0e-1;5.0E-1;.50,short_answer
Write the following number with 4 significant figures: 5.34719e4,53470;5.347e4;5.347E4,short_answer
Write the following number with 3 significant figures: 1.57120e-4,0.000157;1.57e-4;1.57E-4;.000157,short_answer
Write the following number with 4 significant figures: 0.00330561,0.003306;3.306e-3;3.306E-3;.003306,short_answer
Write the following number with 5 significant figures: 0.603600,0.60360;6.0360e-1;6.0360E-1;.60360,short_answer
Write the following number with 4 significant figures: 5.62514e-5,0.00005625;5.625e-5;5.625E-5;.00005625,short_answer
Write the following number with 1 significant figures: 0.749140,0.7;7e-1;7E-1;.7,short_answer
Write the following number with 3 significant figures: 2104.16,2.10e3;2.10e3;2.10E3,short_answer
Write the following number with 5 significant figures: 0.880156,0.88016;8.8016e-1;8.8016E-1;.88016,short_answer
Write the following number with 5 significant figures: 1.96294e5,196290;1.9629e5;1.9629E5,short_answer
Write the following number with 3 significant figures: 1.62438e-5,0.0000162;1.62e-5;1.62E-5;.0000162,short_answer
Write the following number with 5 significant figures: 18.6711,18.671;1.8671e1;1.8671E1,short_answer
Write the following number with 4 significant figures: 4972.23,4972;4.972e3;4.972E3;4972.,short_answer
Write the following number with 2 significant figures: 8.20270,8.2;8.2e0;8.2E0,short_answer
