question,correct_answers,question_type
0.07 - 0.0088727 =,0.06;6e-2;6E-2;.06,short_answer
2.1012 + 7.0982 =,9.1994;9.1994e0;9.1994E0,short_answer
375.3 + 30 =,410;4.1e2;4.1E2,short_answer
4.066 x 10<sup>9</sup> - 4.003 x 10<sup>8</sup> =,3.666e9;3.666e9;3.666E9,short_answer
0.0043 - 0.0001 =,0.0042;4.2e-3;4.2E-3;.0042,short_answer
0.012 - 0.0021 =,0.010;1.0e-2;1.0E-2;.010,short_answer
0.16042 + 0.21 =,0.37;3.7e-1;3.7E-1;.37,short_answer
0.18 - 0.0072 =,0.17;1.7e-1;1.7E-1;.17,short_answer
1.00 x 10<sup>3</sup> + 3500 =,4500;4.5e3;4.5E3,short_answer
374.77 + 250.54 =,625.31;6.2531e2;6.2531E2,short_answer
71 - 30.603 =,40.;4.0e1;4.0E1;40..,short_answer
2.82 x 10<sup>-12</sup> - 8 x 10<sup>-13</sup> =,2.0e-12;2.0e-12;2.0E-12,short_answer
1.367 + 0.03161 =,1.399;1.399e0;1.399E0,short_answer
8.190 + 1.32 =,9.51;9.51e0;9.51E0,short_answer
0.285 - 0.18811 =,0.097;9.7e-2;9.7E-2;.097,short_answer
83980 + 573700 =,657700;6.577e5;6.577E5,short_answer
0.02 + 0.7 =,0.7;7e-1;7E-1;.7,short_answer
1 - 0.09 =,1;1e0;1E0;1.,short_answer
0.00421 + 0.0002 =,0.0044;4.4e-3;4.4E-3;.0044,short_answer
0.00575 + 0.00074 =,0.00649;6.49e-3;6.49E-3;.00649,short_answer
0.426 + 0.063088 =,0.489;4.89e-1;4.89E-1;.489,short_answer
5000 + 165.89 =,5000;5e3;5E3,short_answer
1364 + 45000 =,46000;4.6e4;4.6E4,short_answer
0.000026285 - 6 x 10<sup>-7</sup> =,0.0000257;2.57e-5;2.57E-5;.0000257,short_answer
2.1251 x 10<sup>-9</sup> + 1 x 10<sup>-10</sup> =,2.2e-9;2.2e-9;2.2E-9,short_answer
5.855 x 10<sup>-11</sup> - 7 x 10<sup>-12</sup> =,5.2e-11;5.2e-11;5.2E-11,short_answer
0.0048 - 0.0002 =,0.0046;4.6e-3;4.6E-3;.0046,short_answer
1.539 x 10<sup>-12</sup> + 1.0078 x 10<sup>-12</sup> =,2.547e-12;2.547e-12;2.547E-12,short_answer
410 - 10.2 =,4.0e2;4.0e2;4.0E2,short_answer
5549 + 2094.3 =,7643;7.643e3;7.643E3;7643.,short_answer
0.85 + 10.74 =,11.59;1.159e1;1.159E1,short_answer
270 + 196.4 =,470;4.7e2;4.7E2,short_answer
51.7 + 96.3 =,148.0;1.480e2;1.480E2,short_answer
4.5 x 10<sup>-12</sup> - 3.7 x 10<sup>-13</sup> =,4.1e-12;4.1e-12;4.1E-12,short_answer
1.219 + 35 =,36;3.6e1;3.6E1;36.,short_answer
0.003 + 0.007 =,0.010;1.0e-2;1.0E-2;.010,short_answer
63.12 + 1302.6 =,1365.7;1.3657e3;1.3657E3,short_answer
659 + 77.886 =,737;7.37e2;7.37E2;737.,short_answer
0.051 - 0.02 =,0.03;3e-2;3E-2;.03,short_answer
2.6481 + 60 =,60;6e1;6E1,short_answer
3.6 x 10<sup>11</sup> + 1.1 x 10<sup>12</sup> =,1.5e12;1.5e12;1.5E12,short_answer
726 + 26445 =,27171;2.7171e4;2.7171E4;27171.,short_answer
2 x 10<sup>-12</sup> + 2.092 x 10<sup>-11</sup> =,2.3e-11;2.3e-11;2.3E-11,short_answer
1.21 + 0.69 =,1.90;1.90e0;1.90E0,short_answer
2.0365 x 10<sup>-11</sup> + 3.318 x 10<sup>-12</sup> =,2.3683e-11;2.3683e-11;2.3683E-11,short_answer
0.0043 + 0.0025402 =,0.0068;6.8e-3;6.8E-3;.0068,short_answer
0.00739 + 0.09 =,0.10;1.0e-1;1.0E-1;.10,short_answer
2.4175 + 1 =,3;3e0;3E0;3.,short_answer
0.001 + 0.031004 =,0.032;3.2e-2;3.2E-2;.032,short_answer
5 + 15.70 =,21;2.1e1;2.1E1;21.,short_answer
0.003522 + 0.001213 =,0.004735;4.735e-3;4.735E-3;.004735,short_answer
7676.7 + 3.40 x 10<sup>5</sup> =,348000;3.48e5;3.48E5,short_answer
0.09 + 0.14 =,0.23;2.3e-1;2.3E-1;.23,short_answer
0.7 - 0.038 =,0.7;7e-1;7E-1;.7,short_answer
0.001 - 0.00012219 =,0.001;1e-3;1E-3;.001,short_answer
31 + 890 =,920;9.2e2;9.2E2,short_answer
0.193 - 0.0163 =,0.177;1.77e-1;1.77E-1;.177,short_answer
0.5 + 0.064 =,0.6;6e-1;6E-1;.6,short_answer
1.12 x 10<sup>9</sup> + 7 x 10<sup>8</sup> =,1.8e9;1.8e9;1.8E9,short_answer
7109 + 184.6 =,7294;7.294e3;7.294E3;7294.,short_answer
1.50 x 10<sup>3</sup> - 130 =,1370;1.37e3;1.37E3,short_answer
2.987 - 0.4 =,2.6;2.6e0;2.6E0,short_answer
3.82 x 10<sup>8</sup> - 1.7 x 10<sup>7</sup> =,3.65e8;3.65e8;3.65E8,short_answer
1 + 0.1589 =,1;1e0;1E0;1.,short_answer
2 + 0.482 =,2;2e0;2E0;2.,short_answer
0.004852 + 0.0003 =,0.0052;5.2e-3;5.2E-3;.0052,short_answer
0.001145 + 0.0007 =,0.0018;1.8e-3;1.8E-3;.0018,short_answer
29 - 2 =,27;2.7e1;2.7E1;27.,short_answer
3.0 - 0.5 =,2.5;2.5e0;2.5E0,short_answer
4.12 + 168.1 =,172.2;1.722e2;1.722E2,short_answer
1.287 x 10<sup>8</sup> - 7.90 x 10<sup>6</sup> =,1.208e8;1.208e8;1.208E8,short_answer
1.644 - 0.0818 =,1.562;1.562e0;1.562E0,short_answer
0.00639 + 0.314 =,0.320;3.20e-1;3.20E-1;.320,short_answer
883.66 + 121 =,1005;1.005e3;1.005E3;1005.,short_answer
800 + 6379 =,7200;7.2e3;7.2E3,short_answer
1300. + 100 =,1400;1.4e3;1.4E3,short_answer
281 - 146.9 =,134;1.34e2;1.34E2;134.,short_answer
1900 - 200 =,1700;1.7e3;1.7E3,short_answer
0.0022 + 0.014 =,0.016;1.6e-2;1.6E-2;.016,short_answer
0.1733 - 0.052 =,0.121;1.21e-1;1.21E-1;.121,short_answer
0.016 + 0.24466 =,0.261;2.61e-1;2.61E-1;.261,short_answer
6010 - 4820 =,1190;1.19e3;1.19E3,short_answer
0.118 + 1.700 =,1.818;1.818e0;1.818E0,short_answer
3200 + 1310 =,4500;4.5e3;4.5E3,short_answer
1 x 10<sup>-9</sup> - 3.7894 x 10<sup>-10</sup> =,1e-9;1e-9;1E-9,short_answer
0.053 + 2.50 =,2.55;2.55e0;2.55E0,short_answer
0.176 + 0.04 =,0.22;2.2e-1;2.2E-1;.22,short_answer
0.0001 + 0.000062 =,0.0002;2e-4;2E-4;.0002,short_answer
2.3481 x 10<sup>-7</sup> + 0.0000066633 =,0.0000068981;6.8981e-6;6.8981E-6;.0000068981,short_answer
0.00163 + 0.0021 =,0.0037;3.7e-3;3.7E-3;.0037,short_answer
1200 - 94.5 =,1100;1.1e3;1.1E3,short_answer
6000 + 100 =,6000;6e3;6E3,short_answer
0.056 - 0.02 =,0.04;4e-2;4E-2;.04,short_answer
4.1 x 10<sup>-11</sup> + 3 x 10<sup>-11</sup> =,7e-11;7e-11;7E-11,short_answer
0.02 - 0.0028 =,0.02;2e-2;2E-2;.02,short_answer
7.3937 x 10<sup>-10</sup> - 1.2851 x 10<sup>-10</sup> =,6.1086e-10;6.1086e-10;6.1086E-10,short_answer
10 - 0.30 =,10;1e1;1E1,short_answer
251 - 186.3 =,65;6.5e1;6.5E1;65.,short_answer
0.76470 + 1 =,2;2e0;2E0;2.,short_answer
0.045 + 0.328 =,0.373;3.73e-1;3.73E-1;.373,short_answer
0.25 + 12 =,12;1.2e1;1.2E1;12.,short_answer
0.002662 + 0.01813 =,0.02079;2.079e-2;2.079E-2;.02079,short_answer
789 + 660 =,1450;1.45e3;1.45E3,short_answer
0.63 + 0.438 =,1.07;1.07e0;1.07E0,short_answer
227.16 - 9.169 =,217.99;2.1799e2;2.1799E2,short_answer
3.2 - 0.075 =,3.1;3.1e0;3.1E0,short_answer
4.6 x 10<sup>11</sup> + 1.10 x 10<sup>11</sup> =,5.7e11;5.7e11;5.7E11,short_answer
579 - 22.14 =,557;5.57e2;5.57E2;557.,short_answer
121.66 + 23.89 =,145.55;1.4555e2;1.4555E2,short_answer
3.1 x 10<sup>10</sup> - 3.3684 x 10<sup>9</sup> =,2.8e10;2.8e10;2.8E10,short_answer
0.69 - 0.42 =,0.27;2.7e-1;2.7E-1;.27,short_answer
0.0024812 - 0.0023 =,0.0002;2e-4;2E-4;.0002,short_answer
2 + 12.3 =,14;1.4e1;1.4E1;14.,short_answer
3.2113 + 20 =,20;2e1;2E1,short_answer
0.12 + 0.0034774 =,0.12;1.2e-1;1.2E-1;.12,short_answer
0.32 - 0.018475 =,0.30;3.0e-1;3.0E-1;.30,short_answer
3390 + 65000 =,68000;6.8e4;6.8E4,short_answer
0.1 - 0.0144 =,0.1;1e-1;1E-1;.1,short_answer
0.0244 + 0.46 =,0.48;4.8e-1;4.8E-1;.48,short_answer
78.690 - 28 =,51;5.1e1;5.1E1;51.,short_answer
1 x 10<sup>10</sup> - 1.2 x 10<sup>9</sup> =,1e10;1e10;1E10,short_answer
280 + 217 =,5.0e2;5.0e2;5.0E2,short_answer
0.0021835 + 0.00200 =,0.00418;4.18e-3;4.18E-3;.00418,short_answer
5 + 10.49 =,15;1.5e1;1.5E1;15.,short_answer
6.5 x 10<sup>-8</sup> + 5.0 x 10<sup>-8</sup> =,1.15e-7;1.15e-7;1.15E-7,short_answer
0.96 - 0.12 =,0.84;8.4e-1;8.4E-1;.84,short_answer
2.5557 - 0.6632 =,1.8925;1.8925e0;1.8925E0,short_answer
200 + 46 =,200;2e2;2E2,short_answer
5.0 x 10<sup>4</sup> + 462000 =,512000;5.12e5;5.12E5,short_answer
0.000095473 - 0.0000105 =,0.0000850;8.50e-5;8.50E-5;.0000850,short_answer
2800 + 325 =,3100;3.1e3;3.1E3,short_answer
9050 + 472 =,9520;9.52e3;9.52E3,short_answer
10 + 35 =,50;5e1;5E1,short_answer
1.503 x 10<sup>10</sup> + 6.35 x 10<sup>9</sup> =,2.138e10;2.138e10;2.138E10,short_answer
3.7156 + 75 =,79;7.9e1;7.9E1;79.,short_answer
1149.2 - 28.9 =,1120.3;1.1203e3;1.1203E3,short_answer
0.082 - 0.009314 =,0.073;7.3e-2;7.3E-2;.073,short_answer
0.00670 + 0.0002767 =,0.00698;6.98e-3;6.98E-3;.00698,short_answer
410 + 38.1 =,450;4.5e2;4.5E2,short_answer
11000 + 30680 =,42000;4.2e4;4.2E4,short_answer
24.8 + 2 =,27;2.7e1;2.7E1;27.,short_answer
0.003923 + 0.0004458 =,0.004369;4.369e-3;4.369E-3;.004369,short_answer
6563.2 + 14300 =,20900;2.09e4;2.09E4,short_answer
1 + 0.1623 =,1;1e0;1E0;1.,short_answer
0.0035561 + 0.0021 =,0.0057;5.7e-3;5.7E-3;.0057,short_answer
0.005 - 0.000175 =,0.005;5e-3;5E-3;.005,short_answer
400 - 40.02 =,400;4e2;4E2,short_answer
67.710 - 1.5703 =,66.140;6.6140e1;6.6140E1,short_answer
0.0040 + 0.0570 =,0.0610;6.10e-2;6.10E-2;.0610,short_answer
41.1 - 2.43 =,38.7;3.87e1;3.87E1,short_answer
50 + 201.04 =,250;2.5e2;2.5E2,short_answer
8 - 0.2 =,8;8e0;8E0;8.,short_answer
0.0065 + 0.0001800 =,0.0067;6.7e-3;6.7E-3;.0067,short_answer
0.0059225 - 0.0004 =,0.0055;5.5e-3;5.5E-3;.0055,short_answer
1400 + 10000 =,10000;1e4;1E4,short_answer
22.4 - 3.504 =,18.9;1.89e1;1.89E1,short_answer
72.2 - 2.1531 =,70.0;7.00e1;7.00E1,short_answer
0.034489 - 0.006 =,0.028;2.8e-2;2.8E-2;.028,short_answer
0.017500 + 0.0021541 =,0.019654;1.9654e-2;1.9654E-2;.019654,short_answer
0.1 - 0.018470 =,0.1;1e-1;1E-1;.1,short_answer
5.1344 + 2.5 =,7.6;7.6e0;7.6E0,short_answer
99.0 + 392.1 =,491.1;4.911e2;4.911E2,short_answer
0.152 - 0.0167 =,0.135;1.35e-1;1.35E-1;.135,short_answer
5000 - 3370.1 =,2000;2e3;2E3,short_answer
133.6 + 14.47 =,148.1;1.481e2;1.481E2,short_answer
300 + 610 =,900;9e2;9E2,short_answer
8990 + 420000 =,430000;4.3e5;4.3E5,short_answer
0.0025 + 0.001263 =,0.0038;3.8e-3;3.8E-3;.0038,short_answer
8.85 x 10<sup>10</sup> - 7.193 x 10<sup>9</sup> =,8.13e10;8.13e10;8.13E10,short_answer
31.03 + 0.92 =,31.95;3.195e1;3.195E1,short_answer
0.036 - 0.01 =,0.03;3e-2;3E-2;.03,short_answer
22691 + 120000 =,140000;1.4e5;1.4E5,short_answer
2070 + 260 =,2330;2.33e3;2.33E3,short_answer
9877.1 + 140000 =,150000;1.5e5;1.5E5,short_answer
0.0034 + 0.0046668 =,0.0081;8.1e-3;8.1E-3;.0081,short_answer
0.011470 + 0.0005 =,0.0120;1.20e-2;1.20E-2;.0120,short_answer
3100 + 36500 =,39600;3.96e4;3.96E4,short_answer
400 - 11.19 =,400;4e2;4E2,short_answer
3.1 x 10<sup>-8</sup> - 1.1 x 10<sup>-8</sup> =,2.0e-8;2.0e-8;2.0E-8,short_answer
0.82952 - 0.2 =,0.6;6e-1;6E-1;.6,short_answer
716.19 - 290 =,430;4.3e2;4.3E2,short_answer
65.590 + 13.8 =,79.4;7.94e1;7.94E1,short_answer
6.4737 - 4 =,2;2e0;2E0;2.,short_answer
4900 + 2600 =,7500;7.5e3;7.5E3,short_answer
0.0003649 + 0.00066 =,0.00102;1.02e-3;1.02E-3;.00102,short_answer
16 - 6 =,10.;1.0e1;1.0E1;10..,short_answer
0.0021394 + 0.005 =,0.007;7e-3;7E-3;.007,short_answer
0.0000298 - 0.0000013108 =,0.0000285;2.85e-5;2.85E-5;.0000285,short_answer
1.4855 - 0.289 =,1.197;1.197e0;1.197E0,short_answer
1.0012 x 10<sup>-9</sup> + 8 x 10<sup>-11</sup> =,1.08e-9;1.08e-9;1.08E-9,short_answer
0.02965 - 0.0040088 =,0.02564;2.564e-2;2.564E-2;.02564,short_answer
2 x 10<sup>9</sup> + 1.68 x 10<sup>10</sup> =,1.9e10;1.9e10;1.9E10,short_answer
20.16 + 2 =,22;2.2e1;2.2E1;22.,short_answer
163300 + 27709 =,1.910e5;1.910e5;1.910E5,short_answer
12.09 + 14.8 =,26.9;2.69e1;2.69E1,short_answer
27.0 + 0.67973 =,27.7;2.77e1;2.77E1,short_answer
8 x 10<sup>11</sup> + 9.67 x 10<sup>10</sup> =,9e11;9e11;9E11,short_answer
2.30 x 10<sup>7</sup> + 1 x 10<sup>7</sup> =,3e7;3e7;3E7,short_answer
0.02 + 0.0078921 =,0.03;3e-2;3E-2;.03,short_answer
3.80 x 10<sup>7</sup> - 2.89 x 10<sup>7</sup> =,9.1e6;9.1e6;9.1E6,short_answer
0.00200 - 0.00065969 =,0.00134;1.34e-3;1.34E-3;.00134,short_answer
2670. + 9500 =,12200;1.22e4;1.22E4,short_answer
0.0000094961 + 0.0000039 =,0.0000134;1.34e-5;1.34E-5;.0000134,short_answer
0.95709 + 0.4244 =,1.3815;1.3815e0;1.3815E0,short_answer
9.694 x 10<sup>-10</sup> - 1.946 x 10<sup>-10</sup> =,7.748e-10;7.748e-10;7.748E-10,short_answer
0.0082233 + 0.064463 =,0.072686;7.2686e-2;7.2686E-2;.072686,short_answer
1349 - 100.5 =,1249;1.249e3;1.249E3;1249.,short_answer
1.3 x 10<sup>-8</sup> + 2.313 x 10<sup>-9</sup> =,1.5e-8;1.5e-8;1.5E-8,short_answer
263 + 2000 =,2000;2e3;2E3,short_answer
6.663 x 10<sup>-12</sup> - 4.4 x 10<sup>-12</sup> =,2.3e-12;2.3e-12;2.3E-12,short_answer
5872.2 - 1500 =,4400;4.4e3;4.4E3,short_answer
1.0 x 10<sup>3</sup> - 950 =,100;1e2;1E2,short_answer
641.5 + 14.195 =,655.7;6.557e2;6.557E2,short_answer
12.962 + 4 =,17;1.7e1;1.7E1;17.,short_answer
0.05526 + 0.44 =,0.50;5.0e-1;5.0E-1;.50,short_answer
3.140 x 10<sup>9</sup> - 2.298 x 10<sup>8</sup> =,2.910e9;2.910e9;2.910E9,short_answer
140 - 100 =,0e0;0e0;0E0;0;0.,short_answer
0.0298 + 0.16 =,0.19;1.9e-1;1.9E-1;.19,short_answer
0.01070 + 0.02 =,0.03;3e-2;3E-2;.03,short_answer
1300 - 87.222 =,1200;1.2e3;1.2E3,short_answer
0.0028 + 0.1 =,0.1;1e-1;1E-1;.1,short_answer
0.42 - 0.0105 =,0.41;4.1e-1;4.1E-1;.41,short_answer
92 - 27.6 =,64;6.4e1;6.4E1;64.,short_answer
313.1 + 89 =,402;4.02e2;4.02E2;402.,short_answer
0.021 + 0.1268 =,0.148;1.48e-1;1.48E-1;.148,short_answer
5 x 10<sup>-11</sup> + 3.1679 x 10<sup>-10</sup> =,3.7e-10;3.7e-10;3.7E-10,short_answer
5.75 + 2.5 =,8.3;8.3e0;8.3E0,short_answer
2.2346 + 0.10332 =,2.3379;2.3379e0;2.3379E0,short_answer
4.705 x 10<sup>-10</sup> + 2 x 10<sup>-10</sup> =,7e-10;7e-10;7E-10,short_answer
4.1 - 2.6 =,1.5;1.5e0;1.5E0,short_answer
1.05 + 3.61 =,4.66;4.66e0;4.66E0,short_answer
0.00689 + 0.0004 =,0.0073;7.3e-3;7.3E-3;.0073,short_answer
0.00648 - 0.001 =,0.005;5e-3;5E-3;.005,short_answer
0.00002988 - 0.000022978 =,0.00000690;6.90e-6;6.90E-6;.00000690,short_answer
3000 + 94.94 =,3000;3e3;3E3,short_answer
1118.2 + 397.03 =,1515.2;1.5152e3;1.5152E3,short_answer
17.68 + 4.3 =,22.0;2.20e1;2.20E1,short_answer
0.002 + 0.002 =,0.004;4e-3;4E-3;.004,short_answer
0.0208 - 0.0053744 =,0.0154;1.54e-2;1.54E-2;.0154,short_answer
1910 + 370 =,2280;2.28e3;2.28E3,short_answer
2.885 x 10<sup>-7</sup> + 0.00000149 =,0.00000178;1.78e-6;1.78E-6;.00000178,short_answer
0.14739 - 0.03 =,0.12;1.2e-1;1.2E-1;.12,short_answer
575 + 36.33 =,611;6.11e2;6.11E2;611.,short_answer
0.007381 - 0.0047 =,0.0027;2.7e-3;2.7E-3;.0027,short_answer
47.1 + 1590 =,1640;1.64e3;1.64E3,short_answer
4.50 x 10<sup>-10</sup> + 9.0228 x 10<sup>-9</sup> =,9.473e-9;9.473e-9;9.473E-9,short_answer
100 + 1328 =,1400;1.4e3;1.4E3,short_answer
2608.8 - 200 =,2400;2.4e3;2.4E3,short_answer
100 + 11.1 =,100;1e2;1E2,short_answer
0.0092 - 0.000763 =,0.0084;8.4e-3;8.4E-3;.0084,short_answer
193.01 + 86.3 =,279.3;2.793e2;2.793E2,short_answer
8903 + 5840 =,14740;1.474e4;1.474E4,short_answer
0.87699 - 0.284 =,0.593;5.93e-1;5.93E-1;.593,short_answer
7.65 x 10<sup>-10</sup> + 2.76 x 10<sup>-11</sup> =,7.93e-10;7.93e-10;7.93E-10,short_answer
3 x 10<sup>-10</sup> + 9 x 10<sup>-10</sup> =,1.2e-9;1.2e-9;1.2E-9,short_answer
20 + 653.29 =,670;6.7e2;6.7E2,short_answer
0.63196 + 0.02087 =,0.65283;6.5283e-1;6.5283E-1;.65283,short_answer
0.79784 - 0.0888 =,0.7090;7.090e-1;7.090E-1;.7090,short_answer
28.4 + 25.701 =,54.1;5.41e1;5.41E1,short_answer
0.0016 - 0.000676 =,0.0009;9e-4;9E-4;.0009,short_answer
1000 - 96.95 =,1000;1e3;1E3,short_answer
0.1077 - 0.0044242 =,0.1033;1.033e-1;1.033E-1;.1033,short_answer
0.0340 - 0.002635 =,0.0314;3.14e-2;3.14E-2;.0314,short_answer
116800 + 50000 =,170000;1.7e5;1.7E5,short_answer
0.74585 + 0.0282 =,0.7741;7.741e-1;7.741E-1;.7741,short_answer
0.11 - 0.02700 =,0.08;8e-2;8E-2;.08,short_answer
0.03 - 0.001953 =,0.03;3e-2;3E-2;.03,short_answer
0.29846 + 0.17 =,0.47;4.7e-1;4.7E-1;.47,short_answer
2.0 - 0.11223 =,1.9;1.9e0;1.9E0,short_answer
12 + 3.977 =,16;1.6e1;1.6E1;16.,short_answer
1.45 + 20 =,20;2e1;2E1,short_answer
0.1 + 0.07893 =,0.2;2e-1;2E-1;.2,short_answer
3.6398 - 2.8662 =,0.7736;7.736e-1;7.736E-1;.7736,short_answer
1.3030 - 0.471 =,0.832;8.32e-1;8.32E-1;.832,short_answer
4312.1 + 5823.6 =,10135.7;1.01357e4;1.01357E4,short_answer
0.10 + 1 =,1;1e0;1E0;1.,short_answer
294.9 + 26.4 =,321.3;3.213e2;3.213E2,short_answer
0.00133 + 0.000039376 =,0.00137;1.37e-3;1.37E-3;.00137,short_answer
8000 - 1660 =,6000;6e3;6E3,short_answer
3300 + 166.6 =,3500;3.5e3;3.5E3,short_answer
210000 + 5.498 x 10<sup>6</sup> =,5.71e6;5.71e6;5.71E6,short_answer
4 x 10<sup>11</sup> - 1.267 x 10<sup>10</sup> =,4e11;4e11;4E11,short_answer
3 + 0.07 =,3;3e0;3E0;3.,short_answer
0.0042774 + 0.0003241 =,0.0046015;4.6015e-3;4.6015E-3;.0046015,short_answer
1.3 + 13 =,14;1.4e1;1.4E1;14.,short_answer
2140 + 237.8 =,2380;2.38e3;2.38E3,short_answer
0.0576 + 0.20 =,0.26;2.6e-1;2.6E-1;.26,short_answer
0.014997 + 0.008 =,0.023;2.3e-2;2.3E-2;.023,short_answer
99000 + 20000 =,120000;1.2e5;1.2E5,short_answer
5.31 x 10<sup>9</sup> + 7.82 x 10<sup>8</sup> =,6.09e9;6.09e9;6.09E9,short_answer
17.253 + 19.573 =,36.826;3.6826e1;3.6826E1,short_answer
0.0000092187 + 0.00017 =,0.00018;1.8e-4;1.8E-4;.00018,short_answer
3477 - 363.48 =,3114;3.114e3;3.114E3;3114.,short_answer
0.00020 - 0.00003 =,0.00017;1.7e-4;1.7E-4;.00017,short_answer
0.2 + 2.2317 =,2.4;2.4e0;2.4E0,short_answer
